"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"dose       ",5,87243.2839845761,17448.6567969152,11.4682098826527,0.000000258560939924686
"Residuals  ",48,73031.0601935201,1521.48042069834,NA,NA
