gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl.mod	ctrl.mean	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
100000319	Lin	4.63144578895575e-06		4.42185809641243			2.0236911874088	80.34	0.855843683616332	4.42185809641243	3.49287583543257	TRUE	236364.40511986	156390.53906857	486297.253972092	5.51656702284137	TRUE	TRUE	TRUE	TRUE	TRUE
100000381	Exp2	4.38377131370336e-07			5.41823341596076		2.22686670296685	83.78	0.181561737613646	5.41823341596076	5.19373423224823	TRUE	717396.498444284	345131.387409174	1162626.13265574	7.42060093521508	TRUE	TRUE	TRUE	TRUE	TRUE
100000724	Lin	3.99642817685931e-06		4.05520979639884			2.06921198364244	81.14	0.538630431238133	4.05520979639884	2.96455500185885	TRUE	244857.94406655	154893.785918869	626304.078762012	5.03376698550129	TRUE	TRUE	TRUE	TRUE	TRUE
100000849	Exp2	6.56581472771758e-07			3.92793792358319		2.48818136815894	87.78	0.181471281988589	3.92793792358319	1.3795925011377	TRUE				3.86777386929664	FALSE				FALSE
100001171	Exp2	5.47137407844982e-07			4.86008480841766		1.89372262439846	77.95	0.21233312741031	4.86008480841766	4.97036402577825	TRUE	631006.200277278	357194.81098882	953281.968189938	6.86408665017671	TRUE	TRUE	TRUE	TRUE	TRUE
100001344	Poly2	4.65729247382597	-1.78197974917304e-05	2.13249350483634e-11			1.9863478099293	80.51	0.440109117754627	4.65729247382597	3.468521348036	TRUE	878219.425879041	828250.570881143	923265.422775373	5.4548691579653	TRUE	TRUE	TRUE	TRUE	TRUE
100001520	Lin	4.2048836644623e-06		3.72580323375597			1.85763852819345	77.26	0.50028082558185	3.72580323375597	3.56954437058135	TRUE	404619.913892642	266760.822548505	842323.676386261	5.4271828987748	TRUE	TRUE	TRUE	TRUE	TRUE
100002015	Exp2	6.1775854553261e-07			4.92319169409974		2.18341669555526	83.07	0.589725075791399	4.92319169409974	3.21021019991426	TRUE	147729.256675605		466785.888758569	5.39362689546952	FALSE	TRUE			FALSE
100003113	Exp2	4.38347276555302e-07			5.44232494589833		1.7449343088843	75	0.273991416241703	5.44232494589833	6.20040529022289	TRUE	863195.033734327	567695.424658505	1202829.41208203	7.94533959910719	TRUE	TRUE	TRUE	TRUE	TRUE
100003238	Exp2	5.44439544370172e-07			4.97795537546248		1.76738451719873	75.46	0.435315140773808	4.97795537546248	5.51649794567245	TRUE	699149.775815068	446570.598239124	992160.621034444	7.28388246287118	TRUE	TRUE	TRUE	TRUE	TRUE
100003514	Poly2	4.44168996441241	-1.75756199681595e-05	2.13840919387585e-11			1.72612327304942	75.45	0.639299422567449	4.44168996441241	5.51295213534503	TRUE	958396.483963397	922799.389864545	991813.507312957	7.23907540839445	TRUE	TRUE	TRUE	TRUE	TRUE
100003642	Lin	4.88920443938441e-06		3.30655789056547			2.09299893603924	81.55	0.543876215193919	3.30655789056547	1.3795925011377	TRUE	33959.2153897404	22618.3757444857	68399.5621926039	3.47259143717694	TRUE	TRUE	TRUE	TRUE	TRUE
100004076	Exp2	6.03277846206086e-07			4.11323349871202		2.16213038694875	82.72	0.315083525368845	4.11323349871202	3.73853103348797	TRUE	598157.207715934	277779.792310052	995791.87789124	5.90066142043673	TRUE	TRUE	TRUE	TRUE	TRUE
100004590	Exp2	8.13171546185134e-07			3.58584333932024		1.86337958065418	77.37	0.867642170191146	3.58584333932024	4.04437698009065	TRUE	613981.728526979	398523.489725691	875464.25611502	5.90775656074483	TRUE	TRUE	TRUE	TRUE	TRUE
100004856	Exp2	5.8705953767826e-07			3.70225300504295		2.30382882022444	85.01	0.210641495164133	3.70225300504295	4.59720749213836	TRUE	1060761.29661602	675137.146915765	1560238.35004972	6.90103631236279	TRUE	FALSE	TRUE	TRUE	FALSE
100006636	Lin	4.02406418173635e-06		3.43312921805634			1.81820926725268	76.48	0.642473751672577	3.43312921805634	3.73853103348797	TRUE	527727.935979193	345375.216152818	1126299.19527899	5.55674030074065	TRUE	TRUE	TRUE	TRUE	TRUE
100006646	Poly2	3.0690854180334	2.68071445045308e-05	-2.24855956996916e-11			2.04918171622214	81.63	0.49427983007655	3.0690854180334	4.39892307539076	TRUE	143265.369515639	98478.8836419201	193006.129603848	6.44810479161289	TRUE	TRUE	TRUE	TRUE	TRUE
100007078	Lin	3.80736877435651e-06		4.70387382108795			2.30055707330419	84.96	0.412861280434712	4.70387382108795	6.56091525205509	TRUE	1091987.34061503	651045.186442722	3758474.74627383	8.86147232535928	TRUE	FALSE	TRUE	TRUE	FALSE
100007251	Hill	0.374118615105264	9.17068738216261	1.9087176229009	370.002680414048		2.01894346764861	81.85	0.640905425489369	1.9087176229009	1.90791333471142	TRUE	28.8230224409608		153.56167271604	3.92685680236002	FALSE	TRUE			FALSE
100007940	Exp2	6.50871611923503e-07			3.95254762073454		1.93500502858588	78.73	0.463026769239856	3.95254762073454	5.38298530247788	TRUE	946385.424258153	673120.335271938	1279106.93189751	7.31799033106376	TRUE	TRUE	TRUE	TRUE	TRUE
100033386	Exp2	7.77438416798012e-07			3.45027701150652		2.21524452208118	83.59	0.373308149547617	3.45027701150652	2.68188936634054	TRUE	450448.01577829	172896.979382731	804966.850067745	4.89713388842172	TRUE	TRUE	TRUE	TRUE	TRUE
100034551	Exp2	5.52795132307486e-07			4.93375600152624		1.66959875391317	73.41	0.643353593435896	4.93375600152624	4.49361739047074	TRUE	402496.630856969	165371.862287289	675527.221956413	6.16321614438391	TRUE	TRUE	TRUE	TRUE	TRUE
100034631	Lin	3.08465165071057e-06		5.63008839178657			1.85947643541635	77.29	0.210568141033788	5.63008839178657	6.48883518727014	TRUE	881209.139339749	525726.673791242	3015916.6548743	8.34831162268649	TRUE	TRUE	TRUE	TRUE	TRUE
100037331	Poly2	5.96057132299183	-3.25303049853201e-05	3.43383193452897e-11			1.8443018104286	77.84	0.41962340165988	5.96057132299183	6.70209882907514	TRUE	1021095.7322339	997678.75075766	1043550.28103364	8.54640063950374	TRUE	FALSE	TRUE	TRUE	FALSE
