	E4	E5	E6	E1	E2	E3	D10	D11	D12	D7	D8	D9	D4	D5	D6	D1	D2	D3
100000006	4	1	12	0	0	6	0	8	0	7	2	0	0	3	4	0	0	10
100000009	48	7	31	14	0	10	5	9	0	4	16	0	18	48	35	0	26	30
100000026	26	8	20	8	2	4	7	4	0	13	1	4	5	4	6	0	9	5
100000044	24	3	3	12	5	3	2	8	0	10	7	0	8	24	0	0	1	18
100000073	115	49	50	20	7	39	15	50	0	39	52	20	21	62	40	0	68	40
100000079	567	90	459	205	62	157	95	148	8	277	141	24	88	348	175	0	270	125
100000083	72	15	49	62	17	29	8	41	4	42	28	6	10	63	30	0	75	44
100000085	404	45	225	161	89	117	77	134	17	121	189	5	35	292	156	0	214	117
100000094	25	7	31	15	8	24	12	8	0	12	7	0	5	49	2	0	29	14
100000095	15	0	2	3	2	0	8	11	0	16	0	0	0	19	7	0	13	0
100000097	16	1	0	1	0	0	4	10	0	4	5	0	1	5	3	0	6	0
100000101	33	23	34	13	8	4	11	20	0	26	15	9	5	21	19	0	14	9
100000104	24	2	8	42	1	17	8	5	0	35	10	0	2	24	3	0	13	70
100000119	78	11	22	23	5	12	0	27	4	12	15	0	0	35	19	0	11	33
100000122	163	24	49	29	23	37	31	36	2	67	73	16	3	105	15	0	100	105
100000125	307	105	134	165	46	125	38	116	4	153	118	34	13	255	77	1	194	115
100000126	12	0	0	13	2	2	0	6	0	1	2	0	0	11	0	0	6	0
100000131	84	5	23	17	11	16	20	8	1	31	7	0	14	28	20	0	40	32
100000133	124	11	64	46	36	20	24	25	3	47	39	8	12	102	27	0	80	53
100000135	51	2	38	22	6	30	12	16	5	28	16	16	1	68	17	0	75	12
100000148	10	0	0	0	11	1	1	3	0	9	0	0	6	20	1	0	0	0
100000151	154	19	71	57	21	67	25	37	1	24	42	7	26	112	33	0	119	42
100000156	43	5	7	24	4	9	9	2	0	19	23	8	4	49	5	0	32	26
100000160	370	75	272	143	105	107	77	78	23	195	130	25	59	374	164	0	182	167
100000165	345	29	123	60	48	98	51	67	5	110	70	12	19	221	76	0	120	103
100000175	313	27	248	63	22	102	30	25	0	97	68	12	41	369	131	0	181	199
100000190	275	33	116	131	59	96	53	53	5	71	43	9	18	233	68	0	103	71
100000199	8	1	1	9	0	8	1	0	4	1	5	1	4	12	0	0	1	0
100000219	5	3	33	8	2	4	3	2	0	7	5	3	0	12	5	0	1	8
100000223	350	103	249	169	87	94	62	109	5	171	65	12	55	294	110	0	177	152
100000230	2255	272	1371	690	178	477	241	590	36	1125	701	130	280	1004	503	0	818	483
100000242	196	50	129	64	28	30	31	23	5	86	56	5	25	106	40	0	68	50
100000252	484	105	162	147	150	93	165	213	9	131	79	11	46	324	71	0	193	261
100000256	352	57	368	119	48	133	27	49	0	162	88	34	59	342	136	0	225	268
100000277	98	44	75	62	34	46	22	32	0	61	43	3	18	93	43	0	72	32
100000285	18	0	11	3	1	0	0	0	0	5	9	1	6	8	1	0	6	1
100000303	433	27	106	142	25	119	33	62	31	108	117	11	90	243	89	0	128	121
100000319	1	0	13	16	0	1	5	0	0	0	7	1	2	53	4	0	40	22
100000322	32	14	105	48	19	49	9	42	0	51	60	15	25	62	6	2	40	7
100000325	77	4	31	13	8	6	17	14	0	16	22	2	8	21	12	0	17	13
100000326	51	6	40	8	14	9	4	11	0	23	7	9	7	54	11	0	36	8
100000332	3	1	15	0	8	6	0	1	0	6	1	0	4	1	0	0	3	13
100000333	16	0	8	8	4	0	6	4	0	24	18	4	3	1	4	0	5	0
100000341	807	154	483	312	184	174	139	279	19	587	380	66	157	501	315	1	400	281
100000342	268	55	245	98	44	91	41	45	5	83	114	10	47	194	31	0	67	149
100000352	10	1	7	10	6	7	3	3	2	4	11	0	5	4	5	0	11	19
100000353	47	62	51	40	18	47	11	95	4	32	23	3	12	92	25	0	57	37
100000374	38	25	24	8	15	30	8	15	5	33	18	0	0	37	17	0	22	6
100000381	5	11	5	2	0	5	7	25	9	8	2	0	0	12	29	0	16	18
100000389	33	9	7	14	6	5	3	6	2	31	17	0	3	11	7	0	5	14
100000398	33	36	51	26	7	10	32	17	0	90	18	3	0	94	19	0	74	21
100000399	38	10	17	12	11	4	2	30	2	16	24	0	5	9	8	0	12	13
100000415	59	17	62	45	24	22	6	13	0	41	6	6	0	37	16	0	25	38
100000433	29	9	20	9	0	8	3	9	5	38	21	0	2	41	21	0	13	15
100000463	91	6	45	7	9	30	13	10	0	20	17	0	9	49	12	0	12	8
100000471	378	146	245	180	78	137	75	187	0	176	135	24	45	357	147	0	253	186
100000478	65	1	4	18	9	8	16	12	0	24	18	7	12	38	24	0	43	25
100000479	47	2	39	17	19	7	5	26	1	19	24	1	0	62	24	0	39	11
100000492	121	48	121	47	20	22	24	40	2	86	41	2	16	148	37	0	66	63
100000500	77	8	88	57	14	29	6	55	1	41	37	1	12	71	51	0	45	20
100000502	30	1	21	5	3	15	2	4	0	16	14	4	1	29	10	0	18	2
100000517	805	100	436	316	189	263	189	198	22	509	334	45	95	553	217	0	395	399
100000526	509	83	211	231	132	195	84	103	1	245	153	37	44	457	147	0	296	200
100000527	24	1	8	3	5	10	7	0	0	9	0	7	5	19	0	0	15	0
100000537	53	10	55	22	39	34	6	20	0	38	52	2	6	74	28	0	42	35
100000539	28	2	2	5	5	1	0	0	0	10	9	1	4	6	8	0	10	2
100000544	8	0	3	0	0	0	0	0	0	5	4	0	0	5	0	0	8	0
100000558	5	0	7	1	3	11	4	0	0	10	1	0	0	25	9	0	3	1
100000559	39	4	23	9	18	15	7	13	0	43	27	4	11	48	8	0	30	27
100000570	78	2	33	15	13	8	14	11	0	16	4	0	9	38	26	0	10	12
100000574	20	0	8	13	11	3	25	0	0	3	6	0	3	18	0	0	3	6
100000576	79	25	30	30	2	9	9	69	6	39	15	2	10	61	16	0	18	7
100000577	48	25	54	16	14	19	12	37	0	33	25	1	2	32	7	0	24	27
100000597	330	131	189	96	79	113	34	124	16	212	140	33	64	412	132	0	271	83
100000615	201	31	96	55	16	64	39	33	0	81	36	3	32	124	58	0	119	80
100000629	119	7	48	40	13	28	12	34	1	26	42	10	26	53	7	0	70	21
100000640	2	4	0	2	5	0	0	0	0	0	14	0	2	0	0	0	0	0
100000646	13	5	9	1	2	6	2	0	1	2	8	0	1	7	1	0	0	11
100000647	28	2	17	14	4	5	6	2	0	10	23	0	12	17	11	0	3	4
100000651	51	2	17	6	9	18	2	2	2	10	2	1	6	10	12	0	5	14
100000654	63	15	42	14	7	22	17	30	8	45	57	1	10	64	55	0	47	26
100000656	26	4	7	6	2	5	0	23	0	2	15	4	11	55	26	0	30	19
100000660	78	6	32	5	11	8	16	6	1	23	15	4	11	23	27	0	36	35
100000665	171	43	66	46	32	52	13	34	0	55	30	27	17	134	60	0	74	46
100000675	0	3	0	9	3	0	0	3	0	17	0	0	3	2	2	0	1	2
100000683	62	3	1	50	9	35	3	82	3	109	24	8	29	35	23	0	4	32
100000687	98	29	64	36	37	39	26	33	0	47	47	15	22	87	39	0	69	81
100000688	26	0	20	4	16	12	4	3	0	36	36	0	3	44	8	0	6	11
100000702	16	3	11	5	4	2	0	5	1	22	4	0	4	18	0	0	4	0
100000709	117	19	131	66	41	54	24	41	0	81	53	0	17	150	63	0	64	54
100000710	145	7	6	19	14	29	10	49	0	16	15	6	6	25	2	0	20	13
100000711	23	8	10	32	2	8	19	2	0	2	11	0	6	44	30	0	28	27
100000713	15	0	14	11	3	13	2	24	1	20	3	4	1	21	4	0	11	5
100000715	119	11	22	36	23	16	13	23	0	45	17	14	0	51	15	0	25	28
100000720	144	33	83	64	31	54	70	37	3	83	68	16	20	138	41	0	60	43
100000724	0	1	4	14	5	1	0	0	0	3	0	0	3	7	9	0	13	8
100000753	3	0	2	0	0	1	0	0	0	2	2	0	2	0	4	0	0	0
100000764	12	0	4	1	1	1	0	0	0	0	11	0	0	19	7	0	4	12
100000768	26	1	4	16	9	15	0	9	5	9	6	0	8	20	6	0	20	13
100000769	26	7	21	5	10	14	0	1	0	6	0	0	0	26	10	0	9	10
100000771	19	11	5	0	0	0	13	9	0	3	8	0	9	17	6	0	9	0
100000775	2478	660	1697	1058	380	886	602	823	39	1275	709	154	288	2329	1034	0	1767	861
100000787	226	37	123	60	19	44	52	50	3	101	107	14	44	188	51	0	104	66
100000797	89	10	23	14	5	27	19	7	9	14	13	14	10	21	8	0	21	45
100000800	38	0	39	32	0	25	9	3	3	12	1	0	0	12	8	0	22	16
100000808	248	42	147	109	81	87	70	45	0	84	73	24	24	51	83	0	118	100
100000823	165	39	99	52	27	62	38	58	4	81	38	17	35	218	41	0	137	72
100000836	43	5	15	13	7	18	10	12	0	13	12	0	0	24	19	0	20	16
100000842	32	4	4	34	0	0	0	9	0	9	4	0	0	33	10	0	8	9
100000844	125	44	60	61	20	29	18	48	10	43	40	6	20	111	26	0	63	37
100000849	0	0	0	10	0	0	1	11	0	28	7	0	0	22	0	0	15	3
100000855	22	1	29	33	0	1	3	1	0	18	25	2	8	15	1	0	4	16
100000857	0	0	12	0	2	3	0	3	0	7	3	0	0	20	6	0	13	6
100000859	88	11	31	30	9	50	12	1	0	37	29	5	21	131	16	0	46	45
100000862	26	0	5	3	2	9	3	4	0	16	5	4	2	11	8	0	13	4
100000883	8	5	14	13	7	1	1	2	0	1	6	3	0	7	2	0	15	2
100000884	13	1	14	0	2	7	1	0	0	13	0	0	0	14	0	0	9	4
100000886	12	0	13	4	3	3	0	0	0	1	0	0	0	10	9	0	6	11
100000896	21	0	3	1	18	16	0	9	2	20	30	2	7	39	7	0	22	10
100000923	22	0	4	0	0	0	0	0	0	5	0	4	2	9	2	0	4	0
100000931	98	22	78	15	6	37	25	23	3	51	9	20	12	54	22	0	46	44
100000934	18	0	18	12	0	2	1	16	0	10	2	3	0	17	6	0	1	7
100000935	31	7	27	15	4	20	15	31	0	15	11	0	1	37	5	0	32	22
100000938	23	12	14	10	5	5	1	0	0	5	4	0	1	23	4	0	13	0
100000948	18	0	14	7	2	1	0	0	0	3	3	0	0	7	2	0	1	5
100000949	117	19	125	42	44	33	49	10	7	52	16	5	31	91	137	0	303	75
100000956	189	16	119	74	9	58	16	53	4	109	76	7	19	130	74	0	97	46
100000962	51	1	8	3	2	1	5	19	4	17	21	2	2	4	1	0	14	8
100000981	14	2	8	0	3	3	0	10	0	5	14	2	2	8	4	0	11	0
100000984	12	3	9	9	0	4	1	0	0	4	4	0	0	2	0	0	3	0
100000992	95	18	41	14	17	17	7	16	2	20	25	4	15	42	17	0	39	28
100001004	18	1	18	11	18	2	6	7	0	16	9	0	2	33	14	0	25	8
100001019	23	0	24	42	17	15	1	7	0	0	29	0	11	12	11	0	10	22
100001029	8	0	5	0	0	0	0	0	0	4	0	0	0	11	16	0	3	4
100001035	15	1	7	10	11	6	5	2	0	1	0	0	0	5	9	0	0	1
100001080	9	0	25	1	7	0	0	0	0	0	0	3	0	0	0	0	8	0
100001092	94	12	8	12	27	25	6	17	10	21	12	1	14	38	20	0	37	5
100001113	28	1	3	0	4	3	14	4	0	7	4	4	0	0	8	0	4	2
100001114	567	93	434	167	126	223	118	207	12	327	187	43	79	419	164	0	302	177
100001116	106	13	47	26	30	25	28	30	3	72	26	7	15	76	36	0	16	48
100001119	160	28	124	94	35	127	89	71	7	144	60	3	18	280	40	0	111	67
100001127	29	11	12	17	12	7	2	13	0	13	5	8	0	8	4	0	6	14
100001129	414	104	224	162	58	117	59	143	4	181	77	18	22	335	121	0	218	153
100001136	49	27	46	42	13	0	13	17	0	34	4	5	8	71	19	0	64	28
100001167	7	1	6	0	0	0	0	12	0	10	0	2	2	2	1	0	2	2
100001168	329	75	248	166	99	226	90	117	24	199	105	27	48	360	151	0	251	165
100001169	17	0	19	7	3	1	0	12	0	6	19	0	2	14	7	0	12	1
100001171	26	0	16	13	2	12	7	9	0	2	0	0	0	16	1	0	29	11
100001188	44	5	15	10	1	31	13	10	0	13	8	3	8	63	8	0	9	0
100001198	211	21	114	91	44	95	53	49	0	120	72	20	14	237	95	0	124	94
100001219	142	28	67	69	11	49	31	61	1	82	57	18	31	150	57	0	124	49
100001221	18	9	62	35	25	23	0	13	4	40	11	0	2	54	28	0	33	47
100001229	8	4	6	0	0	0	2	7	0	2	9	0	1	6	0	0	0	1
100001239	16	0	7	0	5	2	3	4	0	4	8	11	5	7	2	0	3	0
100001241	78	29	71	73	32	47	16	42	4	121	25	8	25	126	53	0	109	55
100001249	66	26	17	20	20	18	18	23	5	23	30	1	2	46	13	0	43	21
100001260	126	62	120	62	36	47	28	12	3	83	22	16	8	118	55	0	123	63
100001267	579	97	269	107	67	120	175	100	5	238	177	104	32	264	286	0	226	176
100001285	115	23	93	46	38	32	18	41	0	31	39	12	2	77	23	0	62	50
100001286	6	3	1	4	4	0	0	0	0	0	2	0	0	0	0	0	2	0
100001293	72	21	44	21	12	44	17	7	0	2	26	7	10	23	22	0	6	24
100001297	184	27	66	106	23	42	28	62	1	102	62	32	9	111	54	0	103	71
100001302	21	6	5	12	0	5	0	1	0	10	28	1	5	26	0	0	6	9
100001316	39	16	8	9	23	16	11	9	0	9	7	0	12	48	24	0	26	13
100001321	58	28	23	46	53	9	9	23	5	28	37	19	7	77	33	0	28	21
100001340	23	0	29	20	0	1	0	2	0	10	16	0	0	11	6	0	2	9
100001344	5	0	3	0	3	4	0	18	0	14	5	1	0	4	0	0	27	6
100001360	37	8	9	16	7	13	8	0	0	27	0	5	3	17	17	0	10	12
100001408	39	10	22	18	7	15	0	10	5	19	3	4	6	32	11	0	22	23
100001416	55	3	25	20	8	23	33	10	0	20	15	2	5	59	31	0	25	10
100001417	160	21	61	22	29	40	14	40	2	88	37	32	40	92	45	0	104	37
100001421	441	50	228	114	50	142	58	143	10	167	105	15	58	215	120	0	197	91
100001422	56	6	30	21	4	11	0	14	0	12	16	9	6	28	12	0	23	20
100001423	23	2	16	9	6	8	5	5	0	4	5	0	2	11	12	0	11	4
100001424	58	6	39	14	5	16	2	27	0	26	23	0	17	55	10	0	24	23
100001425	70	7	33	19	16	4	7	16	0	25	31	7	1	30	21	0	24	16
100001432	0	2	12	6	0	1	7	7	0	0	0	0	0	9	3	0	0	0
100001442	5	0	2	1	0	0	0	2	0	7	0	0	7	0	1	0	6	0
100001484	2	4	6	2	0	0	0	10	0	1	0	0	1	5	0	0	5	1
100001485	11	0	11	1	6	0	4	3	0	5	1	0	2	16	5	0	8	0
100001490	270	21	101	40	36	130	10	90	0	118	87	3	34	59	17	0	82	34
100001518	39	9	32	63	10	15	3	18	1	11	3	0	29	42	43	0	7	10
100001520	9	2	0	0	0	0	2	1	0	5	1	0	0	16	3	0	13	7
100001530	3	2	8	1	0	4	3	10	0	5	4	0	0	3	5	0	8	5
100001531	151	11	70	75	13	44	17	75	10	58	56	9	92	72	42	0	58	41
100001532	621	75	224	160	67	131	58	287	10	176	123	20	134	273	125	0	250	88
100001537	28	0	5	0	0	1	5	0	0	10	5	0	0	4	1	0	3	4
100001550	9	0	0	3	1	0	0	0	0	0	1	0	2	3	0	0	9	4
100001552	6	0	13	1	9	2	0	12	0	9	2	0	5	7	1	0	14	0
100001558	32	4	15	15	24	8	5	6	0	5	11	0	5	32	2	0	23	17
100001581	3	5	9	18	7	0	0	11	0	7	11	0	0	3	0	0	1	6
100001584	50	26	40	12	2	21	16	27	0	39	35	11	2	43	7	0	29	20
100001586	14	3	0	4	0	2	3	8	0	2	0	0	0	7	1	0	7	3
100001603	47	10	29	11	14	14	3	58	0	58	6	0	0	27	23	0	40	24
100001615	176	18	67	18	16	53	59	52	1	178	72	6	31	94	31	0	120	142
100001620	10	5	15	15	0	10	6	1	0	21	12	0	2	8	20	0	10	0
100001628	36	13	29	26	3	14	23	18	0	52	2	3	13	24	20	0	27	9
100001629	98	24	66	73	19	29	40	36	8	56	60	6	3	75	47	0	71	48
100001643	115	27	88	117	8	35	22	53	3	84	79	25	32	117	75	0	106	24
100001644	23	20	13	11	29	14	5	13	7	14	52	4	4	81	58	0	36	31
100001648	56	12	38	16	11	39	5	15	0	43	18	2	5	62	21	0	36	20
100001650	16	7	6	8	7	5	3	4	1	6	23	0	0	19	2	0	10	2
100001663	3	1	13	5	0	2	0	4	0	13	3	0	0	6	0	0	8	0
100001665	151	33	74	68	14	59	17	64	2	96	58	8	41	105	50	0	77	36
100001676	3	0	7	3	0	4	4	0	1	1	2	0	0	5	0	0	0	3
100001681	31	3	17	10	14	1	13	4	0	16	20	8	10	32	27	0	14	5
100001684	74188	20255	43181	34848	23093	29371	16473	18783	2668	34038	18788	5520	11068	73153	29180	35	62697	29984
100001692	7	7	15	8	12	10	0	3	0	9	4	1	0	10	1	0	8	9
100001699	182	20	93	30	40	40	20	39	0	40	17	2	31	117	25	0	62	45
100001725	231	28	60	112	26	42	61	35	0	100	47	17	21	112	163	0	97	28
100001748	21	6	28	2	20	14	5	21	0	16	11	4	4	39	25	0	13	9
100001751	22	3	4	10	11	6	1	10	0	7	21	0	0	22	2	0	16	20
100001767	27	20	15	104	22	28	18	11	2	37	10	4	19	62	17	0	14	20
100001772	17	3	16	11	0	0	0	0	0	0	0	0	0	34	0	0	13	0
100001781	56	3	16	8	1	0	0	2	0	23	22	1	0	25	39	0	7	4
100001805	66	18	40	24	8	77	43	6	0	12	13	0	9	48	102	0	15	58
100001810	30	15	41	1	64	32	1	12	0	16	23	3	1	21	17	0	32	4
100001826	36	3	2	6	7	2	8	1	0	7	4	0	5	10	11	0	2	3
100001828	23	4	5	7	4	5	0	10	0	10	9	0	6	38	8	0	2	4
100001836	80	29	23	35	6	17	16	11	2	26	14	6	10	53	19	0	41	11
100001838	12	3	2	2	0	3	1	2	0	4	3	0	0	12	0	0	11	0
100001845	36	8	5	29	0	14	4	11	0	9	11	2	2	18	7	0	32	8
100001853	279	49	145	130	55	115	59	116	6	153	88	7	36	136	109	0	166	94
100001877	11	14	10	10	1	6	3	2	0	2	18	2	0	7	5	0	4	4
100001879	356	58	204	113	70	98	67	75	6	141	106	11	32	221	87	0	128	84
100001880	54	26	38	20	7	41	48	154	8	190	43	6	15	83	30	0	76	96
100001887	254	23	77	79	26	99	46	56	3	149	47	26	33	185	70	0	156	106
100001896	79	19	37	24	42	43	34	48	0	39	35	3	29	74	38	0	56	51
100001904	71	10	56	24	25	30	23	11	4	62	32	5	6	40	29	0	13	42
100001905	26	0	11	2	6	14	16	6	1	7	0	0	6	9	0	0	9	27
100001906	218	74	115	96	34	66	31	34	1	117	84	16	36	171	87	0	121	53
100001914	145	24	104	70	32	60	31	53	1	71	43	6	19	162	60	0	81	88
100001920	16	2	6	0	2	2	0	19	2	9	22	19	0	35	43	0	28	4
100001936	66	11	44	50	16	17	4	6	2	29	29	6	7	111	21	0	55	9
100001940	108	14	54	17	28	22	26	34	0	38	23	0	8	120	45	0	44	51
100001978	56	4	6	1	3	16	1	18	2	20	26	0	3	37	16	0	35	12
100001980	56	6	35	26	1	21	9	13	0	25	9	2	6	48	14	0	22	48
100001989	33	0	15	3	0	0	0	2	0	0	1	0	2	2	0	0	0	0
100001991	34	16	39	20	21	11	0	9	0	31	11	8	5	27	17	0	47	12
100002007	941	283	577	402	163	311	162	230	26	437	232	71	181	575	297	0	482	293
100002010	241	35	109	80	38	56	38	41	6	123	136	17	28	101	67	0	115	147
100002012	52	16	53	46	29	30	7	24	2	62	9	2	9	40	43	0	32	18
100002015	22	0	0	9	5	10	16	0	0	34	4	0	4	26	0	0	25	54
100002026	175	10	37	147	38	83	10	104	0	16	1	45	6	49	17	0	11	15
100002034	1583	276	1282	490	290	568	267	316	12	1044	816	167	284	1383	1004	0	940	947
100002035	47	9	24	12	15	20	8	11	0	6	3	1	11	33	17	0	50	13
100002038	43	0	21	27	0	2	10	21	2	0	2	0	11	10	25	0	10	14
100002040	523	141	465	319	201	285	151	225	18	427	346	56	143	991	347	0	510	428
100002059	51	11	34	27	2	19	10	33	0	43	19	0	0	45	25	0	47	25
100002060	23	5	2	14	5	5	18	9	0	11	13	2	0	27	5	0	65	8
100002065	26	5	33	18	6	0	2	5	0	27	11	1	3	30	14	0	9	8
100002072	400	59	213	141	67	104	42	122	3	229	55	30	37	297	145	0	243	111
100002086	32	0	2	0	3	1	0	4	0	13	17	3	0	38	0	0	0	3
100002095	16	4	24	6	5	1	6	11	0	12	1	0	3	26	1	0	18	0
100002104	45	1	33	9	10	11	1	3	3	19	6	5	16	14	8	0	35	6
100002108	7	5	6	7	8	0	0	4	0	11	0	0	0	10	0	0	8	13
100002110	49	3	9	8	6	23	6	10	0	7	2	0	0	20	26	0	16	5
100002113	22	0	14	18	29	0	0	12	0	12	17	0	9	29	0	0	34	0
100002125	15	4	2	1	0	1	1	0	0	0	2	1	1	6	1	0	3	0
100002129	324	85	192	109	93	111	108	87	2	203	126	83	65	234	131	0	212	88
100002134	37	7	31	16	1	8	5	4	0	5	11	6	0	30	8	0	12	1
100002136	27	6	26	17	2	2	47	7	0	7	3	14	2	17	20	0	24	13
100002155	379	46	230	157	99	451	90	85	2	195	153	70	71	294	144	0	227	145
100002173	13	7	11	15	6	9	9	15	1	4	3	3	10	41	4	0	19	9
100002175	21	2	34	22	6	5	1	14	0	7	2	0	9	12	4	0	14	2
100002182	74	10	25	21	16	20	4	29	0	12	22	3	2	65	14	0	52	27
100002184	91	18	42	33	2	27	7	21	0	19	25	9	9	31	29	0	34	36
100002190	147	15	48	17	22	21	10	45	1	37	27	4	8	88	46	0	34	30
100002194	73	0	31	18	5	10	20	36	0	10	23	9	17	43	3	0	44	22
100002197	51	6	39	20	16	18	17	25	3	40	42	0	26	64	17	0	46	28
100002200	41	17	23	10	9	10	0	14	0	15	8	1	0	19	20	0	3	5
100002201	10	3	6	3	0	0	0	6	0	27	4	1	2	23	10	0	9	6
100002203	41	0	16	11	13	8	4	21	0	16	15	0	8	14	19	0	11	10
100002220	102	5	51	28	62	21	5	14	0	30	17	4	0	54	13	0	28	8
100002223	35	14	36	15	23	19	14	9	0	25	9	3	23	50	16	0	28	15
100002225	127	15	109	49	17	53	18	33	0	68	26	10	26	68	44	0	88	53
100002227	205	31	101	105	15	36	27	32	0	74	44	6	34	72	16	0	72	71
100002236	366	31	182	106	52	60	50	96	8	161	97	35	33	244	112	0	207	84
100002243	15	6	3	1	0	14	1	1	0	10	0	0	2	10	1	0	4	5
100002256	36	13	38	10	5	7	7	25	0	22	3	0	11	5	3	0	12	16
100002257	28	2	0	6	2	1	0	0	0	4	5	0	0	9	12	0	0	2
100002261	193	38	97	114	45	67	22	25	13	69	32	7	4	195	32	0	110	63
100002263	388	60	161	138	49	117	46	118	26	135	137	7	69	151	102	0	143	45
100002266	17	1	4	3	0	14	1	0	2	2	7	0	4	2	4	0	6	6
100002268	28	5	1	5	0	3	2	1	0	10	10	0	1	13	0	0	0	5
100002269	1016	201	427	421	179	301	121	300	30	364	282	55	100	686	232	0	467	223
100002272	22	2	9	0	0	2	3	3	0	1	1	3	0	3	7	0	1	3
100002292	310	52	135	79	26	105	53	64	4	111	81	7	41	156	75	0	102	71
100002293	37	1	18	21	3	4	10	1	0	20	16	0	14	28	5	0	20	8
100002302	138	85	109	45	30	27	31	15	14	126	74	17	44	164	38	0	54	66
100002307	8	0	39	17	5	4	4	1	0	0	0	0	0	10	0	0	10	1
100002318	72	12	89	18	12	14	12	34	1	52	31	6	18	47	35	0	95	56
100002322	29	0	5	2	1	4	1	5	0	0	0	0	0	10	4	0	13	1
100002333	6	2	0	0	7	0	0	5	0	0	0	0	6	0	0	0	6	6
100002334	7	0	10	0	0	4	6	2	1	7	3	0	0	7	0	0	8	2
100002342	47	0	2	8	11	1	1	3	1	17	38	2	5	54	3	0	13	2
100002364	41	6	53	21	33	25	1	14	0	40	36	3	11	71	21	0	47	17
100002371	7	3	21	1	0	2	8	9	0	4	3	0	4	0	0	0	4	9
100002384	3	2	1	9	1	0	3	2	0	0	5	0	0	3	2	0	1	6
100002391	50	5	8	1	6	1	6	14	0	18	12	0	3	14	8	0	12	6
100002393	28	2	12	18	7	3	11	7	5	1	2	0	0	47	13	0	8	16
100002400	85	8	24	71	14	53	6	35	0	29	27	8	6	88	27	0	13	55
100002407	126	0	18	42	0	44	0	24	0	70	27	0	0	89	49	0	112	0
100002427	8	8	22	19	0	8	2	1	0	5	11	2	8	26	4	0	28	19
100002437	17	2	7	21	0	9	0	10	0	10	21	0	0	39	9	0	19	6
100002445	73	24	23	17	11	16	12	18	0	24	5	8	3	55	10	0	38	29
100002448	160	13	82	37	18	64	18	42	8	73	92	8	41	87	54	0	137	53
100002454	283	107	190	49	21	121	24	26	3	58	37	6	8	183	64	0	237	63
100002455	9	7	8	0	0	0	0	0	0	4	1	5	0	0	3	0	1	4
100002460	11	2	5	15	5	7	4	10	0	15	0	3	12	10	4	0	1	2
100002463	178	59	139	145	47	74	37	98	3	125	150	18	54	172	100	0	115	99
100002479	3	0	1	0	5	9	0	0	0	0	0	12	2	5	2	0	4	0
100002496	2	0	2	3	0	1	6	0	0	3	0	0	2	14	8	0	7	6
100002502	28	3	14	9	0	0	0	0	0	10	0	0	3	0	17	0	5	1
100002505	339	82	239	108	94	99	38	117	3	68	52	32	74	193	66	0	201	101
100002513	6	4	6	7	0	8	1	0	0	5	6	0	0	7	7	0	5	0
100002528	7	0	6	6	4	8	0	0	2	4	0	0	4	10	11	0	2	18
100002532	20	0	43	8	2	7	0	12	0	22	11	1	1	16	0	0	0	14
100002535	27	4	10	9	7	0	0	6	0	3	5	0	1	16	15	0	17	6
100002536	12	3	6	16	1	14	4	3	0	2	7	0	0	12	10	0	11	6
100002565	98	22	64	24	11	53	19	30	0	35	49	22	7	100	48	0	52	18
100002566	6	0	0	0	10	0	1	8	0	0	0	1	8	10	0	0	0	0
100002601	26	10	23	12	8	3	4	17	0	32	9	0	2	56	17	0	22	27
100002610	65	13	28	24	4	21	7	24	1	15	10	2	12	65	1	0	40	18
100002625	205	55	128	90	45	56	52	33	4	117	88	20	20	175	49	0	87	59
100002630	116	15	47	41	30	46	18	22	0	41	53	0	3	71	61	0	13	45
100002633	55	11	40	14	9	14	5	26	4	55	16	15	5	52	13	0	37	16
100002675	23	0	7	7	1	2	10	1	0	13	3	0	0	3	10	0	21	2
100002676	3	7	0	7	9	2	0	3	0	3	9	1	1	17	13	0	13	11
100002679	536	101	296	222	127	208	90	168	6	255	123	35	30	327	173	0	313	120
100002680	125	24	11	11	55	9	19	5	0	20	40	3	59	69	20	0	27	20
100002689	140	16	158	68	26	225	26	35	3	293	77	26	12	260	52	0	309	116
100002706	121	2	56	53	28	67	13	90	6	36	52	4	8	89	19	0	11	11
100002730	16	1	6	12	3	3	4	10	0	19	0	2	0	18	1	0	4	6
100002736	46	8	25	23	4	13	83	21	0	54	15	9	22	26	6	0	25	13
100002737	70	34	67	22	31	37	18	24	5	73	30	7	0	85	31	0	75	10
100002738	103	33	63	48	30	47	33	24	3	52	39	3	8	70	33	0	105	61
100002756	703	164	507	445	152	364	141	275	15	329	129	28	187	811	241	0	641	291
100002762	407	114	249	137	67	116	84	89	5	113	86	24	37	323	138	0	177	106
100002776	0	5	0	0	0	0	17	0	2	0	10	0	14	0	10	0	0	7
100002785	23	0	4	0	0	4	0	7	0	8	2	0	0	15	0	0	9	2
100002791	52	4	37	14	2	20	7	13	5	13	20	0	2	14	15	0	16	7
100002795	46	10	11	40	1	17	1	19	0	17	15	0	0	44	8	0	38	27
100002802	113	21	28	23	37	50	33	17	0	18	14	7	2	79	20	0	68	39
100002812	41	5	10	16	6	4	23	14	1	11	15	2	4	30	9	0	4	21
100002814	32	5	20	2	15	2	10	11	0	6	27	0	4	56	5	0	43	12
100002821	4	2	4	8	8	9	0	4	0	2	0	0	0	4	1	0	8	4
