	E4	E5	E6	E1	E2	E3	D10	D11	D12	D7	D8	D9	D4	D5	D6	D1	D2	D3
768299	102	18	54	66	26	26	19	44	1	63	94	8	29	100	42	0	59	34
768300	116	102	66	39	185	126	13	77	123	64	59	25	18	278	166	0	163	55
768303	176	19	117	62	29	24	37	35	7	53	33	4	14	146	66	0	91	38
768304	1584	385	843	639	295	427	338	409	38	713	436	69	213	1113	521	0	768	542
768305	16	4	12	5	11	8	0	11	0	9	8	6	4	49	4	0	6	13
777606	22	8	12	0	0	15	5	19	0	12	7	0	0	3	2	0	0	0
777607	157	46	104	124	71	90	33	61	1	98	62	7	19	102	36	0	119	111
777609	29	0	6	0	5	3	0	2	0	0	5	0	0	0	0	0	0	8
777610	32	42	42	22	3	13	20	11	5	30	32	0	17	30	26	0	19	6
777611	63	5	19	14	27	9	29	0	4	9	14	3	12	36	4	0	5	15
777613	76	42	36	22	14	27	20	34	12	6	43	3	24	28	13	0	34	3
777614	35	0	13	7	2	7	3	22	0	9	3	0	4	22	16	0	3	8
777615	187	27	89	81	23	60	28	25	0	55	52	19	20	99	68	0	55	67
777616	133	2	41	70	10	50	22	17	5	39	85	23	15	59	50	0	44	26
777617	36	13	22	9	8	1	0	7	0	34	13	0	4	10	1	0	15	11
777620	6	7	0	1	5	6	3	1	0	2	2	2	4	4	9	0	13	0
777621	94	12	45	28	55	53	86	18	3	60	47	15	53	44	11	0	98	20
777622	30	1	2	5	0	1	4	25	0	8	8	0	1	18	12	0	38	11
777623	46	22	48	28	35	15	3	7	1	61	12	0	22	80	25	0	76	53
777624	340	37	135	134	97	81	30	58	4	104	105	16	42	239	134	0	210	117
777625	223	52	182	96	25	112	69	59	10	111	89	22	35	181	95	2	176	78
777626	38	8	19	18	5	10	8	3	0	3	26	5	6	10	5	0	15	10
777627	126	34	88	84	14	56	43	71	4	62	45	17	14	191	50	0	94	61
777628	79	14	94	48	25	25	31	34	0	44	62	4	19	74	47	0	89	36
777629	125	42	117	59	26	25	8	52	6	106	71	5	23	111	48	0	54	50
777630	94	17	73	14	15	19	16	29	0	20	46	1	20	52	26	0	51	9
777631	58	10	36	18	4	24	14	26	0	25	34	0	52	61	89	0	35	15
777632	159	32	76	49	33	98	49	33	0	82	100	10	26	156	49	0	185	71
777634	35	10	0	0	7	28	10	0	0	0	0	0	0	34	10	0	0	13
