#NAME	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6
#CLASS:DOSE	1000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	100	100	100	0	0	0
ENSDARG00000000460	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ENSDARG00000000472	0	25	58	22	119	48	57	32	18	0	36	0	60	40	53	0	29	53
ENSDARG00000000474	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0
ENSDARG00000000476	0	20	5	1	56	6	28	21	1	4	6	0	15	7	14	48	5	32
ENSDARG00000000489	0	117	70	10	137	69	112	62	17	11	45	11	56	41	103	203	35	151
ENSDARG00000000503	0	636	488	136	1272	304	443	211	49	347	343	52	464	283	465	991	278	691
ENSDARG00000000516	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000529	0	19	24	4	68	15	24	17	9	31	21	2	41	4	15	71	18	54
ENSDARG00000000540	0	98	92	47	203	84	116	88	8	62	81	12	112	36	98	254	37	153
ENSDARG00000000542	0	25	5	4	45	0	15	18	0	20	6	0	19	0	38	18	5	42
ENSDARG00000000551	0	48	24	13	72	40	52	23	6	21	8	3	29	6	61	73	16	70
ENSDARG00000000563	35	62697	29984	11068	73153	29180	34038	18788	5520	16473	18783	2668	34848	23093	29371	74188	20255	43181
ENSDARG00000000567	0	63	93	32	97	36	56	37	5	15	25	3	61	31	38	196	30	77
ENSDARG00000000568	0	85	42	12	93	41	54	40	1	33	10	0	83	10	61	137	22	71
ENSDARG00000000588	0	13	3	1	7	3	8	3	0	3	12	0	3	9	4	18	3	7
ENSDARG00000000606	0	48	0	12	22	25	0	0	10	0	26	0	0	9	13	39	0	0
ENSDARG00000000631	0	111	239	53	136	49	89	58	7	33	95	4	72	44	63	186	33	204
ENSDARG00000000638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000651	0	7	2	1	3	0	3	0	0	0	0	0	1	0	13	17	6	12
ENSDARG00000000656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000666	0	121	72	15	108	24	57	41	4	26	45	2	60	22	52	148	21	104
ENSDARG00000000690	0	0	11	0	31	13	12	23	7	2	11	0	8	2	1	19	5	22
ENSDARG00000000729	0	107	78	12	159	39	103	106	4	24	46	9	71	62	55	173	84	176
ENSDARG00000000730	0	47	11	18	43	20	38	20	0	20	24	0	17	14	14	42	15	61
ENSDARG00000000747	0	9	0	7	11	0	3	8	0	0	3	0	1	0	6	8	2	3
ENSDARG00000000760	0	43	47	11	19	33	62	51	0	11	17	0	27	30	23	47	19	19
ENSDARG00000000767	0	14	25	5	29	11	15	21	0	11	22	0	8	4	33	16	2	14
ENSDARG00000000779	0	247	158	36	358	144	198	159	19	87	105	5	141	84	135	333	54	262
ENSDARG00000000796	0	57	23	7	72	19	22	9	30	7	22	0	32	1	20	30	0	54
ENSDARG00000000804	0	38	14	8	36	6	10	29	4	14	10	0	46	0	5	47	7	37
ENSDARG00000000830	0	0	13	0	34	10	0	0	0	10	0	0	0	7	28	35	10	0
ENSDARG00000000837	0	82	110	43	127	28	78	52	13	18	80	5	59	22	43	253	95	106
ENSDARG00000000853	0	102	57	16	116	76	77	47	17	35	15	0	39	41	20	125	25	170
ENSDARG00000000857	0	12	28	0	57	35	43	10	0	9	18	0	11	21	34	18	3	43
ENSDARG00000000861	0	469	228	68	754	235	822	302	24	167	605	17	470	64	383	3195	295	898
ENSDARG00000000887	0	8	3	0	9	1	6	0	0	0	0	0	2	4	4	12	3	1
ENSDARG00000000906	0	16	11	9	27	16	22	16	0	0	15	0	2	2	9	23	1	43
ENSDARG00000000935	0	30	16	108	37	13	18	42	5	7	6	0	8	15	8	53	33	20
ENSDARG00000000943	0	44	50	19	151	29	81	0	6	22	48	4	78	30	82	75	25	97
ENSDARG00000000966	0	864	454	283	1146	453	732	590	115	310	459	53	605	345	442	1677	374	904
ENSDARG00000001014	0	1079	804	312	1564	643	923	748	124	415	519	30	704	436	684	1853	430	1117
ENSDARG00000001015	0	184	112	23	182	60	109	172	23	70	50	12	130	44	108	503	39	230
ENSDARG00000001057	0	96	66	16	166	65	94	52	8	48	57	5	117	44	39	204	22	108
ENSDARG00000001127	0	118	54	20	90	66	62	32	5	35	30	11	59	37	69	92	31	113
ENSDARG00000001129	0	335	315	115	304	147	186	171	50	79	204	15	198	119	192	663	169	344
ENSDARG00000001154	0	62	59	15	68	28	81	22	10	16	23	0	37	27	51	132	21	48
ENSDARG00000001162	0	161	114	55	258	103	178	110	23	39	147	6	171	53	141	400	52	125
ENSDARG00000001169	0	4	2	11	6	0	10	0	0	0	3	1	0	3	0	22	0	23
ENSDARG00000001210	0	41	21	6	35	9	20	16	6	10	11	5	34	20	4	45	7	41
ENSDARG00000001220	0	325	286	149	586	248	555	261	56	231	189	61	246	141	191	924	143	285
ENSDARG00000001234	0	108	100	45	153	61	87	74	3	16	52	0	124	19	17	226	21	70
ENSDARG00000001241	0	152	148	47	253	95	164	121	26	81	165	7	107	69	144	291	56	250
ENSDARG00000001244	0	424	202	148	910	274	377	181	38	104	423	29	413	137	407	1536	137	493
ENSDARG00000001249	0	16	12	1	33	11	8	13	0	1	11	0	3	10	21	32	1	8
ENSDARG00000001259	0	13	43	0	13	4	22	8	2	1	18	0	5	7	9	32	4	18
ENSDARG00000001303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001313	0	24	11	6	36	16	25	14	3	96	7	0	14	10	66	43	7	24
ENSDARG00000001354	0	9	2	12	33	7	11	9	0	16	31	0	22	3	4	30	4	35
ENSDARG00000001414	0	20	8	10	25	37	15	28	3	1	14	1	7	14	19	44	2	21
ENSDARG00000001431	0	2181	1398	360	3294	1193	1271	771	208	624	937	65	1435	751	874	3061	772	2103
ENSDARG00000001437	0	55	12	4	66	40	54	27	0	26	16	0	36	7	26	96	12	53
ENSDARG00000001442	0	28	23	5	34	3	40	8	14	16	11	1	14	13	20	100	16	13
ENSDARG00000001447	0	33	33	11	75	18	35	9	8	6	15	4	26	21	23	66	13	32
ENSDARG00000001452	0	8	1	6	14	15	5	6	1	14	15	0	7	6	9	22	6	26
ENSDARG00000001463	0	43	34	3	111	21	65	40	5	48	22	4	69	9	95	134	9	84
ENSDARG00000001470	0	126	42	9	99	90	98	73	26	61	93	0	134	20	109	195	52	93
ENSDARG00000001498	0	0	1	0	4	0	0	0	0	3	0	0	2	1	0	2	0	1
ENSDARG00000001549	0	103	83	25	158	154	112	68	13	59	51	4	53	38	153	207	37	193
ENSDARG00000001557	0	24	28	11	32	13	39	20	4	6	3	0	19	11	22	34	27	36
ENSDARG00000001558	0	59	25	14	117	34	22	42	14	14	18	3	24	17	54	76	16	103
ENSDARG00000001559	0	79	57	13	117	73	72	226	7	42	166	2	74	101	241	698	25	71
ENSDARG00000001572	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001578	3	119	74	14	124	93	95	48	10	29	49	8	83	34	63	187	36	77
ENSDARG00000001621	0	30	2	18	44	19	8	19	12	20	11	4	24	3	46	77	20	13
