"",".id","dose","diff","lwr.ci","upr.ci","pval","is.significant"
"65","DES",100,11.6867339280408,-17.1151181937926,40.4885860498741,0.737089219083028,FALSE
"66","Dimethylformamide",100,-1.82801263987603,-35.5553369213601,31.8993116416081,0.999956428846763,FALSE
"67","Dimethylformamide",1000,6.62554723357785,-27.1017770479062,40.352871515062,0.980792677075501,FALSE
"68","Dimethylformamide",10000,-9.51159894976449,-43.2389232312486,24.2157253317196,0.918500410162567,FALSE
"69","Dimethylformamide",100000,-12.0756153818012,-45.8029396632853,21.6517088996829,0.817269558307085,FALSE
"70","Dimethylformamide",1000000,-7.87320902878283,-41.6005333102669,25.8541152527013,0.960630773589811,FALSE
"71","DMSO",1,6.21537989481591,-36.0382767617562,48.469036551388,0.994681155540195,FALSE
"72","DMSO",10,3.91130740764832,-38.3423492489238,46.1649640642204,0.999402504975438,FALSE
"73","DMSO",100,23.7835593443111,-18.470097312261,66.0372160008831,0.453516318715435,FALSE
"74","DMSO",1000,2.88822312907236,-39.3654335274997,45.1418797856444,0.999863304040786,FALSE
"75","DMSO",10000,27.5387574112321,-14.71489924534,69.7924140678042,0.317192589236202,FALSE
"76","EE2",0.0001,20.9557411588774,-20.2037441367553,62.1152264545102,0.547973856019039,FALSE
"77","EE2",0.001,19.2031296476652,-21.9563556479675,60.3626149432979,0.626285688266981,FALSE
"78","EE2",0.01,6.02670481168073,-35.132780483952,47.1861901073135,0.994792176296735,FALSE
"79","EE2",0.1,24.5576300056016,-16.6018552900312,65.7171153012343,0.39837386240749,FALSE
"80","EE2",1,26.6196611470971,-14.5398241485356,67.7791464427299,0.324096756609266,FALSE
"81","Fadrozole",0.1,5.50101614743627,-30.6083999879538,41.6104322828263,0.993758912886586,FALSE
"82","Fadrozole",1,8.68513641718075,-27.4242797182093,44.7945525525708,0.955652431753366,FALSE
"83","Fadrozole",10,4.81856727268772,-31.2908488627023,40.9279834080778,0.996606823910472,FALSE
"84","Fadrozole",100,-8.86655941896775,-44.9759755543578,27.2428567164223,0.951860132163128,FALSE
"85","Fadrozole",1000,-17.3551522205559,-53.4645683559459,18.7542639148342,0.60019580608989,FALSE
"86","Fenitrothione",0.1,9.15294320298133,-20.6757002781199,38.9815866840826,0.889831129115927,FALSE
"87","Fenitrothione",1,17.0610903035109,-12.7675531775903,46.8897337846122,0.438437093833584,FALSE
"88","Fenitrothione",10,8.04449344468297,-21.7841500364183,37.8731369257842,0.930949235204719,FALSE
"89","Fenitrothione",100,22.1248537506617,-7.7037897304396,51.9534972317629,0.20961750171862,FALSE
"90","Fenitrothione",1000,7.74539485731268,-22.0832486237886,37.5740383384139,0.940181561454637,FALSE
"91","Fluoxetine",0.01,-17.4268655431314,-46.9323244591993,12.0785933729364,0.407997856173198,FALSE
"92","Fluoxetine",0.1,-12.9019226561811,-42.407381572249,16.6035362598867,0.68030277034299,FALSE
"93","Fluoxetine",1,-18.751124028292,-48.2565829443599,10.7543348877758,0.339819274007008,FALSE
"94","Fluoxetine",10,-4.62644853401929,-34.1319074500871,24.8790103820486,0.992884454681459,FALSE
"95","Fluoxetine",100,-28.2715558348074,-57.7770147508753,1.2339030812604,0.0644296726325079,FALSE
"96","Flutamide",0.1,-3.02954802918949,-38.1580591606737,32.0989631022947,0.999575547719247,FALSE
"97","Flutamide",1,21.8832743495962,-13.245236781888,57.0117854810804,0.358267901381202,FALSE
"98","Flutamide",10,13.6967723827574,-21.4317387487268,48.8252835142416,0.764732793729334,FALSE
"99","Flutamide",100,1.04805789205582,-34.0804532394284,36.17656902354,0.999997748174189,FALSE
"100","Flutamide",1000,-1.47093709329715,-36.5994482247814,33.6575740381871,0.999987854102401,FALSE
"101","Glyphosate",0.1,-13.8674435732467,-47.8231436194502,20.0882564729568,0.732411337475091,FALSE
"102","Glyphosate",1,5.74377887693262,-28.2119211692709,39.6994789231361,0.990007036037275,FALSE
"103","Glyphosate",10,7.49888995478829,-26.4568100914152,41.4545900009918,0.96859122520559,FALSE
"104","Glyphosate",100,-12.1109510479774,-46.0666510941809,21.8447489982261,0.819414842097555,FALSE
"105","Glyphosate",1000,-5.14593135846127,-39.1016314046648,28.8097686877422,0.99390392817558,FALSE
"106","Prochloraz",0.1,1.34378908518015,-31.6491870341138,34.3367652044741,0.999989420093162,FALSE
"107","Prochloraz",1,10.2461870113745,-22.7467891079194,43.2391631306684,0.885204407426338,FALSE
"108","Prochloraz",10,1.85320374328785,-31.1397723760061,34.8461798625818,0.999948024230984,FALSE
"109","Prochloraz",100,-3.4681274500164,-36.4611035693103,29.5248486692775,0.998898273561027,FALSE
"110","Prochloraz",1000,-28.2308804835576,-61.2238566028516,4.76209563573627,0.116223442397758,FALSE
"111","SDS",0.01,-10.2385846042923,-44.5917273865705,24.114558177986,0.900529640619766,FALSE
"112","SDS",0.1,-3.84409430027457,-38.1972370825528,30.5090484820037,0.998517835183117,FALSE
"113","SDS",1,4.90356505818584,-29.4495777240924,39.2567078404641,0.995366959766626,FALSE
"114","SDS",10,-14.2468735225429,-48.6000163048211,20.1062692597353,0.721157712834889,FALSE
"115","SDS",100,-1.35509196676462,-35.7082347490429,32.9980508155136,0.999990970673779,FALSE
"116","TEG",100,-8.76347217837099,-43.3490435879531,25.8220992312112,0.945565959648603,FALSE
"117","TEG",1000,3.296329520095,-31.2892418894872,37.8819009296772,0.999312202466125,FALSE
"118","TEG",10000,-7.69840659836584,-42.283978007948,26.8871648112163,0.967558403346655,FALSE
"119","TEG",100000,5.66737746630393,-28.9181939432782,40.2529488758861,0.991322687438424,FALSE
"120","TEG",1000000,8.51177154931399,-26.0737998602682,43.0973429588961,0.951419766868015,FALSE
"121","TGSH",0.1,-0.360998869877503,-41.1793876754545,40.4573899356995,0.999999994808605,FALSE
"122","TGSH",1,-4.71750265985321,-45.5358914654302,36.1008861457238,0.998272534402924,FALSE
"123","TGSH",10,-10.1424159089436,-50.9608047145206,30.6759728966334,0.949571195012693,FALSE
"124","TGSH",100,2.88199266099947,-37.9363961445775,43.7003814665765,0.999839781595366,FALSE
"125","TGSH",1000,8.1828959430259,-32.6354928625511,49.0012847486029,0.979043884333995,FALSE
"126","Vinclozilin",0.1,21.8105928947748,-17.0330709625716,60.6542567521211,0.455930815488418,FALSE
"127","Vinclozilin",1,13.9076847163782,-24.9359791409682,52.7513485737245,0.817291471658741,FALSE
"128","Vinclozilin",10,-4.49425935586344,-43.3379232132098,34.3494045014829,0.998262616904824,FALSE
"129","Vinclozilin",100,8.88324102958243,-29.9604228277639,47.7269048869288,0.963769686236735,FALSE
"130","Vinclozilin",1000,2.50783845014184,-36.3358254072045,41.3515023074882,0.999896758836452,FALSE
