	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000068965	0.206707293666669	0.0556440293333349	-0.0387826533333318	-0.00883016633333078	9.12999599957143	1.82511123520904	0.190599860898803	0.99998623441798
ENSDARG00000099245	0.028773429000001	0.0639246110000009	-0.185862870666665	-0.100658158666666	7.41154138428571	1.82490531814749	0.190638994036953	0.99998623441798
ENSDARG00000063390	0.372891026333335	0.178911573666667	0.165586060666668	0.00544907866666833	6.46381568928571	1.82450187966164	0.190715690574618	0.99998623441798
ENSDARG00000101885	-0.269895407666664	-0.956735090333331	-0.177406746999997	-0.528114321999999	4.23384965235714	1.82372147961179	0.190864147188881	0.99998623441798
ENSDARG00000044807	-0.806849037833332	-0.222740511166665	-0.496759444499999	-0.351324364499998	5.90897801578571	1.823212986628	0.190960947384287	0.99998623441798
ENSDARG00000062220	0.21780451816667	0.125564018833336	0.0269120818333342	0.115814424500002	8.60830131107143	1.82320149272612	0.190963136070077	0.99998623441798
ENSDARG00000045687	0.347964269	0.171050875000002	0.143190730000001	0.181984404333335	8.35785524478571	1.82261055053697	0.191075701588902	0.99998623441798
ENSDARG00000103679	0.18661505116667	-0.0593634044999964	0.0735228641666685	0.0732003305000024	7.73205163307143	1.82249799357065	0.191097150311132	0.99998623441798
ENSDARG00000058679	-0.144670825166664	-0.443235798499997	-0.201579014833332	-0.270672898833332	7.20340040607143	1.82207348195661	0.191178068731556	0.99998623441798
ENSDARG00000092746	-0.119998849333331	-0.0636352889999978	-0.133352973333331	0.169789565333335	7.45079300664286	1.82201792713958	0.191188661138132	0.99998623441798
ENSDARG00000055592	-0.40673706633333	-0.15834997433333	-0.438754481333332	-0.379994661666665	8.08282447792857	1.82143777127423	0.191299315882884	0.99998623441798
ENSDARG00000104734	-0.0705451539999968	-0.0387913119999972	-0.367035769999997	-0.270692208999995	6.84568104578571	1.82125812721115	0.191333594271365	0.99998623441798
ENSDARG00000057583	0.0509730933333383	-0.0769812133333261	-0.149857963999995	-0.187221626333328	10.1841431506429	1.82100487073622	0.19138193040244	0.99998623441798
ENSDARG00000009864	0.0511183181666688	0.219825132500002	0.166943141500001	0.173917513500001	8.45121306928571	1.82099928606805	0.191382996435723	0.99998623441798
ENSDARG00000029881	0.127586899833337	0.167253381166669	0.0580347025000032	-0.20711075783333	5.69761271871429	1.82073578710129	0.191433302093338	0.99998623441798
ENSDARG00000059399	0.382960062666669	0.503205706333335	-0.0136394529999979	-0.0476172813333315	4.46628029671429	1.82073223322762	0.191433980677835	0.99998623441798
ENSDARG00000101128	-0.0585830621666616	0.110327225833338	0.0219072755000038	0.218945910833336	9.73683316564286	1.81988685815313	0.191595474146502	0.99998623441798
ENSDARG00000075456	0.216571963333337	-0.0183586796666635	-0.0842753953333295	-0.0845063416666623	8.036993665	1.81976259253216	0.191619225535494	0.99998623441798
ENSDARG00000112870	-0.778545952499999	-0.661204183499998	-0.641062333833332	-0.734959398499999	4.92634140542857	1.81971785343425	0.19162777749758	0.99998623441798
ENSDARG00000054036	0.387101234500002	0.260275801500002	0.129278254500001	0.109526949833335	6.98817627285714	1.81967345608567	0.191636264551334	0.99998623441798
ENSDARG00000004199	-0.716045614833331	-0.631360227499997	-0.608676598499996	-0.961633669166663	4.83326999978571	1.81898575258662	0.191767779983851	0.99998623441798
ENSDARG00000086452	0.985000033833335	0.684967445500001	0.426892693833334	0.552525271166668	4.13437116385714	1.81879934211877	0.191803446064081	0.99998623441798
