	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
ENSDARG00000000542	8.456895143	8.404557229	8.291417821	8.118140999	8.365224112	8.226329522	8.32325679	8.135388253	8.535099367	8.312896291	8.298078359	8.509464935	8.192409046	8.378020641
ENSDARG00000000551	9.161116029	9.203157508	8.970154456	8.70956556	9.164871689	8.74966864	8.747493889	9.117099335	9.044744729	8.963982151	8.893640475	8.874516158	9.07077524	8.97001724
ENSDARG00000000563	14.17694081	14.80934876	14.50173284	14.87482056	14.93139604	14.51664206	14.52763791	14.73092683	14.52763791	14.80104363	14.62485403	14.51664206	14.80934876	14.6814777
ENSDARG00000000567	9.090822052	9.237526138	9.307220357	9.33063917	9.388300159	9.022625718	9.199816483	9.153322014	9.069443918	9.266228755	9.128335826	8.969490254	9.350655725	9.183467033
ENSDARG00000000588	6.827055981	6.867831009	6.933149616	6.996243381	6.963026349	6.752715513	6.900444433	7.34631387	6.9613347	7.157596546	6.705679987	7.188305982	7.17706796	7.009188399
ENSDARG00000000606	6.048332249	6.464518912	6.420917323	6.55696921	6.205107948	6.182602406	6.100212279	6.462201929	5.747841505	5.978637857	6.012505206	6.506947498	6.446108373	6.68354421
ENSDARG00000000631	9.770005385	9.973049191	9.837404903	10.10047298	10.11537491	9.900035682	10.0698018	9.88901135	9.987978591	10.03225558	10.04968993	9.919213944	10.10256696	10.08940443
ENSDARG00000000651	5.447305556	5.149792177	5.378621719	5.560073569	4.863964147	5.248915873	5.768989797	5.326035064	5.424354601	5.820518245	5.685324957	5.497137848	5.486911493	5.789975351
ENSDARG00000000666	10.49119851	10.67475024	10.59528978	10.55856504	10.65228733	10.45643254	10.79816305	10.52276278	10.54877625	10.54181382	10.68041481	10.52479072	10.68630195	10.68214403
ENSDARG00000000690	6.812038669	6.280694453	6.891316436	6.661652004	6.882298865	6.3639271	6.434082821	6.783355437	6.838958292	6.915514882	6.722307344	6.788326694	6.708419815	6.438863072
ENSDARG00000000729	8.717667577	8.815125862	8.858731637	8.76279681	8.933699848	8.836878889	8.681004673	8.937649869	8.894618427	8.765235361	8.808978391	8.942714541	8.71480329	8.900786247
ENSDARG00000000730	8.07166048	8.168097382	7.973473625	8.168097382	7.72359412	7.896656159	8.216280746	8.059033204	8.155428847	8.113109746	8.060505689	7.990688217	7.986324374	7.792540775
ENSDARG00000000747	6.691343446	6.3639271	6.601183747	6.450780031	6.058011595	6.303198842	6.479636399	6.522737583	6.123626542	6.616542619	6.78023821	6.309931518	6.355388913	6.505683069
ENSDARG00000000760	6.048332249	6.682624317	6.101695034	6.159779402	6.380014841	5.918850096	6.123001991	6.447272456	6.46326981	6.366302439	6.763793105	6.232436434	5.87262465	6.781970912
ENSDARG00000000767	5.344619061	5.422353574	5.530962637	5.505567557	5.940999695	5.87262465	5.49921973	6.144299565	5.137020715	5.388083993	5.55911046	5.528921983	5.699814601	5.703854743
ENSDARG00000000779	9.416137713	9.441203608	9.391350666	9.253220537	9.14376779	9.403242133	9.20237459	9.449123145	9.321494781	9.21387978	9.446523388	9.38016674	9.298999181	9.336258955
ENSDARG00000000796	11.38909489	9.825332962	11.5914655	9.933691159	9.804700295	11.50894389	9.979624437	10.05044702	11.84471256	10.350596	9.990154164	11.90895145	10.08491849	9.716073939
ENSDARG00000000804	7.009990346	7.685801196	6.858312194	7.231853487	7.167743961	6.99972425	7.50787896	7.778124357	7.031070201	7.452934774	7.412171726	7.318297842	7.255224073	7.715250401
ENSDARG00000000830	7.934565132	7.797503934	7.835949568	8.019125316	7.984337092	7.891134353	7.951720073	8.082283136	7.998490663	7.816038683	7.966897291	8.038851478	7.756595531	7.942488397
ENSDARG00000000837	7.988727494	7.749482516	7.772999307	7.498800289	7.685801196	7.843303872	7.728509493	7.627567601	7.644849674	7.643148457	7.69305384	7.678734163	7.688214151	7.792540775
ENSDARG00000000853	10.99497932	11.00354167	11.07765341	11.18429807	10.93444894	11.09140434	11.19679792	10.98355165	11.03710796	11.12742491	11.10571569	11.14989286	11.10339865	11.18054179
ENSDARG00000000887	6.27255234	5.446264615	5.960455038	6.10305995	5.424354601	5.49921973	5.810096496	6.101695034	6.345077703	6.10305995	5.531944092	5.892943543	5.938075023	5.606807937
