E8,Counts
ENSDARG00000000001,19
ENSDARG00000000002,56
ENSDARG00000000018,30
ENSDARG00000000019,223
ENSDARG00000000068,74
ENSDARG00000000069,577
ENSDARG00000000086,298
ENSDARG00000000103,447
ENSDARG00000000142,22
ENSDARG00000000151,19
ENSDARG00000000161,38
ENSDARG00000000175,7
ENSDARG00000000183,331
ENSDARG00000000189,183
ENSDARG00000000212,604
ENSDARG00000000229,15
ENSDARG00000000241,118
ENSDARG00000000349,5
ENSDARG00000000369,4
ENSDARG00000000370,240
ENSDARG00000000380,41
ENSDARG00000000394,168
ENSDARG00000000423,56
ENSDARG00000000442,61
ENSDARG00000000460,0
ENSDARG00000000472,108
ENSDARG00000000474,0
ENSDARG00000000476,8
ENSDARG00000000489,48
ENSDARG00000000503,729
ENSDARG00000000516,0
ENSDARG00000000529,47
ENSDARG00000000540,99
ENSDARG00000000542,7
ENSDARG00000000551,55
ENSDARG00000000563,83253
ENSDARG00000000567,54
ENSDARG00000000568,36
ENSDARG00000000588,23
ENSDARG00000000606,0
ENSDARG00000000631,61
ENSDARG00000000638,0
ENSDARG00000000651,1
ENSDARG00000000656,0
ENSDARG00000000666,64
ENSDARG00000000690,11
ENSDARG00000000729,43
ENSDARG00000000730,30
ENSDARG00000000747,0
ENSDARG00000000760,33
ENSDARG00000000767,7
ENSDARG00000000779,194
ENSDARG00000000796,37
ENSDARG00000000804,12
ENSDARG00000000830,0
ENSDARG00000000837,120
ENSDARG00000000853,86
ENSDARG00000000857,13
ENSDARG00000000861,389
ENSDARG00000000887,24
ENSDARG00000000906,30
ENSDARG00000000935,18
ENSDARG00000000943,72
ENSDARG00000000966,807
ENSDARG00000001014,817
ENSDARG00000001015,129
ENSDARG00000001057,73
ENSDARG00000001127,51
ENSDARG00000001129,298
ENSDARG00000001154,64
ENSDARG00000001162,106
ENSDARG00000001169,2
ENSDARG00000001210,32
ENSDARG00000001220,489
ENSDARG00000001234,84
ENSDARG00000001241,135
ENSDARG00000001244,372
ENSDARG00000001249,7
ENSDARG00000001259,16
ENSDARG00000001303,0
ENSDARG00000001313,22
ENSDARG00000001354,3
ENSDARG00000001414,10
ENSDARG00000001431,2045
ENSDARG00000001437,49
ENSDARG00000001442,24
ENSDARG00000001447,47
ENSDARG00000001452,12
ENSDARG00000001463,48
ENSDARG00000001470,75
ENSDARG00000001498,0
ENSDARG00000001549,111
ENSDARG00000001557,3
ENSDARG00000001558,45
ENSDARG00000001559,554
ENSDARG00000001572,0
ENSDARG00000001578,59
ENSDARG00000001621,9
ENSDARG00000001634,151
ENSDARG00000001656,0
ENSDARG00000001676,88
ENSDARG00000001686,0
ENSDARG00000001710,151
ENSDARG00000001712,13
ENSDARG00000001721,3
ENSDARG00000001729,221
ENSDARG00000001733,42
ENSDARG00000001734,11
ENSDARG00000001754,113
ENSDARG00000001760,66
ENSDARG00000001767,26
ENSDARG00000001769,97
ENSDARG00000001771,7
ENSDARG00000001776,8
ENSDARG00000001777,106
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,21
ENSDARG00000001788,130
ENSDARG00000001803,12
ENSDARG00000001804,0
ENSDARG00000001807,102
ENSDARG00000001817,10
ENSDARG00000001818,348
ENSDARG00000001825,5
ENSDARG00000001829,306
ENSDARG00000001835,63
ENSDARG00000001857,222
ENSDARG00000001859,20
ENSDARG00000001870,1533
ENSDARG00000001873,42
ENSDARG00000001879,145
ENSDARG00000001880,41
ENSDARG00000001881,8
ENSDARG00000001882,30
ENSDARG00000001888,82
ENSDARG00000001889,154
ENSDARG00000001890,187
ENSDARG00000001891,26
ENSDARG00000001897,131
ENSDARG00000001898,19
ENSDARG00000001906,0
ENSDARG00000001909,10
ENSDARG00000001910,195
ENSDARG00000001912,23
ENSDARG00000001913,47
ENSDARG00000001929,37
ENSDARG00000001930,16
ENSDARG00000001933,9
ENSDARG00000001937,44
ENSDARG00000001939,7
ENSDARG00000001940,117
ENSDARG00000001950,2192
ENSDARG00000001953,107
ENSDARG00000001968,169
ENSDARG00000001969,33
ENSDARG00000001971,13
ENSDARG00000001975,26
ENSDARG00000001976,17
