	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DBC_10-4_A	DBC_10-4_B	DBC_10-4_C	DBC_10-3_A	DBC_10-3_B	DBC_10-3_C	DBC_10-2_A	DBC_10-2_B	DBC_10-2_C	DBC_10-1_A	DBC_10-1_B	DBC_10-1_C	DBC_3uM_A	DBC_3uM_B	DBC_3uM_C
100000009	1.489055086	1.706474918	1.556013185	1.617477871	1.11540475	1.438072503	1.314044659	1.126620638	0.580746142	1.142221298	1.116196885	1.123294489	1.003099701	1.827012957	1.207338894	0.770991281	1.384184568	1.093029141	1.496711901
100000026	3.42568172	3.414538866	3.11434756	3.640662	3.141379855	3.309582074	3.717047771	3.264185086	3.075350445	3.223877663	2.873919856	3.023862316	3.553105499	3.381471747	3.488376568	3.447362732	3.2102515	3.253763498	3.214182246
100000044	2.34834769	2.679254962	3.09110886	2.742616294	2.410773598	2.292886937	2.450641468	1.96349014	1.9812035	2.400232566	2.253218599	2.327856737	2.701686913	2.292233462	2.389323264	2.536900948	2.094730131	2.295781599	2.511646398
100000073	1.35979485	1.650586546	1.077348438	1.617477871	1.256081793	1.054290512	1.490329897	0.700954136	1.043769547	0.871176171	0.849272431	1.292263274	1.471841981	0.895586297	0.859096143	1.112140028	1.031338194	1.535003629	0.51408976
100000079	6.881135277	6.527027327	5.988737665	5.919358736	6.999843273	7.377955327	6.167060001	7.39493552	7.685542677	6.757605679	7.471835096	7.555374948	6.617450578	7.274189523	7.658823775	6.783699701	7.278833637	7.670487759	6.556462033
100000083	3.359595505	3.322156835	3.496845753	3.238122711	3.337813707	3.482921566	3.717047771	3.434196312	3.647582161	3.661168825	3.379378241	3.521440109	3.534065811	3.284854647	3.504204164	3.408130667	3.613267779	3.478758736	3.626081523
100000085	6.168502709	6.118646231	6.026998115	5.674342849	5.813072088	6.052850606	6.11718672	5.874276425	5.852097191	6.198157107	5.803386204	5.954958866	5.861363517	5.88776471	6.019498491	6.019074303	5.7002662	5.775450562	5.721643393
100000094	3.777431309	3.752096593	3.991089585	4.122609527	3.875970748	3.852236876	3.912031573	3.78798321	3.826102375	3.921769922	3.795426952	3.745420326	4.10764923	3.641225409	3.831417265	3.790226674	3.669999133	4.061976848	3.946123403
100000095	3.621679311	3.707142364	3.621025773	3.651948683	3.931578177	3.741072046	3.713103246	4.015565789	3.936881286	3.78997127	3.647308944	3.697311718	3.97275013	3.98664115	3.818815562	4.044485951	3.657103888	3.59383359	4.01408025
100000101	3.053098193	2.403034884	2.994219527	2.985009498	2.826360444	2.785842036	3.16758256	2.500683302	2.667587474	2.712553899	2.681483648	2.107705176	2.98716002	2.854028655	2.570624517	3.025832371	2.851269372	2.051553917	3.170179925
