	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DBC_10-4_A	DBC_10-4_B	DBC_10-4_C	DBC_10-3_A	DBC_10-3_B	DBC_10-3_C	DBC_10-2_A	DBC_10-2_B	DBC_10-2_C	DBC_10-1_A	DBC_10-1_B	DBC_10-1_C	DBC_3uM_A	DBC_3uM_B	DBC_3uM_C
100329491	8.3291659933	8.7496041143	8.2319471153	8.3668053743	8.4432468373	8.6672520843	8.4535340623	8.7356039783	8.7756957403	8.7433884293	8.7672134353	8.8637126133	8.6962574113	8.5227220383	8.8658925913	8.6881484773	8.5374446003	8.6911095573	8.5610265763
100009658	9.3617613813	9.6395058103	9.6961065833	9.8179813853	9.4198588373	9.2134428373	9.3456254633	9.2388673823	8.8051039973	8.9792329643	9.1128412703	8.9854252853	9.2451394723	9.3586154293	8.8597747543	9.2866609353	8.9927454423	9.0915094383	8.9265898613
100003877	8.8684684503	9.0640219253	9.0381689913	9.1346417983	8.8114656863	8.6534107033	8.8015012463	8.6274195913	8.5277884203	8.8672891593	8.3816487773	8.5306227403	8.6660697393	8.4519131313	8.4213569803	8.5906168383	8.5467653253	8.6776053813	8.7762299923
406523	9.1146253863	9.2644305043	9.0661543033	9.0414851943	9.0669742543	9.3118892313	9.1222267543	9.1736878503	9.3830059773	9.4179296743	9.1036832373	9.3991629473	9.3667637353	9.2269743723	9.4771002223	9.2600662953	9.1246367923	9.3245302153	9.2587030233
393969	6.8466651893	7.2439570243	7.3431380583	7.2556045283	6.6491591173	7.1634770303	7.0300138973	6.4848906583	6.7153542763	6.5309192063	6.8473262823	6.7708051383	6.9252319543	6.6597425713	6.6997091303	6.9682293393	6.2695358143	6.5598967203	6.9314322783
101882104	6.6027570163	6.4643371973	6.5197581393	6.4202169673	6.3569767393	6.6195552783	6.0060911573	6.1515626983	6.0104555223	6.5309192063	6.3551617313	6.1692952783	6.2388185913	6.2415100513	6.3026875923	6.4827563333	6.5546623073	6.4895094463	6.1179516463
553517	6.1622243943	6.0985363763	5.8189479233	5.7860496863	5.7071580463	5.7775313223	6.0689655923	5.7904979933	6.0271903373	5.9962540623	6.3027716413	5.9726022923	5.7230556683	6.5585245903	5.9347971913	5.9530989023	6.1523090303	5.7352954763	5.8292520273
336335	10.7518636953	10.6584871613	10.9538820123	10.8708999723	10.7075601353	10.6196603273	10.7726384513	10.5188026823	10.3411992923	10.3795103533	10.4575305013	10.4499178583	10.5579107473	10.4917354833	10.3635367313	10.5460610413	10.5017003683	10.4390040453	10.6751184383
557730	9.1179495253	9.3774133663	9.3573700883	9.3622808193	9.1266431343	9.2247189883	9.0647681603	8.7122543383	8.7682490453	8.7022177413	8.9297721883	9.0646087443	8.8614097223	8.9934710793	8.8719845943	8.8492848563	9.0130621733	9.0414290703	8.8932562383
553410	10.7507934513	11.0649749383	11.0017614393	11.1225930733	10.4625852903	10.8633866103	10.6525596263	10.3253767453	10.5423191503	10.3721463373	10.4442902733	10.7850984733	10.6848551683	10.6206278233	10.5523975653	10.6376536243	10.2980704293	10.7685152663	10.5466566483
100006088	6.6677075303	6.9140883183	6.7242821933	6.6507687493	6.7186677503	6.7708100113	6.4924488633	6.8947391713	6.6082088303	6.1723975713	6.9256356753	6.5140074133	6.6358816083	6.7543223883	6.9195489623	6.4993888603	6.7689318523	6.8680111173	6.4095945963
566781	8.4395572993	8.3844758753	8.5561684713	8.1695921023	8.3802917083	8.1332518063	8.5602394593	8.2005832753	8.3727474373	8.6758763683	8.1462336503	8.3845443283	8.3749141763	8.1328190953	8.4241236563	8.4458144053	8.4231623273	8.2212831943	8.3706988533
100004177	6.9093969233	7.1993572803	7.3944966503	7.2702776093	7.1794626293	7.0497285593	7.3915351483	6.9516802053	7.2735303603	7.3313364773	6.9394280843	7.1887197993	7.3563895143	6.9779952283	7.2415483043	7.3215017123	7.0370858553	7.2428519363	7.2308786823
352938	4.9989139853	5.4421014793	5.3316306803	5.6801502253	4.3993535963	4.9074256173	4.3753323853	3.2476857383	4.0293600373	2.5379917923	3.3283698753	4.0350909843	3.4728158203	3.9520083483	3.4799460153	3.3364372693	3.8000931343	4.1677538393	3.5434183703
368211	10.1393620713	10.1768096673	10.3388499553	10.4196390373	9.5603653063	9.7891579763	9.7330230463	9.4763819753	9.5956819203	9.5412460553	9.5197910613	9.6619314103	9.6261969423	9.6672280113	9.6311062523	9.7253156013	9.3740860593	9.6328179703	9.4903553053
569006	7.8977950113	8.2219846533	8.2106129073	8.2158058133	7.8624108063	8.0083216453	8.0911298833	7.7741795833	7.8164852843	7.8851203173	7.6881426753	7.7622830713	8.0335903883	7.8534091293	7.4567936763	7.8089572653	7.8192705073	7.9601117073	7.9967683123
566221	8.4100319953	8.3352670683	8.4660159043	8.1928839943	8.3398963713	8.7319025723	8.0574166853	8.3861298433	8.5010826323	8.3085185723	8.2984737303	8.6594154143	8.3066691223	8.5606086873	8.5661544313	8.2210890783	8.4332487393	8.7780446463	8.0820789853
566537	10.7210462393	10.8790332813	10.9279718993	10.8441786623	10.6142397573	10.8101097103	10.6709170663	10.4342758833	10.3652556863	10.3049816283	10.3673018843	10.6301703063	10.5869737553	10.6859345853	10.4311109333	10.3358320073	10.5809592783	10.6792932433	10.4521523313
566352	9.4619500803	9.5433687183	9.7973683443	9.6722960983	9.3836317313	9.4139302243	9.6178892873	9.1873002143	9.1022165383	9.2743270263	9.1840850753	9.3712250643	9.4374022433	9.3478218423	9.1292815193	9.2527273113	9.2988542483	9.3417565583	9.4754163583
503532	9.2480370013	9.0152318753	8.9763075263	9.0732104713	9.3179593133	9.2359076873	9.0570345553	9.4749952743	9.4419185073	9.1949296803	9.3927156893	9.4700252113	9.0897446473	9.2699173573	9.4324544053	9.0146104853	9.4629237393	9.5035718563	9.0687318763
403080	8.1556556253	8.1865161113	8.4509326633	8.3871422183	8.3398963713	7.9596605453	8.2351601463	8.1562813993	7.6589681683	8.1024405703	7.8862899823	7.8458634463	8.1028377603	8.0419929923	7.7359909333	8.0510013283	8.0432353133	7.6866316003	8.2599868333
447910	7.9768125793	7.8037067003	7.8866673383	7.9039307973	7.5663739263	7.8571191233	7.5803337553	7.4236457243	7.4201159683	7.4417641563	7.3385878473	7.5123714403	7.3884392603	7.6077474783	7.3385912943	7.4765505303	7.5494024583	7.5842051713	7.3003405783
100535437	5.6217250493	5.8737161423	6.0921325143	5.6355135483	5.5416663253	5.3533229633	5.1321192453	5.4724869333	5.3627981413	5.0416351223	5.5493719163	5.3460393703	4.9418116643	5.2840624043	5.2280830633	5.0632603753	5.4205155653	4.9750163593	5.1138828993
100034578	6.5642858923	6.6271226593	6.8118933583	6.7165330993	6.4764561093	6.4116260733	6.3779243033	5.7359675853	6.5857906473	6.0628209213	6.2372840003	6.4442073353	5.8044966443	6.4657290653	6.5857188403	6.0578729853	6.4492648063	6.3260158893	6.2361067693
437025	7.6074387913	7.3928503733	7.7305474943	7.7657905073	7.6602179553	7.5214269663	7.6477919493	7.5289665003	7.2016359663	7.3973127533	7.5421192493	7.2099063783	7.5340378723	7.6955022263	7.1969492073	7.4974002513	7.4335915143	7.3602068883	7.6693223303
100037377	6.6216145893	6.4857185633	6.7928788233	6.8495032053	5.7646302043	6.3442968653	6.2206654273	5.3567865413	5.8690925373	5.4172985953	5.7028081103	5.7447949313	6.0908422973	5.9870871153	5.8218457503	6.0690583993	5.9977750343	6.2671242123	5.5839167383
559479	6.0273097043	5.8409080453	5.4577131893	6.0971267233	5.6874803713	5.6270176113	5.3503112203	5.2570436033	4.8637017223	5.4172985953	5.2726119613	5.4386894683	5.2516134493	5.2286587353	5.0097150253	5.5197559123	5.9423526423	5.3826440003	5.2881367333
100334203	6.6309517413	6.5881156873	6.4486451053	6.7378048243	6.3693798973	6.4633147833	6.4363226883	6.1092847833	6.2431266023	5.8902646473	6.0465564793	6.1907669173	6.3730190803	6.3919927503	6.3383248263	6.1129524943	6.0511468583	6.3489155303	5.9892495453
431739	8.6331944343	8.7737061473	8.6033151453	8.6425010543	8.5560550253	8.3918535873	8.6738222263	8.5185595413	8.4210338163	8.7332053793	8.4887077763	8.2088966713	8.7111176313	8.3189643183	8.4018402543	8.8765978583	8.3898857933	8.1835638723	8.5638540823
100334697	5.4424305873	4.9208059403	5.0406520253	4.9526305753	5.4037626463	5.3533229633	5.0092550203	5.3077768863	5.0389580773	5.0082432223	4.8444609613	4.4093895263	4.9703262883	5.2840624043	5.0674830183	4.6518033253	5.3153721583	4.4047603703	4.4615594823
449990	7.0552390883	6.8578048203	6.9641337363	6.9979384673	6.4416396413	6.2880754673	6.8767787293	6.3702211803	6.2993187963	6.3293562433	6.2033906133	6.3802329983	6.5249190493	6.3053853283	6.2906101683	6.6259662413	6.5730248803	6.3144283043	6.6089260963
368260	11.7117229163	11.7031099863	11.8079887603	11.8038869633	11.7051715533	11.6518111613	11.4899697543	11.5083750903	11.3121716883	11.3730865773	11.4985176813	11.4097444303	11.3423287363	11.6504418013	11.3439635543	11.3529554403	11.5239529483	11.4373342173	11.2594845753
101883298	5.2618916943	5.2304291133	4.9746868743	5.5418703723	5.0502427253	5.1475329823	5.1321192453	4.9725745673	5.0715921213	4.6668177083	5.0104616423	5.0496433973	5.1305039363	4.9143762953	4.4818773223	4.6518033253	4.5948392433	4.9452715833	4.5092782903
100148543	7.7556473503	7.8743085693	8.1066564613	8.0513881443	7.5281643613	7.7979550613	7.3816619693	7.1730700683	7.2089887873	7.0072243083	7.2022303663	7.5251055323	7.3069390323	7.6113620913	7.2602480673	7.0940187513	7.3455433423	7.3374871863	7.0810372823
567941	6.3772162553	5.4638124543	6.4364445223	5.7860496863	6.2933091873	5.4841938123	5.8994195733	5.6000925233	5.2532642093	5.4916720103	5.0363621533	5.3650515093	5.3846820113	5.7187647973	4.8210831363	5.5835454473	5.8699394723	5.3375590593	5.7911518203
