	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DBC_10-4_A	DBC_10-4_B	DBC_10-4_C	DBC_10-3_A	DBC_10-3_B	DBC_10-3_C	DBC_10-2_A	DBC_10-2_B	DBC_10-2_C	DBC_10-1_A	DBC_10-1_B	DBC_10-1_C	DBC_3uM_A	DBC_3uM_B	DBC_3uM_C
504167	7.0342806673	7.0988743663	7.4070556233	7.2407806793	6.6389501803	6.9715648663	6.9319431913	6.7463082273	6.7256438383	6.7487579743	6.4352192143	6.9132357993	7.0169311943	6.8430814083	6.5658130473	6.7423283643	6.7529138833	6.8600625483	6.6089260963
445096	5.9548058013	5.9979607123	5.9448723303	6.4202169673	6.2130030433	6.0038363363	6.0441436573	6.3702211803	5.8122937633	6.1419299043	6.2920613923	6.2533285633	6.1165831983	6.2321496913	6.0539057033	6.0237868033	6.1644697443	5.9452086953	6.2502182993
554151	6.9322354783	6.9606430983	6.7928788233	7.0327780123	6.9005880613	6.8983422993	6.7053121543	6.6707965353	6.7358605323	6.7283959553	6.7331914423	6.4079986473	6.8116328153	6.9091810503	6.6343138883	6.5719497233	6.9624364353	6.7089484983	6.4095945963
562772	6.2617499423	6.5781968973	6.3738442163	6.7794298653	6.5867929163	6.5614477193	6.3976542553	6.6114503863	6.3130314053	6.0464649333	6.4449211123	6.1364764843	5.9830243513	6.3665520273	6.3845117943	6.1969266133	6.1884879103	6.7089484983	6.0868364213
567051	7.0058539103	7.2993452903	7.2898834453	7.2333112413	7.3456123253	7.1477661053	6.8483847923	6.6610734953	6.9173784643	6.6330337843	6.9256356753	7.2866951973	6.7138388853	7.1167054293	6.8305925823	6.5158318173	7.1696890553	7.4791460943	6.4468319833
100330160	8.8900158853	8.7584151483	8.8486200123	8.7615209293	8.7392363533	8.8555318073	8.4861520793	8.5662230503	8.5597714323	8.4674638903	8.4141149923	8.6555599173	8.3261053903	8.5754890833	8.4783713333	8.4066721893	8.6584612113	8.6104916363	8.3079969723
100330238	5.9094874073	5.3976740603	5.6175454833	5.4926661923	5.6267838333	5.2974590893	5.6091329153	5.3324898163	5.7531668543	5.3916303253	5.5312707703	5.3650515093	5.4670305113	6.0200949443	5.4177024693	5.4699918213	5.7132030093	5.5890824943	5.6278137213
100536590	5.5248788503	5.8073364673	5.5052145923	5.9036509653	5.4971471693	5.7569671163	5.2233924593	5.2826332413	5.3627981413	5.6730773013	5.1826994013	5.2874518043	5.6367407953	5.3198503783	5.2280830633	5.5359696593	5.5373393733	5.5500905673	5.5154605393
792371	7.6946200913	7.9299640693	8.0715857293	8.2932802373	7.4832200133	7.5575478743	7.5004707973	7.0885458183	7.3815921903	7.1518501353	7.2417273593	7.6427318883	7.5624106903	7.5858675293	7.3208860023	7.5896087593	7.1453532033	7.4894878843	7.3666111363
568430	7.3547840353	7.5684535223	7.4379829123	7.7449304073	7.0467532273	7.4399172223	7.2025726583	6.5067700543	6.9352216643	6.6109580793	6.8762966133	6.8673037563	7.1223339753	6.9497204563	6.8053486043	7.0324945673	6.7926302043	7.0184246753	6.8959695023
394034	9.0792515433	9.1060476253	9.0300724563	8.9803307213	9.2905037263	9.3259189583	9.0430087293	9.2807398673	9.2715468743	9.0048547193	9.0990823283	9.3391343753	9.0468775723	9.2363682613	9.3706926533	9.1339231103	9.2092467763	9.2835170073	9.0806266013
664708	5.6947776023	5.6457750763	5.3050358563	5.3617716113	5.6473010583	5.4589521773	5.1554845893	5.6203044493	5.0715921213	4.9740601003	5.2506536813	5.3460393703	5.3416752823	5.3020673593	5.2025274243	5.2712596723	5.8550102373	4.8197521343	5.3679580333
103910385	4.3996271453	4.3507000803	4.7564998053	4.8779534703	4.8165973043	4.7076015773	4.9833747313	5.1218091683	5.1347257883	5.1061860863	4.8148375613	4.5152997993	5.0526369703	4.6866237223	4.4387501143	5.4530148833	5.2483996703	5.0882176713	5.0507849213
566373	8.1749341813	8.2346691263	8.1595708323	8.2569060293	8.1335993973	8.5315813783	8.3383015803	7.8445947753	8.4367766943	8.0623304673	8.0350127213	8.3347818073	8.3534249803	8.2854184533	8.0291733243	8.1063388313	7.9689117293	8.3114802163	8.2669440193
100331497	7.5544477913	7.4374243103	7.5778495983	7.8463395073	6.3191143413	6.8012569883	6.7366343723	6.7554752353	7.1868169383	6.9290841593	6.9186897073	6.9067629343	6.4458997683	6.9610969483	7.0180623343	6.9380438933	6.7285484523	6.7000705753	7.0081731353
570908	7.0690441093	7.0849318943	7.1171998783	7.0835088793	7.0076146813	6.8983422993	6.8483847923	6.5600594483	6.5857906473	6.6439462433	6.7567522083	6.7051783133	6.8657605533	6.9723844313	6.5557561993	6.7700093823	6.6355135423	6.8915974003	6.8596130043
792539	7.2251550023	7.1928718273	7.3881759263	6.9163300783	7.0233977403	6.6533286073	7.2025726583	6.9675446543	6.5514963503	7.0813487513	6.8177622663	6.5886960573	6.8808598113	6.8914521253	6.6627041463	6.9801288713	7.0036323313	6.3936523933	6.8128398363
100331649	7.4788998693	7.6225391733	8.0070516963	7.8463395073	7.2347404393	7.5634810703	7.2137457253	7.1593221283	7.2308250423	7.0893545433	6.9046966323	7.3260370773	7.2264800843	7.1910547273	7.0398716953	7.3261709243	7.2517702773	7.1994134573	7.0571558043
550504	7.2251550023	7.2122413733	7.6900123923	7.5839383963	7.6901901093	7.1943947363	7.5453837183	7.4521156963	6.8901929313	7.1670600053	7.2583291413	7.0250400253	7.2264800843	7.2478930333	7.3560819303	7.3308250733	7.3240211373	7.0675713243	7.6640615453
100150991	8.1393910033	8.1865161113	7.9351660413	7.9817731313	8.3367416793	8.1050541403	8.1151630183	8.3072876143	8.2498063513	8.2773207173	8.3841722833	8.2245958153	8.4298460923	8.2854184533	8.5459749473	8.2459431483	8.1170487813	8.4045888583	8.3380377933
553019	9.6619318173	9.7251473123	9.8056921883	9.8402791553	9.2305782053	9.2561976173	9.4378421153	9.1736878503	9.2924631863	9.1535299353	9.2533565913	9.3676944793	9.2495086463	9.3182692443	9.1939310983	9.4474432123	8.9961514953	9.3797798493	9.2429114693
556392	8.1129800853	8.2873675363	8.0715857293	8.2420956153	7.8358425103	7.8229022673	8.0449593493	7.7921081963	7.8869410463	7.9525048033	7.7442229383	7.7296484053	8.2583470683	7.7973906543	7.5305362953	7.9487392993	7.7197723093	7.7177537163	7.8282738543
555279	7.9913849463	7.7692476323	8.1028015503	7.9728302283	7.7765423523	7.7571199223	7.8546566373	7.7096144813	7.5531718223	7.5674477853	7.7043892803	7.4952159003	7.9608509173	7.8655677163	7.5760263033	7.8288348573	7.6651876633	7.6594104893	7.8971537253
565038	6.4943895863	6.3524020063	6.6835681613	6.3109181013	6.1852092693	6.0038363363	6.1292139313	5.8082261913	5.6703616553	5.5852240303	6.0718225943	5.6703235873	6.0646337643	5.9646547343	5.3494821483	5.8137596713	6.2237816733	5.9301024653	5.6492712933
555714	5.6947776023	4.1510548513	5.2503286653	4.9526305753	5.1398475073	5.0494790423	5.5219307083	5.4041858503	4.6207283213	4.6233687433	4.6568458033	4.7647460653	4.6561177883	4.4487457803	5.1230266623	4.4268329173	4.9157862363	4.4896388143	5.5614569983
559160	7.4633036763	7.2993452903	7.5498078593	7.3134221473	7.3266556183	7.4968339473	7.6843954243	7.4293848423	7.5704009683	7.5845410653	7.5556149693	7.5667585973	7.4094169183	7.2432411053	7.9079163073	7.1944737733	7.3928255543	7.8876766723	7.5374455203
559029	10.7561367493	11.0408022633	11.0739301903	11.2786009913	10.5172523453	10.7253212583	10.6875419543	10.3700767713	10.3386876503	10.1727715223	10.3186606133	10.6148637553	10.4776262033	10.6007633173	10.3166622473	10.4498623123	10.1307420163	10.6339813423	10.3583680443
558954	6.1362319473	6.0562880603	5.4333628133	5.9408134503	5.9577037273	5.9322743443	6.0933676723	6.2193840243	5.4889657843	5.8718172303	5.5849068003	6.1253688583	6.2270507003	6.2874219923	5.7878802653	6.0237868033	6.0511468583	6.0467424473	5.6060321803
406730	9.9922588123	9.6008367233	10.1932735283	9.9616402863	10.0295434753	9.9197796793	9.9844847103	9.7530093033	9.6165664903	9.3578903043	9.4588496063	9.5930491523	9.5132465703	9.7408539543	9.5959598253	9.5715911933	9.8014614923	9.6057409833	9.7357612923
503753	8.1426586303	8.0710256433	7.9652010383	7.8802131823	7.9681291383	8.0886902373	7.8258195413	8.3623263613	8.3295507603	7.8431252213	8.0188642913	8.2882300463	7.8033492233	7.9957251383	8.3562135403	7.8222393773	7.9689117293	8.2181773113	7.7949687273
558690	6.8939678553	6.3754946193	6.9894080573	6.8298271263	6.7474616673	6.3580164303	6.5106826303	6.5067700543	6.2141878603	6.1723975713	6.4924754303	6.2430882113	6.4957916453	6.6027760143	6.4833241083	6.4054417103	6.3779489593	6.6548425083	6.4711334413
108183587	6.1750470903	5.6072759203	6.2114947133	5.7654825523	5.4276815553	5.7361055443	6.1983402633	5.6000925233	6.0271903373	5.9264665643	5.9270410003	5.8293653173	5.3196814023	5.7584276673	6.2661477083	5.7175266323	5.7459421843	5.7001078433	6.1782384663
415185	7.0272263163	7.2749904233	7.2555725853	7.1564095143	6.6491591173	6.7501490853	6.6893922863	6.5911131533	6.6082088303	6.6655266143	6.4641313443	6.7920337023	6.9324964213	6.6874039473	6.7178616633	6.8629128533	6.6785472083	6.7177721233	6.7447002373
557741	9.0911394563	9.5934694493	9.1544613223	10.4155197483	9.3882101813	9.5321006223	8.1792614343	9.8609964203	9.1902936073	8.3623684223	9.9130909633	9.1396713533	8.8267416153	10.2546112483	9.7450211053	9.0189429903	9.4678386583	9.4856021803	8.1400673313
557676	6.0963435563	6.2929996373	5.6809720273	7.2991835163	6.1279618753	6.2295739833	4.9570216853	6.7090463663	5.5825127983	4.3309859313	6.6178481053	5.5591503393	5.8965202483	6.9324857213	5.9034175263	5.6595097593	5.6626576043	5.8196835303	4.6857804203
557924	7.0130132823	6.7733885723	6.8024174163	6.9801980283	6.6286684873	6.5849723283	6.5015945523	6.2841596993	6.5514963503	6.8369896053	6.7722483023	7.0950354213	6.6089307763	6.6527435573	6.9505834373	6.5561375343	6.5453926273	6.9224576733	6.7546337293
30547	8.2586349433	8.2534891483	8.3794434553	8.4138196093	7.6802684163	7.7725688643	7.8258195413	7.7143233343	7.7219985773	7.7653086313	7.7753164633	7.7941958203	7.8033492233	7.7324853363	7.7180664973	8.1117576073	7.6305408523	7.6594104893	7.8469657483
797483	7.1361546233	7.5431824513	7.4562259713	7.7237642583	6.7663432213	7.0665378103	6.8483847923	6.2060724263	6.7153542763	6.4336549813	6.7799343763	6.9948423543	6.6883183333	7.0057264903	6.7534955653	6.4574423843	6.5638728083	7.0881322373	6.6626695673
572199	11.5705574673	11.9581380063	11.8253451463	12.1970410573	10.2717808153	10.6288849473	10.8795453443	10.3437272263	10.7239430773	10.6624422003	10.5576171023	10.4692654933	10.5234474183	10.7920651033	10.3685724353	11.0905203933	10.5372053843	10.3403258703	10.8134100713
474321	7.0413006913	6.7202613543	7.2625003483	6.9163300783	6.8394912243	6.7501490853	6.8339754763	6.6995785603	6.5514963503	6.5072109723	6.8177622663	6.5805857193	6.6358816083	6.5051217063	6.5251580563	6.6780330843	6.6267506003	6.2305996263	6.5416742263
568699	7.9359625823	7.7384056413	8.1632771923	8.0766514483	7.7625044863	7.9278173863	7.9612540693	7.4120985403	7.8164852843	7.5845410653	7.6922215113	7.7906846193	7.5482940293	7.8806232553	7.8224174463	7.7265894243	8.0166494613	7.9451615273	7.8516011253
394072	6.5147078833	5.7198219213	6.5312768393	6.2079789823	6.1279618753	6.0211856323	6.1409674553	5.6984341713	5.4398146863	5.4673044103	5.1355505483	5.5087506313	5.9259350403	5.7714099543	5.4614539633	5.9530989023	6.2003486933	5.7001078433	6.0868364213
100334600	5.0554844293	4.6448494863	5.3833932703	5.1872040313	5.2778314973	5.1787905773	5.1554845893	5.0639542863	4.8637017223	4.9031636933	5.0868086103	4.7063103703	5.1050124143	5.1313116723	5.0674830183	4.4268329173	5.3793730983	5.2429286823	5.3936129993
100329285	4.2132851023	4.6063252893	5.1934649253	4.4838007313	4.2463688813	4.6640870303	5.2453362033	5.1498892113	4.5759346723	5.1979003383	4.3614119953	3.8314420083	5.1555528483	4.7404330483	4.1488015223	5.2319899163	4.5210967353	4.4896388143	4.9848005583
556894	5.6403378953	5.6266539163	5.3833932703	5.5658571393	5.4512103643	5.5809630123	5.9131928933	5.2570436033	5.5596885403	6.0464649333	5.6366200393	5.2673816973	5.9830243513	5.3374168653	5.0388881443	5.5678605303	5.5742689813	5.3375590593	6.0388679483
100150512	6.9397686873	6.9219525233	6.8765374273	6.5461350253	7.0998224693	7.2096086193	6.6488066553	6.8267869523	7.1259700623	6.8081744853	7.0579626323	6.9948423543	6.7389158283	7.0754280233	6.8554024313	7.0719486973	7.0697811993	7.0467131403	6.8128398363
555242	8.7598841363	9.0711117743	9.0321008533	9.1062990353	8.4461772543	8.6700044963	8.5292718603	8.0707378763	8.2850206753	8.1869435893	8.2904244973	8.4965442913	8.4117668593	8.4478755213	8.2788474083	8.2410064703	8.2225920333	8.6009846153	8.4614375333
101883146	6.8224192453	6.4857185633	6.9122166793	6.6167271173	6.4878773533	6.7810305663	6.6973741793	6.3821070623	6.6627760043	6.0131859323	6.4924754303	6.7273872793	6.5906797243	6.3493388403	6.9195489623	6.5076337643	6.5172207753	6.4997774763	6.9488420433
793299	8.7598841363	9.0152318753	9.0522295033	9.0939795853	8.4694087443	8.6139330893	8.7601844773	8.3289417683	8.4585320483	8.1024405703	8.4602888373	8.6709204663	8.7424547073	8.5606086873	8.5535753693	8.4984748403	8.3505110943	8.5866055763	8.6083563923
654774	8.3001959253	8.5483959463	8.5757687533	8.4138196093	7.9923890893	8.3750839903	8.1299829283	8.0221928533	8.1463722293	8.0663920323	7.9992445123	8.2245958153	8.0735663423	8.2441058543	7.8182169023	8.1090507633	8.1541113863	8.2489392903	8.2773172943
100535105	8.8525929483	9.0407362933	9.1432449593	9.0960401463	8.3493192673	8.5821388973	8.7137197473	8.3978859083	8.5100396023	8.3524234913	8.2439439173	8.6955377203	8.6833971063	8.6138352153	8.5560999713	8.5925559953	8.3182188223	8.5914145303	8.5410773313
406575	10.0333281003	9.9789852233	10.1150569353	10.2643090983	9.9210356153	9.4844245673	9.7863830083	9.7835765093	9.2485400063	9.5687073303	9.7465697833	9.3099974463	9.5156670043	9.9572667293	9.3016618753	9.8002225903	9.6475250813	9.3531275653	9.4873798663
798487	8.1361159593	8.2409697853	8.1780081393	8.3322603033	7.8798550193	8.1609088943	7.8367011113	7.7696623993	7.8777433853	7.6400988303	7.9179831363	7.9022668623	7.7302027153	7.9043900153	7.7884655783	7.6908313573	7.8905502403	8.2790590153	7.6849905533
100037325	5.4842436163	5.1788539393	5.6175454833	5.1872040313	5.8378629443	5.1787905773	5.6091329153	5.5162882463	5.2532642093	5.5852240303	5.5849068003	5.2874518043	5.6544218473	5.3374168653	5.4397440623	5.5197559123	5.4000909883	4.9452715833	5.5386420703
553396	4.8145358003	4.7546094663	5.4816593823	5.4674201463	4.6230071213	5.4071040803	5.1321192453	4.6575445493	4.4819459143	4.3309859313	4.1873978783	3.7756979903	4.7901175253	4.4807155433	3.7855366383	4.7101247393	4.4028945433	4.2183724783	5.3936129993
100144566	6.6677075303	6.6271226593	6.6202581893	7.1244631163	6.4298448993	6.7079178093	6.2206654273	5.6203044493	6.4434328993	5.6516104233	6.3551617313	6.3614211783	5.9547620643	6.6027760143	6.5456287533	5.8003988983	6.2353569633	6.8993745753	5.6492712933
336159	8.4814524873	8.5201799003	8.2494877493	8.3668053743	8.5369396003	8.6253230673	8.3535348493	8.6668211283	8.5854220373	8.4827401243	8.5188760743	8.7123376583	8.2612347893	8.3474195253	8.7271583223	8.3366664393	8.5397804333	8.5623173783	8.3314159043
799147	5.2857337883	5.2048719853	5.7614232653	6.5340264073	5.7071580463	6.0038363363	5.0346792173	5.0639542863	4.8259427313	3.5651706863	5.3572481633	4.6139639663	5.5449313193	5.7970292303	5.8713401253	4.9708677723	4.9722187673	6.2305996263	4.8052902473
561089	6.6122166133	7.2502173383	6.6094310573	7.7553981593	6.7283297173	7.5091828593	6.2643053213	7.1662124743	6.8717804103	5.5156348613	7.0260012793	6.9132357993	6.5721948233	7.4267547263	7.6152918013	6.3143786203	6.8464579023	7.2489520283	5.8845796863
561159	10.5895420713	10.8044199873	10.5894381103	10.5228093023	10.7389660943	10.9042848073	10.5669317503	10.8097303833	10.9248478663	10.6738009743	10.7970591163	10.9189727173	10.5719340763	10.8920352443	10.8735725443	10.4747828683	10.8721520433	10.9931804023	10.4942616453
560003	5.1623762693	4.9208059403	5.4577131893	5.1559396713	5.3039124863	5.6270176113	4.5617627373	4.1465364003	5.4645995413	4.6668177083	4.7537010353	5.1626164153	4.7901175253	5.2840624043	4.8867392823	5.0178035693	5.3793730983	4.8521705633	4.6002268753
30105	7.5346853343	7.2811177933	7.6323490673	7.4093417923	7.5170588563	7.0995799333	7.2303447363	7.2593736163	6.9959902593	7.0156509513	7.4047074313	6.6047812203	7.0705949573	7.1862155543	6.8878321853	6.9009673913	7.2287911253	6.9300706893	6.5868553113
393222	6.6402288513	6.6557010003	6.7638787083	6.3666023503	6.6991474993	6.4633147833	6.5640407043	6.4171882203	6.1080708533	6.5542441273	6.2703993703	6.2430882113	6.4254496713	6.5954943933	6.3500109293	6.4993888603	6.4191314853	6.1675921323	6.5644416293
436610	9.4540808993	9.6311350673	9.0897170863	9.4389628933	9.5924616613	9.3398135653	9.2015357643	9.5960241183	9.1257165843	9.2848231293	9.5197910613	9.1831709173	9.2052097983	9.6973008423	9.3649445963	9.4969426833	9.3845202253	9.3302952143	8.9634597083
797832	6.7211428993	7.0204675973	7.0305722013	6.8298271263	6.1568695073	6.5614477193	6.1641910793	5.9586786703	5.8122937633	5.8718172303	6.2260744463	6.3895477153	6.0379402943	6.2874219923	5.8385332553	6.0690583993	6.4591709863	5.9601583883	5.9723234653
