	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
100000009	1.49020878	1.707521779	1.557090003	1.61853714	1.09967976	1.219067781	1.442865737	0.816504877	1.008673918	1.211738364	1.440124247	1.229054377	1.438508401	1.154056971	1.536191947	1.200910971	0.858066619	1.321603427	1.103097024
100000026	3.426007875	3.414918027	3.114717622	3.640948605	2.269442406	3.010222589	2.980146222	2.78116399	3.07037468	2.797968412	3.282198594	3.024356618	3.021495863	3.029341964	3.217289935	2.996999941	2.833436965	2.974157125	2.640562281
100000044	2.348998741	2.679829917	3.091484823	2.743120648	2.548801937	2.33273345	2.140604783	2.550725055	2.210146467	2.315848169	2.748885033	2.367602303	2.447285202	2.867864169	2.633356836	2.334787524	2.481980579	2.737078184	2.526681389
100000073	1.361053505	1.651671403	1.078846126	1.61853714	1.465263808	1.170274113	1.639905453	1.431812708	1.385299524	1.586568592	1.440124247	1.253266024	1.417792747	1.518229316	1.228818005	1.288872271	1.412383004	1.194905793	1.852430967
100000079	6.881195392	6.527145954	5.98879382	5.91944512	6.052100863	7.455106121	6.766793688	6.356298838	7.401581888	7.190889038	6.456333652	7.164070962	7.031689397	6.400992635	7.180496715	7.178853327	6.425820246	7.144363744	6.964190681
100000083	3.35993538	3.322555476	3.497131171	3.238490473	3.699729859	3.608660858	3.507395594	3.652194009	3.537951705	3.815990989	3.500175378	3.710963653	3.550120989	3.620481788	3.380375242	3.449164662	3.79592358	3.657767444	3.732510499
100000085	6.168579871	6.118776004	6.027052972	5.674438854	6.044615708	5.749825699	5.699124488	6.016932896	5.804816112	6.036113458	5.599243871	5.789361966	5.741040076	5.721972208	5.772350947	6.194937446	5.771293915	5.320995809	5.915618526
100000094	3.777694133	3.752414299	3.991294128	4.122824514	3.995176817	3.781055756	4.095161243	3.954168634	3.947744801	4.098739583	4.121959725	3.940774405	3.818583293	3.874520005	3.737170674	4.111111964	3.869167047	3.446915573	3.891536393
100000095	3.621968284	3.707467449	3.621288196	3.652233323	3.892178274	4.080763171	3.940200603	3.760029439	4.006649334	3.739192655	3.877477551	4.09274462	3.939779994	3.896534886	3.943680904	3.945062611	3.976828569	4.04821025	3.984665308
100000101	3.053510594	2.4037133	2.994621146	2.98544118	3.045282334	2.744607626	2.924531943	2.943677176	3.010232494	2.815678139	2.972577593	2.820704077	2.87720997	2.85292961	3.087525464	2.952801595	3.062512374	3.11495064	3.181984763
