Identifier,BPAF-1ug/L-B
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,11
ENSDARG00000076833,132
ENSDARG00000012297,13
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,30
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,9
ENSDARG00000074379,10
ENSDARG00000062854,2
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,4
ENSDARG00000074213,0
ENSDARG00000062606,2
ENSDARG00000077198,1
ENSDARG00000007678,107
ENSDARG00000089930,6
ENSDARG00000078057,9
ENSDARG00000070448,37
ENSDARG00000070449,4
ENSDARG00000042988,129
ENSDARG00000096506,3
ENSDARG00000070452,6
ENSDARG00000070454,8
ENSDARG00000096515,2
ENSDARG00000038114,1
ENSDARG00000008637,37
ENSDARG00000091609,11
ENSDARG00000002634,0
ENSDARG00000062467,0
ENSDARG00000032808,0
ENSDARG00000078318,2
ENSDARG00000018997,104
ENSDARG00000099771,30
ENSDARG00000045620,9
ENSDARG00000045618,152
ENSDARG00000057248,11
ENSDARG00000017985,13
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,2
ENSDARG00000116228,0
ENSDARG00000099729,25
ENSDARG00000105122,0
ENSDARG00000098668,1
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,0
ENSDARG00000089805,17
ENSDARG00000117726,0
ENSDARG00000117541,9
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,1
ENSDARG00000079626,36
ENSDARG00000057114,11
ENSDARG00000009026,35
ENSDARG00000085400,0
ENSDARG00000014273,52
ENSDARG00000104795,0
ENSDARG00000056806,5
ENSDARG00000056797,12
ENSDARG00000062341,0
ENSDARG00000107022,0
ENSDARG00000056742,0
ENSDARG00000037576,0
ENSDARG00000070431,20
ENSDARG00000022690,14
ENSDARG00000056677,8
ENSDARG00000012903,8
ENSDARG00000003398,20
ENSDARG00000074867,15
ENSDARG00000109597,1
ENSDARG00000111274,0
ENSDARG00000110922,6
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,2
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,61
ENSDARG00000007534,1
ENSDARG00000077804,27
ENSDARG00000013881,8
ENSDARG00000079317,5
ENSDARG00000117428,3
ENSDARG00000106258,0
ENSDARG00000078854,21
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,14
ENSDARG00000115704,1
ENSDARG00000109375,0
ENSDARG00000017119,24
ENSDARG00000070412,4
ENSDARG00000034105,14
ENSDARG00000062198,10
ENSDARG00000034817,14
ENSDARG00000056504,13
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,139
ENSDARG00000092708,1
ENSDARG00000017905,65
ENSDARG00000030514,38
ENSDARG00000056400,5
ENSDARG00000042937,1
ENSDARG00000092600,0
ENSDARG00000027355,392
ENSDARG00000092022,2
ENSDARG00000056381,3
ENSDARG00000056376,1
ENSDARG00000056369,21
ENSDARG00000011023,0
ENSDARG00000003046,0
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,31
ENSDARG00000117687,1
ENSDARG00000117295,0
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,2
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,7
ENSDARG00000015495,24
ENSDARG00000062081,13
ENSDARG00000018178,8
ENSDARG00000093886,0
ENSDARG00000056163,2
ENSDARG00000079488,0
ENSDARG00000062055,22
ENSDARG00000074275,7
ENSDARG00000075330,0
ENSDARG00000006392,12
ENSDARG00000073902,2
ENSDARG00000019945,19
ENSDARG00000086957,12
ENSDARG00000056151,180
ENSDARG00000061985,29
ENSDARG00000061981,13
ENSDARG00000003631,7
ENSDARG00000056133,1
ENSDARG00000070321,0
ENSDARG00000017744,22
ENSDARG00000070320,0
ENSDARG00000061952,8
ENSDARG00000061936,0
ENSDARG00000006434,10
ENSDARG00000037484,5
ENSDARG00000094729,1
ENSDARG00000095388,4
ENSDARG00000085360,0
ENSDARG00000037487,3
ENSDARG00000008068,11
ENSDARG00000077648,1
ENSDARG00000096580,0
ENSDARG00000079250,2
ENSDARG00000019986,60
ENSDARG00000080019,7
ENSDARG00000099995,6
ENSDARG00000070278,6
ENSDARG00000061830,2
ENSDARG00000041776,5
ENSDARG00000095632,0
ENSDARG00000037455,21
ENSDARG00000093816,0
ENSDARG00000070266,158
ENSDARG00000037429,1
ENSDARG00000055874,367
ENSDARG00000055876,23
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,16
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,23
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,12
ENSDARG00000037409,1
ENSDARG00000070173,4
ENSDARG00000052782,8
ENSDARG00000037406,8
ENSDARG00000034773,5
ENSDARG00000033273,5
ENSDARG00000055439,5
ENSDARG00000055443,13
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,4
ENSDARG00000079074,1
ENSDARG00000061504,8
ENSDARG00000000606,1
ENSDARG00000107258,0
ENSDARG00000087224,1
ENSDARG00000052764,3
ENSDARG00000092275,0
ENSDARG00000055559,11
ENSDARG00000114954,0
ENSDARG00000115778,6
ENSDARG00000026871,26
ENSDARG00000016470,37
ENSDARG00000103166,0
ENSDARG00000091660,2
ENSDARG00000038056,25
ENSDARG00000002406,0
ENSDARG00000034007,46
ENSDARG00000061143,19
ENSDARG00000034896,26
ENSDARG00000116099,0
ENSDARG00000037378,16
ENSDARG00000012672,32
ENSDARG00000093064,17
ENSDARG00000061121,43
ENSDARG00000094677,6
