Identifier,BPAF-CC-C
ENSDARG00000030573,8
ENSDARG00000075368,1
ENSDARG00000097799,5
ENSDARG00000097321,0
ENSDARG00000097382,0
ENSDARG00000097777,0
ENSDARG00000097610,0
ENSDARG00000113834,0
ENSDARG00000112996,0
ENSDARG00000114676,0
ENSDARG00000098391,15
ENSDARG00000104538,7
ENSDARG00000100947,1
ENSDARG00000100419,14
ENSDARG00000104199,1
ENSDARG00000102366,1
ENSDARG00000099888,1
ENSDARG00000102976,14
ENSDARG00000103511,12
ENSDARG00000105113,5
ENSDARG00000102964,25
ENSDARG00000102711,1
ENSDARG00000099842,0
ENSDARG00000104984,0
ENSDARG00000098065,0
ENSDARG00000099344,0
ENSDARG00000102195,3
ENSDARG00000103483,10
ENSDARG00000103137,4
ENSDARG00000098949,0
ENSDARG00000099750,0
ENSDARG00000098491,0
ENSDARG00000102827,12
ENSDARG00000104568,5
ENSDARG00000116052,1
ENSDARG00000102583,0
ENSDARG00000098780,1
ENSDARG00000102512,1
ENSDARG00000052648,3
ENSDARG00000109060,0
ENSDARG00000059616,0
ENSDARG00000074017,2
ENSDARG00000015722,53
ENSDARG00000062304,20
ENSDARG00000078649,0
ENSDARG00000069961,0
ENSDARG00000052649,51
ENSDARG00000079264,5
ENSDARG00000097197,2
ENSDARG00000085526,0
ENSDARG00000059610,36
ENSDARG00000074661,0
ENSDARG00000020504,276
ENSDARG00000037838,52
ENSDARG00000097600,0
ENSDARG00000117665,0
ENSDARG00000037836,1
ENSDARG00000052642,4
ENSDARG00000095080,0
ENSDARG00000076867,9
ENSDARG00000020363,8
ENSDARG00000037835,6
ENSDARG00000076118,0
ENSDARG00000078180,0
ENSDARG00000078824,0
ENSDARG00000091579,12
ENSDARG00000020326,9
ENSDARG00000052617,6
ENSDARG00000032344,15
ENSDARG00000090120,6
ENSDARG00000096931,0
ENSDARG00000004470,30
ENSDARG00000014420,256
ENSDARG00000113064,0
ENSDARG00000043105,3
ENSDARG00000069937,4
ENSDARG00000081869,0
ENSDARG00000031325,4
ENSDARG00000111357,0
ENSDARG00000111698,0
ENSDARG00000069940,22
ENSDARG00000107930,0
ENSDARG00000089292,2
ENSDARG00000115377,0
ENSDARG00000104027,0
ENSDARG00000098208,0
ENSDARG00000098749,2
ENSDARG00000102267,1
ENSDARG00000117589,0
ENSDARG00000101914,16
ENSDARG00000098355,208
ENSDARG00000102668,0
ENSDARG00000104225,12
ENSDARG00000102424,2
ENSDARG00000099149,2
ENSDARG00000114992,0
ENSDARG00000110960,2
ENSDARG00000111935,0
ENSDARG00000099873,2
ENSDARG00000101749,3
ENSDARG00000104829,1
ENSDARG00000085569,0
ENSDARG00000102720,0
ENSDARG00000101264,1
ENSDARG00000104483,1
ENSDARG00000099615,0
ENSDARG00000099383,9
ENSDARG00000102946,0
ENSDARG00000101585,0
ENSDARG00000102810,3
ENSDARG00000100349,6
ENSDARG00000101037,4
ENSDARG00000102948,4
ENSDARG00000099292,0
ENSDARG00000104436,100
ENSDARG00000103193,0
ENSDARG00000104022,2
ENSDARG00000104603,0
ENSDARG00000097890,0
ENSDARG00000038768,28
ENSDARG00000038770,3
ENSDARG00000020960,49
ENSDARG00000042357,18
ENSDARG00000052215,7
ENSDARG00000086228,1
ENSDARG00000077698,3
ENSDARG00000078953,11
ENSDARG00000052222,1
ENSDARG00000059498,6
ENSDARG00000074443,36
ENSDARG00000052223,70
ENSDARG00000097769,0
ENSDARG00000086204,2
ENSDARG00000097976,0
ENSDARG00000105223,53
ENSDARG00000101457,7
ENSDARG00000102161,2
ENSDARG00000097006,0
ENSDARG00000080933,0
ENSDARG00000010727,6
ENSDARG00000097451,0
ENSDARG00000062799,8
ENSDARG00000078222,6
ENSDARG00000081891,0
ENSDARG00000099792,0
ENSDARG00000070979,0
ENSDARG00000074362,1
ENSDARG00000056062,0
ENSDARG00000096946,1
ENSDARG00000116704,0
ENSDARG00000097960,0
ENSDARG00000097993,0
ENSDARG00000026313,0
ENSDARG00000097138,0
ENSDARG00000097680,0
ENSDARG00000078602,0
ENSDARG00000006240,14
ENSDARG00000003970,2
ENSDARG00000082480,0
ENSDARG00000089883,1
ENSDARG00000002872,4
ENSDARG00000090871,6
ENSDARG00000089951,2
ENSDARG00000021233,3
ENSDARG00000073974,0
ENSDARG00000077249,0
ENSDARG00000077915,0
ENSDARG00000108067,0
ENSDARG00000091754,7
ENSDARG00000029931,6
ENSDARG00000089922,1
ENSDARG00000052150,98
ENSDARG00000042338,2
ENSDARG00000078364,0
ENSDARG00000078904,47
ENSDARG00000098017,16
ENSDARG00000007603,6
ENSDARG00000007092,6
ENSDARG00000059475,2
ENSDARG00000039116,3
ENSDARG00000075015,49
ENSDARG00000052176,0
ENSDARG00000016213,1
ENSDARG00000052139,42
ENSDARG00000028048,30
ENSDARG00000082126,0
ENSDARG00000098294,2
ENSDARG00000077847,15
ENSDARG00000108978,0
ENSDARG00000005679,10
ENSDARG00000079808,2
ENSDARG00000020265,0
ENSDARG00000022232,14
ENSDARG00000014929,0
ENSDARG00000016889,93
ENSDARG00000030756,22
ENSDARG00000036548,2
ENSDARG00000076144,1
ENSDARG00000094952,0
ENSDARG00000095312,0
ENSDARG00000020976,6
ENSDARG00000004796,16
ENSDARG00000079802,4
ENSDARG00000036541,7
ENSDARG00000069729,3
ENSDARG00000010918,2
ENSDARG00000069734,0
ENSDARG00000069735,0
ENSDARG00000097238,0
ENSDARG00000097011,0
ENSDARG00000089087,0
ENSDARG00000079078,0
ENSDARG00000113599,96
ENSDARG00000089475,90
ENSDARG00000115405,103
ENSDARG00000088330,150
ENSDARG00000087390,150
ENSDARG00000089124,90
ENSDARG00000079305,106
ENSDARG00000018393,7
ENSDARG00000035706,5
ENSDARG00000097571,0
ENSDARG00000107630,0
ENSDARG00000018109,0
ENSDARG00000013997,1
ENSDARG00000097737,1
ENSDARG00000080685,0
ENSDARG00000078186,15
ENSDARG00000100149,34
ENSDARG00000079679,1
ENSDARG00000102045,1
ENSDARG00000099841,2
ENSDARG00000100672,0
ENSDARG00000039240,1
ENSDARG00000005159,8
ENSDARG00000097291,0
ENSDARG00000089829,2
ENSDARG00000100331,4
ENSDARG00000087954,5
ENSDARG00000086628,3
ENSDARG00000117771,0
ENSDARG00000115573,3
ENSDARG00000099465,25
ENSDARG00000001804,1
ENSDARG00000062947,2
ENSDARG00000004322,3
ENSDARG00000006522,2
ENSDARG00000021846,3
ENSDARG00000103739,12
ENSDARG00000059574,0
ENSDARG00000109643,2
ENSDARG00000025428,8
ENSDARG00000076742,31
ENSDARG00000032327,65
ENSDARG00000075261,10
ENSDARG00000078608,0
ENSDARG00000037805,0
ENSDARG00000076848,0
ENSDARG00000040528,3
ENSDARG00000012192,7
ENSDARG00000052429,17
ENSDARG00000069787,0
ENSDARG00000095806,0
ENSDARG00000102450,0
ENSDARG00000089291,14
ENSDARG00000031126,0
ENSDARG00000053953,0
ENSDARG00000102254,4
ENSDARG00000097566,0
ENSDARG00000097851,0
ENSDARG00000097809,0
ENSDARG00000096821,0
ENSDARG00000079603,0
ENSDARG00000097337,0
ENSDARG00000078428,0
ENSDARG00000052426,0
ENSDARG00000069878,8
ENSDARG00000014794,48
ENSDARG00000100690,1
ENSDARG00000090901,6
ENSDARG00000117625,0
ENSDARG00000115174,3
ENSDARG00000088258,0
ENSDARG00000117344,0
ENSDARG00000087210,0
ENSDARG00000059914,0
ENSDARG00000035952,0
ENSDARG00000052300,0
ENSDARG00000097343,1
ENSDARG00000086459,1
ENSDARG00000031618,3
ENSDARG00000087306,3
ENSDARG00000115425,0
ENSDARG00000097015,0
ENSDARG00000039453,0
ENSDARG00000097297,0
ENSDARG00000069839,0
ENSDARG00000111019,0
ENSDARG00000093689,0
ENSDARG00000097603,0
ENSDARG00000110539,0
ENSDARG00000097271,0
ENSDARG00000113546,0
ENSDARG00000059567,0
ENSDARG00000014366,10
ENSDARG00000040601,0
ENSDARG00000078975,0
ENSDARG00000117537,0
ENSDARG00000101356,0
ENSDARG00000099238,17
ENSDARG00000099222,2
ENSDARG00000115505,0
ENSDARG00000111820,0
ENSDARG00000098821,11
ENSDARG00000074671,34
ENSDARG00000060263,5
ENSDARG00000116806,60
ENSDARG00000078383,19
ENSDARG00000077732,62
ENSDARG00000043795,57
ENSDARG00000026834,9
ENSDARG00000059556,9
ENSDARG00000089338,2
ENSDARG00000076807,4
ENSDARG00000069869,0
ENSDARG00000103341,0
ENSDARG00000090930,0
ENSDARG00000097523,1
ENSDARG00000059557,0
ENSDARG00000089079,0
ENSDARG00000102593,2
ENSDARG00000074345,10
ENSDARG00000085668,0
ENSDARG00000098465,88
ENSDARG00000102896,7
ENSDARG00000099516,2
ENSDARG00000103893,4
ENSDARG00000102828,0
ENSDARG00000117600,2
ENSDARG00000115335,1
ENSDARG00000101919,2
ENSDARG00000036844,0
ENSDARG00000036846,8
ENSDARG00000090861,0
ENSDARG00000036852,0
ENSDARG00000099260,0
ENSDARG00000030560,15
ENSDARG00000052360,0
ENSDARG00000074669,1
ENSDARG00000018903,32
ENSDARG00000037790,81
ENSDARG00000024433,428
ENSDARG00000098994,0
ENSDARG00000037789,12776
ENSDARG00000032836,46
ENSDARG00000076324,33
ENSDARG00000074086,0
ENSDARG00000097521,1
ENSDARG00000097842,5
ENSDARG00000097501,2
ENSDARG00000088331,0
ENSDARG00000098021,1
ENSDARG00000096851,0
ENSDARG00000086332,19
ENSDARG00000031119,0
ENSDARG00000101684,0
ENSDARG00000097098,0
ENSDARG00000103947,4
ENSDARG00000074768,2
ENSDARG00000037794,0
ENSDARG00000074317,3
ENSDARG00000076679,63
ENSDARG00000067607,0
ENSDARG00000056394,10
ENSDARG00000041300,2
ENSDARG00000079482,0
ENSDARG00000041294,0
ENSDARG00000052344,2
ENSDARG00000067593,3
ENSDARG00000116815,6
ENSDARG00000116271,21
ENSDARG00000116723,0
ENSDARG00000102658,0
ENSDARG00000115456,1
ENSDARG00000069796,19
ENSDARG00000078281,0
ENSDARG00000111506,0
ENSDARG00000076831,0
ENSDARG00000077080,0
ENSDARG00000037783,32
ENSDARG00000037782,1
ENSDARG00000069806,0
ENSDARG00000097714,2
ENSDARG00000043923,8
ENSDARG00000102141,1
ENSDARG00000102123,0
ENSDARG00000114503,0
ENSDARG00000115971,0
ENSDARG00000098311,1
ENSDARG00000104839,0
ENSDARG00000100143,0
ENSDARG00000102474,11
ENSDARG00000104049,4
ENSDARG00000102226,4
ENSDARG00000103095,19
ENSDARG00000102128,8
ENSDARG00000110470,0
ENSDARG00000100422,0
ENSDARG00000104632,0
ENSDARG00000100660,2
ENSDARG00000113107,0
ENSDARG00000099787,0
ENSDARG00000112451,0
ENSDARG00000070546,0
ENSDARG00000045914,72
ENSDARG00000045913,33
ENSDARG00000045911,1
ENSDARG00000045910,8
ENSDARG00000045909,5
ENSDARG00000025073,1156
ENSDARG00000084828,0
ENSDARG00000095951,0
ENSDARG00000093924,0
ENSDARG00000108269,0
ENSDARG00000084451,0
ENSDARG00000031737,1
ENSDARG00000099652,4
ENSDARG00000101047,6
ENSDARG00000102104,0
ENSDARG00000099833,7
ENSDARG00000103870,1
ENSDARG00000096118,22
ENSDARG00000045900,1
ENSDARG00000016968,15
ENSDARG00000102878,21
ENSDARG00000059311,42
ENSDARG00000017386,0
ENSDARG00000045898,35
ENSDARG00000006060,28
ENSDARG00000113105,0
ENSDARG00000103050,0
ENSDARG00000070535,0
ENSDARG00000013789,0
ENSDARG00000063686,5
ENSDARG00000087962,6
ENSDARG00000099313,21
ENSDARG00000103102,1
ENSDARG00000104018,81
ENSDARG00000102157,0
ENSDARG00000098612,6
ENSDARG00000100898,0
ENSDARG00000102340,58
ENSDARG00000111388,0
ENSDARG00000025601,0
ENSDARG00000063672,16
ENSDARG00000018149,45
ENSDARG00000095920,0
ENSDARG00000045886,38
ENSDARG00000045885,16
ENSDARG00000007413,12
ENSDARG00000097341,3
ENSDARG00000045880,1
ENSDARG00000009657,11
ENSDARG00000093658,6
ENSDARG00000026839,14
ENSDARG00000016979,10
ENSDARG00000070477,7
ENSDARG00000045878,0
ENSDARG00000045877,30
ENSDARG00000079391,41
ENSDARG00000015921,14
ENSDARG00000099520,1
ENSDARG00000061544,1
ENSDARG00000020812,0
ENSDARG00000094007,0
ENSDARG00000093685,0
ENSDARG00000059196,0
ENSDARG00000009262,3
ENSDARG00000018618,76
ENSDARG00000045874,16
ENSDARG00000057468,1
ENSDARG00000045873,1
ENSDARG00000079143,0
ENSDARG00000057714,5
ENSDARG00000045224,1
ENSDARG00000011246,9
ENSDARG00000053709,0
ENSDARG00000099129,17
ENSDARG00000101813,69
ENSDARG00000039724,0
ENSDARG00000070441,3
ENSDARG00000011961,25
ENSDARG00000008986,1
ENSDARG00000008235,6
ENSDARG00000107595,0
ENSDARG00000004592,9
ENSDARG00000006567,1
ENSDARG00000016231,1
ENSDARG00000016749,5
ENSDARG00000004227,3
ENSDARG00000006038,6
ENSDARG00000045870,14
ENSDARG00000098551,0
ENSDARG00000060248,1
ENSDARG00000017757,8
ENSDARG00000030598,3
ENSDARG00000077356,0
ENSDARG00000097907,1
ENSDARG00000089860,1
ENSDARG00000097073,0
ENSDARG00000039843,5
ENSDARG00000077654,0
ENSDARG00000112842,0
ENSDARG00000070414,0
ENSDARG00000033296,7
ENSDARG00000006283,25
ENSDARG00000045864,2
ENSDARG00000045863,0
ENSDARG00000093470,0
ENSDARG00000105162,5
ENSDARG00000107526,1
ENSDARG00000016691,21
ENSDARG00000101363,15
ENSDARG00000095042,0
ENSDARG00000100963,0
ENSDARG00000115613,21
ENSDARG00000059043,6
ENSDARG00000075281,9
ENSDARG00000023766,13
ENSDARG00000097286,0
ENSDARG00000039356,1
ENSDARG00000059064,0
ENSDARG00000099725,0
ENSDARG00000090401,1
ENSDARG00000063578,0
ENSDARG00000106466,0
ENSDARG00000063563,31
ENSDARG00000039350,10
ENSDARG00000073963,1
ENSDARG00000069607,12
ENSDARG00000059053,13
ENSDARG00000092677,22
ENSDARG00000020871,20
ENSDARG00000039346,74
ENSDARG00000101565,2
ENSDARG00000097044,3
ENSDARG00000059003,7
ENSDARG00000039343,45
ENSDARG00000039340,3
ENSDARG00000070408,0
ENSDARG00000045858,5
ENSDARG00000045856,0
ENSDARG00000045854,0
ENSDARG00000045853,2
ENSDARG00000045851,0
ENSDARG00000095324,0
ENSDARG00000015623,0
ENSDARG00000030694,135
ENSDARG00000096037,7
ENSDARG00000045850,6
ENSDARG00000015931,57
ENSDARG00000063481,1
ENSDARG00000045847,24
ENSDARG00000045846,4
ENSDARG00000045843,26
ENSDARG00000045842,12
ENSDARG00000095332,8
ENSDARG00000014395,0
ENSDARG00000045837,2
ENSDARG00000094254,0
ENSDARG00000097507,4
ENSDARG00000095186,3
ENSDARG00000096986,0
ENSDARG00000097353,7
ENSDARG00000110143,0
ENSDARG00000045836,4
ENSDARG00000006409,0
ENSDARG00000045835,131
ENSDARG00000045834,13
ENSDARG00000034700,13
ENSDARG00000024465,16
ENSDARG00000017355,1
ENSDARG00000031956,1
ENSDARG00000070220,6
ENSDARG00000075956,5
ENSDARG00000009607,6
ENSDARG00000054321,78
ENSDARG00000024654,5
ENSDARG00000040610,8
ENSDARG00000003200,0
ENSDARG00000100253,0
ENSDARG00000091640,5
ENSDARG00000073858,8
ENSDARG00000088078,1
ENSDARG00000099560,16
ENSDARG00000087120,1
ENSDARG00000099280,5
ENSDARG00000101680,21
ENSDARG00000098745,2
ENSDARG00000074223,5
ENSDARG00000093020,0
ENSDARG00000091974,1
ENSDARG00000005453,37
ENSDARG00000090468,1
ENSDARG00000099281,18
ENSDARG00000068701,27
ENSDARG00000097967,0
ENSDARG00000068705,0
ENSDARG00000068708,40
ENSDARG00000024874,15
ENSDARG00000096138,0
ENSDARG00000084778,0
ENSDARG00000107521,0
ENSDARG00000110906,0
ENSDARG00000113211,0
ENSDARG00000102702,1
ENSDARG00000102461,0
ENSDARG00000101296,0
ENSDARG00000099870,3
ENSDARG00000070314,26
ENSDARG00000045822,79
ENSDARG00000105079,10
ENSDARG00000101254,2
ENSDARG00000006029,9
ENSDARG00000018688,1
ENSDARG00000112117,0
ENSDARG00000079470,2
ENSDARG00000105096,0
ENSDARG00000104976,0
ENSDARG00000086740,41
ENSDARG00000027799,5
ENSDARG00000045815,2
ENSDARG00000078073,16
ENSDARG00000075025,11
ENSDARG00000074905,2
ENSDARG00000026052,0
ENSDARG00000002663,6
ENSDARG00000074547,1
ENSDARG00000076313,3
ENSDARG00000074613,19
ENSDARG00000039393,10
ENSDARG00000039392,46
ENSDARG00000108662,0
ENSDARG00000081119,0
ENSDARG00000079824,1
ENSDARG00000076014,7
ENSDARG00000031930,0
ENSDARG00000109986,0
ENSDARG00000102464,0
ENSDARG00000081240,0
ENSDARG00000045801,6
ENSDARG00000096855,0
ENSDARG00000101849,82
ENSDARG00000093557,0
ENSDARG00000103537,0
ENSDARG00000102020,4
ENSDARG00000101967,31
ENSDARG00000088181,14
ENSDARG00000063097,13
ENSDARG00000039681,17
ENSDARG00000070230,5
ENSDARG00000077926,3
ENSDARG00000073881,0
ENSDARG00000034375,0
ENSDARG00000039185,21
ENSDARG00000058127,1
ENSDARG00000045788,9
ENSDARG00000045789,11
ENSDARG00000045790,1
ENSDARG00000058159,10
ENSDARG00000063149,17
ENSDARG00000016538,0
ENSDARG00000025859,9
ENSDARG00000058042,3
ENSDARG00000088044,0
ENSDARG00000091656,18
ENSDARG00000099821,0
ENSDARG00000063054,4
ENSDARG00000075501,5
ENSDARG00000058030,10
ENSDARG00000045704,0
ENSDARG00000045705,9
ENSDARG00000033179,5
ENSDARG00000109844,8
ENSDARG00000110426,0
ENSDARG00000096009,1
ENSDARG00000025824,7
ENSDARG00000004386,18
ENSDARG00000114963,0
ENSDARG00000045706,7
ENSDARG00000094732,8
ENSDARG00000057983,0
ENSDARG00000063008,21
ENSDARG00000057974,8
ENSDARG00000086650,0
ENSDARG00000003570,54
ENSDARG00000057942,2
ENSDARG00000062983,9
ENSDARG00000045708,0
ENSDARG00000070126,4
ENSDARG00000062968,25
ENSDARG00000057929,2
ENSDARG00000057921,1
ENSDARG00000018820,0
ENSDARG00000032799,14
ENSDARG00000032389,3
ENSDARG00000034326,25
ENSDARG00000045747,0
ENSDARG00000106389,0
ENSDARG00000094973,1
ENSDARG00000045748,5
ENSDARG00000094597,0
ENSDARG00000116855,0
ENSDARG00000097175,0
ENSDARG00000111380,0
ENSDARG00000095446,0
ENSDARG00000093014,1
ENSDARG00000096967,0
ENSDARG00000045749,13
ENSDARG00000095994,0
ENSDARG00000045750,2
ENSDARG00000095981,0
ENSDARG00000045752,0
ENSDARG00000092989,0
ENSDARG00000045753,5
ENSDARG00000045754,3
ENSDARG00000045755,13
ENSDARG00000096083,1
ENSDARG00000096010,0
ENSDARG00000096184,0
ENSDARG00000096047,0
ENSDARG00000094603,0
ENSDARG00000096156,0
ENSDARG00000096187,0
ENSDARG00000096039,0
ENSDARG00000096153,0
ENSDARG00000045758,0
ENSDARG00000045760,2
ENSDARG00000001781,0
ENSDARG00000096114,0
ENSDARG00000096218,0
ENSDARG00000096131,0
ENSDARG00000094545,0
ENSDARG00000019235,33
ENSDARG00000063299,105
ENSDARG00000070015,0
ENSDARG00000003822,1
ENSDARG00000005451,101
ENSDARG00000079698,1
ENSDARG00000045765,0
ENSDARG00000112657,0
ENSDARG00000032765,27
ENSDARG00000081841,0
ENSDARG00000081284,0
ENSDARG00000096147,0
ENSDARG00000025576,7
ENSDARG00000031228,27
ENSDARG00000096099,0
ENSDARG00000093427,0
ENSDARG00000092083,0
ENSDARG00000117743,1
ENSDARG00000094299,0
ENSDARG00000005891,14
ENSDARG00000063255,2
ENSDARG00000094457,0
ENSDARG00000045768,38
ENSDARG00000032242,1
ENSDARG00000058366,7
ENSDARG00000017661,8
ENSDARG00000020015,24
ENSDARG00000006747,84
ENSDARG00000094980,0
ENSDARG00000007639,12
ENSDARG00000041665,53
ENSDARG00000087319,0
ENSDARG00000058244,1
ENSDARG00000103365,0
ENSDARG00000095461,0
ENSDARG00000074873,0
ENSDARG00000104625,0
ENSDARG00000103215,0
ENSDARG00000019396,13
ENSDARG00000013476,2
ENSDARG00000085437,0
ENSDARG00000008720,34
ENSDARG00000110404,0
ENSDARG00000032618,12
ENSDARG00000022165,29
ENSDARG00000005897,12
ENSDARG00000053127,1
ENSDARG00000053131,0
ENSDARG00000053136,2
ENSDARG00000069912,6
ENSDARG00000117577,1
ENSDARG00000045658,14
ENSDARG00000015824,2
ENSDARG00000005541,6
ENSDARG00000078613,1
ENSDARG00000014361,25
ENSDARG00000110543,0
ENSDARG00000094001,0
ENSDARG00000097457,0
ENSDARG00000096135,1
ENSDARG00000015053,7
ENSDARG00000117423,1
ENSDARG00000017841,44
ENSDARG00000045669,0
ENSDARG00000094646,39
ENSDARG00000092714,0
ENSDARG00000024211,0
ENSDARG00000045671,0
ENSDARG00000045672,0
ENSDARG00000045673,0
ENSDARG00000045675,4
ENSDARG00000045676,14
ENSDARG00000045677,2863
ENSDARG00000081977,0
ENSDARG00000045680,5
ENSDARG00000045681,1
ENSDARG00000045683,0
ENSDARG00000078745,11
ENSDARG00000105458,0
ENSDARG00000006396,5
ENSDARG00000112990,0
ENSDARG00000045685,15
ENSDARG00000045687,0
ENSDARG00000022550,1
ENSDARG00000045692,28
ENSDARG00000015966,22
ENSDARG00000045691,17
ENSDARG00000045694,8
ENSDARG00000095980,2
ENSDARG00000096149,2
ENSDARG00000109403,0
ENSDARG00000113738,0
ENSDARG00000097023,0
ENSDARG00000097419,0
ENSDARG00000093588,0
ENSDARG00000069780,6
ENSDARG00000011661,13
ENSDARG00000062797,62
ENSDARG00000018744,0
ENSDARG00000020086,3
ENSDARG00000096496,0
ENSDARG00000092161,0
ENSDARG00000003811,12
ENSDARG00000094799,2
ENSDARG00000077090,0
ENSDARG00000079892,1
ENSDARG00000015985,1
ENSDARG00000112970,0
ENSDARG00000045589,0
ENSDARG00000112858,0
ENSDARG00000057334,7
ENSDARG00000113699,0
ENSDARG00000106193,0
ENSDARG00000045594,0
ENSDARG00000045595,1
ENSDARG00000006215,26
ENSDARG00000045598,19
ENSDARG00000017366,1
ENSDARG00000020101,24
ENSDARG00000022424,13
ENSDARG00000004497,7
ENSDARG00000002952,34
ENSDARG00000045601,1
ENSDARG00000007764,2
ENSDARG00000096823,0
ENSDARG00000062651,5
ENSDARG00000000019,56
ENSDARG00000080467,0
ENSDARG00000083126,0
ENSDARG00000081095,0
ENSDARG00000000018,18
ENSDARG00000092341,4
ENSDARG00000093247,0
ENSDARG00000019328,56
ENSDARG00000032919,18
ENSDARG00000004336,3
ENSDARG00000094584,1
ENSDARG00000069698,0
ENSDARG00000069692,1
ENSDARG00000093135,0
ENSDARG00000092944,0
ENSDARG00000092064,1
ENSDARG00000089640,1
ENSDARG00000087241,0
ENSDARG00000034823,33
ENSDARG00000032319,3
ENSDARG00000097754,0
ENSDARG00000095103,0
ENSDARG00000093168,0
ENSDARG00000093983,0
ENSDARG00000092097,0
ENSDARG00000113342,0
ENSDARG00000116640,0
ENSDARG00000113663,0
ENSDARG00000112642,0
ENSDARG00000012684,96
ENSDARG00000117071,0
ENSDARG00000056954,2
ENSDARG00000056950,109
ENSDARG00000111690,0
ENSDARG00000056938,20
ENSDARG00000045580,46
ENSDARG00000012066,41
ENSDARG00000088002,0
ENSDARG00000027249,229
ENSDARG00000020749,0
ENSDARG00000032653,20
ENSDARG00000003789,23
ENSDARG00000023026,0
ENSDARG00000027316,26
ENSDARG00000095159,0
ENSDARG00000093371,0
ENSDARG00000004904,0
ENSDARG00000093058,30
ENSDARG00000022795,2
ENSDARG00000056859,1
ENSDARG00000077985,2
ENSDARG00000019644,296
ENSDARG00000027424,46
ENSDARG00000007315,6
ENSDARG00000007405,13
ENSDARG00000019420,50
ENSDARG00000011582,19
ENSDARG00000085074,0
ENSDARG00000117277,0
ENSDARG00000091957,0
ENSDARG00000016815,1
ENSDARG00000045574,4
ENSDARG00000045568,4
ENSDARG00000094132,1
ENSDARG00000094191,3
ENSDARG00000073959,3
ENSDARG00000029944,3
ENSDARG00000093287,0
ENSDARG00000038384,2
ENSDARG00000020143,32
ENSDARG00000038386,7
ENSDARG00000007175,7
ENSDARG00000002174,2
ENSDARG00000079985,4
ENSDARG00000006011,2
ENSDARG00000002128,7
ENSDARG00000115392,0
ENSDARG00000045563,8
ENSDARG00000045561,0
ENSDARG00000030153,4
ENSDARG00000014572,47
ENSDARG00000045560,17
ENSDARG00000094593,0
ENSDARG00000097601,0
ENSDARG00000087438,1
ENSDARG00000012435,0
ENSDARG00000016886,0
ENSDARG00000076690,0
ENSDARG00000021239,7
ENSDARG00000003512,38
ENSDARG00000111346,0
ENSDARG00000004055,7
ENSDARG00000015278,2
ENSDARG00000028192,1
ENSDARG00000097434,0
ENSDARG00000045557,2
ENSDARG00000033757,3
ENSDARG00000045555,4
ENSDARG00000117252,1
ENSDARG00000073965,0
ENSDARG00000045552,1
ENSDARG00000005547,2
ENSDARG00000097195,0
ENSDARG00000029018,8
ENSDARG00000095705,17
ENSDARG00000031777,0
ENSDARG00000081807,0
ENSDARG00000082287,0
ENSDARG00000022858,0
ENSDARG00000008439,0
ENSDARG00000034717,0
ENSDARG00000069431,0
ENSDARG00000003615,11
ENSDARG00000007371,0
ENSDARG00000015222,9
ENSDARG00000096473,0
ENSDARG00000045549,1
ENSDARG00000016613,0
ENSDARG00000008867,58
ENSDARG00000115618,0
ENSDARG00000094428,1
ENSDARG00000029524,27
ENSDARG00000099812,3
ENSDARG00000045548,0
ENSDARG00000082824,0
ENSDARG00000083992,0
ENSDARG00000094118,0
ENSDARG00000006766,79
ENSDARG00000069402,38
ENSDARG00000021336,0
ENSDARG00000045544,0
ENSDARG00000014804,5
ENSDARG00000111326,0
ENSDARG00000001912,6
ENSDARG00000106138,1
ENSDARG00000104301,3
ENSDARG00000045543,14
ENSDARG00000045542,24
ENSDARG00000045541,0
ENSDARG00000011605,1
ENSDARG00000045540,32
ENSDARG00000056152,9
ENSDARG00000056145,0
ENSDARG00000101236,9
ENSDARG00000037960,16
ENSDARG00000017163,0
ENSDARG00000004794,1
ENSDARG00000019861,1
ENSDARG00000045481,1
ENSDARG00000045482,9
ENSDARG00000103810,2
ENSDARG00000045483,0
ENSDARG00000026855,0
ENSDARG00000045484,0
ENSDARG00000008398,1
ENSDARG00000082618,0
ENSDARG00000009252,5
ENSDARG00000011764,8
ENSDARG00000045485,11
ENSDARG00000117503,0
ENSDARG00000055245,0
ENSDARG00000114678,0
ENSDARG00000090038,0
ENSDARG00000090277,0
ENSDARG00000005476,9
ENSDARG00000030614,265
ENSDARG00000045486,3
ENSDARG00000010784,35
ENSDARG00000117468,0
ENSDARG00000045487,639
ENSDARG00000092717,0
ENSDARG00000097427,0
ENSDARG00000029830,0
ENSDARG00000007277,4
ENSDARG00000098436,0
ENSDARG00000013414,45
ENSDARG00000106953,0
ENSDARG00000032218,4
ENSDARG00000013000,1
ENSDARG00000096999,0
ENSDARG00000095571,0
ENSDARG00000055360,22
ENSDARG00000012729,4
ENSDARG00000061951,71
ENSDARG00000010454,0
ENSDARG00000021579,3
ENSDARG00000021595,58
ENSDARG00000007523,19
ENSDARG00000045490,73
ENSDARG00000018111,9
ENSDARG00000117573,0
ENSDARG00000034300,1
ENSDARG00000032639,23
ENSDARG00000021647,29
ENSDARG00000016010,6
ENSDARG00000021590,4
ENSDARG00000045493,0
ENSDARG00000094023,0
ENSDARG00000033443,12
ENSDARG00000109358,9
ENSDARG00000108552,0
ENSDARG00000108019,0
ENSDARG00000084043,0
ENSDARG00000111837,7
ENSDARG00000084741,0
ENSDARG00000011769,3
