Identifier,BPAF-0.1ug/L-A
ENSDARG00000105091,0
ENSDARG00000104561,2
ENSDARG00000103283,0
ENSDARG00000105242,0
ENSDARG00000099090,0
ENSDARG00000114716,0
ENSDARG00000102884,0
ENSDARG00000101327,1
ENSDARG00000109530,0
ENSDARG00000115792,0
ENSDARG00000114078,0
ENSDARG00000109871,0
ENSDARG00000099341,0
ENSDARG00000100743,0
ENSDARG00000086179,0
ENSDARG00000098835,0
ENSDARG00000101966,0
ENSDARG00000101388,0
ENSDARG00000104619,0
ENSDARG00000099910,0
ENSDARG00000098444,0
ENSDARG00000102616,0
ENSDARG00000110810,0
ENSDARG00000102360,0
ENSDARG00000101272,0
ENSDARG00000112027,1
ENSDARG00000103371,0
ENSDARG00000102853,0
ENSDARG00000113391,1
ENSDARG00000088443,0
ENSDARG00000099466,0
ENSDARG00000090824,0
ENSDARG00000117469,0
ENSDARG00000102581,1
ENSDARG00000098851,0
ENSDARG00000104986,0
ENSDARG00000101555,2
ENSDARG00000102839,0
ENSDARG00000100930,0
ENSDARG00000104787,1
ENSDARG00000104897,0
ENSDARG00000103324,0
ENSDARG00000101756,3
ENSDARG00000105279,3
ENSDARG00000099571,0
ENSDARG00000100950,0
ENSDARG00000101728,0
ENSDARG00000103254,2
ENSDARG00000101071,0
ENSDARG00000101421,0
ENSDARG00000101087,4
ENSDARG00000116086,0
ENSDARG00000104590,1
ENSDARG00000100240,3
ENSDARG00000100464,0
ENSDARG00000102225,0
ENSDARG00000102638,0
ENSDARG00000101403,1
ENSDARG00000101902,0
ENSDARG00000102713,0
ENSDARG00000115256,0
ENSDARG00000115029,3
ENSDARG00000102031,0
ENSDARG00000103100,0
ENSDARG00000099643,0
ENSDARG00000098305,0
ENSDARG00000104650,0
ENSDARG00000099789,0
ENSDARG00000098979,0
ENSDARG00000104890,3
ENSDARG00000100338,0
ENSDARG00000100006,0
ENSDARG00000101828,1
ENSDARG00000099381,1
ENSDARG00000100811,0
ENSDARG00000101757,0
ENSDARG00000103306,2
ENSDARG00000114142,2
ENSDARG00000092139,0
ENSDARG00000112831,0
ENSDARG00000114396,0
ENSDARG00000102156,1
ENSDARG00000098066,0
ENSDARG00000099711,0
ENSDARG00000117400,0
ENSDARG00000101514,1
ENSDARG00000104817,3
ENSDARG00000098716,0
ENSDARG00000105976,1
ENSDARG00000102283,0
ENSDARG00000101014,0
ENSDARG00000116300,3
ENSDARG00000104163,0
ENSDARG00000090998,1
ENSDARG00000117524,0
ENSDARG00000091841,0
ENSDARG00000112072,0
ENSDARG00000091393,1
ENSDARG00000105731,16
ENSDARG00000105829,0
ENSDARG00000075417,5
ENSDARG00000103375,2
ENSDARG00000089598,0
ENSDARG00000089092,2
ENSDARG00000098324,0
ENSDARG00000089715,0
ENSDARG00000090942,0
ENSDARG00000103952,0
ENSDARG00000101908,10
ENSDARG00000101645,3
ENSDARG00000111905,0
ENSDARG00000098811,5
ENSDARG00000102586,2
ENSDARG00000099864,0
ENSDARG00000098722,0
ENSDARG00000102460,0
ENSDARG00000104120,0
ENSDARG00000113301,0
ENSDARG00000105739,0
ENSDARG00000102835,0
ENSDARG00000105696,2
ENSDARG00000103865,1
ENSDARG00000101365,3
ENSDARG00000105781,0
ENSDARG00000103850,2
ENSDARG00000091869,2
ENSDARG00000095030,0
ENSDARG00000105728,0
ENSDARG00000095135,4
ENSDARG00000074298,7
ENSDARG00000096111,0
ENSDARG00000105713,1
ENSDARG00000098389,1
ENSDARG00000054957,0
ENSDARG00000077239,0
ENSDARG00000096120,3
ENSDARG00000075470,4
ENSDARG00000096030,0
ENSDARG00000096141,0
ENSDARG00000101193,4
ENSDARG00000103751,2
ENSDARG00000095670,1
ENSDARG00000073708,4
ENSDARG00000105816,1
ENSDARG00000102154,1
ENSDARG00000094612,0
ENSDARG00000094551,5
ENSDARG00000092608,1
ENSDARG00000080016,1
ENSDARG00000105727,0
ENSDARG00000105692,0
ENSDARG00000105806,1
ENSDARG00000113971,4
ENSDARG00000088367,0
ENSDARG00000086752,1
ENSDARG00000117736,0
ENSDARG00000116221,0
ENSDARG00000086576,2
ENSDARG00000100752,11
ENSDARG00000105760,0
ENSDARG00000103350,7
ENSDARG00000105744,14
ENSDARG00000076624,4
ENSDARG00000091499,1
ENSDARG00000105746,0
ENSDARG00000017108,1
ENSDARG00000105822,8
ENSDARG00000109502,2
ENSDARG00000017454,10
ENSDARG00000068830,6
ENSDARG00000005126,0
ENSDARG00000100624,2
ENSDARG00000112073,1
ENSDARG00000090570,0
ENSDARG00000087867,0
ENSDARG00000117634,0
ENSDARG00000059409,1
ENSDARG00000102191,27
ENSDARG00000103844,1
ENSDARG00000102468,0
ENSDARG00000104916,0
ENSDARG00000103197,1
ENSDARG00000098369,0
ENSDARG00000099112,0
ENSDARG00000090392,1
ENSDARG00000103314,0
ENSDARG00000104956,4
ENSDARG00000098218,0
ENSDARG00000101571,3
ENSDARG00000101551,1
ENSDARG00000104166,3
ENSDARG00000102432,0
ENSDARG00000100348,0
ENSDARG00000104008,0
ENSDARG00000101653,0
ENSDARG00000102575,0
ENSDARG00000098653,0
ENSDARG00000104966,1
ENSDARG00000112632,0
ENSDARG00000099327,0
ENSDARG00000103186,0
ENSDARG00000102473,2
ENSDARG00000101690,0
ENSDARG00000101030,3
ENSDARG00000101675,0
ENSDARG00000105724,0
ENSDARG00000105810,0
ENSDARG00000102679,3
ENSDARG00000101883,5
ENSDARG00000100294,3
ENSDARG00000104208,0
ENSDARG00000100164,0
ENSDARG00000089142,3
ENSDARG00000077205,0
ENSDARG00000029105,5
ENSDARG00000113741,0
ENSDARG00000116378,1
ENSDARG00000054898,3
ENSDARG00000094809,5
ENSDARG00000094854,10
ENSDARG00000043802,2
ENSDARG00000092204,1
ENSDARG00000105674,0
ENSDARG00000043798,0
ENSDARG00000043796,2
ENSDARG00000091970,1
ENSDARG00000007018,0
ENSDARG00000095695,0
ENSDARG00000014024,0
ENSDARG00000053563,0
ENSDARG00000093546,0
ENSDARG00000097527,0
ENSDARG00000099099,5
ENSDARG00000105672,3
ENSDARG00000105743,0
ENSDARG00000105800,0
ENSDARG00000105694,0
ENSDARG00000106998,1
ENSDARG00000089296,1
ENSDARG00000095013,0
ENSDARG00000094215,4
ENSDARG00000095696,1
ENSDARG00000095717,0
ENSDARG00000105831,3
ENSDARG00000105689,5
ENSDARG00000096001,0
ENSDARG00000102480,1
ENSDARG00000104678,4
ENSDARG00000085395,0
ENSDARG00000095486,0
ENSDARG00000075090,0
ENSDARG00000099076,0
ENSDARG00000105712,0
ENSDARG00000076476,0
ENSDARG00000101763,0
ENSDARG00000102027,1
ENSDARG00000099945,1
ENSDARG00000092241,1
ENSDARG00000043781,6
ENSDARG00000097086,4
ENSDARG00000097215,0
ENSDARG00000076442,2
ENSDARG00000053695,2
ENSDARG00000113837,0
ENSDARG00000105784,0
ENSDARG00000101156,0
ENSDARG00000105051,0
ENSDARG00000105691,0
ENSDARG00000100780,1
ENSDARG00000104108,24
ENSDARG00000115094,1
ENSDARG00000112275,797
ENSDARG00000115988,71
ENSDARG00000081218,2
ENSDARG00000115978,518
ENSDARG00000113671,815
ENSDARG00000097345,0
ENSDARG00000096762,0
ENSDARG00000068874,0
ENSDARG00000092759,0
ENSDARG00000068869,0
ENSDARG00000068865,0
ENSDARG00000096726,0
ENSDARG00000068857,0
ENSDARG00000025046,0
ENSDARG00000099384,0
ENSDARG00000100669,4
ENSDARG00000104380,0
ENSDARG00000101992,1
ENSDARG00000100654,1
ENSDARG00000090778,3
ENSDARG00000078014,8
ENSDARG00000097583,1
ENSDARG00000078520,3
ENSDARG00000039302,9
ENSDARG00000032405,27
ENSDARG00000087206,0
ENSDARG00000099824,0
ENSDARG00000104674,131
ENSDARG00000101049,0
ENSDARG00000104282,0
ENSDARG00000089701,0
ENSDARG00000114329,1
ENSDARG00000104069,14
ENSDARG00000104090,1
ENSDARG00000059020,0
ENSDARG00000023495,2
ENSDARG00000115316,0
ENSDARG00000028663,1
ENSDARG00000115526,0
ENSDARG00000112702,0
ENSDARG00000089382,189094
ENSDARG00000116751,0
ENSDARG00000114355,8
ENSDARG00000086896,4
ENSDARG00000115659,0
ENSDARG00000075952,11
ENSDARG00000032997,22
ENSDARG00000102788,2
ENSDARG00000098889,0
ENSDARG00000115962,0
ENSDARG00000103525,0
ENSDARG00000115177,0
ENSDARG00000104647,2
ENSDARG00000114750,0
ENSDARG00000112476,11
ENSDARG00000086753,15
ENSDARG00000089781,2
ENSDARG00000010042,86
ENSDARG00000083179,0
ENSDARG00000063197,3
ENSDARG00000016594,4
ENSDARG00000037172,1
ENSDARG00000104722,9
ENSDARG00000099226,0
ENSDARG00000105237,1
ENSDARG00000038312,5
ENSDARG00000081347,0
ENSDARG00000033355,0
ENSDARG00000042090,0
ENSDARG00000045982,0
ENSDARG00000051783,1955
ENSDARG00000081702,0
ENSDARG00000115262,0
ENSDARG00000083378,0
ENSDARG00000051785,5
ENSDARG00000110675,0
ENSDARG00000097550,1
ENSDARG00000094300,58
ENSDARG00000043644,10
ENSDARG00000063126,51
ENSDARG00000106085,0
ENSDARG00000043589,5
ENSDARG00000089856,3
ENSDARG00000106425,0
ENSDARG00000113093,0
ENSDARG00000102078,1
ENSDARG00000104043,5
ENSDARG00000112165,2
ENSDARG00000103846,57
ENSDARG00000098751,0
ENSDARG00000117770,0
ENSDARG00000018351,26
ENSDARG00000104686,0
ENSDARG00000113969,12
ENSDARG00000082167,0
ENSDARG00000103792,0
ENSDARG00000117274,0
ENSDARG00000117282,0
ENSDARG00000117803,0
ENSDARG00000067626,62
ENSDARG00000041065,10
ENSDARG00000096920,3
ENSDARG00000117668,4
ENSDARG00000110111,0
ENSDARG00000089107,0
ENSDARG00000104054,0
ENSDARG00000063021,0
ENSDARG00000039887,56
ENSDARG00000023950,1
ENSDARG00000101035,0
ENSDARG00000073761,0
ENSDARG00000079244,1
ENSDARG00000055086,13
ENSDARG00000046090,13
ENSDARG00000046091,0
ENSDARG00000108953,1
ENSDARG00000108340,0
ENSDARG00000046092,0
ENSDARG00000017762,30
ENSDARG00000069013,22
ENSDARG00000035652,98
ENSDARG00000095908,40
ENSDARG00000104696,12
ENSDARG00000098424,0
ENSDARG00000045979,64
ENSDARG00000117133,0
ENSDARG00000101063,6
ENSDARG00000117107,1
ENSDARG00000112540,0
ENSDARG00000117459,0
ENSDARG00000117640,1
ENSDARG00000117672,0
ENSDARG00000024030,5
ENSDARG00000045983,1
ENSDARG00000114000,0
ENSDARG00000104815,5
ENSDARG00000091619,5
ENSDARG00000089262,1
ENSDARG00000113854,0
ENSDARG00000091777,0
ENSDARG00000079046,4
ENSDARG00000110842,0
ENSDARG00000115005,0
ENSDARG00000078378,0
ENSDARG00000078362,9
ENSDARG00000023759,16
ENSDARG00000102015,2
ENSDARG00000041301,0
ENSDARG00000068760,70
ENSDARG00000106434,0
ENSDARG00000041299,4
ENSDARG00000088590,8
ENSDARG00000098525,0
ENSDARG00000091555,12
ENSDARG00000076853,4
ENSDARG00000100718,6
ENSDARG00000045095,7
ENSDARG00000012649,0
ENSDARG00000116583,0
ENSDARG00000112585,0
ENSDARG00000061060,0
ENSDARG00000076082,11
ENSDARG00000107018,0
ENSDARG00000104724,0
ENSDARG00000099133,0
ENSDARG00000102779,0
ENSDARG00000104100,4
ENSDARG00000116302,0
ENSDARG00000098630,0
ENSDARG00000101777,3
ENSDARG00000103259,0
ENSDARG00000099008,1
ENSDARG00000103550,0
ENSDARG00000103764,0
ENSDARG00000098272,16
ENSDARG00000104431,18
ENSDARG00000099566,2
ENSDARG00000101556,0
ENSDARG00000101104,1
ENSDARG00000103351,4
ENSDARG00000098330,1
ENSDARG00000098857,1
ENSDARG00000100738,0
ENSDARG00000100867,10
ENSDARG00000094764,0
ENSDARG00000083865,0
ENSDARG00000117779,0
ENSDARG00000092445,0
ENSDARG00000042892,10
ENSDARG00000078214,23
ENSDARG00000106327,0
ENSDARG00000115465,0
ENSDARG00000100475,2
ENSDARG00000067549,2
ENSDARG00000006491,6
ENSDARG00000100960,0
ENSDARG00000062897,12
ENSDARG00000101642,1
ENSDARG00000062904,2
ENSDARG00000068940,135
ENSDARG00000062906,2
ENSDARG00000092487,0
ENSDARG00000035646,0
ENSDARG00000016710,7
ENSDARG00000092683,0
ENSDARG00000095523,0
ENSDARG00000023479,0
ENSDARG00000091930,0
ENSDARG00000094737,0
ENSDARG00000058839,0
ENSDARG00000117709,0
ENSDARG00000117438,0
ENSDARG00000101067,0
ENSDARG00000042041,0
ENSDARG00000113218,1
ENSDARG00000093043,0
ENSDARG00000110614,1
ENSDARG00000109611,0
ENSDARG00000116986,0
ENSDARG00000091624,1
ENSDARG00000090654,8
ENSDARG00000069958,0
ENSDARG00000067546,1
ENSDARG00000103830,2
ENSDARG00000099411,3
ENSDARG00000091169,0
ENSDARG00000073808,0
ENSDARG00000078938,0
ENSDARG00000106357,0
ENSDARG00000063288,4
ENSDARG00000095464,7
ENSDARG00000025820,0
ENSDARG00000075416,1
ENSDARG00000068915,6
ENSDARG00000095118,0
ENSDARG00000095661,0
ENSDARG00000117296,0
ENSDARG00000094523,0
ENSDARG00000094855,0
ENSDARG00000092211,0
ENSDARG00000097106,2
ENSDARG00000097376,0
ENSDARG00000096919,0
ENSDARG00000090035,13
ENSDARG00000086512,2
ENSDARG00000117617,2
ENSDARG00000114825,9
ENSDARG00000010602,3
ENSDARG00000078272,6
ENSDARG00000020204,3
ENSDARG00000076611,4
ENSDARG00000028346,1
ENSDARG00000114054,0
ENSDARG00000079089,0
ENSDARG00000090789,0
ENSDARG00000053019,4
ENSDARG00000078315,3
ENSDARG00000100948,0
ENSDARG00000079588,7
ENSDARG00000107096,0
ENSDARG00000005320,0
ENSDARG00000098365,0
ENSDARG00000068910,7
ENSDARG00000113708,0
ENSDARG00000093726,0
ENSDARG00000094526,7
ENSDARG00000107029,0
ENSDARG00000094172,0
ENSDARG00000078551,2
ENSDARG00000035634,17
ENSDARG00000058608,0
ENSDARG00000058605,2
ENSDARG00000068863,1
ENSDARG00000083432,0
ENSDARG00000062780,0
ENSDARG00000076137,0
ENSDARG00000015905,8
ENSDARG00000058533,8
ENSDARG00000002300,10
ENSDARG00000018902,28
ENSDARG00000062711,4
ENSDARG00000002016,5
ENSDARG00000107236,0
ENSDARG00000035630,4
ENSDARG00000027552,13
ENSDARG00000005786,2
ENSDARG00000027586,1
ENSDARG00000111436,0
ENSDARG00000083224,0
ENSDARG00000082169,0
ENSDARG00000081232,0
ENSDARG00000080347,0
ENSDARG00000062655,1
ENSDARG00000035631,4
ENSDARG00000027141,28
ENSDARG00000058389,1
ENSDARG00000035632,0
ENSDARG00000035633,4
ENSDARG00000059729,5
ENSDARG00000074309,2
ENSDARG00000103737,0
ENSDARG00000114308,0
ENSDARG00000100573,9
ENSDARG00000068011,0
ENSDARG00000117407,12
ENSDARG00000068822,93
ENSDARG00000068820,39
ENSDARG00000012281,38
ENSDARG00000032039,4
ENSDARG00000035625,29
ENSDARG00000074581,62
ENSDARG00000087166,0
ENSDARG00000101482,4
ENSDARG00000062631,0
ENSDARG00000104556,0
ENSDARG00000062646,66
ENSDARG00000104490,0
ENSDARG00000016128,18
ENSDARG00000018907,29
ENSDARG00000068759,4
ENSDARG00000079611,8
ENSDARG00000083583,0
ENSDARG00000097882,0
ENSDARG00000097046,0
ENSDARG00000031891,9
ENSDARG00000036293,0
ENSDARG00000094470,0
ENSDARG00000075923,1
ENSDARG00000042069,17
ENSDARG00000060751,8
ENSDARG00000073737,28
ENSDARG00000114460,0
ENSDARG00000086327,15
ENSDARG00000068742,0
ENSDARG00000084148,0
ENSDARG00000116633,0
ENSDARG00000058365,13
ENSDARG00000105422,5
ENSDARG00000035622,80
ENSDARG00000062573,0
ENSDARG00000035618,4
ENSDARG00000062579,8
ENSDARG00000101452,0
ENSDARG00000102387,1
ENSDARG00000062601,0
ENSDARG00000114637,0
ENSDARG00000095272,2
ENSDARG00000023267,1
ENSDARG00000006832,18
ENSDARG00000102093,0
ENSDARG00000113726,0
ENSDARG00000095235,0
ENSDARG00000092687,1
ENSDARG00000058232,28
ENSDARG00000075347,4
ENSDARG00000093201,0
ENSDARG00000018508,11
ENSDARG00000013058,1
ENSDARG00000059424,0
ENSDARG00000013434,6
ENSDARG00000062538,1
ENSDARG00000012468,10
ENSDARG00000010108,0
ENSDARG00000029250,3
ENSDARG00000035608,9
ENSDARG00000035607,7
ENSDARG00000062511,8
ENSDARG00000014817,55
ENSDARG00000086007,0
ENSDARG00000068650,10
ENSDARG00000017391,4
ENSDARG00000062040,1
ENSDARG00000095288,57
ENSDARG00000092739,0
ENSDARG00000061994,14
ENSDARG00000010591,8
ENSDARG00000061968,0
ENSDARG00000017115,10
ENSDARG00000061960,3
ENSDARG00000035606,0
ENSDARG00000068344,7
ENSDARG00000004130,0
ENSDARG00000090797,0
ENSDARG00000061941,0
ENSDARG00000061921,0
ENSDARG00000035605,6
ENSDARG00000061915,1
ENSDARG00000061901,1
ENSDARG00000095754,3
ENSDARG00000057017,0
ENSDARG00000028857,1
ENSDARG00000107888,0
ENSDARG00000056855,6
ENSDARG00000086374,0
ENSDARG00000003144,4
ENSDARG00000056842,0
ENSDARG00000056833,0
ENSDARG00000035603,0
ENSDARG00000035602,0
ENSDARG00000035601,0
ENSDARG00000056780,0
ENSDARG00000035598,52
ENSDARG00000115014,0
ENSDARG00000105023,0
ENSDARG00000095259,0
ENSDARG00000092834,0
ENSDARG00000035596,39
ENSDARG00000008032,22
ENSDARG00000035595,0
ENSDARG00000095509,0
ENSDARG00000090890,0
ENSDARG00000110362,0
ENSDARG00000109654,0
ENSDARG00000061819,6
ENSDARG00000083427,0
ENSDARG00000068279,0
ENSDARG00000002405,9
ENSDARG00000005104,22
ENSDARG00000003281,23
ENSDARG00000093563,0
ENSDARG00000035579,8
ENSDARG00000011065,67
ENSDARG00000061806,0
ENSDARG00000094417,0
ENSDARG00000035578,2
ENSDARG00000035577,31
ENSDARG00000061784,2
ENSDARG00000061769,0
ENSDARG00000078002,0
ENSDARG00000093719,0
ENSDARG00000093599,0
ENSDARG00000092793,0
ENSDARG00000095348,0
ENSDARG00000109082,0
ENSDARG00000003403,3
ENSDARG00000091976,0
ENSDARG00000012776,20
ENSDARG00000093081,1
ENSDARG00000076998,1
ENSDARG00000061746,1
ENSDARG00000079624,14
ENSDARG00000017086,14
ENSDARG00000008592,7
ENSDARG00000034138,0
ENSDARG00000015314,61
ENSDARG00000094151,0
ENSDARG00000062463,2
ENSDARG00000062457,6
ENSDARG00000058128,93
ENSDARG00000038956,0
ENSDARG00000080589,0
ENSDARG00000093708,1
ENSDARG00000058120,0
ENSDARG00000094418,0
ENSDARG00000092228,1
ENSDARG00000093947,0
ENSDARG00000092602,0
ENSDARG00000068624,1
ENSDARG00000058105,592
ENSDARG00000058103,3
ENSDARG00000058088,17
ENSDARG00000058068,1
ENSDARG00000091926,0
ENSDARG00000020482,30
ENSDARG00000035610,14
ENSDARG00000035609,0
ENSDARG00000093945,26
ENSDARG00000016536,0
ENSDARG00000010331,0
ENSDARG00000039374,9
ENSDARG00000075491,13
ENSDARG00000094025,0
ENSDARG00000062326,238
ENSDARG00000035540,3
ENSDARG00000099624,30
ENSDARG00000100436,2
ENSDARG00000099449,11
ENSDARG00000101039,0
ENSDARG00000035549,11
ENSDARG00000089271,47
ENSDARG00000015524,26
ENSDARG00000092060,0
ENSDARG00000095150,0
ENSDARG00000093383,0
ENSDARG00000035550,0
ENSDARG00000035551,1
ENSDARG00000062362,5
ENSDARG00000080223,0
ENSDARG00000035552,7
ENSDARG00000094760,4
ENSDARG00000011929,16
ENSDARG00000062376,27
ENSDARG00000094576,1
ENSDARG00000032737,3
ENSDARG00000092464,3
ENSDARG00000093389,0
ENSDARG00000094279,0
ENSDARG00000011783,11
ENSDARG00000010752,11
ENSDARG00000110136,0
ENSDARG00000013382,23
ENSDARG00000012432,18
ENSDARG00000004587,9
ENSDARG00000004616,0
ENSDARG00000035553,3
ENSDARG00000110179,0
ENSDARG00000004082,2
ENSDARG00000062192,4
ENSDARG00000108746,0
ENSDARG00000016867,18
ENSDARG00000025275,1
ENSDARG00000011283,0
ENSDARG00000092718,1
ENSDARG00000091944,1
ENSDARG00000068503,5
ENSDARG00000093509,0
ENSDARG00000091936,0
ENSDARG00000035555,3
ENSDARG00000091969,1
ENSDARG00000062221,7
ENSDARG00000112232,0
ENSDARG00000002479,1
ENSDARG00000068480,21
ENSDARG00000112810,0
ENSDARG00000029003,8
ENSDARG00000035556,22
ENSDARG00000012387,71
ENSDARG00000016519,3
ENSDARG00000035557,48
ENSDARG00000035558,10
ENSDARG00000035559,14
ENSDARG00000092931,0
ENSDARG00000035560,0
ENSDARG00000028542,30
ENSDARG00000057855,15
ENSDARG00000062271,2
ENSDARG00000057706,7
ENSDARG00000035562,1
ENSDARG00000010770,22
ENSDARG00000096970,0
ENSDARG00000003032,163
ENSDARG00000095538,14
ENSDARG00000093078,0
ENSDARG00000030887,1
ENSDARG00000034534,42
ENSDARG00000094852,0
ENSDARG00000094537,2
ENSDARG00000029039,0
ENSDARG00000097282,0
ENSDARG00000011701,2
ENSDARG00000035563,23
ENSDARG00000085740,0
ENSDARG00000026476,25
ENSDARG00000035564,30
ENSDARG00000081904,0
ENSDARG00000002830,5
ENSDARG00000035565,3
ENSDARG00000022772,2
ENSDARG00000093639,1
ENSDARG00000062314,0
ENSDARG00000020621,18
ENSDARG00000078803,16
ENSDARG00000020465,52
ENSDARG00000079816,0
ENSDARG00000076119,6
ENSDARG00000019207,0
ENSDARG00000040002,12
ENSDARG00000002264,8
ENSDARG00000062083,4
ENSDARG00000078807,3
ENSDARG00000013500,8
ENSDARG00000102865,1
ENSDARG00000105278,4
ENSDARG00000103454,3
ENSDARG00000033498,7
ENSDARG00000081470,0
ENSDARG00000093253,3
ENSDARG00000026726,66
ENSDARG00000092460,0
ENSDARG00000095684,0
ENSDARG00000094540,1
ENSDARG00000035569,14
ENSDARG00000030311,0
ENSDARG00000056386,2
ENSDARG00000018898,39
ENSDARG00000002986,12
ENSDARG00000035570,8
ENSDARG00000035571,6
ENSDARG00000061600,7
ENSDARG00000039181,2
ENSDARG00000092641,0
ENSDARG00000081105,0
ENSDARG00000068194,15
ENSDARG00000094696,0
ENSDARG00000013813,16
ENSDARG00000094488,20
ENSDARG00000007276,260
ENSDARG00000027620,3
ENSDARG00000092556,1
ENSDARG00000004251,17
ENSDARG00000061641,0
ENSDARG00000020024,4
ENSDARG00000056477,6
ENSDARG00000018918,2
ENSDARG00000035573,14
ENSDARG00000061651,3
ENSDARG00000003091,11
ENSDARG00000016514,4
ENSDARG00000021859,1
ENSDARG00000020952,8
ENSDARG00000061688,71
ENSDARG00000056550,5
ENSDARG00000068227,0
ENSDARG00000023958,3
ENSDARG00000093823,2
ENSDARG00000091872,3
ENSDARG00000036481,11
ENSDARG00000077653,21
ENSDARG00000079387,0
ENSDARG00000054540,3
ENSDARG00000054533,13
ENSDARG00000068233,1
ENSDARG00000088663,5
ENSDARG00000096925,0
ENSDARG00000061509,1
ENSDARG00000035515,5
ENSDARG00000005943,4
ENSDARG00000097723,0
ENSDARG00000094173,4
ENSDARG00000116547,0
ENSDARG00000061541,0
ENSDARG00000004392,4
ENSDARG00000115201,0
ENSDARG00000056281,4
ENSDARG00000061547,57
ENSDARG00000035519,230
ENSDARG00000044074,14
ENSDARG00000056284,0
ENSDARG00000035521,10
ENSDARG00000092987,1
ENSDARG00000079497,6
ENSDARG00000035514,0
ENSDARG00000014962,33
ENSDARG00000039319,0
ENSDARG00000056200,0
ENSDARG00000056204,5
ENSDARG00000056211,0
ENSDARG00000002771,1
ENSDARG00000035532,11
ENSDARG00000035533,0
ENSDARG00000061468,1
ENSDARG00000024116,5
ENSDARG00000097931,2
ENSDARG00000068262,17
ENSDARG00000061486,3
ENSDARG00000101234,8
ENSDARG00000114540,0
ENSDARG00000056245,1
ENSDARG00000097795,7
ENSDARG00000021948,77
ENSDARG00000030173,0
ENSDARG00000075123,12
ENSDARG00000077960,6
ENSDARG00000087143,2
ENSDARG00000091136,3
ENSDARG00000074712,0
ENSDARG00000056156,17
ENSDARG00000008026,21
ENSDARG00000056036,44
ENSDARG00000068166,6
ENSDARG00000056047,0
ENSDARG00000027750,13
ENSDARG00000076592,2
ENSDARG00000092567,0
ENSDARG00000112913,0
ENSDARG00000117557,0
ENSDARG00000021735,1
ENSDARG00000068157,9
ENSDARG00000068148,4
ENSDARG00000100923,0
ENSDARG00000035505,5
ENSDARG00000033953,0
ENSDARG00000035506,0
ENSDARG00000025728,71
ENSDARG00000026048,17
ENSDARG00000068130,0
ENSDARG00000030961,0
ENSDARG00000035507,3
ENSDARG00000035508,7
ENSDARG00000068122,0
ENSDARG00000095308,0
ENSDARG00000110885,0
ENSDARG00000035018,19
ENSDARG00000014463,16
ENSDARG00000068114,0
ENSDARG00000017320,14
ENSDARG00000061243,0
ENSDARG00000081453,0
ENSDARG00000082755,0
ENSDARG00000080032,0
ENSDARG00000055722,4
ENSDARG00000055712,1
ENSDARG00000055708,28
ENSDARG00000061110,0
ENSDARG00000007709,0
ENSDARG00000111283,0
ENSDARG00000029124,4
ENSDARG00000061101,2
ENSDARG00000086903,0
ENSDARG00000013051,0
ENSDARG00000094323,1
ENSDARG00000061095,0
ENSDARG00000068096,5
ENSDARG00000061093,3
ENSDARG00000002792,22
ENSDARG00000008840,7
ENSDARG00000029406,14
ENSDARG00000061066,1
ENSDARG00000061061,0
ENSDARG00000004851,2
ENSDARG00000094286,0
ENSDARG00000091996,82
ENSDARG00000068088,6
ENSDARG00000061047,1
ENSDARG00000055656,3
ENSDARG00000011841,227
ENSDARG00000020822,5
ENSDARG00000055647,12
ENSDARG00000093921,0
ENSDARG00000025403,3
ENSDARG00000055639,14
ENSDARG00000093741,0
ENSDARG00000061017,10
ENSDARG00000092633,0
ENSDARG00000035459,2
ENSDARG00000015292,22
ENSDARG00000061013,4
ENSDARG00000061006,1
ENSDARG00000094380,12
ENSDARG00000060978,14
ENSDARG00000035452,1
ENSDARG00000016695,1
ENSDARG00000035471,4
ENSDARG00000094368,0
ENSDARG00000094693,0
ENSDARG00000035470,10
ENSDARG00000060946,0
ENSDARG00000095623,16
ENSDARG00000016866,14
ENSDARG00000035468,0
ENSDARG00000013082,3
ENSDARG00000052787,0
ENSDARG00000079585,1
ENSDARG00000026582,11
ENSDARG00000068036,5
ENSDARG00000021193,49
ENSDARG00000010031,10
ENSDARG00000014951,0
ENSDARG00000094922,0
ENSDARG00000105923,0
ENSDARG00000078603,0
ENSDARG00000002949,42
ENSDARG00000060865,1
ENSDARG00000035433,5
ENSDARG00000035434,11
ENSDARG00000060846,8
ENSDARG00000092315,0
ENSDARG00000092962,0
ENSDARG00000030839,3
ENSDARG00000035435,0
ENSDARG00000094052,5
ENSDARG00000106217,0
ENSDARG00000012944,1353
ENSDARG00000035438,61
ENSDARG00000095930,77
ENSDARG00000095885,0
ENSDARG00000067997,822
ENSDARG00000067995,1857
ENSDARG00000067990,4470
ENSDARG00000078411,5
ENSDARG00000031761,28
ENSDARG00000097932,0
ENSDARG00000016319,23
ENSDARG00000067984,16
ENSDARG00000009745,12
ENSDARG00000055229,3
ENSDARG00000103200,5
ENSDARG00000007429,0
ENSDARG00000022399,8
ENSDARG00000117769,1
ENSDARG00000090214,0
ENSDARG00000054906,14
ENSDARG00000031985,10
ENSDARG00000040248,14
ENSDARG00000095142,1
ENSDARG00000060683,2
ENSDARG00000006691,953
ENSDARG00000083894,0
ENSDARG00000085713,0
ENSDARG00000083937,0
ENSDARG00000008551,12
ENSDARG00000035422,4
ENSDARG00000013853,9
ENSDARG00000101092,0
