plate_id,Cycle,Dose_mg_L,estimate,std.error,statistic,pval,Dose,se,value,sd
17betaestradiol,Dark,1e-05,127.9081481481461,39.31449666906427,3.2534601479152157,0.020300694498471373,Dose5,24.18681757616886,1412.3555555555556,281.0254250107765
17betaestradiol,Dark,1e-04,61.94074074073992,39.3144966690644,1.5755191084381746,0.6686319495219634,Dose4,21.31502549451414,1346.388148148148,247.6582162927193
17betaestradiol,Dark,0.001,-74.58592592592646,39.31449666906466,-1.8971609010733126,0.4234133697056967,Dose3,24.736889598413022,1209.8614814814814,287.4166843548753
17betaestradiol,Dark,0.01,128.81605032513355,39.53893900638184,3.2579541475390075,0.020402175275015325,Dose2,42.41716972889927,1411.8507575757576,492.8429758598407
17betaestradiol,Dark,0.1,-87.01703703703794,39.314496669064624,-2.213357524821346,0.24522274918879503,Dose1,27.23433825082374,1197.4303703703704,316.4344154712599
17betaestradiol,Light,1e-05,49.03629629629726,53.033971814678864,0.9246204766191938,0.9999999999883988,Dose5,35.36805322883976,808.9074074074074,410.9396434292216
17betaestradiol,Light,1e-04,9.36222222222214,53.033971814678125,0.17653254889031286,0.9999999999883988,Dose4,32.89478966943476,769.2333333333333,382.2029177001498
17betaestradiol,Light,0.001,-142.8755555555553,53.03397181467835,-2.694038380810303,0.08665230064808585,Dose3,35.86579503627282,616.9955555555556,416.72288062191984
17betaestradiol,Light,0.01,89.6081453772975,53.13306994871391,1.6864853746224477,0.5795431740279247,Dose2,52.21167931969909,849.2044776119403,606.6448934481502
17betaestradiol,Light,0.1,-25.162222222222482,53.03397181467845,-0.47445479494066894,0.9999999999883988,Dose1,33.126548809152446,734.7088888888889,384.8957155655237
1decanol,Dark,1e-04,-63.863703703702924,36.05248674677435,-1.771409116721106,0.5166798891429397,Dose5,20.176567035519703,1101.525925925926,234.43052433661606
1decanol,Dark,0.001,-128.66148148147977,36.05248674677367,-3.5687269614763446,0.007835361023069616,Dose4,24.91367054986855,1036.7281481481482,289.4706933976172
1decanol,Dark,0.01,-216.86074074074,36.05248674677394,-6.015139600880519,1.4006406382864137e-7,Dose3,29.659480913089237,948.5288888888889,344.6120269006541
1decanol,Dark,0.1,-90.19407407407256,36.05248674677384,-2.5017434915815784,0.13091036079360793,Dose2,29.365624674294203,1075.1955555555555,341.19772594355715
1decanol,Dark,1,-2.8671571072314617,36.11985364466402,-0.07937897909104696,0.9999999999883988,Dose1,25.786802856441128,1162.9067164179105,299.615574044791
1decanol,Light,1e-04,-220.51703703703333,46.99882864970621,-4.691968786724471,1.1597297926607979e-4,Dose5,32.065999497730694,528.0377777777778,372.5732461026191
1decanol,Light,0.001,-58.051111111110046,46.998828649706525,-1.235160806746458,0.9660824262485965,Dose4,27.849062762447126,690.5037037037036,323.5768688593285
1decanol,Light,0.01,-51.204444444444285,46.998828649707114,-1.0894834172588124,0.9999999999883988,Dose3,37.89740186152799,697.3503703703703,440.3280188226836
1decanol,Light,0.1,-120.3037037037025,46.998828649706745,-2.559717064447587,0.11904219881870902,Dose2,35.87807617922764,628.2511111111111,416.86557460832904
1decanol,Light,1,74.6222222222232,46.998828649706915,1.587746426158826,0.6589528263768962,Dose1,32.1472581861923,823.177037037037,373.5173867440585
1octanol,Dark,0.001,41.09111111111034,29.244271142779727,1.4050995119861462,0.8216272680047646,Dose5,21.953869885471715,1201.9577777777777,255.08091735370945
1octanol,Dark,0.01,280.5666666666662,29.244271142779922,9.593901837965106,0,Dose4,17.5939020291831,1441.4333333333334,204.42266866149305
1octanol,Dark,0.1,87.66740740740886,29.244271142780285,2.9977634586749433,0.0427642061293192,Dose3,20.209566315512507,1248.5340740740742,234.81394132216298
1octanol,Dark,1,-67.18370370370299,29.244271142780057,-2.2973287101494257,0.2080713761205562,Dose2,24.561589412144958,1093.682962962963,285.3798802488655
1octanol,Dark,10,26.66740740740807,29.244271142780164,0.9118848364251926,0.9999999999883988,Dose1,21.61805656031449,1187.5340740740742,251.17911910640402
1octanol,Light,0.001,86.33481481481309,43.313087507878144,1.9932731601992075,0.3590825096722047,Dose5,32.3213857798804,791.6059259259259,375.54056655546606
1octanol,Light,0.01,207.0859259259251,43.313087507878436,4.781139785711586,1.1379838634759785e-4,Dose4,27.631539700589478,912.357037037037,321.04947927135635
1octanol,Light,0.1,70.06740740740828,43.31308750787897,1.6176959768721753,0.6306492070181101,Dose3,31.34869906544509,775.3385185185185,364.2389682172105
1octanol,Light,1,79.24296296296339,43.313087507878635,1.8295385418679544,0.47254828104922264,Dose2,31.977167817844578,784.5140740740741,371.5411152521754
1octanol,Light,10,46.43555555555638,43.31308750787879,1.0720906365104912,0.9999999999883988,Dose1,34.91613595024462,751.7066666666667,405.6888391476345
24DMP,Dark,1e-04,26.420740740740623,34.13115977291236,0.774094432082821,0.9999999999883988,Dose5,25.166036585858723,1240.1014814814814,292.40292176123216
24DMP,Dark,0.001,48.70148148148167,34.131159772912596,1.4268920776648344,0.8007527336203267,Dose4,32.009132556455945,1262.3822222222223,371.91251195309854
24DMP,Dark,0.01,-11.697777777777373,34.131159772913016,-0.3427301578852559,0.9999999999883988,Dose3,19.75148663970464,1201.982962962963,229.49153645524308
24DMP,Dark,0.1,32.50740740740789,34.13115977291275,0.9524261004809597,0.9999999999883988,Dose2,20.649961419710852,1246.1881481481482,239.93087003509737
24DMP,Dark,1,5.845185185185819,34.13115977291287,0.17125656508820622,0.9999999999883988,Dose1,17.861891516871605,1219.525925925926,207.53642512982177
24DMP,Light,1e-04,-10.952592592593156,45.110764256409276,-0.24279332822513702,0.9999999999883988,Dose5,28.626652683950983,680.5392592592592,332.61164730781803
24DMP,Light,0.001,145.8925925925911,45.110764256408416,3.2340971162302052,0.02073403663234214,Dose4,32.66194616562723,837.3844444444444,379.49752066259236
24DMP,Light,0.01,-56.18444444444449,45.11076425640876,-1.2454775566446432,0.96369814954873,Dose3,28.781645359430943,635.3074074074074,334.41249946057206
