plate_id,Dose,estimate,SE.x,df.x,t.ratio,p.value,adj.p.value,Group_1,contrast_1,Group,emmean,SE.y,df.y,lower.CL,upper.CL,.group,mean_totaldist,percent15,sd,legacy_group,keep
17betaestradiol,Dose1,3.004149219642472,61.98317740408068,437,0.04846717037524271,0.998705740278071,0.9999999299342638,B,A,A,927.4648648648646,43.37295470352285,437,823.5031337214359,1031.4265960082932,a,941.0686363636364,296.04999999999995,526.7237038943186, a,TRUE
17betaestradiol,Dose1,3.004149219642472,61.98317740408068,437,0.04846717037524271,0.998705740278071,0.9999999299342638,B,A,B,930.4690140845071,44.2798044416627,437,824.3336318880565,1036.6043962809576,a,941.0686363636364,296.04999999999995,526.7237038943186, a,TRUE
17betaestradiol,Dose1,37.060468468468635,61.133816801871845,437,0.6062187903068059,0.8167982977285658,0.972046680841029,C,A,A,927.4648648648646,43.37295470352285,437,823.5031337214359,1031.4265960082932,a,941.0686363636364,296.04999999999995,526.7237038943186, a,TRUE
17betaestradiol,Dose1,37.060468468468635,61.133816801871845,437,0.6062187903068059,0.8167982977285658,0.972046680841029,C,A,C,964.5253333333333,43.08283134905352,437,861.2590061895154,1067.791660477151,a,941.0686363636364,296.04999999999995,526.7237038943186, a,TRUE
17betaestradiol,Dose1,34.05631924882616,61.78051018276617,437,0.5512469733266505,0.8458930128389922,0.990144316809593,C,B,B,930.4690140845071,44.2798044416627,437,824.3336318880565,1036.6043962809576,a,941.0686363636364,296.04999999999995,526.7237038943186, a,TRUE
17betaestradiol,Dose1,34.05631924882616,61.78051018276617,437,0.5512469733266505,0.8458930128389922,0.990144316809593,C,B,C,964.5253333333333,43.08283134905352,437,861.2590061895154,1067.791660477151,a,941.0686363636364,296.04999999999995,526.7237038943186, a,TRUE
17betaestradiol,Dose2,220.92636111110892,69.98466686534178,437,3.1567823497137684,0.004846320816048855,0.01860131960277575,B,A,A,887.8160000000007,48.97906389678656,437,770.4168440674454,1005.2151559325561,a,1091.85,419.6449999999999,620.4064520092943, a  ,TRUE
17betaestradiol,Dose2,220.92636111110892,69.98466686534178,437,3.1567823497137684,0.004846320816048855,0.01860131960277575,B,A,B,1108.7423611111096,49.989047760958535,437,988.9223493326942,1228.562372889525,a,1091.85,419.6449999999999,620.4064520092943,  b ,TRUE
17betaestradiol,Dose2,396.9970136986294,69.73967323076911,437,5.692556263992853,6.88477268528942e-8,9.856450403423547e-7,C,A,A,887.8160000000007,48.97906389678656,437,770.4168440674454,1005.2151559325561,a,1091.85,419.6449999999999,620.4064520092943, a  ,TRUE
17betaestradiol,Dose2,396.9970136986294,69.73967323076911,437,5.692556263992853,6.88477268528942e-8,9.856450403423547e-7,C,A,C,1284.8130136986301,49.64547635111332,437,1165.8165169143638,1403.8095104828965,a,1091.85,419.6449999999999,620.4064520092943,   c,TRUE
17betaestradiol,Dose2,176.0706525875205,70.45266650863081,437,2.4991339762271587,0.03418978047645016,0.09105645616687237,C,B,B,1108.7423611111096,49.989047760958535,437,988.9223493326942,1228.562372889525,a,1091.85,419.6449999999999,620.4064520092943,  b ,TRUE
17betaestradiol,Dose2,176.0706525875205,70.45266650863081,437,2.4991339762271587,0.03418978047645016,0.09105645616687237,C,B,C,1284.8130136986301,49.64547635111332,437,1165.8165169143638,1403.8095104828965,a,1091.85,419.6449999999999,620.4064520092943,   c,TRUE
17betaestradiol,Dose3,47.18199999999999,61.33237425671049,447,0.7692837685121527,0.7220712341375077,0.8952997249875986,B,C,C,910.8999999999999,43.368537743191254,447,806.9578015949053,1014.8421984050945,a,952.2391111111111,351.04999999999995,530.9153175539975, a,TRUE
17betaestradiol,Dose3,47.18199999999999,61.33237425671049,447,0.7692837685121527,0.7220712341375077,0.8952997249875986,B,C,B,958.0819999999998,43.36853774319126,447,854.1398015949052,1062.0241984050942,a,952.2391111111111,351.04999999999995,530.9153175539975, a,TRUE
17betaestradiol,Dose3,76.83533333333325,61.332374256710494,447,1.2527695897069655,0.4228243851222938,0.6182474202628497,A,C,C,910.8999999999999,43.368537743191254,447,806.9578015949053,1014.8421984050945,a,952.2391111111111,351.04999999999995,530.9153175539975, a,TRUE
17betaestradiol,Dose3,76.83533333333325,61.332374256710494,447,1.2527695897069655,0.4228243851222938,0.6182474202628497,A,C,A,987.7353333333331,43.36853774319113,447,883.7931349282388,1091.6775317384274,a,952.2391111111111,351.04999999999995,530.9153175539975, a,TRUE
17betaestradiol,Dose3,29.65333333333326,61.33237425671051,447,0.48348582119481254,0.879169996534612,0.9999999299342638,A,B,B,958.0819999999998,43.36853774319126,447,854.1398015949052,1062.0241984050942,a,952.2391111111111,351.04999999999995,530.9153175539975, a,TRUE
17betaestradiol,Dose3,29.65333333333326,61.33237425671051,447,0.48348582119481254,0.879169996534612,0.9999999299342638,A,B,A,987.7353333333331,43.36853774319113,447,883.7931349282388,1091.6775317384274,a,952.2391111111111,351.04999999999995,530.9153175539975, a,TRUE
17betaestradiol,Dose4,82.15473972602703,56.76629520731739,443,1.4472450496546931,0.3176447976228691,0.5096586304020262,B,A,A,917.3972602739717,40.41013723895417,443,820.542227732848,1014.2522928150954,a,988.291928251121,467.625,490.06031981613853, a,TRUE
17betaestradiol,Dose4,82.15473972602703,56.76629520731739,443,1.4472450496546931,0.3176447976228691,0.5096586304020262,B,A,B,999.5519999999988,39.867694689976844,443,903.9970939697606,1095.106906030237,a,988.291928251121,467.625,490.06031981613853, a,TRUE
