plate_id,dose,Dose_mg_L,Group,endpoint,endpoint_value_norm
1octanol,Dose5,0.001,C,ld_pearson,36.91515703616042
1octanol,Dose5,0.001,C,ld_pearson,38.810135427676926
1octanol,Control,0,C,ld_pearson,37.330923892186604
1octanol,Control,0,A,ld_pearson,-13.310545933442512
1octanol,Control,0,A,ld_pearson,-7.1949086269844145
1octanol,Control,0,A,ld_pearson,33.75499436076959
1octanol,Control,0,B,ld_pearson,32.79094394810434
1octanol,Control,0,B,ld_pearson,-58.02987803241748
1octanol,Control,0,B,ld_pearson,30.71475443176314
1octanol,Control,0,C,ld_pearson,-9.12666357144657
1octanol,Control,0,C,ld_pearson,0
1octanol,Dose4,0.01,C,ld_pearson,4.878994563826481
24DMP,Dose1,1,A,ld_pearson,23.60046599439991
24DMP,Dose1,1,A,ld_pearson,6.315147941061056
24DMP,Dose1,1,A,ld_pearson,-16.795722294214357
24DMP,Dose1,1,B,ld_pearson,0.5952487509060376
24DMP,Dose1,1,B,ld_pearson,-24.33530131717609
24DMP,Dose1,1,B,ld_pearson,28.158698214466256
24DMP,Dose1,1,C,ld_pearson,-15.276234587554612
24DMP,Dose1,1,C,ld_pearson,4.4645420786858665
24DMP,Dose2,0.1,C,ld_pearson,-4.335065878597561
24DMP,Dose2,0.1,A,ld_pearson,24.747297400082985
24DMP,Dose2,0.1,A,ld_pearson,-41.09663409418678
24DMP,Dose2,0.1,A,ld_pearson,-34.149258165843875
24DMP,Dose2,0.1,B,ld_pearson,12.589446172384285
24DMP,Dose2,0.1,B,ld_pearson,5.1535873906750425
24DMP,Dose2,0.1,B,ld_pearson,-32.15503983369533
24DMP,Dose2,0.1,C,ld_pearson,14.551516443493483
24DMP,Dose2,0.1,C,ld_pearson,21.198305471404737
24DMP,Dose3,0.01,C,ld_pearson,-5.475184234141821
24DMP,Dose3,0.01,A,ld_pearson,11.825866027808416
24DMP,Dose3,0.01,A,ld_pearson,21.499655890490715
24DMP,Dose3,0.01,A,ld_pearson,-32.447535503648595
24DMP,Dose3,0.01,B,ld_pearson,-10.74460464832886
24DMP,Dose3,0.01,B,ld_pearson,4.104129356241188
24DMP,Dose3,0.01,B,ld_pearson,-1.4610817921903987
24DMP,Dose3,0.01,C,ld_pearson,4.743893338044387
24DMP,Dose3,0.01,C,ld_pearson,12.439102236376229
24DMP,Dose4,0.001,C,ld_pearson,-64.5720114462323
24DMP,Dose4,0.001,A,ld_pearson,-50.6090221774224
24DMP,Dose4,0.001,A,ld_pearson,-2.22927550564998
24DMP,Dose4,0.001,A,ld_pearson,-65.2630647377927
24DMP,Dose4,0.001,B,ld_pearson,6.086011171501184
24DMP,Dose4,0.001,B,ld_pearson,21.10566944040302
24DMP,Dose4,0.001,B,ld_pearson,-23.840816179496812
24DMP,Dose4,0.001,C,ld_pearson,14.03215379012181
24DMP,Dose4,0.001,C,ld_pearson,2.3317093415444106
24DMP,Dose5,1e-4,C,ld_pearson,-57.79778907910772
24DMP,Dose5,1e-4,A,ld_pearson,19.03764405680002
24DMP,Dose5,1e-4,A,ld_pearson,2.451335665756531
24DMP,Dose5,1e-4,A,ld_pearson,8.854458580168085
24DMP,Dose5,1e-4,B,ld_pearson,-12.735670295856877
24DMP,Dose5,1e-4,B,ld_pearson,-28.823992005217974
24DMP,Dose5,1e-4,B,ld_pearson,21.95517054960665
24DMP,Dose5,1e-4,C,ld_pearson,3.155262017746878
24DMP,Dose5,1e-4,C,ld_pearson,10.166700845217619
24DMP,Control,0,C,ld_pearson,-36.537852035162864
24DMP,Control,0,A,ld_pearson,-1.9347905847158273
24DMP,Control,0,A,ld_pearson,5.570001278606384
24DMP,Control,0,A,ld_pearson,1.123375854126408
24DMP,Control,0,B,ld_pearson,0
24DMP,Control,0,B,ld_pearson,0.8975521160089954
24DMP,Control,0,B,ld_pearson,-34.88967175291536
24DMP,Control,0,C,ld_pearson,-56.60110382725038
24DMP,Dose1,1,C,ld_pearson,-66.19008501178122
24DMP,Control,0,C,ld_pearson,5.934932590175478
24DNP,Dose1,10,A,ld_pearson,-42.68812038366174
24DNP,Dose1,10,A,ld_pearson,17.66300941264373
24DNP,Dose1,10,A,ld_pearson,10.223980754355466
24DNP,Dose1,10,B,ld_pearson,26.60946289845269
24DNP,Dose1,10,B,ld_pearson,9.452413726114045
24DNP,Dose1,10,B,ld_pearson,-6.967098312017356
24DNP,Dose1,10,C,ld_pearson,-13.574517276172685
24DNP,Dose1,10,C,ld_pearson,7.687685249697978
24DNP,Dose2,1,C,ld_pearson,25.988575015303184
24DNP,Dose2,1,A,ld_pearson,30.913559081091478
24DNP,Dose2,1,A,ld_pearson,7.355685030881929
24DNP,Dose2,1,A,ld_pearson,20.184190513932805
24DNP,Dose2,1,B,ld_pearson,31.026708651682412
24DNP,Dose2,1,B,ld_pearson,12.01042094377658
24DNP,Dose2,1,B,ld_pearson,28.10413198005932
24DNP,Dose2,1,C,ld_pearson,-24.296766717228977
24DNP,Dose2,1,C,ld_pearson,5.500085618095824
24DNP,Dose3,0.1,C,ld_pearson,22.78622946610136
24DNP,Dose3,0.1,A,ld_pearson,19.200152657695526
24DNP,Dose3,0.1,A,ld_pearson,13.853862930253527
24DNP,Dose3,0.1,A,ld_pearson,9.738022106579749
24DNP,Dose3,0.1,B,ld_pearson,20.918494454346344
24DNP,Dose3,0.1,B,ld_pearson,26.535711771052476
24DNP,Dose3,0.1,B,ld_pearson,6.472613597261372
24DNP,Dose3,0.1,C,ld_pearson,20.635663754125872
24DNP,Dose3,0.1,C,ld_pearson,27.03941858371033
24DNP,Dose4,0.01,C,ld_pearson,-4.610690174158933
24DNP,Dose4,0.01,A,ld_pearson,-22.08402016323889
24DNP,Dose4,0.01,A,ld_pearson,32.65061904905821
24DNP,Dose4,0.01,A,ld_pearson,5.496063613046488
24DNP,Dose4,0.01,B,ld_pearson,19.593578010655463
24DNP,Dose4,0.01,B,ld_pearson,12.58258875283235
24DNP,Dose4,0.01,B,ld_pearson,-6.098643947867345
24DNP,Dose4,0.01,C,ld_pearson,-83.58611654996
24DNP,Dose4,0.01,C,ld_pearson,19.733106846216145
24DNP,Dose5,0.001,C,ld_pearson,24.24346017630559
24DNP,Dose5,0.001,A,ld_pearson,-41.7183552923211
24DNP,Dose5,0.001,A,ld_pearson,30.39512830997063
24DNP,Dose5,0.001,A,ld_pearson,-12.078643394878327
24DNP,Dose5,0.001,B,ld_pearson,25.607145085157953
24DNP,Dose5,0.001,B,ld_pearson,17.888153518611944
24DNP,Dose5,0.001,B,ld_pearson,11.0066144067505
24DNP,Dose5,0.001,C,ld_pearson,-9.491317325708408
24DNP,Dose5,0.001,C,ld_pearson,8.804921748025023
24DNP,Control,0,C,ld_pearson,-1.7482409596769912
24DNP,Control,0,A,ld_pearson,14.394540828554469
24DNP,Control,0,A,ld_pearson,24.229282867781635
24DNP,Control,0,A,ld_pearson,-40.932191597288636
24DNP,Control,0,B,ld_pearson,2.6242279193910463
24DNP,Control,0,B,ld_pearson,8.676142283143832
24DNP,Control,0,B,ld_pearson,-16.54575551124367
24DNP,Control,0,C,ld_pearson,-22.94532009979062
24DNP,Control,0,C,ld_pearson,0
24DNP,Dose1,10,C,ld_pearson,11.546699633707107
34DCA,Dose2,0.1,A,ld_pearson,14.996430376487695
34DCA,Dose2,0.1,A,ld_pearson,42.10389363999866
34DCA,Dose2,0.1,A,ld_pearson,-1.0308158510772358
34DCA,Dose2,0.1,B,ld_pearson,62.97434764402561
34DCA,Dose2,0.1,B,ld_pearson,0.7814799883453958
34DCA,Dose2,0.1,B,ld_pearson,17.2366702269412
34DCA,Dose2,0.1,C,ld_pearson,-94.28326280180283
34DCA,Dose2,0.1,C,ld_pearson,-5.412737101324154
34DCA,Dose3,0.01,C,ld_pearson,44.02487452966716
34DCA,Dose3,0.01,A,ld_pearson,32.30260858525
34DCA,Dose3,0.01,A,ld_pearson,66.18013303458295
34DCA,Dose3,0.01,A,ld_pearson,-69.30429462687893
34DCA,Dose3,0.01,B,ld_pearson,39.23617972511087
34DCA,Dose3,0.01,B,ld_pearson,47.46531229449988
34DCA,Dose3,0.01,B,ld_pearson,74.12600645916928
34DCA,Dose3,0.01,C,ld_pearson,-14.65643380575527
34DCA,Dose3,0.01,C,ld_pearson,25.32309323649571
34DCA,Dose4,0.001,C,ld_pearson,-11.376912157745735
34DCA,Dose4,0.001,A,ld_pearson,7.297485378506565
34DCA,Dose4,0.001,A,ld_pearson,-34.584659659167286
34DCA,Dose4,0.001,A,ld_pearson,-2.4101697742462704
34DCA,Dose4,0.001,B,ld_pearson,-47.196719126259936
34DCA,Dose4,0.001,B,ld_pearson,-61.890408093587865
