plate_id,Dose,Group,emmean,SE,df,lower.CL,upper.CL,.group,mean_totaldist,percent15,sd,legacy_group
17betaestradiol,Dose1,A,927.4648648648646,43.37295470352285,437,823.5031337214359,1031.4265960082932,a,941.0686363636364,296.04999999999995,526.7237038943186, a
17betaestradiol,Dose1,B,930.4690140845071,44.2798044416627,437,824.3336318880565,1036.6043962809576,a,941.0686363636364,296.04999999999995,526.7237038943186, a
17betaestradiol,Dose1,C,964.5253333333333,43.08283134905352,437,861.2590061895154,1067.791660477151,a,941.0686363636364,296.04999999999995,526.7237038943186, a
17betaestradiol,Dose2,A,887.8160000000007,48.97906389678656,437,770.4168440674454,1005.2151559325561,a,1091.85,419.6449999999999,620.4064520092943, a 
17betaestradiol,Dose2,B,1108.7423611111096,49.989047760958535,437,988.9223493326942,1228.562372889525,a,1091.85,419.6449999999999,620.4064520092943,  b
17betaestradiol,Dose2,C,1284.8130136986301,49.64547635111332,437,1165.8165169143638,1403.8095104828965,a,1091.85,419.6449999999999,620.4064520092943,  b
17betaestradiol,Dose3,C,910.8999999999999,43.368537743191254,447,806.9578015949053,1014.8421984050945,a,952.2391111111111,351.04999999999995,530.9153175539975, a
17betaestradiol,Dose3,B,958.0819999999998,43.36853774319126,447,854.1398015949052,1062.0241984050942,a,952.2391111111111,351.04999999999995,530.9153175539975, a
17betaestradiol,Dose3,A,987.7353333333331,43.36853774319113,447,883.7931349282388,1091.6775317384274,a,952.2391111111111,351.04999999999995,530.9153175539975, a
17betaestradiol,Dose4,A,917.3972602739717,40.41013723895417,443,820.542227732848,1014.2522928150954,a,988.291928251121,467.625,490.06031981613853, a
17betaestradiol,Dose4,B,999.5519999999988,39.867694689976844,443,903.9970939697606,1095.106906030237,a,988.291928251121,467.625,490.06031981613853, a
17betaestradiol,Dose4,C,1046.0359999999994,39.86769468997693,443,950.481093969761,1141.5909060302376,a,988.291928251121,467.625,490.06031981613853, a
17betaestradiol,Dose5,B,946.331333333332,42.21980143707495,447,845.1423330589313,1047.520333607733,a,1043.9217777777778,438.7049999999999,521.0673236142145, a
17betaestradiol,Dose5,A,1063.9519999999984,42.21980143707482,447,962.7629997255979,1165.141000274399,a,1043.9217777777778,438.7049999999999,521.0673236142145, a
17betaestradiol,Dose5,C,1121.4819999999988,42.219801437074935,447,1020.2929997255981,1222.6710002743996,a,1043.9217777777778,438.7049999999999,521.0673236142145, a
17betaestradiol,Control,B,917.8606666666666,39.46248527132187,440,823.2745194860217,1012.4468138473114,a,973.0871331828442,450.09999999999997,484.6340232206461, a
17betaestradiol,Control,C,967.8765100671138,39.59468827235798,440,872.9734904840404,1062.7795296501872,a,973.0871331828442,450.09999999999997,484.6340232206461, a
17betaestradiol,Control,A,1036.0062500000001,40.27623037368129,440,939.4696677798462,1132.542832220154,a,973.0871331828442,450.09999999999997,484.6340232206461, a
1decanol,Dose1,C,812.1099999999999,38.6035042438572,446,719.5874677703233,904.6325322296765,a,907.678841870824,340.62,478.978444491964, a 
1decanol,Dose1,B,896.8315436241608,38.73282957844925,446,803.9990522943382,989.6640349539833,a,907.678841870824,340.62,478.978444491964, ab
1decanol,Dose1,A,1014.0226666666665,38.603504243857394,446,921.5001344369895,1106.5451988963437,a,907.678841870824,340.62,478.978444491964,  b
1decanol,Dose2,C,836.9226666666667,39.95738771822772,446,741.155228829422,932.6901045039115,a,913.0710467706014,369.24,491.26205211408234, a
1decanol,Dose2,B,949.1080000000002,39.957387718227636,446,853.3405621627556,1044.8754378372446,a,913.0710467706014,369.24,491.26205211408234, a
1decanol,Dose2,A,953.4516778523486,40.09124868855422,446,857.363410178955,1049.539945525742,a,913.0710467706014,369.24,491.26205211408234, a
1decanol,Dose3,B,777.8599999999992,37.51040629164207,447,687.9580965484888,867.7619034515096,a,880.0066666666667,362.8,464.3946058398879, a 
