"",".id","Df","Sum Sq","Mean Sq","F value","Pr(>F)","is.significant"
"1","17beta_estradiol",5,5918.10846825829,1183.62169365166,1.268760274524,0.293570804940622,FALSE
"2","17beta_estradiol",2,3311.97341461908,1655.98670730954,1.77510277197782,0.180877497309517,FALSE
"3","1decanol",5,9064.43857726929,1812.88771545386,1.50222699610605,0.207689161185043,FALSE
"4","1decanol",2,6612.0462078323,3306.02310391615,2.73949517894429,0.0751518462341491,FALSE
"5","1octanol",5,11602.7892589619,2320.55785179237,2.19185387666159,0.0713406548683706,FALSE
"6","1octanol",2,2460.79020874376,1230.39510437188,1.16215429719192,0.321825313558089,FALSE
"7","24DMP",5,2116.43012683408,423.286025366816,0.608358911394118,0.69384920514709,FALSE
"8","24DMP",2,604.675164629777,302.337582314889,0.434528312838165,0.650200424085584,FALSE
"9","24DNP",5,3856.75259871521,771.350519743042,1.60961290654853,0.176466761679809,FALSE
"10","24DNP",2,1367.77148227938,683.885741139689,1.42709609622051,0.250430884334868,FALSE
"11","34DCA",4,8725.91034412033,2181.47758603008,1.28988260480513,0.291178918123485,FALSE
"12","34DCA",2,6927.90955764144,3463.95477882072,2.04819661757957,0.14296689022158,FALSE
"13","4TOP",5,1399.64776775834,279.929553551669,0.867804704335856,0.509993952882024,FALSE
"14","4TOP",2,200.775073101948,100.387536550974,0.311209643177398,0.734090486852997,FALSE
"15","4TPP",5,15095.9696771931,3019.19393543862,2.43276701860358,0.0487989328801646,TRUE
"16","4TPP",2,50.2497575531884,25.1248787765942,0.0202447996853278,0.979967476526591,FALSE
"17","Aniline",5,1943.73951200648,388.747902401296,0.695805128201782,0.629282218976222,FALSE
"18","Aniline",2,922.03290309966,461.01645154983,0.825155863716092,0.444547290611596,FALSE
"19","BPA",5,3777.29570416126,755.459140832253,0.921834101301332,0.47548800052948,FALSE
"20","BPA",2,164.922329467705,82.4611647338526,0.100621608206302,0.904473614712952,FALSE
"21","BPAF",5,1534.17302121553,306.834604243106,0.353151946753852,0.877587506655672,FALSE
"22","BPAF",2,3703.48439483559,1851.74219741779,2.13126665917455,0.1302595359604,FALSE
"23","Clofibric_Acid",5,9874.90782879817,1974.98156575963,1.78065203732451,0.135667654346969,FALSE
"24","Clofibric_Acid",2,684.32205561654,342.16102780827,0.308493882587456,0.736060238233223,FALSE
"25","DES",5,3335.77842089085,667.155684178171,1.15476202098442,0.345754859941781,FALSE
"26","DES",2,82.1356140444567,41.0678070222283,0.0710831743760154,0.931486523742395,FALSE
"27","Dimethylformamide",5,1718.71506448551,343.743012897101,0.494847688356057,0.778411225009823,FALSE
"28","Dimethylformamide",2,493.080522523714,246.540261261857,0.354915951145889,0.703135666812162,FALSE
"29","DMSO",5,7761.26839252724,1552.25367850545,1.41473493980732,0.236796454585895,FALSE
"30","DMSO",2,2501.85416269564,1250.92708134782,1.14010375600327,0.32865495420082,FALSE
"31","EE2",5,3891.44636601396,778.289273202792,0.732787260295349,0.60259569498678,FALSE
"32","EE2",2,1440.8061548571,720.403077428549,0.678285331165876,0.512488927203214,FALSE
"33","Fadrozole",5,4546.41391092249,909.282782184497,1.03589627151748,0.408031303095801,FALSE
"34","Fadrozole",2,1087.33350797632,543.666753988161,0.619369875289331,0.542711673265974,FALSE
"35","Fenitrothion",5,2770.79876428239,554.159752856479,0.949411330823808,0.458496625513811,FALSE
"36","Fenitrothion",2,31.2751192266905,15.6375596133452,0.0267909681401706,0.973579905544559,FALSE
"37","Fluoxetine",5,4926.81808969726,985.363617939452,1.83546203255961,0.124617099484275,FALSE
"38","Fluoxetine",2,3102.87468045734,1551.43734022867,2.88990204432326,0.0657265537315705,FALSE
"39","Flutamide",5,5361.87476797455,1072.37495359491,1.22889649775152,0.311003064410251,FALSE
"40","Flutamide",2,29.479134365116,14.739567182558,0.0168909227395674,0.983257024501509,FALSE
"41","Glyphosate",5,3109.40988038372,621.881976076743,0.803239676209289,0.553223966134033,FALSE
"42","Glyphosate",2,2347.27483417507,1173.63741708753,1.51590201220458,0.230376969418368,FALSE
"43","Prochloraz",5,7794.22498289062,1558.84499657812,2.13405811489017,0.0781295359254568,FALSE
"44","Prochloraz",2,1150.51814251192,575.25907125596,0.787529415607575,0.461004799162118,FALSE
"45","SDS",5,2153.67552580113,430.735105160226,0.543136401920466,0.742581265499037,FALSE
"46","SDS",2,152.791874650921,76.3959373254604,0.0963316294009914,0.908345508749034,FALSE
"47","TEG",5,2147.17693585413,429.435387170827,0.524289502510299,0.756618727340387,FALSE
"48","TEG",2,929.390305966057,464.695152983028,0.567337480456642,0.570950224516947,FALSE
"49","TGSH",5,2180.94413449262,436.188826898523,0.415549129638837,0.835510785650697,FALSE
"50","TGSH",2,1751.40507654268,875.702538271341,0.834265815996784,0.440655627710721,FALSE
"51","Vinclozolin",5,3852.99752311172,770.599504622345,0.714014941589984,0.616083748326821,FALSE
"52","Vinclozolin",2,391.318114532247,195.659057266123,0.181291954520381,0.834784900123114,FALSE
