plate_id,Cycle,Dose,pval,se,value,sd
17betaestradiol,Light,Dose1,1,33.126548809152446,734.7088888888889,384.8957155655237
17betaestradiol,Light,Dose2,1,52.21167931969909,849.2044776119403,606.6448934481502
17betaestradiol,Light,Dose3,0.1914125902392257,35.86579503627282,616.9955555555556,416.72288062191984
17betaestradiol,Light,Dose4,1,32.89478966943476,769.2333333333333,382.2029177001498
17betaestradiol,Light,Dose5,1,35.36805322883976,808.9074074074074,410.9396434292216
17betaestradiol,Dark,Dose1,0.6189311269371813,27.23433825082374,1197.4303703703704,316.4344154712599
17betaestradiol,Dark,Dose2,0.4319219063657075,42.41716972889927,1411.8507575757576,492.8429758598407
17betaestradiol,Dark,Dose3,0.9334572053623952,24.736889598413022,1209.8614814814814,287.4166843548753
17betaestradiol,Dark,Dose4,1,21.31502549451414,1346.388148148148,247.6582162927193
17betaestradiol,Dark,Dose5,0.016171357811701523,24.18681757616886,1412.3555555555556,281.0254250107765
17betaestradiol,Light,Control,1,32.30000508066211,759.8711111111111,375.2921452794579
17betaestradiol,Dark,Control,1,23.308838928013156,1284.4474074074074,270.8242349628783
1decanol,Light,Dose1,1,32.1472581861923,823.177037037037,373.5173867440585
1decanol,Light,Dose2,0.5654142280779129,35.87807617922764,628.2511111111111,416.86557460832904
1decanol,Light,Dose3,1,37.89740186152799,697.3503703703703,440.3280188226836
1decanol,Light,Dose4,1,27.849062762447126,690.5037037037036,323.5768688593285
1decanol,Light,Dose5,3.539161342664394e-4,32.065999497730694,528.0377777777778,372.5732461026191
1decanol,Dark,Dose1,1,25.786802856441128,1162.9067164179105,299.615574044791
1decanol,Dark,Dose2,0.6605523209102874,29.365624674294203,1075.1955555555555,341.19772594355715
1decanol,Dark,Dose3,6.313512980415936e-6,29.659480913089237,948.5288888888889,344.6120269006541
1decanol,Dark,Dose4,0.019346875018547927,24.91367054986855,1036.7281481481482,289.4706933976172
1decanol,Dark,Dose5,1,20.176567035519703,1101.525925925926,234.43052433661606
1decanol,Light,Control,1,32.59086783679541,748.5548148148148,378.6716651110667
1decanol,Dark,Control,1,23.56630989697775,1165.3896296296296,273.81577728767354
1octanol,Light,Dose1,1,34.91613595024462,751.7066666666667,405.6888391476345
1octanol,Light,Dose2,1,31.977167817844578,784.5140740740741,371.5411152521754
1octanol,Light,Dose3,1,31.34869906544509,775.3385185185185,364.2389682172105
1octanol,Light,Dose4,9.072754667487677e-5,27.631539700589478,912.357037037037,321.04947927135635
1octanol,Light,Dose5,1,32.3213857798804,791.6059259259259,375.54056655546606
1octanol,Dark,Dose1,1,21.61805656031449,1187.5340740740742,251.17911910640402
1octanol,Dark,Dose2,0.9294828265671861,24.561589412144958,1093.682962962963,285.3798802488655
1octanol,Dark,Dose3,0.08795642623413061,20.209566315512507,1248.5340740740742,234.81394132216298
1octanol,Dark,Dose4,0,17.5939020291831,1441.4333333333334,204.42266866149305
1octanol,Dark,Dose5,1,21.953869885471715,1201.9577777777777,255.08091735370945
1octanol,Light,Control,1,29.12687053078764,705.271111111111,338.42365347864035
1octanol,Dark,Control,1,18.036242304988185,1160.8666666666666,209.56219822614273
24DMP,Light,Dose1,1,34.21104136631388,734.6470149253731,397.49638040444006
24DMP,Light,Dose2,1,35.16149741959577,737.545925925926,408.5396818014284
24DMP,Light,Dose3,1,28.781645359430943,635.3074074074074,334.41249946057206
24DMP,Light,Dose4,0.09872139529630998,32.66194616562723,837.3844444444444,379.49752066259236
24DMP,Light,Dose5,1,28.626652683950983,680.5392592592592,332.61164730781803
24DMP,Dark,Dose1,1,17.861891516871605,1219.525925925926,207.53642512982177
24DMP,Dark,Dose2,1,20.649961419710852,1246.1881481481482,239.93087003509737
24DMP,Dark,Dose3,1,19.75148663970464,1201.982962962963,229.49153645524308
24DMP,Dark,Dose4,1,32.009132556455945,1262.3822222222223,371.91251195309854
24DMP,Dark,Dose5,1,25.166036585858723,1240.1014814814814,292.40292176123216
24DMP,Light,Control,1,31.936000055733565,691.4918518518518,371.0627890810057
24DMP,Dark,Control,1,26.986782897810166,1220.336567164179,313.5580821928017
24DNP,Light,Dose1,1,32.30698984483362,713.2251851851852,375.3733009053983
24DNP,Light,Dose2,3.549839255878595e-9,22.92133074238274,523.6119402985074,266.3217967144813
24DNP,Light,Dose3,1.8218078043581442e-5,25.409626850469177,581.8293233082707,295.2331848756358
24DNP,Light,Dose4,0.0015530027729674298,28.65498765883928,615.1414814814815,332.94086996539073
24DNP,Light,Dose5,0.80712444088845825,30.44416441561116,703.7125925925926,353.7292253125874
24DNP,Dark,Dose1,1,30.886548337989417,1346.0051851851852,358.86926200459015
24DNP,Dark,Dose2,2.4864675405812983e-7,18.782090404203732,1102.9792592592592,218.22817002732955
24DNP,Dark,Dose3,1,21.99120747591165,1278.388148148148,255.51474095159358
24DNP,Dark,Dose4,7.655350651170068e-7,21.409318415433276,1098.6925925925925,248.7538010298745
24DNP,Dark,Dose5,1,19.799312981247873,1264.5718518518518,230.047228328164
24DNP,Light,Control,1,31.007948289591624,803.3696296296297,360.27980197694734
24DNP,Dark,Control,1,20.215035096103474,1280.0970370370371,234.8774828106216
34DCA,Light,Dose1,1,32.24744489357377,755.1362962962963,374.68145109165783
34DCA,Light,Dose2,1,25.44236298741997,681.6066666666667,295.61354441532455
34DCA,Light,Dose3,1,24.491984762225876,617.694074074074,284.5711472989999
34DCA,Light,Dose4,1,26.637048458422274,614.9607407407408,309.49453521476823
34DCA,Light,Dose5,1,27.652980717012106,721.8059701492538,321.29860136994813
34DCA,Dark,Dose1,3.0486197015733297e-7,34.44888577319931,1416.360447761194,400.2598826850076
34DCA,Dark,Dose2,1,13.763710399320017,1136.194814814815,159.91986347576477
34DCA,Dark,Dose3,0.06806744617268438,15.627207598314019,1244.7377777777779,181.5717443279886
34DCA,Dark,Dose4,1,19.50411704026567,1210.4385185185185,226.6173614382877
34DCA,Dark,Dose5,1,17.99179989041356,1216.148148148148,209.0458240316044
