"","diff","lwr.ci","upr.ci","pval"
"Dose1-Control",24.4862568454292,-15.2131895048948,64.1857031957533,0.367416848580662
"Dose2-Control",24.1283040536206,-15.5711422967035,63.8277504039446,0.381170145176288
"Dose3-Control",12.4398158779756,-27.2596304723484,52.1392622282997,0.881599867419312
"Dose4-Control",18.4330473812379,-21.2663989690862,58.1324937315619,0.630347826531173
"Dose5-Control",20.7663611429654,-18.9330852073587,60.4658074932894,0.52283271124948
