	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
100000009	1.491688737	1.708728375	1.558477404	1.619818765	0.934975583	1.539983192	0.828952852	1.179130418	1.218302466	1.357908501	0.974219327	1.504393432	1.430193809	1.334016244	1.70779191	1.430976175	0.831430949	1.428972156	1.372004232
100000026	3.426409962	3.415252401	3.115184599	3.641222099	3.168043247	3.160341553	3.300741845	3.023892792	3.289343388	2.948193046	3.529435768	3.18494546	3.405139604	3.325657106	2.945812459	3.461374379	3.518294307	2.815025166	3.547042913
100000044	2.349824176	2.680420155	3.091959491	2.743678374	2.245624176	2.814635062	2.651901119	2.72723036	2.515654967	2.677886556	1.942408587	2.582028745	2.781696173	2.337934946	2.784790932	2.282267478	2.027906314	2.655055231	2.551994402
100000073	1.362670072	1.652927607	1.080781144	1.619818765	0.934975583	1.373181037	1.746050164	1.26170723	1.141164986	1.642727651	0.903526803	1.33709197	1.522827854	0.562977372	1.515885652	1.840459662	1.25360468	1.428972156	1.266811018
100000079	6.88125066	6.527139736	5.988851656	5.919457173	6.758706724	6.431365714	6.607449003	6.89835957	7.107896341	6.964364108	6.801557514	6.680210062	7.026006608	7.105465017	6.963985081	6.941018578	7.131592528	6.848816532	7.082630198
100000083	3.360355348	3.322915309	3.497487845	3.238869914	3.601507865	3.371771434	3.456984777	3.642819643	3.512482915	3.303867406	3.653095134	3.499914161	3.638340653	3.55037295	3.502058034	3.308686333	3.497839257	3.39412023	3.686136889
100000085	6.168657367	6.118784361	6.027109117	5.674463472	5.777966718	5.657136168	5.51284798	5.686096177	6.040074243	5.599192543	5.859210337	5.535143492	5.504814688	5.951027935	5.979847639	5.571775876	6.008271134	6.084575754	5.765935107
100000094	3.778013672	3.752668347	3.991545396	4.123004503	4.101009704	4.228637048	4.096386557	4.177394127	4.028399905	4.209975244	3.953506042	3.993514017	3.909360526	4.073384382	4.165960557	4.246360546	4.040779937	3.971166641	3.863475634
100000095	3.622321908	3.707731142	3.621614902	3.652504251	3.836344585	3.900880134	4.161442347	3.892156982	3.852044542	4.11668815	3.721476068	3.84994084	3.999163647	3.958164138	3.806628495	3.796069305	4.012219607	3.863320278	4.073000205
100000101	3.054025084	2.404438708	2.995129243	2.985904058	3.168043247	3.290878559	2.988791147	2.43864298	2.437155521	2.839636147	2.684132349	2.665125809	3.190350667	2.732533031	3.078070362	2.739538543	2.518927819	2.884577748	3.048942584
