	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
100329491	8.2336326786	8.6539599346	8.1363849826	8.2711877976	8.2336359496	8.0612080366	8.2532231276	8.6342461016	8.4738641406	8.4588231556	8.6691522866	8.5471242636	8.3653829886	8.3911478666	8.3305554216	8.6792841186	8.4172194266	8.3745863516	8.4771688706
100009658	9.2660443946	9.5437379996	9.6002992386	9.7221415686	8.4287778036	8.9155986436	8.8537571726	8.9294668196	9.1518241176	8.8221294806	8.8154749586	8.9286201526	8.8334435426	8.7278348856	8.9422142006	9.3881558896	8.4172194266	9.1059365236	9.1380807846
100003877	8.7728230686	8.9683251566	8.9424422016	9.0388796216	8.2336359496	8.6218675736	8.6413181636	8.5005740156	8.5730539096	8.5648397756	8.4553550066	8.6647742846	8.5200903776	8.4164188266	8.6045472526	8.5881771256	8.3733905926	8.8843846676	8.5124653796
406523	9.0189412206	9.1687057246	8.9704232876	8.9457367436	8.8846711906	8.7259672126	8.8290734376	9.3177932096	9.0885702216	8.9034145456	9.1838564356	9.0197763326	8.9328220836	9.2388273886	8.8537714306	8.9554491896	9.1299861016	8.8584244416	8.9369379036
393969	6.7517764246	7.1488067546	7.2479034156	7.1603933976	7.0818670946	6.9775997966	7.1208442846	6.9848878276	7.0867589796	7.1374244936	6.8693794486	6.8722359486	7.0782505316	6.5990406466	6.8994209926	6.9929647766	6.2111328466	7.0398030556	6.9402306906
101882104	6.5080530876	6.3697331326	6.4250712676	6.3255991796	6.3272723386	6.2078425606	5.7541904666	6.1752291336	6.0907312996	6.3215420236	6.0543782146	6.1457287996	6.3256285226	6.1494694766	6.1002959426	6.4226456356	6.2111328466	6.3401281526	5.7611359596
553517	6.0679447286	6.0043097736	5.7250484526	5.6921767166	5.6725838286	5.9374519976	5.5098565916	5.4939257556	5.9073881936	5.8107024056	6.3919702496	5.9276717856	5.4399036956	5.9213487886	5.8881503836	5.7397016416	5.8837011536	5.5033747806	5.3927914556
557730	9.0222648796	9.2816744286	9.2615996396	9.2664886046	8.4173249856	9.2142458906	8.9615111496	8.7632000086	8.9971226416	8.8998174476	8.6541715226	9.1278831986	8.9185832436	8.6920673906	9.0677023676	9.1590995756	8.4646787436	9.0523353486	8.8376710286
558020	9.5684571336	9.7837235576	9.8083936946	9.9124833756	9.3377320186	9.4924508376	9.3151196516	9.1594315086	9.4283891706	9.3242136776	9.2317327196	9.2983903466	9.3318717896	9.0418054156	9.3871603406	9.3536309406	9.2186219356	9.5853021726	9.2724385616
445479	8.4114573326	8.4903921496	8.4234144906	8.5496389246	8.0418660196	8.2895065866	8.3306283286	7.9699737306	8.1366503446	8.3176833836	7.8873234416	8.5187558686	8.2232990026	7.9811197206	8.2439141926	8.1821337356	7.8412750226	8.2200675496	8.0775174036
553410	10.6549678736	10.9691161506	10.9058710766	11.0266769816	10.2899597036	10.9542762886	11.0644790466	10.6852544376	10.7238705956	10.9797527276	10.4178018926	10.7265191096	10.8773809066	10.4233130886	10.7396888046	10.7732684846	9.9555147956	10.8579626146	10.6142958086
100006088	6.5729512926	6.8191338626	6.6294288586	6.5559516296	6.2647415776	6.7425271936	6.0872219956	6.3496691356	6.6276200736	6.1981062226	6.5405689376	6.8640588166	6.6118220446	6.4232048066	6.8792728576	6.5500844686	6.5537112106	6.7581288466	6.4286732166
352938	4.9066314536	5.3488455106	5.2385530676	5.5864366976	3.1328471696	4.3002285506	4.1776149346	3.9885859076	4.1330362156	4.3891220846	3.9350528586	4.6880378886	4.2787568686	3.5435622946	4.7368692296	3.8562473056	2.8670433916	4.5434754846	4.4805936566
368211	10.0435718926	10.0809967906	10.2429924896	10.3237555196	9.4374826516	10.0308335936	10.1048015006	9.6270897286	9.7341752696	10.1150978566	9.5543924766	9.8676252586	9.8598505026	9.2651474956	9.7629299666	9.9244818306	8.9058171656	9.8664899166	9.5562080056
569006	7.8023869106	8.1264590446	8.1150565036	8.1202268936	7.5747838276	7.9209807516	7.6619923996	7.5825713416	7.7452225966	7.6468362756	7.6258462826	7.9709846546	7.7201521486	7.6546582196	7.6943844966	7.8143415496	7.6770757336	8.1194050376	7.9002690396
449771	11.7371236206	11.6642753156	11.5426987816	11.3336958436	11.2773937916	11.4213324576	11.0991789996	11.6274584136	11.6774893316	11.1891171966	11.7294230836	11.7237169236	11.4133410496	11.5968157906	11.6552385496	11.6656992566	11.4339852836	11.6314548576	11.5498026386
566537	10.6252220586	10.7831819166	10.8320844966	10.7482736146	10.1832785786	10.8897010206	10.6393713856	10.3880969306	10.5745558806	10.5131387136	10.3916968046	10.5813237026	10.5020637846	10.2997445146	10.6768768206	10.7081467446	10.2445246016	10.7027629636	10.6285961436
