	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
566352	9.3662213086	9.4476108956	9.7015515506	9.5764698986	8.9792253066	9.5340170946	9.5597796266	9.1925250606	9.3224073876	9.3833679646	9.1803751286	9.3578342936	9.4176202086	8.9943456966	9.3776164366	9.5683206096	8.9591165776	9.4407164526	9.3953427376
566151	7.0670625586	7.2516524936	7.3609376506	7.2737433336	6.6928938076	7.2107729396	6.6510922956	7.0221828866	7.0478738246	6.8019070566	7.1006098986	7.2185317636	6.8303914316	6.8044256706	7.1554168866	6.9003221746	6.7357777206	7.2813881876	6.8581828236
447910	7.8813786576	7.7083112756	7.7912091906	7.8084457496	7.2266874356	7.8069204136	7.7696830406	7.5161529816	7.6894688376	7.8128721626	7.5306276966	7.5289576476	7.6452674266	7.2741128286	7.5057516726	7.7360890146	7.3763319906	7.6919515826	7.5228432826
568235	7.6940246816	7.6296166806	7.8353509506	7.8131412696	8.1702291876	7.7231468666	7.8664288996	8.1081964276	7.9698575476	8.1092172236	8.0022012706	7.8100410426	7.9302969176	7.9768792916	7.8370099926	7.7181077196	8.0909199936	7.7408653736	7.9800219846
100535437	5.5281778526	5.7797736826	5.9978800746	5.5418708056	4.3945906606	5.1278861496	4.2643397076	4.5342863116	5.3904676036	4.2603947016	4.8385479956	5.2107675946	4.7193563476	5.2045321016	5.0569049446	4.7911185956	4.9146077986	4.9284001776	4.9612093906
100034578	6.4696140756	6.5323790116	6.7169756206	6.6216647156	5.8190331876	6.4354665106	5.7541904666	5.8986941906	6.1833447616	5.7797236156	6.2127205606	6.0624179216	6.0165864706	6.1190073426	6.4399477146	6.2705642736	6.0103039616	6.3401281526	6.0834859986
327069	10.3765570386	10.4765824426	10.6908648366	10.6248446536	10.2142177686	10.5240317986	10.5745559246	10.2479431146	10.2806565156	10.4816017666	10.1822698076	10.3351406016	10.4474608646	10.1325461996	10.3520661986	10.4219179476	10.0592337376	10.4183565346	10.4277864256
437025	7.5121386976	7.2976253526	7.6351451786	7.6703539776	7.5644373176	7.5915356906	7.6579935826	7.3383159056	7.2583724486	7.7342626596	7.2869567396	7.5289576476	7.5334357316	7.4858769876	7.3823366656	7.5554789786	7.3815473466	7.6413210206	7.6886892986
100037377	6.5268952306	6.3910952546	6.6979747336	6.7545380386	5.5520833106	6.4354665106	6.6510922956	5.9614796796	6.2361871426	6.1260431916	6.0079973526	6.0188860516	6.3820654176	5.8302669846	5.8333492426	6.2950304716	5.1032004626	6.2072029246	5.7611359596
559479	5.9331880596	5.7470108726	5.3643956936	6.0028476436	5.2242620116	5.2325829586	5.1713292836	4.8975249526	6.1652915946	5.3014461766	5.1546388226	5.0756632926	5.2507925766	5.1752223616	5.3773173466	5.4439887216	5.3359291706	5.1288094746	5.2963882816
100334203	6.5362248166	6.4934040676	6.3540218636	6.6429203536	5.8703332686	6.0901625216	6.3074364496	6.0508141556	6.2361871426	6.1011994516	5.9762271196	6.1591579456	6.0748157246	5.9213487886	6.1118545156	6.1683264306	5.9271482936	6.2322999706	5.9312953896
431739	8.5375928486	8.6780575176	8.5076657296	8.5468225326	8.5438432216	8.1864003196	8.4417934926	8.3266554496	8.2819600076	8.2904693306	8.4495821886	8.1928706666	8.1708694756	8.2436430606	8.2621824546	8.3636946266	8.5058581586	8.0819278716	8.4771688706
100334697	5.3491934796	4.8287047926	4.9482148016	4.8603935806	5.1977298616	5.2122426176	4.3853721746	5.0783723976	4.5215495996	4.2148000666	4.9075496386	4.6119506386	5.0094075656	4.9164694556	4.6121976996	4.6840354946	5.1282371046	4.9885560096	5.3692878296
449990	6.9602152336	6.7628884766	6.8691129776	6.9028752856	6.3394597146	6.6772452366	6.7744214976	6.3019436536	6.0121066296	6.6474559146	6.1571314696	6.3351137506	6.6734200826	6.3463958786	6.3353703126	6.6950197066	6.0501508526	6.5443112006	6.5898759706
101883298	5.1690082206	5.1375925476	4.8824136366	5.4483834286	4.7269760616	5.2122426176	4.5669426056	4.4047211516	4.4033010636	4.6850005336	4.6897776526	5.0756632926	4.6898507976	4.4128478596	4.9579102046	4.8251166826	4.3169948386	5.0743331176	4.3900651066
100148543	7.6602894146	7.7788884406	8.0111292206	7.9558561826	7.0451322986	7.6904336776	7.3008827496	7.1624102146	7.2583724486	7.4345262476	7.1369839596	7.6809964746	7.3616393896	6.8880975836	7.4106890266	7.3721609106	6.8072817986	7.3913181366	6.9560948266
567941	6.2827133806	5.3705168396	6.3418325156	5.6921767166	5.9833829926	6.5123469286	6.2341240026	5.5963934496	5.4808260486	6.1383064496	5.3655329286	5.7615296076	5.9434596806	5.3945487706	5.9147896066	5.8593732096	5.5732132626	6.0466968636	6.1120882386
567886	7.4591698616	7.4580466506	7.6251214716	7.6599654716	7.3820480866	7.6032991276	7.2218200426	7.3323892986	7.5293123016	7.6252156216	7.2608231126	7.6094268606	7.5167278926	7.3870761166	7.4384949196	7.2709555776	7.5251314526	7.6413210206	7.4006411946
504167	6.9392695206	7.0038047386	7.3117901256	7.1455773626	6.6347427916	7.0652650306	7.2905880606	6.8750210066	6.9245043626	6.9895863246	6.5296661576	6.8722359486	6.9780629866	6.6847339726	6.8519633596	7.0587403586	6.3769838526	7.1226710136	6.5061471146
445096	5.8607753756	5.9038557746	5.8508018516	6.3255991796	6.1309103636	6.1340738966	6.0510866886	6.2650840296	5.7467055716	5.9973116566	6.2530503836	5.6326827456	6.1952036206	6.4479251636	5.9666362966	6.0147576396	6.3019520446	5.8820186326	6.2471655256
554151	6.8372889196	6.8656582236	6.6979747336	6.9376932486	6.6641112676	6.5774068656	6.2341240026	6.3260037356	6.3683116366	5.8707330716	6.6553573406	6.5234174576	6.1307856566	6.6209458736	6.5027550086	6.7491485796	6.5991900576	6.5443112006	6.6496303776
562772	6.1673628106	6.4834935606	6.2792913726	6.6845145906	6.1025871316	6.5614148666	6.1904954076	6.0651798626	6.5180803036	6.4549878266	6.3919702496	6.2116583466	6.3063147146	6.1644626906	6.3254763776	6.2075195326	6.2343792306	6.3967240206	6.3587858936
567051	6.9108602996	7.2041663086	7.1946755726	7.1381118936	6.3988985066	7.0821765006	6.6267466356	6.2650840296	6.7416616596	6.5126478006	6.7801990796	6.9360362196	6.4274662196	6.5655462706	6.5629416966	7.1079031886	6.8072817986	7.1091860326	6.6976021016
406598	7.3732809506	7.2805567446	7.1603824926	7.1154808606	7.0451322986	6.7981751226	6.6750339286	7.0799194206	7.1058154626	6.7226810396	6.8693794486	7.0267394086	6.9534427496	7.4557222556	7.3239035476	7.3606163586	6.9684603936	7.2010365106	7.1269984146
100330160	8.7943668386	8.6627693336	8.7529241056	8.6658194886	8.1939150216	8.6599140816	8.6413181636	8.3414850876	8.4738641406	8.6095680746	8.3068122826	8.5774483836	8.4710649596	8.4747206826	8.6763660676	8.5782435056	8.2898693716	8.4673483696	8.3174746246
100330238	5.8155163676	5.3045011006	5.5239524786	5.3992652496	5.2242620116	5.3111923916	4.7879662166	4.9292846686	5.1175444456	4.7819827836	5.0967196536	5.3104220666	5.5912022216	5.4197607456	5.4336675506	4.8251166826	5.1032004626	5.4826079166	5.3927914556
100536590	5.4314943646	5.7134867146	5.4118120116	5.8096141056	5.1977298616	5.1278861496	5.0049926966	4.7273074936	5.1175444456	5.0904393016	5.1259698756	4.5316260596	5.4220698336	4.8438182906	5.3580339926	5.6477047516	4.9710531756	4.4178432706	5.0817974806
393408	6.9944628286	7.1674969666	7.1464337146	7.1530043996	7.0745945836	6.8713467646	6.7595697086	6.9466030116	7.1796197506	6.8915700876	7.1654370066	6.7709116426	6.8571835166	7.0175942126	7.0451970346	6.7313303256	7.4377053686	7.1623857866	6.9639619526
792371	7.5992852556	7.8345253016	7.9760688096	8.1976809786	6.9997790696	7.8988787096	7.9275000696	7.4897705376	7.6380337856	8.0455320366	7.4403678716	7.7712137736	7.8558642246	7.0258276646	7.5446503946	7.7757457736	7.0493332036	7.8543326126	7.6839339386
568430	7.2595973276	7.4731497026	7.3427029696	7.6495016166	6.6928938076	7.2856885496	7.1944727346	6.6647101126	6.9458125516	6.9483919926	6.7801990796	7.1596196116	7.2139945356	6.6847339726	7.2733336766	7.1009816686	6.5720751436	7.1688999106	6.7256376806
664708	5.6011146866	5.5521695866	5.2120115706	5.2686142286	5.1431552756	5.3301932596	5.0545060786	5.2390542966	5.3269230886	5.3014461766	5.6735409726	4.9576602386	5.2906499846	5.0190154056	5.2365857996	4.8907997636	5.3990080456	5.7492209416	5.6088983996
103910385	4.3092001916	4.2604425426	4.6648254596	4.7859144156	5.4205931616	4.7014302696	4.8732219686	4.9907805636	4.7324235446	4.8728542286	4.7284330146	4.5316260596	4.9359065346	5.0516391906	4.6758797436	5.0138227736	5.2472901866	4.8331847436	5.0525821746
566373	8.0794414056	8.1391401286	8.0640284846	8.1613161846	7.6353514496	8.3372484006	8.3896947776	8.0334521186	8.1777536326	8.3068592856	8.0563825796	8.4329086686	8.1681973096	7.8481498546	8.3744010716	8.3106848396	7.7833470336	8.1722360866	8.1958136256
100331497	7.4591698616	7.3421783716	7.4825080566	7.7508741246	6.9370012966	7.0821765006	7.7880953146	7.5471879816	7.2239008406	7.6553946216	6.2922833986	6.7883009586	7.5417176476	6.7358175376	7.2421184326	7.1216473976	6.8901207956	7.2933622096	6.8326301176
569334	8.0826287176	8.1610672996	8.1539209696	8.3214902796	7.5222929026	8.0266803786	7.9828973136	7.7430743046	8.1320101776	7.8691401556	7.8571155376	7.9936493516	7.9980708346	7.6224447676	8.0887901596	8.0373766886	7.7023038466	8.0148091086	8.1274077056
570908	6.9740119826	6.9898704516	7.0220859316	6.9883936066	6.6248189256	6.9034181026	6.9805958726	6.8252471276	6.8359776886	6.6301928506	6.4276457766	6.8558350726	6.4540363606	6.8139658206	6.6044450366	6.6577715526	6.6519373266	6.6781916236	6.6496303776
792539	7.1300346446	7.0977490316	7.2929194006	6.8213195356	6.5637979876	6.8648460466	6.4713574326	6.9773117106	7.1339363726	6.7145137906	7.0480945146	6.7533101676	6.8099657116	6.9757070246	6.7957427876	6.9082737076	7.3658443766	6.9443092306	7.0625123046
100331649	7.3836549806	7.5272129536	7.9115544376	7.7508741246	6.7396242866	7.6977676476	7.6499625426	7.1079437086	7.3330478646	7.6076827356	7.0557147676	7.5797743826	7.4212070406	6.6847339726	7.4060021586	7.6003430476	6.7916954576	7.5888487786	7.2985706306
550504	7.1300346446	7.1171080466	7.5946255876	7.4885732466	7.5007498446	7.4853559286	7.4746319646	7.1286103666	7.3807670306	7.3631780366	7.1512806256	6.8558350726	7.5499522906	7.3082652436	7.3485389296	7.1687464666	7.3658443766	7.1818405796	7.2479185966
100330213	5.6534950436	5.9763151986	5.9664673246	5.7520900276	5.4657679666	5.9124542616	5.9236480926	5.7990750316	5.7944696506	5.6139893616	5.1546388226	5.5330520556	5.5589248886	5.3945487706	5.7321336186	5.5289569386	4.9984687416	5.5440326826	5.3927914556
793007	8.2981198886	8.2860610806	8.4548807956	8.6396236476	8.4230627596	8.5507483506	8.5707547036	8.7139050246	8.4591206216	8.5069058686	8.3352672176	8.5317197846	8.2232990026	8.2956409386	8.5050578466	8.3951560146	8.2759335416	8.5369860176	8.4353392496
100038771	8.4637312656	8.1948647636	8.1951576016	8.1832448676	8.4201967256	8.1251617236	8.0515683286	8.6221515526	8.5172116736	8.1997653046	8.4025487216	8.4764707136	8.4623661056	8.6816830916	8.3767983056	8.5067244426	8.7831011456	8.2042992756	8.4881215976
100150991	8.0439082006	8.0910001366	7.8396917436	7.8862627206	8.5199471886	7.9550425606	8.1229326806	8.2904297396	8.3313701256	8.3912600526	8.4262571146	8.0773746546	8.2103691636	8.3911478666	8.2360135636	8.1046661206	8.4720316356	7.9892722216	8.1343961126
553019	9.5661818346	9.6293711486	9.7098746466	9.7444373736	8.8446158246	9.6641986996	9.5863243036	9.4205321746	9.5146922826	9.6824102976	9.1575395336	9.5837724776	9.5238604626	9.0254741716	9.4848465146	9.4452894976	8.6489682226	9.5632191526	9.3253084946
541328	9.7578108146	9.5626887976	9.6530472326	9.7591120896	10.2517799326	9.8802355776	9.9997089156	10.0750562866	9.5429323636	10.0829433026	9.9132749206	9.7134540496	9.9682791116	9.9946350896	9.8680560016	9.8049916416	10.2473840796	9.7626520276	9.9677013116
565038	6.3997783456	6.2579034706	6.5887461106	6.2164065236	5.7106132906	5.9250072706	5.8129159176	5.1339453876	5.7222171306	5.0904393016	5.3156286206	5.8634921656	5.6688708716	5.5396068996	6.0166842086	5.8593732096	5.6269012726	5.7492209416	6.0245219936
393160	6.0679447286	5.8889167116	6.5679662826	6.5447024446	6.1859413636	6.1766881226	6.2764718596	6.4625013506	6.5601383446	6.1011994516	6.1571314696	6.2623151256	6.0165864706	5.5848900566	6.4121700796	5.9545968776	6.0237089156	6.5542972106	6.0093965966
555714	5.6011146866	4.0616347516	5.1574172096	4.8603935806	4.8682635276	5.5075886916	5.3799311326	4.7629956066	4.8273259536	5.2114515576	4.6092137316	4.8623581936	5.1676140026	4.4128478596	5.2365857996	4.9225529016	4.7306729286	5.0743331176	5.3210996906
559029	10.6603109226	10.9449443866	10.9780370756	11.1826795816	10.0644078016	10.9442906826	10.8849527736	10.3852371726	10.7330919996	10.7780216056	10.3341141416	10.7583023516	10.6635111246	10.0811276326	10.6188201696	10.6776511836	9.8015796546	10.8473413956	10.5100161566
558954	6.0419815886	5.9621115346	5.3400900306	5.8467275146	5.2759058736	5.8347521656	5.6290418696	6.0794039306	5.9501919256	5.6314462316	6.1712308346	5.7077121536	5.7710280806	5.8113396856	5.7617841546	5.9235487996	5.4594440756	5.9592094476	5.9630450156
406730	9.8964796336	9.5050728506	10.0974255436	9.8657883236	9.8002489786	10.1147295636	9.9555932476	9.4050860206	9.7326436076	9.7893147036	9.4221004686	9.5484887116	9.8590222706	9.5569524876	9.7229768596	9.7900073226	9.5009245786	9.6166147046	9.8664096636
558690	6.7990467196	6.2809736376	6.8943712226	6.7348757256	6.2900800316	6.6088686886	6.8180809766	6.5671455436	6.6276200736	6.4352441006	6.1990228006	6.4919234006	6.4714817666	6.2512901046	6.8381122726	6.5398841276	6.3237908316	6.5740642276	6.5693948966
108183587	6.0807531606	5.5137327786	6.1171078066	5.6716396406	5.5728787096	5.8213849886	5.2584215266	5.8330514866	5.3904676036	5.4661648786	5.7877616126	5.9432802986	5.6988041786	5.4689002056	5.8610100016	5.8428731226	5.8837011536	5.5440326826	5.5886874906
415185	6.9322194896	7.1798239306	7.1603824926	7.0612522366	6.5000816526	7.0877698896	7.2486585916	6.6552452616	6.8809199406	7.3368165406	6.6851406676	6.7709116426	6.9409732586	6.3198564796	6.7667889946	7.0004230276	5.9967732846	6.8742890146	6.9717864126
557741	8.9954587126	9.4977063376	9.0587174976	10.3196364716	9.6578738176	8.4522868416	8.2372309456	9.2486726876	9.7326436076	8.7136264636	9.8201532286	9.2661733546	7.8984056266	10.3249858666	9.2604741766	8.3578999246	9.1651895386	9.7723095746	8.6209347996
557676	6.0021392116	6.1985605156	5.5872778636	7.2039498716	6.3754160286	5.7942732386	5.4919969546	5.9614796796	6.5322363206	6.0107141686	6.2793239116	5.4697944086	5.6227731916	6.6100348346	5.6552263606	5.4657045106	5.8689230666	6.2322999706	6.0093965966
30547	8.1631196306	8.1579551776	8.2838439466	8.3181907996	7.4953134376	8.2401306666	8.6291139366	7.9312857046	8.0943415696	8.5139820296	7.6052230556	8.0738336966	8.3227664656	7.6332627016	7.9920335476	8.2525329706	7.3446376196	8.0327768986	7.8961632766
797483	7.0410833946	7.4478893906	7.3609376506	7.6283434346	6.2900800316	7.1371578456	6.9482152456	6.4516070446	6.9458125516	6.9059867486	6.5727914586	7.2751323356	6.7397126336	6.4722290676	7.0631697976	7.0940267816	5.7286314086	6.9965129416	6.6000084946
572199	11.4747028146	11.8622543116	11.7294302516	12.1010977196	10.8712866056	11.3413508376	11.9671852406	11.0162305406	10.9601369546	11.7666750596	10.6793789126	10.9203666046	11.5329265696	10.4880623776	11.1735409826	11.3387003446	10.4791195706	11.4042874026	11.0224619216
474321	6.9462852686	6.6254446446	7.1673066306	6.8213195356	6.6641112676	6.6548112146	6.6985847246	6.1619233766	6.5037840066	6.3949270816	5.9921996876	6.2244902676	6.5309311346	6.3724558726	6.5460001776	6.7402669606	6.3019520446	6.7494625386	6.7711859196
394072	6.4200787306	5.6261010866	6.4365799526	6.1135750606	6.0736966986	6.3635097156	6.3277163476	5.6920634916	5.6198821496	5.8559579536	5.8059491736	5.5122728396	6.1197640336	5.1453047956	6.1118545156	6.5192645036	5.6955120546	5.5440326826	6.1812071896
100334600	4.9630632456	4.5535505276	5.2902146366	5.0944077666	4.9340359666	5.2919379306	5.5274978376	5.0497619696	4.8273259536	5.2794683256	4.7284330146	4.7603125586	5.4399036956	4.6865237476	4.9833029656	5.2067016246	5.1032004626	4.9587916096	5.5262982996
100329285	4.1236101106	4.5151509876	5.1006753616	4.3929938226	4.9340359666	4.7014302696	4.9273828626	5.0205726606	4.6308359906	4.5446331676	4.7284330146	4.5316260596	4.7766165946	4.6443663486	3.9659999566	4.0978971686	4.6290918316	3.6945866126	5.0227629926
556894	5.5467606566	5.5330791846	5.2902146366	5.4723293206	5.4205931616	5.1916113946	4.8732219686	5.3370226826	5.3590451756	5.2571504806	5.7317813786	5.4260272106	5.4220698336	5.6502564046	5.2153119586	5.2067016246	5.7449102666	5.4615377516	5.4159183026
555242	8.6642580826	8.9754139466	8.9363749906	9.0105409416	7.6839517796	8.7908436656	8.7486267336	8.3026063256	8.6594259236	8.7380056636	8.2076926076	8.5573032886	8.5511887306	8.0713883366	8.4740460376	8.7517810646	7.8412750226	8.7626221056	8.4962819186
101883146	6.7275474876	6.3910952546	6.8172298386	6.5219374646	6.1586882396	6.6846463856	6.2015268696	5.9614796796	6.3363975006	6.1625246066	6.7429238966	6.6524652546	6.6658626296	6.4479251636	6.5288573486	6.4555761476	6.3769838526	6.8338684526	6.6200625196
793299	8.6642580826	8.9195425346	8.9565005806	8.9982232916	8.2072772126	8.9650622516	8.9935980066	8.4630942436	8.4591206216	8.9854630556	8.3352672176	8.6927465226	8.7176004906	8.2294545056	8.5860196776	8.6792841186	7.9749451536	8.8523666956	8.5337647496
100034546	7.0541314526	7.1298712276	7.3488068406	7.2940395426	7.0074376446	6.8252143276	6.9933473326	6.7736944666	6.7895902746	6.6474559146	6.7616818706	6.7083434026	7.0082589536	7.0421549306	6.9126984386	6.8680704066	6.9959248076	6.9594183216	6.9717864126
654774	8.2046698986	8.4527919556	8.4801250676	8.3181907996	7.9374949266	8.3348984616	8.3505870526	8.0261274236	8.1366503446	8.3601855066	8.0714964266	8.3268290406	8.2155550136	7.9072804906	8.4537519906	8.2680647906	7.8374846866	8.3913955466	8.1688392146
100535105	8.7569503026	8.9450430376	9.0475027186	9.0002835506	8.1391931616	8.8821914516	8.8917122786	8.6221515526	8.5454029596	8.9105819456	8.4437861796	8.6362489546	8.7923869576	8.3359306656	8.6899250276	8.7671655846	7.8969665626	8.5864853436	8.5311194616
449825	6.5638569516	6.3697331326	6.5362243386	6.6000912246	6.8113806456	6.5370894956	5.9102625256	6.2525852016	6.3363975006	5.7952961596	6.4964545556	6.5440379126	6.1740489556	6.8790367686	6.5796865786	6.0439226756	6.4483055606	6.7142671456	6.3587858936
556703	11.2386563256	11.0011620146	11.1319656356	10.9820262006	11.2558539436	11.0079948626	10.8349112966	11.1131782846	11.2587870836	10.8337543366	11.2614973526	11.2697399796	10.9519049626	11.3519542756	11.2123115756	11.1169168376	11.4308442936	11.1650018416	11.0304446096
406575	9.9375457366	9.8831870236	10.0192144546	10.1684351806	9.5982640476	9.3249524326	9.3551873276	9.4191347926	9.5842823066	9.1428619406	9.6213951616	9.3089714276	9.4198684526	9.4168507826	9.1386344636	9.7595635456	9.3226070096	9.3229913136	9.5365592936
100037325	5.3909307166	5.0861292106	5.5239524786	5.0944077666	5.6917238626	5.0837831186	5.2155325006	5.1339453876	5.3904676036	5.3654395656	4.8734613066	4.8623581936	5.4220698336	5.2614235166	5.4151276316	5.2820729496	5.3359291706	5.3047445566	5.5473959006
553396	4.7227447276	4.6629730126	5.3882986446	5.3740644786	5.4878357526	4.9913139046	5.2155325006	4.1589988986	4.7324235446	4.8728542286	4.4331870966	4.8623581936	5.3101732236	4.3087274126	4.6758797436	4.6079595716	4.1800347206	5.1018284096	4.6065516336
100144566	6.5729512926	6.5323790116	6.5254865736	7.0293239856	5.1977298616	6.5370894956	5.7838519766	5.7104590936	6.2871622296	6.0759203866	5.6333654386	6.5234174576	6.0518052736	5.2890494596	6.3254763776	6.3889458706	5.3990080456	6.6963421436	5.8316257616
799147	5.1928010446	5.1120903406	5.6676070136	6.4393062446	5.8870357826	5.3857389836	4.6336214116	4.6531683586	5.6198821496	5.0126393156	5.0668640976	5.5737336316	4.2787568686	6.3331872046	5.2782148906	4.8583319936	4.7630037336	6.4296456016	5.4831543326
561089	6.5175049196	7.1550637676	6.5146682906	7.6599654716	7.2719011186	6.1555383456	6.2015268696	6.3844549116	7.2498314566	6.0886152866	7.0557147676	7.1991604506	5.6688708716	7.6440001226	6.8450544386	6.0294138546	6.4582125316	7.3111389406	6.1946423076
560003	5.0697074526	4.8287047926	5.3643956936	5.0632128126	5.0864347896	4.9178522096	4.6006671966	4.4047211516	4.6825237456	4.7819827836	5.2103222106	4.8948300896	4.7482705326	4.7274841476	5.0327857736	5.0138227736	4.7630037336	4.6215366586	4.6462069476
30105	7.4394158816	7.1859481386	7.5369850926	7.3140541756	6.6737693916	6.9347919666	6.2015268696	6.6552452616	6.6794211276	6.1136747986	6.7046600266	7.0193948516	6.3160039386	6.8328589216	6.9898949776	6.5602131946	6.5991900576	7.0038187696	6.8832908106
324835	8.6428252776	8.8402196586	8.8910849186	8.8207401966	8.4874573716	8.6933186406	8.7316042706	8.4739024736	8.5348956776	8.6572186676	8.5146145796	8.3936820956	8.4732315026	8.2646676356	8.6369088806	8.6053980596	8.1863905416	8.8360872386	8.5097807116
560140	10.7627187716	10.8497893956	10.5289407276	10.7695683966	10.6868532266	10.5831435406	10.5950926256	11.0249841506	10.9297133806	10.6268425626	10.9572555196	10.8803853946	10.7442224566	10.9072423436	10.6324267186	10.6689020236	11.0065667416	10.7803232176	10.7603579556
