gene.id	bmd
ENSDARG00000000369	0.114502069
ENSDARG00000001498	1.103771714
ENSDARG00000001559	1.296603911
ENSDARG00000001817	0.103318539
ENSDARG00000001968	NA
ENSDARG00000002241	0.04617205
ENSDARG00000002355	0.009191617
ENSDARG00000002600	0.764020568
ENSDARG00000003046	0.696024361
ENSDARG00000004243	1.781450125
ENSDARG00000005126	0.921136514
ENSDARG00000005150	1.567819434
ENSDARG00000005783	1.097385114
ENSDARG00000006052	0.029075693
ENSDARG00000006598	0.512456015
ENSDARG00000008398	1.013847542
ENSDARG00000009087	0.048442753
ENSDARG00000009493	0.866567969
ENSDARG00000012275	0.206808551
ENSDARG00000013072	0.00212822
ENSDARG00000013598	0.619392069
ENSDARG00000014717	0.009724916
ENSDARG00000015149	0.500702888
ENSDARG00000016490	0.062381799
ENSDARG00000017047	0.326814172
ENSDARG00000017155	0.76664945
ENSDARG00000017489	0.24513712
ENSDARG00000017653	0.265807224
ENSDARG00000018077	NA
ENSDARG00000018393	0.013323957
ENSDARG00000019588	0.009302057
ENSDARG00000020788	0.410083438
ENSDARG00000020887	0.201532577
ENSDARG00000021255	0.016473947
ENSDARG00000024789	0.574878922
ENSDARG00000025108	0.161182526
ENSDARG00000025189	0.570940436
ENSDARG00000026376	0.052556246
ENSDARG00000028012	0.005391932
ENSDARG00000028793	0.436024368
ENSDARG00000028899	0.021106947
ENSDARG00000029890	2.436398051
ENSDARG00000032372	0.00813253
ENSDARG00000033144	0.704079936
ENSDARG00000033949	0.525605347
ENSDARG00000035127	0.045996725
ENSDARG00000035257	0.013713025
ENSDARG00000035273	0.604621697
ENSDARG00000035333	1.122615257
ENSDARG00000036156	0.012150289
ENSDARG00000036826	0.82454045
ENSDARG00000036987	0.016047001
ENSDARG00000036999	1.585812805
ENSDARG00000037598	0.00062688
ENSDARG00000038166	0.955895162
ENSDARG00000038186	0.637028501
ENSDARG00000038612	0.769344981
ENSDARG00000038713	0.611652741
ENSDARG00000039750	0.635159964
ENSDARG00000039899	0.701086261
ENSDARG00000039979	0.391596095
ENSDARG00000039996	0.260998369
ENSDARG00000040427	2.341735164
ENSDARG00000040466	0.732383817
ENSDARG00000041779	0.310468407
ENSDARG00000042000	0.00828735
ENSDARG00000042259	0.362447749
ENSDARG00000042492	0.017285143
ENSDARG00000042936	0.140182405
ENSDARG00000042937	0.010860418
ENSDARG00000043322	0.406200197
ENSDARG00000043514	0.35008477
ENSDARG00000044512	1.215589888
ENSDARG00000044574	0.012215798
ENSDARG00000045139	0.005130434
ENSDARG00000045661	1.405851514
ENSDARG00000051915	0.17957102
ENSDARG00000052450	0.599602471
ENSDARG00000052654	0.076670043
ENSDARG00000052658	0.002078285
ENSDARG00000052703	0.722503521
ENSDARG00000052766	1.168661068
ENSDARG00000052978	0.002211935
ENSDARG00000053389	1.391913267
ENSDARG00000053804	0.003757128
ENSDARG00000054023	0.357286939
ENSDARG00000054560	0.338573365
ENSDARG00000054771	0.340892723
ENSDARG00000054786	2.360736051
ENSDARG00000054805	0.939737947
ENSDARG00000054878	0.432763103
ENSDARG00000055252	0.590271314
ENSDARG00000055712	0.103590636
ENSDARG00000055754	0.014613472
ENSDARG00000055835	0.5215517
ENSDARG00000056030	0.03475566
ENSDARG00000056162	0.067741261
ENSDARG00000056395	0.017132606
ENSDARG00000056625	0.457935229
ENSDARG00000056732	0.114879372
ENSDARG00000056781	0.522804222
ENSDARG00000056926	0.016324728
ENSDARG00000058892	1.587212027
ENSDARG00000059058	0.017117746
ENSDARG00000059424	0.031058199
ENSDARG00000059888	0.391188355
ENSDARG00000060025	0.796753207
ENSDARG00000060413	0.643691184
ENSDARG00000060944	1.443316028
ENSDARG00000061031	1.20832277
ENSDARG00000061040	0.012928957
ENSDARG00000061265	1.083807064
ENSDARG00000061541	1.087628586
ENSDARG00000062024	1.110720548
ENSDARG00000062347	0.81428044
ENSDARG00000062550	0.011843066
ENSDARG00000062579	0.058905889
ENSDARG00000062631	0.464569211
ENSDARG00000062884	0.612253472
ENSDARG00000062976	0.02063564
ENSDARG00000063285	0.715606476
ENSDARG00000063390	0.011057226
ENSDARG00000063568	1.557362459
ENSDARG00000067848	0.040044204
ENSDARG00000068240	0.230769169
ENSDARG00000068286	0.06276911
ENSDARG00000069654	0.131967475
ENSDARG00000069865	0.059279096
ENSDARG00000069888	1.058777071
ENSDARG00000070048	1.015047701
ENSDARG00000070603	0.03616032
ENSDARG00000070919	0.79477632
ENSDARG00000071143	0.01251631
ENSDARG00000071823	0.854253036
ENSDARG00000073822	1.140683119
ENSDARG00000074362	0.624387504
ENSDARG00000074379	0.123334823
ENSDARG00000074488	0.016659487
ENSDARG00000074564	1.588822554
ENSDARG00000074915	0.575885015
ENSDARG00000075532	1.158215295
ENSDARG00000075842	0.423982983
ENSDARG00000075993	0.762925054
ENSDARG00000076041	0.002282874
ENSDARG00000076294	1.243149151
ENSDARG00000076534	0.485867346
ENSDARG00000077179	0.423658986
ENSDARG00000077316	0.022805189
ENSDARG00000077582	0.010783175
ENSDARG00000077633	0.118514292
ENSDARG00000077883	0.323757143
ENSDARG00000077915	0.146419387
ENSDARG00000078016	0.044924927
ENSDARG00000078069	0.511937976
ENSDARG00000078832	0.488193489
ENSDARG00000078890	0.014231094
ENSDARG00000079074	1.026925109
ENSDARG00000079080	0.095877425
ENSDARG00000079166	0.984914098
ENSDARG00000079267	0.065138756
ENSDARG00000079462	0.222039339
ENSDARG00000079560	0.524868699
ENSDARG00000079860	0.893402547
ENSDARG00000081270	0.558093709
ENSDARG00000082968	0.046417687
ENSDARG00000083588	0.248985896
ENSDARG00000086369	0.009609996
ENSDARG00000086518	0.000949377
ENSDARG00000087145	0.157791
ENSDARG00000087210	0.57140087
ENSDARG00000087258	0.008788382
ENSDARG00000087558	2.538372023
ENSDARG00000087741	0.531576105
ENSDARG00000088040	0.497611138
ENSDARG00000088130	0.135337487
ENSDARG00000088463	0.907243627
ENSDARG00000088750	0.27367711
ENSDARG00000089245	0.177791557
ENSDARG00000089291	0.309340818
ENSDARG00000089320	0.710826368
ENSDARG00000089444	1.111127614
ENSDARG00000089553	1.078430146
ENSDARG00000089856	1.072409207
ENSDARG00000089860	0.600119125
ENSDARG00000089908	0.018355721
ENSDARG00000089943	0.67446827
ENSDARG00000090152	0.190784345
ENSDARG00000090326	1.936967804
ENSDARG00000090815	0.847781062
ENSDARG00000090854	0.030685199
ENSDARG00000090904	0.014776403
ENSDARG00000090948	0.801432102
ENSDARG00000091090	0.002512312
ENSDARG00000091119	0.011266927
ENSDARG00000091560	0.725864624
ENSDARG00000091835	0.002043535
ENSDARG00000092018	NA
ENSDARG00000092931	0.686208914
ENSDARG00000093043	1.190523735
ENSDARG00000093156	0.044988577
ENSDARG00000093688	1.508909871
ENSDARG00000094104	1.45240686
ENSDARG00000094131	1.08531662
ENSDARG00000094216	0.147917921
ENSDARG00000094243	1.236019553
ENSDARG00000094537	0.253762013
ENSDARG00000094660	0.076171441
ENSDARG00000094677	0.963412091
ENSDARG00000095179	0.05560225
ENSDARG00000095360	1.030393352
ENSDARG00000096030	0.088501381
ENSDARG00000096045	1.850453242
ENSDARG00000096091	1.448146722
ENSDARG00000096172	0.834544668
ENSDARG00000096269	0.566533078
ENSDARG00000096575	0.385459756
ENSDARG00000096616	0.382035873
ENSDARG00000096749	0.001381266
ENSDARG00000096808	0.023212989
ENSDARG00000097137	0.19323472
ENSDARG00000097289	0.054610832
ENSDARG00000097369	0.507009601
ENSDARG00000097595	0.194949349
ENSDARG00000097650	1.183050916
ENSDARG00000097719	0.020555588
ENSDARG00000097790	0.957637931
ENSDARG00000097928	0.180058384
ENSDARG00000098538	1.281600977
ENSDARG00000098791	1.120260985
ENSDARG00000098805	0.688076105
ENSDARG00000098857	0.002727506
ENSDARG00000099112	2.671923682
ENSDARG00000099461	0.025710243
ENSDARG00000099483	0.083909097
ENSDARG00000099558	0.577796837
ENSDARG00000099995	0.607517997
ENSDARG00000100028	0.278764741
ENSDARG00000100043	0.731371579
ENSDARG00000100274	0.017774753
ENSDARG00000100361	0.012042609
ENSDARG00000100573	0.425476692
