animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal21	Dose2C	1	     0.0	    60.0	71	    26.5	     0.0	126	    26.6	   410.5	71	     6.8	   299.6	0	     0.0
Animal22	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal22	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal23	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal23	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal24	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal24	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal25	Dose3A	0	     0.0	    60.0	42	     2.6	     0.0	359	    40.5	   908.7	227	     9.5	   373.9	185	     7.3
Animal25	Dose3A	1	     0.0	    60.0	42	     2.6	     0.0	359	    40.5	   908.7	227	     9.5	   373.9	0	     0.0
Animal26	Dose3A	0	     0.0	    60.0	78	    15.5	     0.0	82	    44.0	   663.8	4	     0.5	    15.1	0	     0.0
Animal26	Dose3A	1	     0.0	    60.0	78	    15.5	     0.0	82	    44.0	   663.8	4	     0.5	    15.1	0	     0.0
Animal27	Dose3A	0	     0.0	    60.0	77	    24.4	     0.0	132	    28.2	   430.0	84	     7.4	   257.0	0	     0.0
Animal27	Dose3A	1	     0.0	    60.0	77	    24.4	     0.0	132	    28.2	   430.0	84	     7.4	   257.0	0	     0.0
Animal28	Dose3B	0	     0.0	    60.0	75	    21.4	     0.0	164	    26.0	   424.5	105	    12.5	   573.1	3	     0.1
Animal28	Dose3B	1	     0.0	    60.0	75	    21.4	     0.0	164	    26.0	   424.5	105	    12.5	   573.1	0	     0.0
Animal29	Dose3B	0	     0.0	    60.0	82	    29.8	     0.0	123	    22.6	   323.0	57	     7.6	   430.3	1	     0.0
Animal29	Dose3B	1	     0.0	    60.0	82	    29.8	     0.0	123	    22.6	   323.0	57	     7.6	   430.3	0	     0.0
Animal30	Dose3B	0	     0.0	    60.0	81	    23.3	     0.0	126	    30.3	   480.0	65	     6.3	   292.2	2	     0.1
Animal30	Dose3B	1	     0.0	    60.0	81	    23.3	     0.0	126	    30.3	   480.0	65	     6.3	   292.2	0	     0.0
Animal31	Dose3C	0	     0.0	    60.0	81	    21.8	     0.0	137	    24.6	   374.3	101	    13.4	   813.0	7	     0.3
Animal31	Dose3C	1	     0.0	    60.0	81	    21.8	     0.0	137	    24.6	   374.3	101	    13.4	   813.0	0	     0.0
Animal32	Dose3C	0	     0.0	    60.0	77	    11.1	     0.0	109	    46.5	   741.9	35	     2.4	   102.7	0	     0.0
Animal32	Dose3C	1	     0.0	    60.0	77	    11.1	     0.0	109	    46.5	   741.9	35	     2.4	   102.7	0	     0.0
Animal33	Dose3C	0	     0.0	    60.0	81	    21.0	     0.0	136	    35.4	   591.4	59	     3.6	   112.0	1	     0.0
Animal33	Dose3C	1	     0.0	    60.0	81	    21.0	     0.0	136	    35.4	   591.4	59	     3.6	   112.0	0	     0.0
Animal34	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal34	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal35	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal35	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal36	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal36	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal37	Dose4A	0	     0.0	    60.0	72	    24.7	     0.0	139	    27.5	   471.3	86	     7.8	   268.6	0	     0.0
Animal37	Dose4A	1	     0.0	    60.0	72	    24.7	     0.0	139	    27.5	   471.3	86	     7.8	   268.6	0	     0.0
Animal38	Dose4A	0	     0.0	    60.0	94	    19.3	     0.0	147	    29.2	   429.4	87	    11.3	   755.3	3	     0.1
Animal38	Dose4A	1	     0.0	    60.0	94	    19.3	     0.0	147	    29.2	   429.4	87	    11.3	   755.3	0	     0.0
Animal39	Dose4A	0	     0.0	    60.0	76	    14.6	     0.0	90	    37.6	   570.1	20	     1.3	    49.7	1	     6.4
Animal39	Dose4A	1	     0.0	    60.0	76	    14.6	     0.0	90	    37.6	   570.1	20	     1.3	    49.7	0	     0.0
Animal40	Dose4B	0	     0.0	    60.0	66	    46.8	     0.0	70	    12.7	   156.2	9	     0.5	    14.3	0	     0.0
Animal40	Dose4B	1	     0.0	    60.0	66	    46.8	     0.0	70	    12.7	   156.2	9	     0.5	    14.3	0	     0.0
Animal41	Dose4B	0	     0.0	    60.0	81	    25.2	     0.0	129	    26.1	   411.4	75	     8.5	   526.6	3	     0.1
Animal41	Dose4B	1	     0.0	    60.0	81	    25.2	     0.0	129	    26.1	   411.4	75	     8.5	   526.6	0	     0.0
Animal42	Dose4B	0	     0.0	    60.0	89	    18.8	     0.0	157	    35.6	   576.2	80	     5.5	   207.2	0	     0.0
Animal42	Dose4B	1	     0.0	    60.0	89	    18.8	     0.0	157	    35.6	   576.2	80	     5.5	   207.2	0	     0.0
Animal43	Dose4C	0	     0.0	    60.0	78	    33.4	     0.0	99	    22.2	   325.3	29	     4.3	   149.8	0	     0.0
Animal43	Dose4C	1	     0.0	    60.0	78	    33.4	     0.0	99	    22.2	   325.3	29	     4.3	   149.8	0	     0.0
Animal44	Dose4C	0	     0.0	    60.0	82	    16.6	     0.0	172	    33.4	   551.6	124	     8.9	   382.7	4	     1.0
Animal44	Dose4C	1	     0.0	    60.0	82	    16.6	     0.0	172	    33.4	   551.6	124	     8.9	   382.7	0	     0.0
Animal45	Dose4C	0	     0.0	    60.0	89	    19.3	     0.0	151	    32.8	   524.4	85	     7.9	   295.2	0	     0.0
Animal45	Dose4C	1	     0.0	    60.0	89	    19.3	     0.0	151	    32.8	   524.4	85	     7.9	   295.2	0	     0.0
Animal46	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal46	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal47	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal47	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal48	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal48	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal49	Dose5A	0	     0.0	    60.0	95	    19.9	     0.0	119	    38.9	   586.3	30	     1.1	    23.9	0	     0.0
Animal49	Dose5A	1	     0.0	    60.0	95	    19.9	     0.0	119	    38.9	   586.3	30	     1.1	    23.9	0	     0.0
Animal50	Dose5A	0	     0.0	    60.0	87	    22.9	     0.0	132	    27.3	   434.6	75	     9.8	   424.4	0	     0.0
Animal50	Dose5A	1	     0.0	    60.0	87	    22.9	     0.0	132	    27.3	   434.6	75	     9.8	   424.4	0	     0.0
Animal51	Dose5A	0	     0.0	    60.0	71	    16.2	     0.0	145	    36.9	   633.1	85	     6.8	   311.8	1	     0.0
Animal51	Dose5A	1	     0.0	    60.0	71	    16.2	     0.0	145	    36.9	   633.1	85	     6.8	   311.8	0	     0.0
Animal52	Dose5B	0	     0.0	    60.0	73	    16.1	     0.0	180	    29.0	   497.6	130	    14.7	   740.6	4	     0.2
Animal52	Dose5B	1	     0.0	    60.0	73	    16.1	     0.0	180	    29.0	   497.6	130	    14.7	   740.6	0	     0.0
Animal53	Dose5B	0	     0.0	    60.0	92	    27.1	     0.0	144	    29.6	   480.8	86	     3.3	    73.9	0	     0.0
Animal53	Dose5B	1	     0.0	    60.0	92	    27.1	     0.0	144	    29.6	   480.8	86	     3.3	    73.9	0	     0.0
Animal54	Dose5B	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal54	Dose5B	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal55	Dose5C	0	     0.0	    60.0	99	    21.5	     0.0	132	    33.1	   502.2	45	     5.3	   275.2	2	     0.1
Animal55	Dose5C	1	     0.0	    60.0	99	    21.5	     0.0	132	    33.1	   502.2	45	     5.3	   275.2	0	     0.0
Animal56	Dose5C	0	     0.0	    60.0	92	    15.9	     0.0	200	    29.2	   432.8	136	    14.6	   487.3	2	     0.2
Animal56	Dose5C	1	     0.0	    60.0	92	    15.9	     0.0	200	    29.2	   432.8	136	    14.6	   487.3	0	     0.0
