animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal21	Dose2C	1	     0.0	    60.0	79	    21.5	     0.0	126	    29.4	   460.9	70	     8.7	   572.6	0	     0.0
Animal22	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal22	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal23	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal23	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal24	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal24	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal25	Dose3A	0	     0.0	    60.0	86	    16.9	     0.0	172	    22.7	   335.4	125	    20.3	  1189.3	0	     0.0
Animal25	Dose3A	1	     0.0	    60.0	86	    16.9	     0.0	172	    22.7	   335.4	125	    20.3	  1189.3	0	     0.0
Animal26	Dose3A	0	     0.0	    60.0	73	    13.7	     0.0	184	    27.6	   451.5	149	    18.5	   979.2	6	     0.2
Animal26	Dose3A	1	     0.0	    60.0	73	    13.7	     0.0	184	    27.6	   451.5	149	    18.5	   979.2	0	     0.0
Animal27	Dose3A	0	     0.0	    60.0	90	    18.8	     0.0	171	    21.1	   298.1	125	    20.0	  1162.7	5	     0.2
Animal27	Dose3A	1	     0.0	    60.0	90	    18.8	     0.0	171	    21.1	   298.1	125	    20.0	  1162.7	0	     0.0
Animal28	Dose3B	0	     0.0	    60.0	69	    19.4	     0.0	138	    22.8	   330.4	106	    17.3	  1186.5	16	     0.5
Animal28	Dose3B	1	     0.0	    60.0	69	    19.4	     0.0	138	    22.8	   330.4	106	    17.3	  1186.5	0	     0.0
Animal29	Dose3B	0	     0.0	    60.0	76	    12.5	     0.0	170	    33.3	   545.7	116	    14.0	   715.8	4	     0.1
Animal29	Dose3B	1	     0.0	    60.0	76	    12.5	     0.0	170	    33.3	   545.7	116	    14.0	   715.8	0	     0.0
Animal30	Dose3B	0	     0.0	    60.0	81	    31.0	     0.0	114	    20.0	   274.2	65	     8.8	   534.1	6	     0.2
Animal30	Dose3B	1	     0.0	    60.0	81	    31.0	     0.0	114	    20.0	   274.2	65	     8.8	   534.1	0	     0.0
Animal31	Dose3C	0	     0.0	    60.0	91	    20.5	     0.0	148	    20.2	   295.3	118	    18.4	  1640.7	23	     0.9
Animal31	Dose3C	1	     0.0	    60.0	91	    20.5	     0.0	148	    20.2	   295.3	118	    18.4	  1640.7	0	     0.0
Animal32	Dose3C	0	     0.0	    60.0	38	    45.2	     0.0	54	    10.2	   160.8	30	     4.5	   427.5	5	     0.2
Animal32	Dose3C	1	     0.0	    60.0	38	    45.2	     0.0	54	    10.2	   160.8	30	     4.5	   427.5	0	     0.0
Animal33	Dose3C	0	     0.0	    60.0	75	    18.1	     0.0	168	    25.7	   429.2	137	    15.5	  1218.4	18	     0.7
Animal33	Dose3C	1	     0.0	    60.0	75	    18.1	     0.0	168	    25.7	   429.2	137	    15.5	  1218.4	0	     0.0
Animal34	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal34	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal35	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal35	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal36	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal36	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal37	Dose4A	0	     0.0	    60.0	76	    16.5	     0.0	163	    27.2	   435.9	116	    16.1	   913.1	5	     0.2
Animal37	Dose4A	1	     0.0	    60.0	76	    16.5	     0.0	163	    27.2	   435.9	116	    16.1	   913.1	0	     0.0
Animal38	Dose4A	0	     0.0	    60.0	80	    25.3	     0.0	106	    31.4	   475.7	35	     3.1	   240.5	2	     0.1
Animal38	Dose4A	1	     0.0	    60.0	80	    25.3	     0.0	106	    31.4	   475.7	35	     3.1	   240.5	0	     0.0
Animal39	Dose4A	0	     0.0	    60.0	85	    18.0	     0.0	154	    33.0	   517.7	100	     8.8	   459.5	6	     0.2
Animal39	Dose4A	1	     0.0	    60.0	85	    18.0	     0.0	154	    33.0	   517.7	100	     8.8	   459.5	0	     0.0
Animal40	Dose4B	0	     0.0	    60.0	37	    48.4	     0.0	61	     9.5	   147.1	28	     1.9	    98.6	8	     0.3
Animal40	Dose4B	1	     0.0	    60.0	37	    48.4	     0.0	61	     9.5	   147.1	28	     1.9	    98.6	0	     0.0
Animal41	Dose4B	0	     0.0	    60.0	72	    26.0	     0.0	136	    27.2	   410.2	82	     6.8	   281.5	1	     0.0
Animal41	Dose4B	1	     0.0	    60.0	72	    26.0	     0.0	136	    27.2	   410.2	82	     6.8	   281.5	0	     0.0
Animal42	Dose4B	0	     0.0	    60.0	74	    14.3	     0.0	176	    28.9	   482.6	138	    15.5	  1294.3	29	     1.2
Animal42	Dose4B	1	     0.0	    60.0	74	    14.3	     0.0	176	    28.9	   482.6	138	    15.5	  1294.3	0	     0.0
Animal43	Dose4C	0	     0.0	    60.0	66	    26.6	     0.0	118	    19.0	   274.1	80	    12.8	   722.2	5	     1.6
Animal43	Dose4C	1	     0.0	    60.0	66	    26.6	     0.0	118	    19.0	   274.1	80	    12.8	   722.2	0	     0.0
Animal44	Dose4C	0	     0.0	    60.0	65	    18.2	     0.0	161	    28.5	   496.4	119	    13.1	   651.2	5	     0.2
Animal44	Dose4C	1	     0.0	    60.0	65	    18.2	     0.0	161	    28.5	   496.4	119	    13.1	   651.2	0	     0.0
Animal45	Dose4C	0	     0.0	    60.0	79	    15.7	     0.0	177	    23.1	   329.8	139	    20.9	  1133.7	8	     0.2
Animal45	Dose4C	1	     0.0	    60.0	79	    15.7	     0.0	177	    23.1	   329.8	139	    20.9	  1133.7	0	     0.0
Animal46	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal46	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal47	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal47	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal48	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal48	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal49	Dose5A	0	     0.0	    60.0	65	    12.1	     0.0	191	    41.9	   746.3	144	     6.0	   173.5	1	     0.0
Animal49	Dose5A	1	     0.0	    60.0	65	    12.1	     0.0	191	    41.9	   746.3	144	     6.0	   173.5	0	     0.0
Animal50	Dose5A	0	     0.0	    60.0	49	     5.2	     0.0	260	    42.1	   842.9	239	    12.6	   411.6	5	     0.1
Animal50	Dose5A	1	     0.0	    60.0	49	     5.2	     0.0	260	    42.1	   842.9	239	    12.6	   411.6	0	     0.0
Animal51	Dose5A	0	     0.0	    60.0	92	    13.6	     0.0	179	    35.5	   578.6	110	    10.8	   399.0	1	     0.0
Animal51	Dose5A	1	     0.0	    60.0	92	    13.6	     0.0	179	    35.5	   578.6	110	    10.8	   399.0	0	     0.0
Animal52	Dose5B	0	     0.0	    60.0	85	    14.6	     0.0	178	    20.7	   303.4	151	    24.3	  1628.2	11	     0.4
