animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal21	Dose2C	1	     0.0	    60.0	93	    19.8	     0.0	174	    18.9	   276.4	140	    21.1	  1240.3	0	     0.0
Animal22	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal22	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal23	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal23	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal24	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal24	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal25	Dose3A	0	     0.0	    60.0	80	    15.1	     0.0	184	    24.7	   385.1	140	    20.0	  1156.7	4	     0.2
Animal25	Dose3A	1	     0.0	    60.0	80	    15.1	     0.0	184	    24.7	   385.1	140	    20.0	  1156.7	0	     0.0
Animal26	Dose3A	0	     0.0	    60.0	84	    21.0	     0.0	154	    23.3	   362.7	118	    15.7	   790.0	1	     0.0
Animal26	Dose3A	1	     0.0	    60.0	84	    21.0	     0.0	154	    23.3	   362.7	118	    15.7	   790.0	0	     0.0
Animal27	Dose3A	0	     0.0	    60.0	94	    16.1	     0.0	167	    25.9	   383.1	128	    17.3	  1349.7	21	     0.7
Animal27	Dose3A	1	     0.0	    60.0	94	    16.1	     0.0	167	    25.9	   383.1	128	    17.3	  1349.7	0	     0.0
Animal28	Dose3B	0	     0.0	    60.0	81	    20.4	     0.0	149	    27.0	   417.8	104	    12.3	   829.5	9	     0.3
Animal28	Dose3B	1	     0.0	    60.0	81	    20.4	     0.0	149	    27.0	   417.8	104	    12.3	   829.5	0	     0.0
Animal29	Dose3B	0	     0.0	    60.0	85	    16.1	     0.0	177	    24.2	   377.7	139	    18.2	  1221.2	13	     1.5
Animal29	Dose3B	1	     0.0	    60.0	85	    16.1	     0.0	177	    24.2	   377.7	139	    18.2	  1221.2	0	     0.0
Animal30	Dose3B	0	     0.0	    60.0	75	    15.6	     0.0	186	    26.1	   434.0	143	    18.1	  1080.7	6	     0.2
Animal30	Dose3B	1	     0.0	    60.0	75	    15.6	     0.0	186	    26.1	   434.0	143	    18.1	  1080.7	0	     0.0
Animal31	Dose3C	0	     0.0	    60.0	84	    21.6	     0.0	140	    16.7	   237.7	124	    20.9	  1583.0	22	     0.7
