E5,Counts
ENSDARG00000002467,20
ENSDARG00000002479,12
ENSDARG00000002483,6
ENSDARG00000002487,27
ENSDARG00000002494,30
ENSDARG00000002506,7
ENSDARG00000002507,7
ENSDARG00000002508,12
ENSDARG00000002509,0
ENSDARG00000002510,4
ENSDARG00000002523,118
ENSDARG00000002533,1
ENSDARG00000002536,25
ENSDARG00000002538,17
ENSDARG00000002546,14
ENSDARG00000002549,5
ENSDARG00000002552,86
ENSDARG00000002564,27
ENSDARG00000002571,34
ENSDARG00000002576,4
ENSDARG00000002582,41
ENSDARG00000002587,158
ENSDARG00000002589,318
ENSDARG00000002591,28
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,28
ENSDARG00000002601,2
ENSDARG00000002607,10
ENSDARG00000002609,9
ENSDARG00000002613,0
ENSDARG00000002632,53
ENSDARG00000002634,7
ENSDARG00000002635,25
ENSDARG00000002642,14
ENSDARG00000002644,23
ENSDARG00000002656,35
ENSDARG00000002659,32
ENSDARG00000002663,30
ENSDARG00000002666,3
ENSDARG00000002670,23
ENSDARG00000002682,32
ENSDARG00000002685,0
ENSDARG00000002690,4
ENSDARG00000002696,162
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,405
ENSDARG00000002720,15
ENSDARG00000002722,0
ENSDARG00000002728,6
ENSDARG00000002731,128
ENSDARG00000002732,14
ENSDARG00000002745,199
ENSDARG00000002748,16
ENSDARG00000002750,23
ENSDARG00000002754,5
ENSDARG00000002758,345
ENSDARG00000002760,5
ENSDARG00000002764,5
ENSDARG00000002768,1855
ENSDARG00000002771,18
ENSDARG00000002779,0
ENSDARG00000002787,81
ENSDARG00000002790,132
ENSDARG00000002791,524
ENSDARG00000002792,85
ENSDARG00000002795,16
ENSDARG00000002797,0
ENSDARG00000002798,1
ENSDARG00000002816,14
ENSDARG00000002826,2
ENSDARG00000002830,2
ENSDARG00000002831,2
ENSDARG00000002840,57
ENSDARG00000002847,19
ENSDARG00000002872,8
ENSDARG00000002877,52
ENSDARG00000002880,15
ENSDARG00000002894,4
ENSDARG00000002897,18
ENSDARG00000002909,24
ENSDARG00000002912,11
ENSDARG00000002916,40
ENSDARG00000002917,25
ENSDARG00000002933,1
ENSDARG00000002937,39
ENSDARG00000002945,18
ENSDARG00000002947,25
ENSDARG00000002949,81
ENSDARG00000002952,66
ENSDARG00000002956,27
ENSDARG00000002959,0
ENSDARG00000002967,44
ENSDARG00000002968,77
ENSDARG00000002970,55
ENSDARG00000002971,8
ENSDARG00000002986,35
ENSDARG00000002988,111
ENSDARG00000002991,36
ENSDARG00000002994,26
ENSDARG00000003008,38
ENSDARG00000003017,30
ENSDARG00000003020,10
ENSDARG00000003021,14
ENSDARG00000003022,6
ENSDARG00000003027,1
ENSDARG00000003032,523
ENSDARG00000003035,281
ENSDARG00000003041,9
ENSDARG00000003046,0
ENSDARG00000003054,1
ENSDARG00000003058,26
ENSDARG00000003061,3
ENSDARG00000003068,39
ENSDARG00000003069,10
ENSDARG00000003077,7
ENSDARG00000003081,3401
ENSDARG00000003084,3
ENSDARG00000003085,19
ENSDARG00000003087,48
ENSDARG00000003090,0
ENSDARG00000003091,31
ENSDARG00000003098,144
ENSDARG00000003109,14
ENSDARG00000003113,125
ENSDARG00000003127,48
ENSDARG00000003132,4
ENSDARG00000003142,20
ENSDARG00000003144,2
ENSDARG00000003146,10
ENSDARG00000003151,162
ENSDARG00000003153,11
ENSDARG00000003157,23
ENSDARG00000003165,21
ENSDARG00000003167,5
ENSDARG00000003169,185
ENSDARG00000003175,31
ENSDARG00000003181,1
ENSDARG00000003189,67
ENSDARG00000003193,13
ENSDARG00000003197,7
ENSDARG00000003200,0
ENSDARG00000003203,88
ENSDARG00000003205,10
ENSDARG00000003206,8
ENSDARG00000003207,13
ENSDARG00000003208,4
ENSDARG00000003210,2
ENSDARG00000003213,150
ENSDARG00000003216,89
ENSDARG00000003217,48
ENSDARG00000003219,89
ENSDARG00000003229,0
ENSDARG00000003235,0
ENSDARG00000003244,2
ENSDARG00000003250,11
ENSDARG00000003251,5
ENSDARG00000003257,1
ENSDARG00000003259,6
ENSDARG00000003269,155
ENSDARG00000003270,4
ENSDARG00000003281,29
ENSDARG00000003287,16
ENSDARG00000003290,12
ENSDARG00000003293,58
ENSDARG00000003303,0
ENSDARG00000003307,30
ENSDARG00000003308,29
ENSDARG00000003311,27
ENSDARG00000003313,37
ENSDARG00000003320,34
ENSDARG00000003326,0
ENSDARG00000003328,3
ENSDARG00000003344,1
ENSDARG00000003373,19
ENSDARG00000003375,10
ENSDARG00000003380,0
ENSDARG00000003381,5
ENSDARG00000003382,14
ENSDARG00000003383,33
ENSDARG00000003395,23
ENSDARG00000003398,15
ENSDARG00000003399,0
ENSDARG00000003403,40
ENSDARG00000003411,22
ENSDARG00000003414,0
ENSDARG00000003420,0
ENSDARG00000003421,24
ENSDARG00000003429,37
ENSDARG00000003444,8
ENSDARG00000003446,20
ENSDARG00000003449,33
ENSDARG00000003462,66
ENSDARG00000003469,9
ENSDARG00000003475,0
ENSDARG00000003486,96
ENSDARG00000003487,41
ENSDARG00000003495,37
ENSDARG00000003512,117
ENSDARG00000003517,1
ENSDARG00000003519,6
ENSDARG00000003520,26
ENSDARG00000003523,0
ENSDARG00000003526,97
ENSDARG00000003527,23
ENSDARG00000003531,47
ENSDARG00000003533,20
ENSDARG00000003544,27
ENSDARG00000003553,0
ENSDARG00000003564,14
ENSDARG00000003570,159
ENSDARG00000003573,12
ENSDARG00000003576,6
ENSDARG00000003584,27
ENSDARG00000003592,10
ENSDARG00000003599,1524
ENSDARG00000003607,65
ENSDARG00000003615,7
ENSDARG00000003616,56
ENSDARG00000003631,54
ENSDARG00000003632,0
ENSDARG00000003635,5
ENSDARG00000003641,6
ENSDARG00000003642,11
ENSDARG00000003655,166
ENSDARG00000003675,0
ENSDARG00000003680,45
ENSDARG00000003681,154
ENSDARG00000003684,68
ENSDARG00000003693,13
ENSDARG00000003695,332
ENSDARG00000003697,4
ENSDARG00000003699,41
ENSDARG00000003701,0
ENSDARG00000003705,66
ENSDARG00000003706,15
ENSDARG00000003732,3
ENSDARG00000003749,8
ENSDARG00000003750,46
ENSDARG00000003751,27
ENSDARG00000003754,35
ENSDARG00000003757,11
ENSDARG00000003769,9
ENSDARG00000003776,48
ENSDARG00000003779,37
ENSDARG00000003789,47
ENSDARG00000003795,476
ENSDARG00000003797,5
ENSDARG00000003803,0
ENSDARG00000003808,54
ENSDARG00000003811,228
ENSDARG00000003818,76
ENSDARG00000003820,30
ENSDARG00000003822,5
ENSDARG00000003827,17
ENSDARG00000003829,67
ENSDARG00000003835,145
ENSDARG00000003841,0
ENSDARG00000003845,10
ENSDARG00000003846,4
ENSDARG00000003854,147
ENSDARG00000003860,51
ENSDARG00000003865,24
ENSDARG00000003866,19
ENSDARG00000003867,4
ENSDARG00000003869,10
ENSDARG00000003872,23
ENSDARG00000003877,70
ENSDARG00000003899,0
ENSDARG00000003900,1
ENSDARG00000003902,225
ENSDARG00000003903,0
ENSDARG00000003904,0
ENSDARG00000003909,0
ENSDARG00000003910,61
ENSDARG00000003920,100
ENSDARG00000003925,0
ENSDARG00000003927,38
ENSDARG00000003931,78
ENSDARG00000003934,7
ENSDARG00000003938,59
ENSDARG00000003940,31
ENSDARG00000003941,17
ENSDARG00000003944,0
ENSDARG00000003952,142
ENSDARG00000003961,14
ENSDARG00000003963,19
ENSDARG00000003965,0
ENSDARG00000003968,0
ENSDARG00000003970,16
ENSDARG00000003971,0
ENSDARG00000003973,9
ENSDARG00000003974,34
ENSDARG00000003977,1
ENSDARG00000003984,24
ENSDARG00000003989,72
ENSDARG00000003991,40
ENSDARG00000003994,0
ENSDARG00000003998,0
ENSDARG00000004015,3
ENSDARG00000004017,27
ENSDARG00000004018,0
ENSDARG00000004023,135
ENSDARG00000004034,44
ENSDARG00000004037,21
ENSDARG00000004046,1
ENSDARG00000004049,23
ENSDARG00000004051,0
ENSDARG00000004055,39
ENSDARG00000004059,0
ENSDARG00000004060,332
ENSDARG00000004074,220
ENSDARG00000004078,22
ENSDARG00000004082,3
ENSDARG00000004094,90
ENSDARG00000004105,48
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,9
ENSDARG00000004115,18
ENSDARG00000004130,1
ENSDARG00000004131,1
ENSDARG00000004132,110
ENSDARG00000004150,11
ENSDARG00000004151,14
ENSDARG00000004154,0
ENSDARG00000004158,0
ENSDARG00000004160,46
ENSDARG00000004161,65
ENSDARG00000004167,1
ENSDARG00000004169,45
ENSDARG00000004171,85
ENSDARG00000004173,159
ENSDARG00000004174,80
ENSDARG00000004176,9
ENSDARG00000004177,26
ENSDARG00000004184,55
ENSDARG00000004187,9
ENSDARG00000004189,50
ENSDARG00000004196,144
ENSDARG00000004199,2
ENSDARG00000004204,1
ENSDARG00000004211,19
ENSDARG00000004218,8
ENSDARG00000004219,4
ENSDARG00000004227,34
ENSDARG00000004232,7
ENSDARG00000004243,0
ENSDARG00000004246,105
ENSDARG00000004251,13
ENSDARG00000004256,0
ENSDARG00000004260,3
ENSDARG00000004261,98
ENSDARG00000004262,23
ENSDARG00000004270,12
ENSDARG00000004274,5
ENSDARG00000004280,21
ENSDARG00000004282,10
ENSDARG00000004291,38
ENSDARG00000004296,7
ENSDARG00000004297,109
ENSDARG00000004301,9
ENSDARG00000004302,2
ENSDARG00000004305,4
ENSDARG00000004306,4
ENSDARG00000004307,5
ENSDARG00000004308,12
ENSDARG00000004311,2
ENSDARG00000004318,5
ENSDARG00000004322,8
ENSDARG00000004325,0
ENSDARG00000004328,0
ENSDARG00000004336,51
ENSDARG00000004343,9
ENSDARG00000004358,21
ENSDARG00000004363,2
ENSDARG00000004372,9
ENSDARG00000004377,129
ENSDARG00000004378,13
ENSDARG00000004386,36
ENSDARG00000004392,0
ENSDARG00000004396,6
ENSDARG00000004402,8
ENSDARG00000004405,20
ENSDARG00000004406,8
ENSDARG00000004415,140
ENSDARG00000004427,3
ENSDARG00000004433,0
