D3,Counts
ENSDARG00000000001,0
ENSDARG00000000002,58
ENSDARG00000000018,49
ENSDARG00000000019,123
ENSDARG00000000068,57
ENSDARG00000000069,382
ENSDARG00000000086,223
ENSDARG00000000103,466
ENSDARG00000000142,0
ENSDARG00000000151,60
ENSDARG00000000161,36
ENSDARG00000000175,11
ENSDARG00000000183,115
ENSDARG00000000189,169
ENSDARG00000000212,914
ENSDARG00000000229,38
ENSDARG00000000241,99
ENSDARG00000000349,1
ENSDARG00000000369,4
ENSDARG00000000370,150
ENSDARG00000000380,33
ENSDARG00000000394,180
ENSDARG00000000423,13
ENSDARG00000000442,13
ENSDARG00000000460,0
ENSDARG00000000472,58
ENSDARG00000000474,0
ENSDARG00000000476,5
ENSDARG00000000489,70
ENSDARG00000000503,488
ENSDARG00000000516,0
ENSDARG00000000529,24
ENSDARG00000000540,92
ENSDARG00000000542,5
ENSDARG00000000551,24
ENSDARG00000000563,29984
ENSDARG00000000567,93
ENSDARG00000000568,42
ENSDARG00000000588,3
ENSDARG00000000606,0
ENSDARG00000000631,239
ENSDARG00000000638,0
ENSDARG00000000651,2
ENSDARG00000000656,0
ENSDARG00000000666,72
ENSDARG00000000690,11
ENSDARG00000000729,78
ENSDARG00000000730,11
ENSDARG00000000747,0
ENSDARG00000000760,47
ENSDARG00000000767,25
ENSDARG00000000779,158
ENSDARG00000000796,23
ENSDARG00000000804,14
ENSDARG00000000830,13
ENSDARG00000000837,110
ENSDARG00000000853,57
ENSDARG00000000857,28
ENSDARG00000000861,228
ENSDARG00000000887,3
ENSDARG00000000906,11
ENSDARG00000000935,16
ENSDARG00000000943,50
ENSDARG00000000966,454
ENSDARG00000001014,804
ENSDARG00000001015,112
ENSDARG00000001057,66
ENSDARG00000001127,54
ENSDARG00000001129,315
ENSDARG00000001154,59
ENSDARG00000001162,114
ENSDARG00000001169,2
ENSDARG00000001210,21
ENSDARG00000001220,286
ENSDARG00000001234,100
ENSDARG00000001241,148
ENSDARG00000001244,202
ENSDARG00000001249,12
ENSDARG00000001259,43
ENSDARG00000001303,0
ENSDARG00000001313,11
ENSDARG00000001354,2
ENSDARG00000001414,8
ENSDARG00000001431,1398
ENSDARG00000001437,12
ENSDARG00000001442,23
ENSDARG00000001447,33
ENSDARG00000001452,1
ENSDARG00000001463,34
ENSDARG00000001470,42
ENSDARG00000001498,1
ENSDARG00000001549,83
ENSDARG00000001557,28
ENSDARG00000001558,25
ENSDARG00000001559,57
ENSDARG00000001572,0
ENSDARG00000001578,74
ENSDARG00000001621,2
ENSDARG00000001634,168
ENSDARG00000001656,0
ENSDARG00000001676,63
ENSDARG00000001686,0
ENSDARG00000001710,125
ENSDARG00000001712,3
ENSDARG00000001721,0
ENSDARG00000001729,270
ENSDARG00000001733,37
ENSDARG00000001734,10
ENSDARG00000001754,77
ENSDARG00000001760,73
ENSDARG00000001767,0
ENSDARG00000001769,89
ENSDARG00000001771,6
ENSDARG00000001776,15
ENSDARG00000001777,134
ENSDARG00000001781,2
ENSDARG00000001782,6
ENSDARG00000001785,23
ENSDARG00000001788,243
ENSDARG00000001803,33
ENSDARG00000001804,3
ENSDARG00000001807,46
ENSDARG00000001817,7
ENSDARG00000001818,312
ENSDARG00000001825,5
