D4,Counts
ENSDARG00000000001,0
ENSDARG00000000002,36
ENSDARG00000000018,8
ENSDARG00000000019,52
ENSDARG00000000068,19
ENSDARG00000000069,81
ENSDARG00000000086,49
ENSDARG00000000103,131
ENSDARG00000000142,0
ENSDARG00000000151,54
ENSDARG00000000161,7
ENSDARG00000000175,8
ENSDARG00000000183,104
ENSDARG00000000189,48
ENSDARG00000000212,403
ENSDARG00000000229,14
ENSDARG00000000241,41
ENSDARG00000000349,1
ENSDARG00000000369,2
ENSDARG00000000370,29
ENSDARG00000000380,8
ENSDARG00000000394,40
ENSDARG00000000423,4
ENSDARG00000000442,9
ENSDARG00000000460,0
ENSDARG00000000472,22
ENSDARG00000000474,0
ENSDARG00000000476,1
ENSDARG00000000489,10
ENSDARG00000000503,136
ENSDARG00000000516,0
ENSDARG00000000529,4
ENSDARG00000000540,47
ENSDARG00000000542,4
ENSDARG00000000551,13
ENSDARG00000000563,11068
ENSDARG00000000567,32
ENSDARG00000000568,12
ENSDARG00000000588,1
ENSDARG00000000606,12
ENSDARG00000000631,53
ENSDARG00000000638,0
ENSDARG00000000651,1
ENSDARG00000000656,0
ENSDARG00000000666,15
ENSDARG00000000690,0
ENSDARG00000000729,12
ENSDARG00000000730,18
ENSDARG00000000747,7
ENSDARG00000000760,11
ENSDARG00000000767,5
ENSDARG00000000779,36
ENSDARG00000000796,7
ENSDARG00000000804,8
ENSDARG00000000830,0
ENSDARG00000000837,43
ENSDARG00000000853,16
ENSDARG00000000857,0
ENSDARG00000000861,68
ENSDARG00000000887,0
ENSDARG00000000906,9
ENSDARG00000000935,108
ENSDARG00000000943,19
ENSDARG00000000966,283
ENSDARG00000001014,312
ENSDARG00000001015,23
ENSDARG00000001057,16
ENSDARG00000001127,20
ENSDARG00000001129,115
ENSDARG00000001154,15
ENSDARG00000001162,55
ENSDARG00000001169,11
ENSDARG00000001210,6
ENSDARG00000001220,149
ENSDARG00000001234,45
ENSDARG00000001241,47
ENSDARG00000001244,148
ENSDARG00000001249,1
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,6
ENSDARG00000001354,12
ENSDARG00000001414,10
ENSDARG00000001431,360
ENSDARG00000001437,4
ENSDARG00000001442,5
ENSDARG00000001447,11
ENSDARG00000001452,6
ENSDARG00000001463,3
ENSDARG00000001470,9
ENSDARG00000001498,0
ENSDARG00000001549,25
ENSDARG00000001557,11
ENSDARG00000001558,14
ENSDARG00000001559,13
ENSDARG00000001572,0
ENSDARG00000001578,14
ENSDARG00000001621,18
ENSDARG00000001634,26
ENSDARG00000001656,0
ENSDARG00000001676,16
ENSDARG00000001686,0
ENSDARG00000001710,52
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,84
ENSDARG00000001733,15
ENSDARG00000001734,28
ENSDARG00000001754,44
ENSDARG00000001760,30
ENSDARG00000001767,0
ENSDARG00000001769,5
ENSDARG00000001771,0
ENSDARG00000001776,8
ENSDARG00000001777,37
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,8
ENSDARG00000001788,112
ENSDARG00000001803,3
ENSDARG00000001804,4
ENSDARG00000001807,23
ENSDARG00000001817,4
ENSDARG00000001818,135
ENSDARG00000001825,0
ENSDARG00000001829,30
ENSDARG00000001835,18
ENSDARG00000001857,86
ENSDARG00000001859,0
ENSDARG00000001870,683
ENSDARG00000001873,11
ENSDARG00000001879,70
ENSDARG00000001880,5
ENSDARG00000001881,1
ENSDARG00000001882,11
ENSDARG00000001888,22
ENSDARG00000001889,61
ENSDARG00000001890,124
ENSDARG00000001891,7
ENSDARG00000001897,50
