TXID,GENEID,GENENAME,BIOTYPE,Malathion_0.001_B
ENSDART00000154529,ENSDARG00000008983,sh3glb2a,protein_coding,57
ENSDART00000156796,ENSDARG00000008983,sh3glb2a,protein_coding,57
ENSDART00000155275,ENSDARG00000008983,sh3glb2a,protein_coding,57
ENSDART00000051403,ENSDARG00000008983,sh3glb2a,protein_coding,57
ENSDART00000160551,ENSDARG00000008983,sh3glb2a,protein_coding,57
ENSDART00000140760,ENSDARG00000008986,e2f7,protein_coding,99
ENSDART00000150619,ENSDARG00000008986,e2f7,protein_coding,99
ENSDART00000153164,ENSDARG00000009001,pdia6,protein_coding,375
ENSDART00000020252,ENSDARG00000009001,pdia6,protein_coding,375
ENSDART00000049589,ENSDARG00000009014,col11a1b,protein_coding,2560
ENSDART00000058870,ENSDARG00000009018,rhbg,protein_coding,5284
ENSDART00000011283,ENSDARG00000009020,cnr1,protein_coding,105
ENSDART00000164816,ENSDARG00000009020,cnr1,protein_coding,105
ENSDART00000020261,ENSDARG00000009021,chrna1,protein_coding,630
ENSDART00000138203,ENSDARG00000009021,chrna1,protein_coding,630
ENSDART00000131458,ENSDARG00000009021,chrna1,protein_coding,630
ENSDART00000146436,ENSDARG00000009023,ankrd28b,protein_coding,521
ENSDART00000027020,ENSDARG00000009023,ankrd28b,protein_coding,521
ENSDART00000021693,ENSDARG00000009026,ank2a,protein_coding,602
ENSDART00000017384,ENSDARG00000009031,tnikb,protein_coding,824
ENSDART00000008374,ENSDARG00000009031,tnikb,protein_coding,824
ENSDART00000138089,ENSDARG00000009031,tnikb,protein_coding,824
ENSDART00000182044,ENSDARG00000009031,tnikb,protein_coding,824
ENSDART00000097792,ENSDARG00000009031,tnikb,protein_coding,824
ENSDART00000155195,ENSDARG00000009040,si:ch73-141c7.1,protein_coding,160
ENSDART00000013540,ENSDARG00000009040,si:ch73-141c7.1,protein_coding,160
ENSDART00000141684,ENSDARG00000009046,nphp1,protein_coding,55
ENSDART00000063716,ENSDARG00000009046,nphp1,protein_coding,55
ENSDART00000016913,ENSDARG00000009074,cbr4,protein_coding,83
ENSDART00000149735,ENSDARG00000009074,cbr4,protein_coding,83
ENSDART00000149844,ENSDARG00000009087,cd74a,protein_coding,21
ENSDART00000026021,ENSDARG00000009087,cd74a,protein_coding,21
ENSDART00000150000,ENSDARG00000009087,cd74a,protein_coding,21
ENSDART00000144479,ENSDARG00000009094,gata2b,protein_coding,20
ENSDART00000153119,ENSDARG00000009106,serinc1,protein_coding,3518
ENSDART00000153334,ENSDARG00000009106,serinc1,protein_coding,3518
ENSDART00000017553,ENSDARG00000009106,serinc1,protein_coding,3518
ENSDART00000010550,ENSDARG00000009113,pigc,protein_coding,59
ENSDART00000136834,ENSDARG00000009123,sele,protein_coding,43
ENSDART00000111022,ENSDARG00000009123,sele,protein_coding,43
ENSDART00000022887,ENSDARG00000009131,slc10a4,protein_coding,23
ENSDART00000153386,ENSDARG00000009131,slc10a4,protein_coding,23
ENSDART00000044971,ENSDARG00000009133,myo1eb,protein_coding,338
ENSDART00000143668,ENSDARG00000009134,hlx1,protein_coding,156
ENSDART00000131806,ENSDARG00000009134,hlx1,protein_coding,156
ENSDART00000006892,ENSDARG00000009136,tp53bp2a,protein_coding,1377
ENSDART00000047662,ENSDARG00000009142,ppp1r13bb,protein_coding,887
ENSDART00000152119,ENSDARG00000009142,ppp1r13bb,protein_coding,887
ENSDART00000177048,ENSDARG00000009142,ppp1r13bb,protein_coding,887
ENSDART00000191952,ENSDARG00000009142,ppp1r13bb,protein_coding,887
ENSDART00000165224,ENSDARG00000009142,ppp1r13bb,protein_coding,887
ENSDART00000181524,ENSDARG00000009142,ppp1r13bb,protein_coding,887
ENSDART00000009323,ENSDARG00000009153,pla2g1b,protein_coding,1132
ENSDART00000003706,ENSDARG00000009160,kmo,protein_coding,389
ENSDART00000019843,ENSDARG00000009161,ftr55,protein_coding,8
ENSDART00000097615,ENSDARG00000009169,mob1ba,protein_coding,325
ENSDART00000020568,ENSDARG00000009169,mob1ba,protein_coding,325
ENSDART00000192885,ENSDARG00000009169,mob1ba,protein_coding,325
ENSDART00000021317,ENSDARG00000009170,ctr9,protein_coding,679
ENSDART00000009473,ENSDARG00000009178,zfand1,protein_coding,87
ENSDART00000136614,ENSDARG00000009178,zfand1,protein_coding,87
ENSDART00000136775,ENSDARG00000009194,col16a1,protein_coding,884
ENSDART00000151958,ENSDARG00000009194,col16a1,protein_coding,884
ENSDART00000152017,ENSDARG00000009194,col16a1,protein_coding,884
ENSDART00000152010,ENSDARG00000009194,col16a1,protein_coding,884
ENSDART00000004286,ENSDARG00000009196,anxa3a,protein_coding,166
ENSDART00000033819,ENSDARG00000009208,prkcda,protein_coding,305
ENSDART00000145599,ENSDARG00000009209,slc9a6a,protein_coding,418
ENSDART00000026195,ENSDARG00000009209,slc9a6a,protein_coding,418
ENSDART00000137036,ENSDARG00000009212,ppiaa,protein_coding,13803
ENSDART00000025620,ENSDARG00000009212,ppiaa,protein_coding,13803
ENSDART00000139986,ENSDARG00000009212,ppiaa,protein_coding,13803
ENSDART00000123878,ENSDARG00000009212,ppiaa,protein_coding,13803
ENSDART00000179658,ENSDARG00000009212,ppiaa,protein_coding,13803
ENSDART00000152988,ENSDARG00000009214,mfsd13a,protein_coding,385
ENSDART00000004769,ENSDARG00000009214,mfsd13a,protein_coding,385
ENSDART00000130853,ENSDARG00000009214,mfsd13a,protein_coding,385
ENSDART00000002128,ENSDARG00000009215,zgc:112437,protein_coding,83
ENSDART00000152748,ENSDARG00000009217,tom1l2,protein_coding,308
ENSDART00000159674,ENSDARG00000009217,tom1l2,protein_coding,308
ENSDART00000078767,ENSDARG00000009217,tom1l2,protein_coding,308
ENSDART00000024604,ENSDARG00000009218,mars2,protein_coding,53
ENSDART00000093343,ENSDARG00000009242,fev,protein_coding,31
ENSDART00000128629,ENSDARG00000009242,fev,protein_coding,31
ENSDART00000013057,ENSDARG00000009242,fev,protein_coding,31
ENSDART00000187074,ENSDARG00000009242,fev,protein_coding,31
ENSDART00000010081,ENSDARG00000009250,etfb,protein_coding,1454
ENSDART00000161782,ENSDARG00000009250,etfb,protein_coding,1454
ENSDART00000130687,ENSDARG00000009252,napepld,protein_coding,122
ENSDART00000187240,ENSDARG00000009252,napepld,protein_coding,122
ENSDART00000023337,ENSDARG00000009252,napepld,protein_coding,122
ENSDART00000183276,ENSDARG00000009252,napepld,protein_coding,122
ENSDART00000156262,ENSDARG00000009253,rtraf,protein_coding,250
