"gene","genecount"
"ENSDARG00000020741",113
"ENSDARG00000104660",26
"ENSDARG00000096594",0
"ENSDARG00000077652",39
"ENSDARG00000079452",0
"ENSDARG00000089943",0
"ENSDARG00000096536",0
"ENSDARG00000077533",145
"ENSDARG00000030563",43
"ENSDARG00000026387",21
"ENSDARG00000070495",0
"ENSDARG00000084766",0
"ENSDARG00000034785",11
"ENSDARG00000070512",129
"ENSDARG00000070504",13
"ENSDARG00000062057",2
"ENSDARG00000067992",0
"ENSDARG00000103508",0
"ENSDARG00000070502",6
"ENSDARG00000037679",26
"ENSDARG00000076833",181
"ENSDARG00000012297",43
"ENSDARG00000087107",0
"ENSDARG00000099342",0
"ENSDARG00000008487",1052
"ENSDARG00000084839",0
"ENSDARG00000100507",0
"ENSDARG00000070239",129
"ENSDARG00000074379",7
"ENSDARG00000062854",128
"ENSDARG00000112849",0
"ENSDARG00000113410",0
"ENSDARG00000092242",0
"ENSDARG00000092200",0
"ENSDARG00000093636",0
"ENSDARG00000095482",0
"ENSDARG00000094981",0
"ENSDARG00000037619",0
"ENSDARG00000062585",16
"ENSDARG00000074213",21
"ENSDARG00000062606",19
"ENSDARG00000077198",2
"ENSDARG00000007678",517
"ENSDARG00000089930",60
"ENSDARG00000078057",38
"ENSDARG00000070448",230
"ENSDARG00000070449",122
"ENSDARG00000042988",258
"ENSDARG00000096506",0
"ENSDARG00000070452",11
"ENSDARG00000070454",12
"ENSDARG00000096515",0
"ENSDARG00000038114",11
"ENSDARG00000008637",91
"ENSDARG00000091609",8
"ENSDARG00000002634",17
"ENSDARG00000062467",0
"ENSDARG00000032808",0
"ENSDARG00000078318",2
"ENSDARG00000018997",92
"ENSDARG00000099771",61
"ENSDARG00000045620",77
"ENSDARG00000045618",69
"ENSDARG00000057248",97
"ENSDARG00000017985",8
"ENSDARG00000113585",0
"ENSDARG00000106508",0
"ENSDARG00000117227",2
"ENSDARG00000104707",0
"ENSDARG00000102049",0
"ENSDARG00000116228",0
"ENSDARG00000099729",471
"ENSDARG00000105122",0
"ENSDARG00000098668",0
"ENSDARG00000098053",0
"ENSDARG00000102604",0
"ENSDARG00000102339",2
"ENSDARG00000089805",161
"ENSDARG00000117726",0
"ENSDARG00000117541",1
"ENSDARG00000112668",0
"ENSDARG00000110084",0
"ENSDARG00000078525",28
"ENSDARG00000079626",132
"ENSDARG00000057114",56
"ENSDARG00000009026",495
"ENSDARG00000085400",0
"ENSDARG00000014273",371
"ENSDARG00000104795",0
"ENSDARG00000056806",2
"ENSDARG00000056797",109
"ENSDARG00000062341",14
"ENSDARG00000107022",0
"ENSDARG00000056742",168
"ENSDARG00000037576",18
"ENSDARG00000070431",87
"ENSDARG00000022690",101
"ENSDARG00000056677",6
"ENSDARG00000012903",48
"ENSDARG00000003398",37
"ENSDARG00000074867",60
"ENSDARG00000109597",15
"ENSDARG00000111274",0
"ENSDARG00000110922",21
"ENSDARG00000116310",0
"ENSDARG00000109592",0
"ENSDARG00000117482",0
"ENSDARG00000103921",0
"ENSDARG00000114198",0
"ENSDARG00000106947",0
"ENSDARG00000039063",1
"ENSDARG00000113383",0
"ENSDARG00000109748",0
"ENSDARG00000116279",0
"ENSDARG00000109910",0
"ENSDARG00000116174",0
"ENSDARG00000116266",0
"ENSDARG00000111171",0
"ENSDARG00000111710",0
"ENSDARG00000111723",0
"ENSDARG00000115042",0
"ENSDARG00000114262",0
"ENSDARG00000078898",712
"ENSDARG00000007534",0
"ENSDARG00000077804",77
"ENSDARG00000013881",102
"ENSDARG00000079317",114
"ENSDARG00000117428",49
"ENSDARG00000106258",0
"ENSDARG00000078854",48
"ENSDARG00000108223",0
"ENSDARG00000007356",4
"ENSDARG00000078599",10
"ENSDARG00000115704",3
"ENSDARG00000109375",0
"ENSDARG00000017119",39
"ENSDARG00000070412",76
"ENSDARG00000034105",90
"ENSDARG00000062198",311
"ENSDARG00000034817",23
"ENSDARG00000056504",24
"ENSDARG00000108673",0
"ENSDARG00000110937",0
"ENSDARG00000117129",0
"ENSDARG00000116147",0
"ENSDARG00000116406",0
"ENSDARG00000111254",0
"ENSDARG00000113731",0
"ENSDARG00000115569",0
"ENSDARG00000113149",0
"ENSDARG00000116958",0
"ENSDARG00000092109",0
"ENSDARG00000017591",2656
"ENSDARG00000092708",0
"ENSDARG00000017905",53
"ENSDARG00000030514",99
"ENSDARG00000056400",0
"ENSDARG00000042937",0
"ENSDARG00000092600",6
"ENSDARG00000027355",1087
"ENSDARG00000092022",0
"ENSDARG00000056381",68
"ENSDARG00000056376",0
"ENSDARG00000056369",25
"ENSDARG00000011023",0
"ENSDARG00000003046",74
"ENSDARG00000095697",0
"ENSDARG00000016065",0
"ENSDARG00000062132",17
"ENSDARG00000117687",0
"ENSDARG00000117295",5
"ENSDARG00000094943",0
"ENSDARG00000115616",0
"ENSDARG00000037545",12
"ENSDARG00000062122",65
"ENSDARG00000095111",0
"ENSDARG00000008287",39
"ENSDARG00000015495",61
"ENSDARG00000062081",132
"ENSDARG00000018178",89
"ENSDARG00000093886",0
"ENSDARG00000056163",28
"ENSDARG00000079488",0
"ENSDARG00000062055",54
"ENSDARG00000074275",182
"ENSDARG00000075330",0
"ENSDARG00000006392",32
"ENSDARG00000073902",76
"ENSDARG00000019945",291
"ENSDARG00000086957",25
"ENSDARG00000056151",249
"ENSDARG00000061985",211
"ENSDARG00000061981",18
"ENSDARG00000003631",245
"ENSDARG00000056133",31
"ENSDARG00000070321",0
"ENSDARG00000017744",152
"ENSDARG00000070320",6
"ENSDARG00000061952",198
"ENSDARG00000061936",74
"ENSDARG00000006434",17
"ENSDARG00000037484",6
"ENSDARG00000094729",0
"ENSDARG00000095388",2
"ENSDARG00000085360",0
"ENSDARG00000037487",12
"ENSDARG00000008068",12
"ENSDARG00000077648",27
"ENSDARG00000096580",0
"ENSDARG00000079250",14
"ENSDARG00000019986",52
"ENSDARG00000080019",82
"ENSDARG00000099995",330
"ENSDARG00000070278",18
"ENSDARG00000061830",53
"ENSDARG00000041776",107
"ENSDARG00000095632",0
"ENSDARG00000037455",72
"ENSDARG00000093816",0
"ENSDARG00000070266",286
"ENSDARG00000037429",27
"ENSDARG00000055874",926
"ENSDARG00000055876",64
"ENSDARG00000092321",0
"ENSDARG00000061786",16
"ENSDARG00000094202",0
"ENSDARG00000109806",0
"ENSDARG00000112850",0
"ENSDARG00000110242",0
"ENSDARG00000115895",0
"ENSDARG00000061459",88
"ENSDARG00000037411",0
"ENSDARG00000084908",0
"ENSDARG00000037410",4
"ENSDARG00000037409",7
"ENSDARG00000070173",353
"ENSDARG00000052782",5
"ENSDARG00000037406",115
"ENSDARG00000034773",96
"ENSDARG00000033273",4
"ENSDARG00000055439",0
"ENSDARG00000055443",75
"ENSDARG00000112783",0
"ENSDARG00000095593",0
"ENSDARG00000037383",0
"ENSDARG00000030759",27
"ENSDARG00000079074",38
"ENSDARG00000061504",155
"ENSDARG00000000606",56
"ENSDARG00000107258",0
"ENSDARG00000087224",2
"ENSDARG00000052764",26
"ENSDARG00000092275",0
"ENSDARG00000055559",41
"ENSDARG00000114954",0
"ENSDARG00000115778",27
"ENSDARG00000026871",20
"ENSDARG00000016470",65
"ENSDARG00000103166",0
"ENSDARG00000091660",4
"ENSDARG00000038056",75
"ENSDARG00000002406",0
"ENSDARG00000034007",398
"ENSDARG00000061143",147
"ENSDARG00000034896",404
"ENSDARG00000116099",0
"ENSDARG00000037378",4
"ENSDARG00000012672",43
"ENSDARG00000093064",23
"ENSDARG00000061121",591
"ENSDARG00000094677",172
"ENSDARG00000054799",123
"ENSDARG00000116939",0
"ENSDARG00000037350",546
"ENSDARG00000022845",4
"ENSDARG00000019838",41
"ENSDARG00000005799",2
"ENSDARG00000013505",68
"ENSDARG00000055022",338
"ENSDARG00000061451",75
"ENSDARG00000070121",0
"ENSDARG00000054680",0
"ENSDARG00000092290",28
"ENSDARG00000055099",234
"ENSDARG00000070109",34
"ENSDARG00000070098",304
"ENSDARG00000094046",0
"ENSDARG00000114096",0
"ENSDARG00000004246",301
"ENSDARG00000083023",0
"ENSDARG00000031108",449
"ENSDARG00000015266",304
"ENSDARG00000100600",0
"ENSDARG00000092542",0
"ENSDARG00000035692",1284
"ENSDARG00000094885",0
"ENSDARG00000090822",0
"ENSDARG00000088202",50
"ENSDARG00000086859",0
"ENSDARG00000090118",0
"ENSDARG00000061021",69
"ENSDARG00000037309",4
"ENSDARG00000054334",31
"ENSDARG00000116715",0
"ENSDARG00000060994",127
"ENSDARG00000106456",0
"ENSDARG00000074776",0
"ENSDARG00000074451",17
"ENSDARG00000079434",222
"ENSDARG00000031817",9
"ENSDARG00000074812",53
"ENSDARG00000070055",48
"ENSDARG00000070050",22
"ENSDARG00000095408",0
"ENSDARG00000037286",3
"ENSDARG00000037283",30
"ENSDARG00000037281",22
"ENSDARG00000037278",0
"ENSDARG00000070039",0
"ENSDARG00000091184",0
"ENSDARG00000094763",0
"ENSDARG00000037276",15
"ENSDARG00000013787",121
"ENSDARG00000086790",38
"ENSDARG00000006427",105
"ENSDARG00000104824",1
"ENSDARG00000076499",5
"ENSDARG00000037266",11
"ENSDARG00000077157",46
"ENSDARG00000037256",18
"ENSDARG00000116236",0
"ENSDARG00000069998",0
"ENSDARG00000053995",35
"ENSDARG00000021702",338
"ENSDARG00000054031",87
"ENSDARG00000037259",2
"ENSDARG00000037260",60
"ENSDARG00000037261",30
"ENSDARG00000037262",4
"ENSDARG00000104309",0
"ENSDARG00000077817",62
"ENSDARG00000107180",0
"ENSDARG00000076928",562
"ENSDARG00000009685",20
"ENSDARG00000079377",54
"ENSDARG00000091678",38
"ENSDARG00000014790",231
"ENSDARG00000019581",301
"ENSDARG00000096665",4
"ENSDARG00000079925",0
"ENSDARG00000053731",0
"ENSDARG00000094127",0
"ENSDARG00000005210",44
"ENSDARG00000023330",121
"ENSDARG00000096667",0
"ENSDARG00000037245",26
"ENSDARG00000096554",136
"ENSDARG00000079266",0
"ENSDARG00000023600",244
"ENSDARG00000033345",64
"ENSDARG00000069989",372
"ENSDARG00000095189",0
"ENSDARG00000104096",0
"ENSDARG00000102639",0
"ENSDARG00000006621",97
"ENSDARG00000069996",55
"ENSDARG00000100083",34
"ENSDARG00000031632",42
"ENSDARG00000101474",73
"ENSDARG00000104710",11
"ENSDARG00000095954",0
"ENSDARG00000095895",0
"ENSDARG00000089138",78
"ENSDARG00000112052",6
"ENSDARG00000089334",6
"ENSDARG00000053456",58
"ENSDARG00000053466",48
"ENSDARG00000053463",22
"ENSDARG00000037109",101
"ENSDARG00000096538",0
"ENSDARG00000005739",75
"ENSDARG00000053496",19
"ENSDARG00000053500",23
