"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"TGSH","Pool-ID-10_S10 G04 expression values.csv","100",230752,10692,7326,3060
"TGSH","Pool-ID-10_S10 G05 expression values.csv","100",1474979,17585,15095,3927
"TGSH","Pool-ID-10_S10 G06 expression values.csv","100",1094772,16740,13905,3990
"TGSH","Pool-ID-10_S10 G07 expression values.csv","10",505205,13855,10605,3490
"TGSH","Pool-ID-10_S10 G08 expression values.csv","10",1298305,17316,14617,4219
"TGSH","Pool-ID-10_S10 G09 expression values.csv","10",993340,16401,13595,4147
"TGSH","Pool-ID-10_S10 G10 expression values.csv","1",1600333,17628,15220,3954
"TGSH","Pool-ID-10_S10 G11 expression values.csv","1",272302,11606,8239,3452
"TGSH","Pool-ID-10_S10 G12 expression values.csv","1",130473,8773,5562,2995
"TGSH","Pool-ID-10_S10 H01 expression values.csv","0.1",528011,14302,10964,3828
"TGSH","Pool-ID-10_S10 H02 expression values.csv","0.1",584305,14672,11516,3946
"TGSH","Pool-ID-10_S10 H03 expression values.csv","0.1",619034,14981,11933,4066
"TGSH","Pool-ID-10_S10 H04 expression values.csv","0",297127,11989,8645,3569
"TGSH","Pool-ID-10_S10 H05 expression values.csv","0",404009,13412,10041,3900
"TGSH","Pool-ID-10_S10 H06 expression values.csv","0",1286033,17212,14436,3982
