"summary.plate_id" "summary.embryo_id" "summary.is_VC" "summary.endpoint" "summary.endpoint_value"
"1" "EE2" "Control_1" 1 "a" 5510.65
"2" "EE2" "Control_1" 1 "b" 6601.5
"3" "EE2" "Control_1" 1 "c" 6545
"4" "EE2" "Control_1" 1 "d" 3743.05
"5" "EE2" "Control_1" 1 "e" 7090.8
"6" "EE2" "Control_1" 1 "f" 5790.35
"7" "EE2" "Control_2" 1 "a" 5060.15
"8" "EE2" "Control_2" 1 "b" 5090.9
"9" "EE2" "Control_2" 1 "c" 5572.8
"10" "EE2" "Control_2" 1 "d" 2306.15
"11" "EE2" "Control_2" 1 "e" 3995.4
"12" "EE2" "Control_2" 1 "f" 2286
"13" "EE2" "Control_3" 1 "a" 3927.65
"14" "EE2" "Control_3" 1 "b" 2801.35
"15" "EE2" "Control_3" 1 "c" 4899.05
"16" "EE2" "Control_3" 1 "d" 2473.7
"17" "EE2" "Control_3" 1 "e" 4733.75
"18" "EE2" "Control_3" 1 "f" 1904.85
"19" "EE2" "Control_4" 1 "a" 5767.5
"20" "EE2" "Control_4" 1 "b" 5840.95
"21" "EE2" "Control_4" 1 "c" 4215.1
"22" "EE2" "Control_4" 1 "d" 669
"23" "EE2" "Control_4" 1 "e" 5587.05
"24" "EE2" "Control_4" 1 "f" 5790.6
"25" "EE2" "Control_5" 1 "a" 4080.8
"26" "EE2" "Control_5" 1 "b" 4011.5
"27" "EE2" "Control_5" 1 "c" 5671.05
"28" "EE2" "Control_5" 1 "d" 3062.2
"29" "EE2" "Control_5" 1 "e" 4420.15
"30" "EE2" "Control_5" 1 "f" 4722.75
"31" "EE2" "Control_6" 1 "a" 3108.2
"32" "EE2" "Control_6" 1 "b" 2383.85
"33" "EE2" "Control_6" 1 "c" 4761.95
"34" "EE2" "Control_6" 1 "d" 3012.9
"35" "EE2" "Control_6" 1 "e" 4980.4
"36" "EE2" "Control_6" 1 "f" 1675.6
"37" "EE2" "Control_7" 1 "a" 4650.45
"38" "EE2" "Control_7" 1 "b" 3289.7
"39" "EE2" "Control_7" 1 "c" 4960.35
"40" "EE2" "Control_7" 1 "d" 4543.95
"41" "EE2" "Control_7" 1 "e" 4044.35
"42" "EE2" "Control_7" 1 "f" 2252.1
"43" "EE2" "Control_8" 1 "a" 5168.4
"44" "EE2" "Control_8" 1 "b" 4744.2
"45" "EE2" "Control_8" 1 "c" 5676.55
"46" "EE2" "Control_8" 1 "d" 3187.15
"47" "EE2" "Control_8" 1 "e" 3795.5
"48" "EE2" "Control_8" 1 "f" 2467.05
"49" "EE2" "Control_9" 1 "a" 4790.05
"50" "EE2" "Control_9" 1 "b" 3336.3
"51" "EE2" "Control_9" 1 "c" 6958.6
"52" "EE2" "Control_9" 1 "d" 2924.95
"53" "EE2" "Control_9" 1 "e" 5984.35
"54" "EE2" "Control_9" 1 "f" 6478.5
"55" "EE2" "Dose1_1" 0 "a" 6431.4
"56" "EE2" "Dose1_1" 0 "b" 7294.95
"57" "EE2" "Dose1_1" 0 "c" 8519
"58" "EE2" "Dose1_1" 0 "d" 8485.95
"59" "EE2" "Dose1_1" 0 "e" 8371.55
"60" "EE2" "Dose1_1" 0 "f" 6782.8
"61" "EE2" "Dose1_2" 0 "a" 5306.7
"62" "EE2" "Dose1_2" 0 "b" 2383.35
"63" "EE2" "Dose1_2" 0 "c" 5957.25
"64" "EE2" "Dose1_2" 0 "d" 3370.75
"65" "EE2" "Dose1_2" 0 "e" 5677.6
"66" "EE2" "Dose1_2" 0 "f" 3536.4
"67" "EE2" "Dose1_3" 0 "a" 5568.4
"68" "EE2" "Dose1_3" 0 "b" 5140.15
"69" "EE2" "Dose1_3" 0 "c" 6902.5
"70" "EE2" "Dose1_3" 0 "d" 2626.8
"71" "EE2" "Dose1_3" 0 "e" 6663.05
"72" "EE2" "Dose1_3" 0 "f" 4110.45
"73" "EE2" "Dose1_4" 0 "a" 7256.05
"74" "EE2" "Dose1_4" 0 "b" 3139.15
"75" "EE2" "Dose1_4" 0 "c" 7492.55
"76" "EE2" "Dose1_4" 0 "d" 3610.05
"77" "EE2" "Dose1_4" 0 "e" 7555.65
"78" "EE2" "Dose1_4" 0 "f" 3972.7
"79" "EE2" "Dose1_5" 0 "a" 3691.45
"80" "EE2" "Dose1_5" 0 "b" 2916.45
"81" "EE2" "Dose1_5" 0 "c" 5235.4
"82" "EE2" "Dose1_5" 0 "d" 1676.65
"83" "EE2" "Dose1_5" 0 "e" 4478.3
"84" "EE2" "Dose1_5" 0 "f" 3724.95
"85" "EE2" "Dose1_6" 0 "a" 6732.7
"86" "EE2" "Dose1_6" 0 "b" 5589.5
"87" "EE2" "Dose1_6" 0 "c" 8078.9
"88" "EE2" "Dose1_6" 0 "d" 5348.45
"89" "EE2" "Dose1_6" 0 "e" 6821.25
"90" "EE2" "Dose1_6" 0 "f" 3383.15
"91" "EE2" "Dose1_7" 0 "a" 6207.8
"92" "EE2" "Dose1_7" 0 "b" 4855.65
"93" "EE2" "Dose1_7" 0 "c" 6803.55
"94" "EE2" "Dose1_7" 0 "d" 4466.1
"95" "EE2" "Dose1_7" 0 "e" 6088.8
"96" "EE2" "Dose1_7" 0 "f" 4654.7
"97" "EE2" "Dose1_8" 0 "a" 5105.6
"98" "EE2" "Dose1_8" 0 "b" 6114.65
"99" "EE2" "Dose1_8" 0 "c" 7190.15
"100" "EE2" "Dose1_8" 0 "d" 5219.4
"101" "EE2" "Dose1_8" 0 "e" 6533.2
"102" "EE2" "Dose1_8" 0 "f" 4070.2
"103" "EE2" "Dose1_9" 0 "a" 5851.4
"104" "EE2" "Dose1_9" 0 "b" 5081.7
"105" "EE2" "Dose1_9" 0 "c" 7000.05
"106" "EE2" "Dose1_9" 0 "d" 3174.2
"107" "EE2" "Dose1_9" 0 "e" 6382
"108" "EE2" "Dose1_9" 0 "f" 3773.7
"109" "EE2" "Dose2_1" 0 "a" 4841.2
"110" "EE2" "Dose2_1" 0 "b" 5926.4
"111" "EE2" "Dose2_1" 0 "c" 5574.25
"112" "EE2" "Dose2_1" 0 "d" 4518.95
"113" "EE2" "Dose2_1" 0 "e" 4636.5
"114" "EE2" "Dose2_1" 0 "f" 3574.55
"115" "EE2" "Dose2_2" 0 "a" 6332
"116" "EE2" "Dose2_2" 0 "b" 3806.95
"117" "EE2" "Dose2_2" 0 "c" 7338.7
"118" "EE2" "Dose2_2" 0 "d" 3236.95
"119" "EE2" "Dose2_2" 0 "e" 6866.3
"120" "EE2" "Dose2_2" 0 "f" 2816.75
"121" "EE2" "Dose2_3" 0 "a" 5764.95
"122" "EE2" "Dose2_3" 0 "b" 2036.3
"123" "EE2" "Dose2_3" 0 "c" 5926.6
"124" "EE2" "Dose2_3" 0 "d" 5288.1
"125" "EE2" "Dose2_3" 0 "e" 6224
"126" "EE2" "Dose2_3" 0 "f" 5084.8
"127" "EE2" "Dose2_4" 0 "a" 5753.8
"128" "EE2" "Dose2_4" 0 "b" 2957.05
"129" "EE2" "Dose2_4" 0 "c" 6227.15
"130" "EE2" "Dose2_4" 0 "d" 3694.3
"131" "EE2" "Dose2_4" 0 "e" 5062.1
"132" "EE2" "Dose2_4" 0 "f" 1732.95
