	dose_3.dose_0	dose_30.dose_0	dose_300.dose_0	dose_3000.dose_0	dose_30000.dose_0	AveExpr	F	P.Value	adj.P.Val
100008376	-2.49364508575	-2.77692797458333	-2.72317246691666	-2.98380645925	-2.98424348425	9.29760890445556	59.0420513884285	5.53266500735898e-10	6.23254713078989e-06
561967	-1.59762213625	-1.97169928258333	-1.74925828025	-1.83476678891667	-2.02644385958333	8.54490969056667	46.9230239249533	3.26473747316704e-09	1.26349793433363e-05
100002038	-1.160409906	-1.3555467975	-1.4224461795	-1.56186930283333	-1.7395497915	6.58261475617778	42.889708583841	6.48449675393569e-09	1.26349793433363e-05
497505	-1.185678699	-1.38843654416667	-1.33594186983333	-1.69692132716667	-1.70177526683333	6.6518353954	42.4961576791954	6.95535681430292e-09	1.26349793433363e-05
100330176	-0.984864585	-1.16436569366667	-0.848498320333332	-1.46251687233333	-1.572803453	5.20637662201111	42.2497806366149	7.26958294737246e-09	1.26349793433363e-05
565818	-2.56855247125	-2.92745108625	-2.98868742825	-2.77860652258333	-3.38743132691667	5.32459496745556	42.1702002707832	7.37445298249493e-09	1.26349793433363e-05
795332	-1.484964643	-1.725653078	-1.78099889533333	-1.75052293366667	-1.808527093	7.49851238545556	41.3213379472188	8.60510582191147e-09	1.26349793433363e-05
445232	-0.891994335000001	-1.41125041633333	-0.847616637333332	-1.62234511666666	-1.55087652	6.18115453617778	41.0938373882966	8.97291031928013e-09	1.26349793433363e-05
64274	-1.6204712725	-1.60022432883333	-1.3335766885	-1.88514628483333	-1.7519162425	6.06893672667778	40.368203509424	1.02690538020864e-08	1.28534323422782e-05
100037374	-1.176109202	-1.54934319166667	-1.50467638533333	-1.69509686933333	-1.48792562866667	7.59117986217778	38.6334092944208	1.4308768231767e-08	1.43122748060604e-05
100329340	-2.09313873975	-2.02340010108333	-2.06076521475	-2.40712671008333	-2.44094538875	3.97545225578889	38.2378185334233	1.54623929378522e-08	1.43122748060604e-05
100535278	-1.13117831225	-1.61119308558333	-1.48925894725	-1.68218361691666	-1.88991887391666	8.0061724344	38.1672317204627	1.56790067953181e-08	1.43122748060604e-05
30105	-1.18347655	-1.39621205616667	-1.23946481116667	-1.66099461983333	-1.59634803083333	6.38031146728889	37.7514436811902	1.70260722707319e-08	1.43122748060604e-05
558461	-1.98736838775	-2.08403168975	-2.28055390541667	-2.29453420808333	-2.26524943175	5.4991909614	37.5325218193122	1.77871147168083e-08	1.43122748060604e-05
403023	-1.4653180035	-1.95613440666667	-1.87163143033333	-2.08634572233333	-2.08468542333333	8.89640423495556	34.3983833977653	3.41622453169917e-08	2.55655817719891e-05
447920	-1.24766823875	-1.27242422725	-1.73267164558333	-1.64270767358333	-1.48384359391667	7.24633432178889	34.1177668188076	3.63115231559543e-08	2.55655817719891e-05
550249	-1.5477795885	-1.993541267	-1.83376612466666	-2.136975807	-2.021662213	8.72205512512222	32.8478929893304	4.81336932311345e-08	3.18956502499253e-05
562116	-1.1791473515	-1.18012334833333	-1.43219818533333	-1.658310753	-1.602561043	6.42131997756667	32.3036470346158	5.44762808409644e-08	3.40930724263035e-05
100002040	-2.53171327775	-2.72492964841666	-2.71087174008333	-2.82331379275	-3.16799622841666	6.95655757506667	31.9137068589916	5.95967063468532e-08	3.53345735261737e-05
768300	-1.97970135875	-1.93866797625	-2.06777792725	-1.68204823625	-2.02707619491667	7.3495802804	31.6788550367085	6.29397479797464e-08	3.54508130495921e-05
324244	-1.35053251375	-1.47537932641667	-1.48796859608333	-1.75582260041667	-1.58392070608333	7.99352732762222	30.9110430599774	7.54260860774355e-08	3.95405273427949e-05
492493	-2.61770996525	-2.97228496575	-2.87998236208333	-3.02211438241667	-3.04957481475	7.05126307434445	30.7355757427271	7.86549164667633e-08	3.95405273427949e-05
561751	-1.040898426	-1.00721659033333	-1.33719612766667	-1.67117579033333	-1.81561933466666	4.9844664814	30.5284856708223	8.2666527396419e-08	3.95405273427949e-05
494099	-0.750208385500002	-0.982737294166665	-0.841706893499998	-0.892176187499997	-1.1240714885	8.27864947751111	30.3387682341094	8.65436605168512e-08	3.95405273427949e-05
