E2,Counts
ENSDARG00000000001,1
ENSDARG00000000002,38
ENSDARG00000000018,20
ENSDARG00000000019,101
ENSDARG00000000068,17
ENSDARG00000000069,151
ENSDARG00000000086,123
ENSDARG00000000103,253
ENSDARG00000000142,1
ENSDARG00000000151,49
ENSDARG00000000161,15
ENSDARG00000000175,3
ENSDARG00000000183,55
ENSDARG00000000189,138
ENSDARG00000000212,366
ENSDARG00000000229,20
ENSDARG00000000241,51
ENSDARG00000000349,0
ENSDARG00000000369,4
ENSDARG00000000370,96
ENSDARG00000000380,23
ENSDARG00000000394,58
ENSDARG00000000423,7
ENSDARG00000000442,14
ENSDARG00000000460,7
ENSDARG00000000472,40
ENSDARG00000000474,0
ENSDARG00000000476,7
ENSDARG00000000489,41
ENSDARG00000000503,283
ENSDARG00000000516,0
ENSDARG00000000529,4
ENSDARG00000000540,36
ENSDARG00000000542,0
ENSDARG00000000551,6
ENSDARG00000000563,23093
ENSDARG00000000567,31
ENSDARG00000000568,10
ENSDARG00000000588,9
ENSDARG00000000606,9
ENSDARG00000000631,44
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,22
ENSDARG00000000690,2
ENSDARG00000000729,62
ENSDARG00000000730,14
ENSDARG00000000747,0
ENSDARG00000000760,30
ENSDARG00000000767,4
ENSDARG00000000779,84
ENSDARG00000000796,1
ENSDARG00000000804,0
ENSDARG00000000830,7
ENSDARG00000000837,22
ENSDARG00000000853,41
ENSDARG00000000857,21
ENSDARG00000000861,64
ENSDARG00000000887,4
ENSDARG00000000906,2
ENSDARG00000000935,15
ENSDARG00000000943,30
ENSDARG00000000966,345
ENSDARG00000001014,436
ENSDARG00000001015,44
ENSDARG00000001057,44
ENSDARG00000001127,37
ENSDARG00000001129,119
ENSDARG00000001154,27
ENSDARG00000001162,53
ENSDARG00000001169,3
ENSDARG00000001210,20
ENSDARG00000001220,141
ENSDARG00000001234,19
ENSDARG00000001241,69
ENSDARG00000001244,137
ENSDARG00000001249,10
ENSDARG00000001259,7
ENSDARG00000001303,0
ENSDARG00000001313,10
ENSDARG00000001354,3
ENSDARG00000001414,14
ENSDARG00000001431,751
ENSDARG00000001437,7
ENSDARG00000001442,13
ENSDARG00000001447,21
ENSDARG00000001452,6
ENSDARG00000001463,9
ENSDARG00000001470,20
ENSDARG00000001498,1
ENSDARG00000001549,38
ENSDARG00000001557,11
ENSDARG00000001558,17
ENSDARG00000001559,101
