D2,Counts
ENSDARG00000000001,8
ENSDARG00000000002,125
ENSDARG00000000018,60
ENSDARG00000000019,243
ENSDARG00000000068,115
ENSDARG00000000069,596
ENSDARG00000000086,219
ENSDARG00000000103,567
ENSDARG00000000142,17
ENSDARG00000000151,63
ENSDARG00000000161,70
ENSDARG00000000175,6
ENSDARG00000000183,148
ENSDARG00000000189,308
ENSDARG00000000212,1620
ENSDARG00000000229,45
ENSDARG00000000241,136
ENSDARG00000000349,0
ENSDARG00000000369,5
ENSDARG00000000370,264
ENSDARG00000000380,51
ENSDARG00000000394,201
ENSDARG00000000423,19
ENSDARG00000000442,27
ENSDARG00000000460,0
ENSDARG00000000472,25
ENSDARG00000000474,0
ENSDARG00000000476,20
ENSDARG00000000489,117
ENSDARG00000000503,636
ENSDARG00000000516,0
ENSDARG00000000529,19
ENSDARG00000000540,98
ENSDARG00000000542,25
ENSDARG00000000551,48
ENSDARG00000000563,62697
ENSDARG00000000567,63
ENSDARG00000000568,85
ENSDARG00000000588,13
ENSDARG00000000606,48
ENSDARG00000000631,111
ENSDARG00000000638,0
ENSDARG00000000651,7
ENSDARG00000000656,0
ENSDARG00000000666,121
ENSDARG00000000690,0
ENSDARG00000000729,107
ENSDARG00000000730,47
ENSDARG00000000747,9
ENSDARG00000000760,43
ENSDARG00000000767,14
ENSDARG00000000779,247
ENSDARG00000000796,57
ENSDARG00000000804,38
ENSDARG00000000830,0
ENSDARG00000000837,82
ENSDARG00000000853,102
ENSDARG00000000857,12
ENSDARG00000000861,469
ENSDARG00000000887,8
ENSDARG00000000906,16
ENSDARG00000000935,30
ENSDARG00000000943,44
ENSDARG00000000966,864
ENSDARG00000001014,1079
ENSDARG00000001015,184
ENSDARG00000001057,96
ENSDARG00000001127,118
ENSDARG00000001129,335
ENSDARG00000001154,62
ENSDARG00000001162,161
ENSDARG00000001169,4
ENSDARG00000001210,41
ENSDARG00000001220,325
ENSDARG00000001234,108
ENSDARG00000001241,152
ENSDARG00000001244,424
ENSDARG00000001249,16
ENSDARG00000001259,13
ENSDARG00000001303,0
ENSDARG00000001313,24
ENSDARG00000001354,9
ENSDARG00000001414,20
ENSDARG00000001431,2181
ENSDARG00000001437,55
ENSDARG00000001442,28
ENSDARG00000001447,33
ENSDARG00000001452,8
ENSDARG00000001463,43
ENSDARG00000001470,126
ENSDARG00000001498,0
ENSDARG00000001549,103
ENSDARG00000001557,24
ENSDARG00000001558,59
ENSDARG00000001559,79
ENSDARG00000001572,0
ENSDARG00000001578,119
ENSDARG00000001621,30
ENSDARG00000001634,154
ENSDARG00000001656,0
ENSDARG00000001676,145
ENSDARG00000001686,0
ENSDARG00000001710,203
ENSDARG00000001712,8
ENSDARG00000001721,0
ENSDARG00000001729,316
ENSDARG00000001733,31
ENSDARG00000001734,23
ENSDARG00000001754,112
ENSDARG00000001760,145
ENSDARG00000001767,13
ENSDARG00000001769,99
ENSDARG00000001771,5
ENSDARG00000001776,16
