0.032	0.141	0.087	0.029	0.132	0.035	-0.046	-0.017	0.093	
32.31	36.226	58.194	38.914	36.358	35.86	42.441	39.145	41.316	
35.44	32.716	102.104	32.775	31.981	36.271	37.831	38.458	32.816	
30.334	32.375	32.24	43.71	42.341	39.882	42.883	44.136	55.622	
33.109	34.2	36.591	36.731	32.79	35.392	32.603	40.16	38.474	
32.675	46.069	38.516	33.212	34.325	40.517	45.632	37.475	36.969	
27.365	29.059	29.811	29.858	0.045	0.027	0.037	0.073	0.04	
0.12	0.123	0.078	-0.02	0.014	-0.061	-0.02	0.03	-0.057	
30.513	36.59	58.466	38.477	36.263	37.719	43.833	38.241	42.554	
36.378	32.966	110.557	34.578	33.436	34.21	37.015	37.2	32.3	
30.868	32.624	34.999	37.539	41.855	37.538	44.333	44.762	54.37	
34.11	35.39	36.299	36	31.909	35.17	34.552	39.848	37.484	
31.303	44.989	38.585	33.184	35.454	38.523	45.836	34.29	36.977	
26.894	27.12	30.722	30.062	0.025	0.21	-0.02	0.025	0.022	
0.162	0.052	0.118	0.099	0.024	0.034	0.107	0.068	-0.134	
29.635	37.198	56.977	38.909	36.577	35.068	42.098	38.604	40.683	
35.844	33.044	109.005	32.084	34.213	33.042	35.927	35.934	32.26	
29.411	32.723	31.563	40.607	40.682	36.912	42.395	42.664	55.23	
33.852	35.14	36.214	35.18	32.095	33.077	31.066	38.165	37.364	
31.356	44.903	36.812	30.813	33.168	37.277	42.514	32.727	35.406	
27.297	26.748	30.442	30	0.095	0.14	0.165	0.078	0.252	
