		0.032	0.141	0.087	0.029	0.132	0.035	-0.046	-0.017	0.093	-0.053	0.061	0.027	
		32.31	36.226	58.194	38.914	36.358	35.86	42.441	39.145	41.316	0.209	0.02	0.017	
		35.44	32.716	102.104	32.775	31.981	36.271	37.831	38.458	32.816	-0.009	0.134	0.068	
		30.334	32.375	32.24	43.71	42.341	39.882	42.883	44.136	55.622	0.137	0.052	0.069	
		33.109	34.2	36.591	36.731	32.79	35.392	32.603	40.16	38.474	-0.025	0.168	0.144	
		32.675	46.069	38.516	33.212	34.325	40.517	45.632	37.475	36.969	-0.001	0.121	0.051	
		27.365	29.059	29.811	29.858	0.045	0.027	0.037	0.073	0.04	0.077	-0.077	-0.072	
		0.12	0.123	0.078	-0.02	0.014	-0.061	-0.02	0.03	-0.057	0.024	-0.048	0.118	
		30.513	36.59	58.466	38.477	36.263	37.719	43.833	38.241	42.554	0.011	0.092	0.041	
		36.378	32.966	110.557	34.578	33.436	34.21	37.015	37.2	32.3	0.138	-0.099	-0.029	
		30.868	32.624	34.999	37.539	41.855	37.538	44.333	44.762	54.37	-0.027	0.306	0.034	
		34.11	35.39	36.299	36	31.909	35.17	34.552	39.848	37.484	0.257	0.012	0.142	
		31.303	44.989	38.585	33.184	35.454	38.523	45.836	34.29	36.977	-0.024	0.237	0.066	
		26.894	27.12	30.722	30.062	0.025	0.21	-0.02	0.025	0.022	0.05	-0.029	0.157	
		0.162	0.052	0.118	0.099	0.024	0.034	0.107	0.068	-0.134	0.059	-0.024	0.095	
		29.635	37.198	56.977	38.909	36.577	35.068	42.098	38.604	40.683	0.139	0.085	0.053	
		35.844	33.044	109.005	32.084	34.213	33.042	35.927	35.934	32.26	0.104	0.071	0.175	
		29.411	32.723	31.563	40.607	40.682	36.912	42.395	42.664	55.23	0.062	0.257	0.128	
		33.852	35.14	36.214	35.18	32.095	33.077	31.066	38.165	37.364	0.229	0.04	0.058	
		31.356	44.903	36.812	30.813	33.168	37.277	42.514	32.727	35.406	0.125	0.021	-0.014	
		27.297	26.748	30.442	30	0.095	0.14	0.165	0.078	0.252	0.214	-0.018	0.038	
