Chemical,Dose,Dose(mg/L),Animal,Group,control_mean,control_sd,Norm_Fluorescence,z_score,Outlier
1-Octanol,Dose_3,0.1,20,A,2.118875,2.79154388607042,0.018,-0.7525853383438454,FALSE
1-Octanol,Dose_3,0.1,21,A,2.118875,2.79154388607042,3.072,0.3414329270465771,FALSE
1-Octanol,Dose_4,0.01,28,A,2.118875,2.79154388607042,3.188,0.3829869934464753,FALSE
1-Octanol,Dose_4,0.01,29,A,2.118875,2.79154388607042,2.589,0.16841039195044932,FALSE
1-Octanol,Dose_4,0.01,30,A,2.118875,2.79154388607042,0.929,-0.4262426272205072,FALSE
1-Octanol,Dose_5,0.001,37,A,2.118875,2.79154388607042,4.682,0.9181747107003363,FALSE
1-Octanol,Dose_5,0.001,38,A,2.118875,2.79154388607042,3.452,0.4775583169772779,FALSE
1-Octanol,Dose_5,0.001,39,A,2.118875,2.79154388607042,3.32,0.4302726552118765,FALSE
1-Octanol,Dose_6,0,46,A,2.118875,2.79154388607042,-0.308,-0.8693665939159729,FALSE
1-Octanol,Dose_6,0,47,A,2.118875,2.79154388607042,1.326,-0.28402741721395913,FALSE
1-Octanol,Dose_6,0,48,A,2.118875,2.79154388607042,NA,NA,TRUE
1-Octanol,Dose_1,10,4,B,2.118875,2.79154388607042,3.854,0.6215646505355458,FALSE
1-Octanol,Dose_1,10,5,B,2.118875,2.79154388607042,3.455,0.4786329911083098,FALSE
1-Octanol,Dose_1,10,6,B,2.118875,2.79154388607042,3.17,0.3765389486602841,FALSE
1-Octanol,Dose_2,1,13,B,2.118875,2.79154388607042,3.114,0.3564783648810229,FALSE
1-Octanol,Dose_2,1,14,B,2.118875,2.79154388607042,5.572,1.2369947029064514,FALSE
