Chemical,Dose(mg/L),Dose,Animal,Group,Baseline_1,Baseline_2,Baseline_Fluorescence,24h_1,24h_2,h24_Fluorescence,Delta_Fluorescence,Norm_factor,Norm_Fluorescence,Outlier
4-TPP,0.01,Dose_3,27,C,29.902,29.711,29.8065,42.558,40.371,41.4645,11.658,0.5051250000000067,11.153,FALSE
4-TPP,0.001,Dose_4,28,A,28.73,27.997,28.3635,38.806,36.051,37.4285,9.064999999999998,0.5051250000000067,8.56,FALSE
4-TPP,0.001,Dose_4,29,A,31.094,28.736,29.915,37.661,33.879,35.769999999999996,5.854999999999997,0.5051250000000067,5.35,FALSE
4-TPP,0.001,Dose_4,30,A,26.558,25.781,26.1695,31.949,30.344,31.146500000000003,4.977000000000004,0.5051250000000067,4.472,FALSE
4-TPP,0.001,Dose_4,31,B,36.725,35.173,35.949,48.601,38.817,43.709,7.760000000000005,0.5051250000000067,7.255,FALSE
4-TPP,0.001,Dose_4,32,B,27.537,26.985,27.261,35.899,34.654,35.2765,8.0155,0.5051250000000067,7.51,FALSE
4-TPP,0.001,Dose_4,33,B,26.088,24.73,25.409,42.761,40.141,41.451,16.042,0.5051250000000067,15.537,FALSE
4-TPP,0.001,Dose_4,34,C,27.138,26.293,26.7155,35.49,34.174,34.832,8.116500000000002,0.5051250000000067,7.611,FALSE
4-TPP,0.001,Dose_4,35,C,31.457,30.75,31.1035,39.462,37.047,38.2545,7.151,0.5051250000000067,6.646,FALSE
4-TPP,0.001,Dose_4,36,C,27.718,26.438,27.078,46.403,44.775,45.589,18.511,0.5051250000000067,18.006,FALSE
4-TPP,1e-4,Dose_5,37,A,28.158,26.965,27.5615,35.439,33.204,34.3215,6.759999999999998,0.5051250000000067,6.255,FALSE
4-TPP,1e-4,Dose_5,38,A,25.321,25.76,25.5405,36.399,34.295,35.347,9.8065,0.5051250000000067,9.301,FALSE
4-TPP,1e-4,Dose_5,39,A,28.581,26.765,27.673,35.661,30.307,32.984,5.311,0.5051250000000067,4.806,FALSE
4-TPP,1e-4,Dose_5,40,B,24.973,24.691,24.832,39.769,36.747,38.258,13.425999999999997,0.5051250000000067,12.921,FALSE
4-TPP,1e-4,Dose_5,41,B,27.188,26.795,26.9915,40.168,37.928,39.048,12.0565,0.5051250000000067,11.551,FALSE
4-TPP,1e-4,Dose_5,42,B,26.854,25.991,26.4225,35.293,33.723,34.507999999999996,8.085499999999996,0.5051250000000067,7.58,FALSE
4-TPP,1e-4,Dose_5,43,C,27.851,26.61,27.2305,36.035,32.499,34.266999999999996,7.036499999999997,0.5051250000000067,6.531,FALSE
4-TPP,1e-4,Dose_5,44,C,33.161,32.115,32.638000000000005,36.731,34.068,35.3995,2.761499999999998,0.5051250000000067,2.256,FALSE
4-TPP,1e-4,Dose_5,45,C,27.199,26.995,27.097,30.429,28.804,29.6165,2.519499999999997,0.5051250000000067,2.014,FALSE
4-TPP,0,Dose_6,46,A,28.606,28.247,28.4265,34.725,32.338,33.5315,5.105,0.5051250000000067,4.6,FALSE
4-TPP,0,Dose_6,47,A,27.604,26.322,26.963,34.608,32.156,33.382,6.418999999999997,0.5051250000000067,5.914,FALSE
4-TPP,0,Dose_6,48,A,28.451,28.257,28.354,40.155,36.81,38.4825,10.128500000000004,0.5051250000000067,9.623,FALSE
4-TPP,0,Dose_6,49,B,28.11,27.289,27.6995,41.133,37.401,39.267,11.567500000000004,0.5051250000000067,11.062,FALSE
4-TPP,0,Dose_6,50,B,27.094,27.193,27.143500000000003,30.122,29.55,29.836,2.6924999999999955,0.5051250000000067,2.187,FALSE
4-TPP,0,Dose_6,51,B,31.898,30.5,31.199,37.515,32.816,35.1655,3.966500000000003,0.5051250000000067,3.461,FALSE
4-TPP,0,Dose_6,52,C,26.454,26.516,26.485,34.194,32.093,33.1435,6.658500000000004,0.5051250000000067,6.153,FALSE
4-TPP,0,Dose_6,53,C,27.495,29.791,28.643,33.969,30.954,32.4615,3.8185,0.5051250000000067,3.313,FALSE
4-TPP,0,Dose_6,54,C,26.145,25.752,25.9485,29.029,27.215,28.122,2.1735000000000007,0.5051250000000067,1.668,FALSE
4C3MP,1,Dose_1,1,A,28.852,30.626,29.739,38.45,36.126,37.288,7.548999999999996,-0.4397500000000001,7.989,FALSE
