Chemical,Dose(mg/L),Dose,Animal,Group,Baseline_1,Baseline_2,Baseline_Fluorescence,24h_1,24h_2,h24_Fluorescence,Delta_Fluorescence,Baseline_Blank,h24_Blank,Norm_Baseline_Fluorescence,Norm_h24_Fluorescence,Relative_Delta_Fluorescence,Outlier
BPA,1,Dose_1,1,A,39.482,39.44,39.461,63.282,60.555,61.918499999999995,26.634,42.7565,38.579750000000004,-3.295500000000004,23.33874999999999,-7.082005765437707,FALSE
BPA,1,Dose_1,2,A,39.455,38.975,39.215,90.826,84.499,87.6625,52.624,42.7565,38.579750000000004,-3.541499999999999,49.08274999999999,-13.859311026401242,FALSE
BPA,1,Dose_1,3,A,40.916,40.409,40.662499999999994,71.834,68.781,70.3075,33.822,42.7565,38.579750000000004,-2.0940000000000083,31.72775,-15.151743075453616,FALSE
BPA,1,Dose_1,4,B,40.695,38.975,39.835,68.165,61.986,65.0755,29.417,42.7565,38.579750000000004,-2.9215000000000018,26.49575,-9.069228136231382,FALSE
BPA,1,Dose_1,5,B,38.547,40.424,39.4855,66.097,65.464,65.78049999999999,30.472,42.7565,38.579750000000004,-3.271000000000001,27.200749999999985,-8.315729134821149,FALSE
BPA,1,Dose_1,6,B,40.042,40.069,40.0555,69.292,66.848,68.07,32.191,42.7565,38.579750000000004,-2.7010000000000005,29.49024999999999,-10.918271010736758,FALSE
BPA,1,Dose_1,7,C,39.925,37.724,38.8245,82.554,78.54,80.547,45.899,42.7565,38.579750000000004,-3.932000000000002,41.96724999999999,-10.673257884028477,FALSE
BPA,1,Dose_1,8,C,38.438,39.299,38.8685,74.374,72.217,73.2955,38.604,42.7565,38.579750000000004,-3.8880000000000052,34.71575,-8.928948045267477,FALSE
BPA,1,Dose_1,9,C,38.655,37.854,38.2545,59.595,56,57.7975,23.72,42.7565,38.579750000000004,-4.5020000000000024,19.217749999999995,-4.268713904931138,FALSE
BPA,0.1,Dose_2,10,A,39.126,40.441,39.783500000000004,42.876,37.492,40.184,4.577,42.7565,38.579750000000004,-2.972999999999999,1.6042499999999933,-0.5396064581231059,FALSE
BPA,0.1,Dose_2,11,A,40.703,39.161,39.932,49.494,46.635,48.064499999999995,12.309,42.7565,38.579750000000004,-2.8245000000000005,9.484749999999991,-3.3580279695521296,FALSE
BPA,0.1,Dose_2,12,A,39.771,38.032,38.9015,45.925,42.121,44.022999999999996,9.298,42.7565,38.579750000000004,-3.855000000000004,5.443249999999992,-1.411997405966274,FALSE
BPA,0.1,Dose_2,13,B,39.435,38.572,39.0035,51.438,47.957,49.697500000000005,14.871,42.7565,38.579750000000004,-3.753,11.117750000000001,-2.96236344257927,FALSE
BPA,0.1,Dose_2,14,B,37.755,37.655,37.705,55.85,53.588,54.719,21.191,42.7565,38.579750000000004,-5.051500000000004,16.139249999999997,-3.1949420964070043,FALSE
BPA,0.1,Dose_2,15,B,39.323,37.612,38.4675,58.124,54.632,56.378,22.087,42.7565,38.579750000000004,-4.2890000000000015,17.798249999999996,-4.149743529960362,FALSE
BPA,0.1,Dose_2,16,C,37.005,38.706,37.855500000000006,66.082,64.569,65.3255,31.647,42.7565,38.579750000000004,-4.900999999999996,26.74575,-5.4572026117119,FALSE
BPA,0.1,Dose_2,17,C,40.001,37.745,38.873,76.165,72.522,74.3435,39.647,42.7565,38.579750000000004,-3.883500000000005,35.76375,-9.209154113557346,FALSE
BPA,0.1,Dose_2,18,C,37.833,37.633,37.733000000000004,71.303,67.069,69.186,35.63,42.7565,38.579750000000004,-5.0234999999999985,30.606250000000003,-6.092614710858966,FALSE
BPA,0.01,Dose_3,19,A,39.84,40.451,40.1455,55.077,53.699,54.388,18.419,42.7565,38.579750000000004,-2.611000000000004,15.808249999999994,-6.054481041746445,FALSE
BPA,0.01,Dose_3,20,A,39.609,39.341,39.475,62.202,59.194,60.698,25.4,42.7565,38.579750000000004,-3.281500000000001,22.118249999999996,-6.740286454365378,FALSE
BPA,0.01,Dose_3,21,A,39.129,39.474,39.3015,55.701,48.081,51.891000000000005,16.766,42.7565,38.579750000000004,-3.4550000000000054,13.311250000000001,-3.8527496382054935,FALSE
BPA,0.01,Dose_3,22,B,38.453,41.164,39.8085,63.282,57.494,60.388,24.756,42.7565,38.579750000000004,-2.9480000000000004,21.808249999999994,-7.397642469470824,FALSE
BPA,0.01,Dose_3,23,B,39.108,40.12,39.614,56.555,56.58,56.567499999999995,21.13,42.7565,38.579750000000004,-3.1425000000000054,17.98774999999999,-5.724025457438333,FALSE
BPA,0.01,Dose_3,24,B,39.936,38.59,39.263000000000005,62.689,58.839,60.763999999999996,25.678,42.7565,38.579750000000004,-3.4934999999999974,22.18424999999999,-6.350150279089741,FALSE
BPA,0.01,Dose_3,25,C,38.978,39.162,39.07,70.433,69.75,70.0915,35.198,42.7565,38.579750000000004,-3.6865000000000023,31.511749999999992,-8.547877390478765,FALSE
BPA,0.01,Dose_3,26,C,38.211,37.925,38.068,53.959,51.461,52.71,18.819,42.7565,38.579750000000004,-4.688500000000005,14.130249999999997,-3.0138103871174113,FALSE
BPA,0.01,Dose_3,27,C,40.627,39.711,40.169,61.619,60.291,60.955,24.963,42.7565,38.579750000000004,-2.5875000000000057,22.375249999999994,-8.647439613526549,FALSE
BPA,0.001,Dose_4,28,A,41.892,41.324,41.608000000000004,46.238,45.694,45.966,8.535,42.7565,38.579750000000004,-1.1484999999999985,7.386249999999997,-6.431214627775365,FALSE
