Chemical,Dose(mg/L),Dose,Animal,Group,Baseline_1,Baseline_2,Baseline_Fluorescence,24h_1,24h_2,h24_Fluorescence,Delta_Fluorescence,Baseline_Blank,h24_Blank,Norm_Baseline_Fluorescence,Norm_h24_Fluorescence,Relative_Delta_Fluorescence,Outlier
1-Decanol,0.001,Dose_4,29,A,38.781,36.837,37.809,49.298,46.626,47.962,10.775,39.168125,38.546124999999996,-1.359125000000006,9.415875000000007,-6.927894785247837,FALSE
1-Decanol,0.001,Dose_4,30,A,36.915,36.684,36.799499999999995,45.292,48.317,46.804500000000004,10.627,39.168125,38.546124999999996,-2.3686250000000086,8.258375000000008,-3.4865692120956155,FALSE
1-Decanol,0.001,Dose_4,31,B,34.964,34.954,34.959,46.001,45.615,45.808,11.471,39.168125,38.546124999999996,-4.209125,7.261875000000003,-1.7252695037567198,FALSE
1-Decanol,0.001,Dose_4,32,B,35.889,35.221,35.555,45.378,42.996,44.187,9.254,39.168125,38.546124999999996,-3.6131250000000037,5.640875000000001,-1.5612177823905886,FALSE
1-Decanol,0.001,Dose_4,33,B,36.715,37.13,36.9225,44.234,43.482,43.858000000000004,7.558,39.168125,38.546124999999996,-2.245625000000004,5.311875000000008,-2.365432785972724,FALSE
1-Decanol,0.001,Dose_4,34,C,37.222,35.228,36.225,39.902,42.3,41.101,5.498,39.168125,38.546124999999996,-2.943125000000002,2.5548750000000027,-0.8680823954130392,FALSE
1-Decanol,0.001,Dose_4,35,C,37.664,36.614,37.138999999999996,44.128,43.586,43.857,7.34,39.168125,38.546124999999996,-2.0291250000000076,5.310875000000003,-2.617322737633208,FALSE
1-Decanol,0.001,Dose_4,36,C,38.39,35.94,37.165,36.938,37.797,37.3675,0.825,39.168125,38.546124999999996,-2.0031250000000043,-1.1786249999999967,0.5883931357254261,FALSE
1-Decanol,1e-4,Dose_5,37,A,39.653,38.539,39.096000000000004,40.701,39.014,39.8575,1.384,39.168125,38.546124999999996,-0.07212499999999977,1.3113750000000053,-18.18197573656859,FALSE
1-Decanol,1e-4,Dose_5,38,A,38.505,39.292,38.8985,46.621,48.558,47.5895,9.313,39.168125,38.546124999999996,-0.2696250000000049,9.043375000000005,-33.54056560037029,FALSE
1-Decanol,1e-4,Dose_5,39,A,38.627,37.029,37.828,51.018,50.201,50.6095,13.404,39.168125,38.546124999999996,-1.3401250000000005,12.063375,-9.00167894785934,FALSE
1-Decanol,1e-4,Dose_5,40,B,40.219,37.475,38.847,36.211,34.907,35.559,-2.666,39.168125,38.546124999999996,-0.3211250000000021,-2.987124999999999,9.302063059556183,FALSE
1-Decanol,1e-4,Dose_5,41,B,38.022,36.851,37.436499999999995,49.181,47.975,48.578,11.764,39.168125,38.546124999999996,-1.7316250000000082,10.031875000000007,-5.793329964628577,FALSE
1-Decanol,1e-4,Dose_5,42,B,38.378,37.625,38.0015,44.42,41.911,43.1655,5.786,39.168125,38.546124999999996,-1.1666250000000034,4.619375000000005,-3.959605700203572,FALSE
1-Decanol,1e-4,Dose_5,43,C,37.526,37.756,37.641000000000005,46.498,43.659,45.0785,8.06,39.168125,38.546124999999996,-1.527124999999998,6.532375000000002,-4.277564050094138,FALSE
1-Decanol,1e-4,Dose_5,44,C,37.046,34.939,35.9925,43.712,43.601,43.6565,8.286,39.168125,38.546124999999996,-3.1756250000000037,5.110375000000005,-1.609250147608738,FALSE
1-Decanol,1e-4,Dose_5,45,C,38.328,37.686,38.007000000000005,40.42,41.289,40.8545,3.47,39.168125,38.546124999999996,-1.1611249999999984,2.308375000000005,-1.9880503821724693,FALSE
1-Decanol,0,Dose_6,46,A,39.719,39.33,39.5245,44.118,42.709,43.4135,4.511,39.168125,38.546124999999996,0.3563749999999999,4.867375000000003,13.65801473167311,FALSE
1-Decanol,0,Dose_6,47,A,39.487,37.859,38.673,44.192,42.078,43.135000000000005,5.084,39.168125,38.546124999999996,-0.4951250000000016,4.588875000000009,-9.268114112597816,FALSE
1-Decanol,0,Dose_6,48,A,37.739,37.263,37.501,49.632,48.279,48.9555,12.077,39.168125,38.546124999999996,-1.6671250000000057,10.409375000000004,-6.243907925320518,FALSE
1-Decanol,0,Dose_6,49,B,35.833,34.993,35.413,49.115,47.266,48.1905,13.4,39.168125,38.546124999999996,-3.7551250000000067,9.644375000000004,-2.5683232915016108,FALSE
1-Decanol,0,Dose_6,50,B,35.995,35.113,35.554,43.263,41.837,42.55,7.618,39.168125,38.546124999999996,-3.6141250000000014,4.003875000000001,-1.1078407636703211,FALSE
1-Decanol,0,Dose_6,51,B,37.248,35.481,36.3645,44.032,44.333,44.1825,8.44,39.168125,38.546124999999996,-2.803625000000004,5.636375000000001,-2.010388336528599,FALSE
1-Decanol,0,Dose_6,52,C,38.293,35.848,37.070499999999996,43.593,43.308,43.450500000000005,7.002,39.168125,38.546124999999996,-2.097625000000008,4.904375000000009,-2.338060902210829,FALSE
1-Decanol,0,Dose_6,53,C,36.141,36.673,36.407,39.867,40.943,40.405,4.62,39.168125,38.546124999999996,-2.761125000000007,1.8588750000000047,-0.6732310199646884,FALSE
1-Decanol,0,Dose_6,54,C,40.248,37.315,38.781499999999994,39.778,39.321,39.549499999999995,1.39,39.168125,38.546124999999996,-0.3866250000000093,1.0033749999999984,-2.5952150016164865,FALSE
1-Octanol,10,Dose_1,1,A,15.595,15.801,15.698,19.144,18.627,18.8855,0.831,16.650875,19.0075,-0.9528749999999988,-0.12199999999999989,0.12803358257903716,FALSE
1-Octanol,10,Dose_1,2,A,15.327,15.152,15.2395,19.764,20.62,20.192,2.596,16.650875,19.0075,-1.4113749999999996,1.1844999999999999,-0.8392525019927377,FALSE
1-Octanol,10,Dose_1,3,A,15.423,14.849,15.136,20.363,21.393,20.878,3.385,16.650875,19.0075,-1.514875,1.8704999999999998,-1.2347553428500702,FALSE
1-Octanol,10,Dose_1,4,B,14.132,13.052,13.591999999999999,19.663,19.942,19.802500000000002,3.854,16.650875,19.0075,-3.0588750000000005,0.7950000000000017,-0.2598994728454094,FALSE
1-Octanol,10,Dose_1,5,B,15.135,14.787,14.961,20.757,20.789,20.773000000000003,3.455,16.650875,19.0075,-1.689874999999999,1.765500000000003,-1.0447518307567152,FALSE
1-Octanol,10,Dose_1,6,B,14.695,14.036,14.3655,19.965,19.82,19.8925,3.17,16.650875,19.0075,-2.2853749999999984,0.884999999999998,-0.3872449816769671,FALSE
1-Octanol,10,Dose_1,7,C,15.686,14.949,15.317499999999999,16.623,16.817,16.72,-0.954,16.650875,19.0075,-1.3333750000000002,-2.2875000000000014,1.7155713883941135,FALSE
1-Octanol,10,Dose_1,8,C,15.7,15.589,15.6445,22.639,21.955,22.296999999999997,4.296,16.650875,19.0075,-1.0063749999999985,3.2894999999999968,-3.2686622779778927,FALSE
1-Octanol,10,Dose_1,9,C,15.499,15.042,15.2705,24.121,23.689,23.905,6.278,16.650875,19.0075,-1.380374999999999,4.897500000000001,-3.547948926922035,FALSE
1-Octanol,1,Dose_2,10,A,15.577,15.452,15.5145,22.682,23.616,23.149,5.278,16.650875,19.0075,-1.1363749999999992,4.141500000000001,-3.6444835551644514,FALSE
1-Octanol,1,Dose_2,11,A,16.587,15.907,16.247,18.337,19.984,19.1605,0.557,16.650875,19.0075,-0.4038749999999993,0.1529999999999987,-0.378830083565457,FALSE
1-Octanol,1,Dose_2,12,A,16.133,15.281,15.707,43.907,43.725,43.816,25.752,16.650875,19.0075,-0.9438749999999985,24.808500000000002,-26.283671036948792,TRUE
1-Octanol,1,Dose_2,13,B,15.029,14.764,14.8965,20.76,19.974,20.367,3.114,16.650875,19.0075,-1.7543749999999996,1.3595000000000006,-0.7749198432490209,FALSE
1-Octanol,1,Dose_2,14,B,15.683,15.027,15.355,22.574,23.994,23.284,5.572,16.650875,19.0075,-1.2958749999999988,4.276499999999999,-3.3000868139288144,FALSE
1-Octanol,1,Dose_2,15,B,13.985,13.691,13.838000000000001,21.375,20.859,21.117,4.922,16.650875,19.0075,-2.8128749999999982,2.1095000000000006,-0.749944451850865,FALSE
1-Octanol,1,Dose_2,16,C,15.716,16.375,16.0455,25.278,24.956,25.116999999999997,6.715,16.650875,19.0075,-0.6053749999999987,6.109499999999997,-10.09209167871156,FALSE
1-Octanol,1,Dose_2,17,C,15.885,14.434,15.1595,21.219,20.6,20.9095,3.393,16.650875,19.0075,-1.4913749999999997,1.902000000000001,-1.275333165702792,FALSE
1-Octanol,1,Dose_2,18,C,15.239,15.427,15.333,21.691,20.514,21.1025,3.413,16.650875,19.0075,-1.317874999999999,2.094999999999999,-1.5896803566347342,FALSE
1-Octanol,0.1,Dose_3,19,A,16.494,17.538,17.016,19.433,19.082,19.2575,-0.115,16.650875,19.0075,0.36512499999999903,0.25,0.684697021567958,FALSE
1-Octanol,0.1,Dose_3,20,A,16.819,16.7,16.7595,19.494,18.775,19.1345,0.018,16.650875,19.0075,0.10862499999999997,0.1269999999999989,1.1691599539700706,FALSE
1-Octanol,0.1,Dose_3,21,A,16.229,16.232,16.2305,22.415,20.903,21.659,3.072,16.650875,19.0075,-0.42037499999999994,2.6514999999999986,-6.307463574189709,FALSE
1-Octanol,0.1,Dose_3,22,B,16.806,15.339,16.0725,29.727,31.667,30.697000000000003,12.268,16.650875,19.0075,-0.5783749999999976,11.689500000000002,-20.21093581154104,TRUE
1-Octanol,0.1,Dose_3,23,B,15.143,15.043,15.093,23.668,22.523,23.0955,5.646,16.650875,19.0075,-1.5578749999999992,4.088000000000001,-2.6240872984032757,FALSE
1-Octanol,0.1,Dose_3,24,B,12.238,12.031,12.1345,18.759,17.24,17.999499999999998,3.508,16.650875,19.0075,-4.516375,-1.0080000000000027,0.2231878442334843,FALSE
1-Octanol,0.1,Dose_3,25,C,14.856,14.075,14.465499999999999,20.114,19.85,19.982,3.16,16.650875,19.0075,-2.1853750000000005,0.974499999999999,-0.4459188926385626,FALSE
1-Octanol,0.1,Dose_3,26,C,12.85,13.298,13.074,17.268,17.883,17.575499999999998,2.145,16.650875,19.0075,-3.5768749999999994,-1.4320000000000022,0.40034946706273,FALSE
1-Octanol,0.1,Dose_3,27,C,15.277,15.658,15.4675,18.509,17.668,18.0885,0.264,16.650875,19.0075,-1.1833749999999998,-0.9190000000000005,0.7765923735079756,FALSE
1-Octanol,0.01,Dose_4,28,A,16.337,15.834,16.0855,21.913,21.347,21.630000000000003,3.188,16.650875,19.0075,-0.5653749999999995,2.6225000000000023,-4.638514260446614,FALSE
1-Octanol,0.01,Dose_4,29,A,15.566,16.093,15.8295,21.09,20.461,20.7755,2.589,16.650875,19.0075,-0.8213749999999997,1.7680000000000007,-2.1524882057525505,FALSE
1-Octanol,0.01,Dose_4,30,A,16.139,16.044,16.0915,19.522,19.233,19.377499999999998,0.929,16.650875,19.0075,-0.5593749999999993,0.36999999999999744,-0.6614525139664768,FALSE
1-Octanol,0.01,Dose_4,31,B,15.378,14.802,15.09,18.437,17.766,18.1015,0.655,16.650875,19.0075,-1.5608749999999993,-0.9059999999999988,0.5804436614078636,FALSE
1-Octanol,0.01,Dose_4,32,B,13.22,12.717,12.9685,17.475,17.926,17.700499999999998,2.375,16.650875,19.0075,-3.6823749999999986,-1.3070000000000022,0.35493397603448934,FALSE
1-Octanol,0.01,Dose_4,33,B,14.656,15.482,15.068999999999999,19.232,17.046,18.139,0.713,16.650875,19.0075,-1.5818750000000001,-0.8685000000000009,0.5490320031608066,FALSE
1-Octanol,0.01,Dose_4,34,C,14.771,14.449,14.61,20.615,19.246,19.9305,2.964,16.650875,19.0075,-2.0408749999999998,0.9229999999999983,-0.4522569976113179,FALSE
1-Octanol,0.01,Dose_4,35,C,13.095,13.79,13.442499999999999,24.774,23.997,24.3855,8.586,16.650875,19.0075,-3.208375,5.378,-1.6762379709354422,FALSE
1-Octanol,0.01,Dose_4,36,C,15.62,14.47,15.045,18.616,18.216,18.416,1.014,16.650875,19.0075,-1.6058749999999993,-0.5914999999999999,0.3683350198489921,FALSE
1-Octanol,0.001,Dose_5,37,A,16.808,15.852,16.33,22.903,23.835,23.369,4.682,16.650875,19.0075,-0.3208750000000009,4.3614999999999995,-13.592520451889325,FALSE
1-Octanol,0.001,Dose_5,38,A,15.432,14.486,14.959,20.611,20.924,20.7675,3.452,16.650875,19.0075,-1.6918749999999996,1.759999999999998,-1.0402659770964158,FALSE
1-Octanol,0.001,Dose_5,39,A,15.881,16.526,16.2035,21.686,22.074,21.880000000000003,3.32,16.650875,19.0075,-0.44737500000000097,2.8725000000000023,-6.420787929589262,FALSE
1-Octanol,0.001,Dose_5,40,B,14.177,13.993,14.085,30.456,28.69,29.573,13.131,16.650875,19.0075,-2.5658749999999984,10.5655,-4.11769864081454,TRUE
1-Octanol,0.001,Dose_5,41,B,16.129,15.858,15.993500000000001,19.952,19.225,19.588500000000003,1.238,16.650875,19.0075,-0.6573749999999983,0.5810000000000031,-0.8838182163909558,FALSE
1-Octanol,0.001,Dose_5,42,B,15.91,15.573,15.7415,20.456,20.045,20.250500000000002,2.152,16.650875,19.0075,-0.9093749999999989,1.243000000000002,-1.3668728522336808,FALSE
1-Octanol,0.001,Dose_5,43,C,16.54,16.215,16.377499999999998,27.682,28.003,27.8425,9.108,16.650875,19.0075,-0.2733750000000015,8.835,-32.31824417009585,FALSE
1-Octanol,0.001,Dose_5,44,C,14.59,17.737,16.1635,24.023,23.275,23.649,5.129,16.650875,19.0075,-0.4873750000000001,4.641500000000001,-9.523467555783533,FALSE
1-Octanol,0.001,Dose_5,45,C,15.054,15.56,15.307,19.107,17.349,18.228,0.564,16.650875,19.0075,-1.3438749999999988,-0.7794999999999987,0.5800390661333825,FALSE
1-Octanol,0,Dose_6,46,A,15.302,14.834,15.068,16.796,17.437,17.116500000000002,-0.308,16.650875,19.0075,-1.5828749999999996,-1.8909999999999982,1.1946616125720595,FALSE
1-Octanol,0,Dose_6,47,A,14.999,15.171,15.085,18.884,18.651,18.7675,1.326,16.650875,19.0075,-1.5658749999999984,-0.240000000000002,0.15326893909156367,FALSE
1-Octanol,0,Dose_6,48,A,16.002,14.679,15.340499999999999,53.854,50.101,51.9775,34.28,16.650875,19.0075,-1.3103750000000005,32.97,-25.16073643041113,TRUE
1-Octanol,0,Dose_6,49,B,15.742,15.926,15.834,25.916,26.259,26.0875,7.897,16.650875,19.0075,-0.8168749999999996,7.079999999999998,-8.667176740627394,FALSE
1-Octanol,0,Dose_6,50,B,15.225,14.814,15.0195,21.204,19.682,20.442999999999998,3.067,16.650875,19.0075,-1.6313749999999985,1.4354999999999976,-0.8799325722166877,FALSE
1-Octanol,0,Dose_6,51,B,16.326,15.88,16.103,22.488,22.146,22.317,3.857,16.650875,19.0075,-0.5478749999999977,3.3095,-6.040611453342485,FALSE
1-Octanol,0,Dose_6,52,C,11.793,12.206,11.9995,14.401,13.731,14.065999999999999,-0.29,16.650875,19.0075,-4.651375,-4.941500000000001,1.0623740291849189,FALSE
1-Octanol,0,Dose_6,53,C,15.125,17.087,16.106,19.082,17.903,18.4925,0.03,16.650875,19.0075,-0.5448749999999976,-0.5150000000000006,0.9451709107593538,FALSE
1-Octanol,0,Dose_6,54,C,15.22,14.034,14.627,19.572,17.14,18.356,1.372,16.650875,19.0075,-2.0238749999999985,-0.6514999999999986,0.32190723241306857,FALSE
17betaestradiol,0.1,Dose_1,1,A,161.925,155.825,158.875,147.637,138.624,143.13049999999998,5.928,154.460625,132.78825,4.414375000000007,10.342249999999979,2.3428571428571345,FALSE
17betaestradiol,0.1,Dose_1,2,A,157.104,151.766,154.435,154.977,153.215,154.096,21.333,154.460625,132.78825,-0.025624999999990905,21.30775,-831.5219512198073,FALSE
17betaestradiol,0.1,Dose_1,3,A,154.04,149.038,151.539,126.61,119.85,123.22999999999999,-6.637,154.460625,132.78825,-2.921625000000006,-9.558250000000015,3.2715526462157176,FALSE
17betaestradiol,0.1,Dose_1,4,B,153.712,148.436,151.074,142.455,132.576,137.5155,8.114,154.460625,132.78825,-3.386624999999981,4.727249999999998,-1.3958587088916028,FALSE
17betaestradiol,0.1,Dose_1,5,B,140.123,137.84,138.98149999999998,126.407,121.175,123.791,6.482,154.460625,132.78825,-15.47912500000001,-8.997250000000008,0.5812505551831904,FALSE
17betaestradiol,0.1,Dose_1,6,B,139.608,134.366,136.98700000000002,118.837,118.688,118.7625,3.448,154.460625,132.78825,-17.47362499999997,-14.025750000000002,0.8026811837841333,FALSE
17betaestradiol,0.1,Dose_1,7,C,132.694,131.922,132.308,112.235,112.309,112.27199999999999,1.636,154.460625,132.78825,-22.152625,-20.516250000000014,0.9261317789652473,FALSE
17betaestradiol,0.1,Dose_1,8,C,143.939,148.504,146.2215,133.522,126.526,130.024,5.475,154.460625,132.78825,-8.239125000000001,-2.764250000000004,0.3355028598303829,FALSE
17betaestradiol,0.1,Dose_1,9,C,154.941,151.692,153.31650000000002,128.032,120.455,124.24350000000001,-7.401,154.460625,132.78825,-1.144124999999974,-8.544749999999993,7.468371025893314,FALSE
17betaestradiol,0.01,Dose_2,10,A,150.107,153.465,151.786,139.109,135.1,137.1045,6.991,154.460625,132.78825,-2.674624999999992,4.316249999999997,-1.6137776323783746,FALSE
17betaestradiol,0.01,Dose_2,11,A,151.792,143.701,147.7465,134.983,136.211,135.597,9.523,154.460625,132.78825,-6.714124999999996,2.8087500000000034,-0.4183344814104601,FALSE
17betaestradiol,0.01,Dose_2,12,A,152.96,149.646,151.303,142.905,142.194,142.5495,12.919,154.460625,132.78825,-3.157624999999996,9.76124999999999,-3.091326550809549,FALSE
17betaestradiol,0.01,Dose_2,13,B,155.18,152.606,153.893,142.952,138.954,140.953,8.732,154.460625,132.78825,-0.5676249999999925,8.164749999999998,-14.38405637524793,FALSE
17betaestradiol,0.01,Dose_2,14,B,147.286,147.821,147.55349999999999,137.262,132.465,134.8635,8.982,154.460625,132.78825,-6.907125000000008,2.0752499999999827,-0.30045062164069425,FALSE
17betaestradiol,0.01,Dose_2,15,B,147.121,144.457,145.789,142.358,138.081,140.21949999999998,16.103,154.460625,132.78825,-8.671625000000006,7.431249999999977,-0.8569616421374278,FALSE
17betaestradiol,0.01,Dose_2,16,C,148.216,143.479,145.84750000000003,136.74,137.102,136.921,12.746,154.460625,132.78825,-8.613124999999968,4.132749999999987,-0.4798200420869316,FALSE
17betaestradiol,0.01,Dose_2,17,C,146.748,146.968,146.858,134.561,131.941,133.251,8.065,154.460625,132.78825,-7.602624999999989,0.4627499999999998,-0.06086713470676253,FALSE
17betaestradiol,0.01,Dose_2,18,C,153.095,151,152.0475,133.828,134.771,134.2995,3.924,154.460625,132.78825,-2.4131249999999795,1.5112499999999898,-0.6262626262626273,FALSE
17betaestradiol,0.001,Dose_3,19,A,149.591,142.213,145.902,135.966,128.944,132.45499999999998,8.225,154.460625,132.78825,-8.558625000000006,-0.3332500000000209,0.03893732930231441,FALSE
17betaestradiol,0.001,Dose_3,20,A,152.22,150.818,151.519,149.752,138.906,144.329,14.482,154.460625,132.78825,-2.9416249999999877,11.540750000000003,-3.923256703352756,FALSE
17betaestradiol,0.001,Dose_3,21,A,146.19,145.682,145.93599999999998,144.015,140.288,142.1515,17.888,154.460625,132.78825,-8.524625000000015,9.363249999999994,-1.0983767614411164,FALSE
17betaestradiol,0.001,Dose_3,22,B,140.182,137.889,139.0355,132.1,129.342,130.721,13.358,154.460625,132.78825,-15.42512499999998,-2.0672500000000014,0.13401836289819397,FALSE
17betaestradiol,0.001,Dose_3,23,B,130.728,119.353,125.04050000000001,129.493,127.481,128.487,25.119,154.460625,132.78825,-29.420124999999985,-4.30125000000001,0.1462009423821283,FALSE
17betaestradiol,0.001,Dose_3,24,B,132.02,130.245,131.1325,135.544,131.66,133.602,24.142,154.460625,132.78825,-23.328125,0.8137499999999989,-0.03488278633623572,FALSE
17betaestradiol,0.001,Dose_3,25,C,128.199,120.937,124.56800000000001,133.939,128.98,131.4595,28.564,154.460625,132.78825,-29.89262499999998,-1.3287500000000136,0.044450763357183065,FALSE
17betaestradiol,0.001,Dose_3,26,C,147.656,146.43,147.043,156.069,155.948,156.0085,30.638,154.460625,132.78825,-7.417624999999987,23.220249999999993,-3.1304157327985758,FALSE
17betaestradiol,0.001,Dose_3,27,C,140.777,135.403,138.08999999999997,122.115,124.958,123.53649999999999,7.119,154.460625,132.78825,-16.370625000000018,-9.251750000000015,0.565143358912687,FALSE
17betaestradiol,1e-4,Dose_4,28,A,156.051,154.966,155.5085,156.71,157.591,157.15050000000002,23.314,154.460625,132.78825,1.0478750000000048,24.362250000000017,23.249194798997884,FALSE
17betaestradiol,1e-4,Dose_4,29,A,146.608,143.276,144.942,157.815,154.179,155.997,32.727,154.460625,132.78825,-9.518624999999986,23.20875000000001,-2.438246070204472,FALSE
17betaestradiol,1e-4,Dose_4,30,A,123.752,124.111,123.9315,130.555,130.404,130.4795,28.22,154.460625,132.78825,-30.529124999999993,-2.3087500000000034,0.07562450610687348,FALSE
17betaestradiol,1e-4,Dose_4,31,B,143.686,141.653,142.6695,141.762,133.301,137.5315,16.534,154.460625,132.78825,-11.791124999999994,4.743249999999989,-0.4022728959280808,FALSE
17betaestradiol,1e-4,Dose_4,32,B,147.422,141.713,144.5675,156.55,148.34,152.445,29.55,154.460625,132.78825,-9.893124999999998,19.656749999999988,-1.9869101017120467,FALSE
17betaestradiol,1e-4,Dose_4,33,B,139.93,133.094,136.512,138.165,132.411,135.288,20.448,154.460625,132.78825,-17.948624999999993,2.499750000000006,-0.13927250694691137,FALSE
17betaestradiol,1e-4,Dose_4,34,C,137.934,134.583,136.2585,140.647,137.859,139.253,24.667,154.460625,132.78825,-18.202124999999995,6.464749999999981,-0.35516457556466524,FALSE
17betaestradiol,1e-4,Dose_4,35,C,146.64,137.593,142.11649999999997,147.895,147.876,147.8855,27.441,154.460625,132.78825,-12.34412500000002,15.097250000000003,-1.223031199052179,FALSE
17betaestradiol,1e-4,Dose_4,36,C,150.538,143.932,147.235,150.05,145.244,147.647,22.084,154.460625,132.78825,-7.2256249999999795,14.858749999999986,-2.0563965054926086,FALSE
