"gene","genecount"
"ENSDARG00000020741",448
"ENSDARG00000104660",14
"ENSDARG00000096594",0
"ENSDARG00000077652",6
"ENSDARG00000079452",0
"ENSDARG00000089943",0
"ENSDARG00000096536",0
"ENSDARG00000077533",252
"ENSDARG00000030563",25
"ENSDARG00000026387",0
"ENSDARG00000070495",0
"ENSDARG00000084766",0
"ENSDARG00000034785",11
"ENSDARG00000070512",60
"ENSDARG00000070504",13
"ENSDARG00000062057",0
"ENSDARG00000067992",0
"ENSDARG00000103508",0
"ENSDARG00000070502",0
"ENSDARG00000037679",5
"ENSDARG00000076833",119
"ENSDARG00000012297",19
"ENSDARG00000087107",0
"ENSDARG00000099342",0
"ENSDARG00000008487",536
"ENSDARG00000084839",0
"ENSDARG00000100507",0
"ENSDARG00000070239",51
"ENSDARG00000074379",0
"ENSDARG00000062854",44
"ENSDARG00000112849",0
"ENSDARG00000113410",0
"ENSDARG00000092242",0
"ENSDARG00000092200",0
"ENSDARG00000093636",0
"ENSDARG00000095482",0
"ENSDARG00000094981",0
"ENSDARG00000037619",0
"ENSDARG00000062585",12
"ENSDARG00000074213",4
"ENSDARG00000062606",8
"ENSDARG00000077198",2
"ENSDARG00000007678",193
"ENSDARG00000089930",19
"ENSDARG00000078057",16
"ENSDARG00000070448",115
"ENSDARG00000070449",51
"ENSDARG00000042988",130
"ENSDARG00000096506",0
"ENSDARG00000070452",22
"ENSDARG00000070454",1
"ENSDARG00000096515",0
"ENSDARG00000038114",4
"ENSDARG00000008637",204
"ENSDARG00000091609",12
"ENSDARG00000002634",9
"ENSDARG00000062467",20
"ENSDARG00000032808",4
"ENSDARG00000078318",14
"ENSDARG00000018997",27
"ENSDARG00000099771",8
"ENSDARG00000045620",49
"ENSDARG00000045618",59
"ENSDARG00000057248",23
"ENSDARG00000017985",32
"ENSDARG00000113585",0
"ENSDARG00000106508",0
"ENSDARG00000117227",0
"ENSDARG00000104707",0
"ENSDARG00000102049",0
"ENSDARG00000116228",0
"ENSDARG00000099729",163
"ENSDARG00000105122",0
"ENSDARG00000098668",0
"ENSDARG00000098053",0
"ENSDARG00000102604",0
"ENSDARG00000102339",0
"ENSDARG00000089805",53
"ENSDARG00000117726",0
"ENSDARG00000117541",3
"ENSDARG00000112668",0
"ENSDARG00000110084",0
"ENSDARG00000078525",18
"ENSDARG00000079626",64
"ENSDARG00000057114",44
"ENSDARG00000009026",158
"ENSDARG00000085400",0
"ENSDARG00000014273",45
"ENSDARG00000104795",0
"ENSDARG00000056806",1
"ENSDARG00000056797",42
"ENSDARG00000062341",28
"ENSDARG00000107022",0
"ENSDARG00000056742",37
"ENSDARG00000037576",0
"ENSDARG00000070431",45
"ENSDARG00000022690",38
"ENSDARG00000056677",6
"ENSDARG00000012903",29
"ENSDARG00000003398",9
"ENSDARG00000074867",23
"ENSDARG00000109597",9
"ENSDARG00000111274",0
"ENSDARG00000110922",11
"ENSDARG00000116310",0
"ENSDARG00000109592",0
"ENSDARG00000117482",0
"ENSDARG00000103921",0
"ENSDARG00000114198",0
"ENSDARG00000106947",0
"ENSDARG00000039063",1
"ENSDARG00000113383",0
"ENSDARG00000109748",0
"ENSDARG00000116279",0
"ENSDARG00000109910",0
"ENSDARG00000116174",0
"ENSDARG00000116266",0
"ENSDARG00000111171",0
"ENSDARG00000111710",0
"ENSDARG00000111723",0
"ENSDARG00000115042",0
"ENSDARG00000114262",0
"ENSDARG00000078898",188
"ENSDARG00000007534",0
"ENSDARG00000077804",36
"ENSDARG00000013881",56
"ENSDARG00000079317",72
"ENSDARG00000117428",2
"ENSDARG00000106258",2
"ENSDARG00000078854",14
"ENSDARG00000108223",0
"ENSDARG00000007356",0
"ENSDARG00000078599",9
"ENSDARG00000115704",8
"ENSDARG00000109375",0
"ENSDARG00000017119",65
"ENSDARG00000070412",33
"ENSDARG00000034105",22
"ENSDARG00000062198",148
"ENSDARG00000034817",41
"ENSDARG00000056504",21
"ENSDARG00000108673",0
"ENSDARG00000110937",0
"ENSDARG00000117129",0
"ENSDARG00000116147",0
"ENSDARG00000116406",0
"ENSDARG00000111254",0
"ENSDARG00000113731",0
"ENSDARG00000115569",0
"ENSDARG00000113149",0
"ENSDARG00000116958",0
"ENSDARG00000092109",0
"ENSDARG00000017591",1247
"ENSDARG00000092708",0
"ENSDARG00000017905",47
"ENSDARG00000030514",24
"ENSDARG00000056400",1
"ENSDARG00000042937",5
