"gene","genecount"
"ENSDARG00000020741",716
"ENSDARG00000104660",31
"ENSDARG00000096594",4
"ENSDARG00000077652",20
"ENSDARG00000079452",0
"ENSDARG00000089943",0
"ENSDARG00000096536",0
"ENSDARG00000077533",355
"ENSDARG00000030563",5
"ENSDARG00000026387",20
"ENSDARG00000070495",5
"ENSDARG00000084766",0
"ENSDARG00000034785",1
"ENSDARG00000070512",104
"ENSDARG00000070504",0
"ENSDARG00000062057",0
"ENSDARG00000067992",0
"ENSDARG00000103508",0
"ENSDARG00000070502",0
"ENSDARG00000037679",7
"ENSDARG00000076833",277
"ENSDARG00000012297",11
"ENSDARG00000087107",0
"ENSDARG00000099342",0
"ENSDARG00000008487",886
"ENSDARG00000084839",0
"ENSDARG00000100507",0
"ENSDARG00000070239",37
"ENSDARG00000074379",5
"ENSDARG00000062854",38
"ENSDARG00000112849",0
"ENSDARG00000113410",0
"ENSDARG00000092242",0
"ENSDARG00000092200",1
"ENSDARG00000093636",0
"ENSDARG00000095482",0
"ENSDARG00000094981",0
"ENSDARG00000037619",0
"ENSDARG00000062585",6
"ENSDARG00000074213",7
"ENSDARG00000062606",11
"ENSDARG00000077198",1
"ENSDARG00000007678",305
"ENSDARG00000089930",31
"ENSDARG00000078057",66
"ENSDARG00000070448",145
"ENSDARG00000070449",102
"ENSDARG00000042988",221
"ENSDARG00000096506",0
"ENSDARG00000070452",44
"ENSDARG00000070454",32
"ENSDARG00000096515",0
"ENSDARG00000038114",2
"ENSDARG00000008637",583
"ENSDARG00000091609",32
"ENSDARG00000002634",17
"ENSDARG00000062467",5
"ENSDARG00000032808",5
"ENSDARG00000078318",25
"ENSDARG00000018997",88
"ENSDARG00000099771",32
"ENSDARG00000045620",78
"ENSDARG00000045618",78
"ENSDARG00000057248",41
"ENSDARG00000017985",74
"ENSDARG00000113585",0
"ENSDARG00000106508",0
"ENSDARG00000117227",0
"ENSDARG00000104707",0
"ENSDARG00000102049",0
"ENSDARG00000116228",0
"ENSDARG00000099729",340
"ENSDARG00000105122",0
"ENSDARG00000098668",0
"ENSDARG00000098053",0
"ENSDARG00000102604",0
"ENSDARG00000102339",0
"ENSDARG00000089805",75
"ENSDARG00000117726",0
"ENSDARG00000117541",10
"ENSDARG00000112668",0
"ENSDARG00000110084",0
"ENSDARG00000078525",25
"ENSDARG00000079626",121
"ENSDARG00000057114",58
"ENSDARG00000009026",278
"ENSDARG00000085400",0
"ENSDARG00000014273",166
"ENSDARG00000104795",1
"ENSDARG00000056806",0
"ENSDARG00000056797",63
"ENSDARG00000062341",29
"ENSDARG00000107022",0
"ENSDARG00000056742",55
"ENSDARG00000037576",0
"ENSDARG00000070431",56
"ENSDARG00000022690",69
"ENSDARG00000056677",1
"ENSDARG00000012903",80
"ENSDARG00000003398",25
"ENSDARG00000074867",97
"ENSDARG00000109597",18
"ENSDARG00000111274",0
"ENSDARG00000110922",11
"ENSDARG00000116310",0
"ENSDARG00000109592",0
"ENSDARG00000117482",4
"ENSDARG00000103921",0
"ENSDARG00000114198",0
"ENSDARG00000106947",0
"ENSDARG00000039063",2
"ENSDARG00000113383",0
"ENSDARG00000109748",0
"ENSDARG00000116279",0
"ENSDARG00000109910",0
"ENSDARG00000116174",0
"ENSDARG00000116266",0
"ENSDARG00000111171",0
"ENSDARG00000111710",0
"ENSDARG00000111723",0
"ENSDARG00000115042",0
"ENSDARG00000114262",0
"ENSDARG00000078898",244
"ENSDARG00000007534",1
"ENSDARG00000077804",82
"ENSDARG00000013881",81
"ENSDARG00000079317",164
"ENSDARG00000117428",16
"ENSDARG00000106258",0
"ENSDARG00000078854",48
"ENSDARG00000108223",0
"ENSDARG00000007356",0
"ENSDARG00000078599",14
"ENSDARG00000115704",26
"ENSDARG00000109375",1
"ENSDARG00000017119",50
"ENSDARG00000070412",28
"ENSDARG00000034105",115
"ENSDARG00000062198",313
"ENSDARG00000034817",58
"ENSDARG00000056504",14
"ENSDARG00000108673",0
"ENSDARG00000110937",0
"ENSDARG00000117129",0
"ENSDARG00000116147",0
"ENSDARG00000116406",0
"ENSDARG00000111254",0
"ENSDARG00000113731",0
"ENSDARG00000115569",0
"ENSDARG00000113149",0
"ENSDARG00000116958",0
"ENSDARG00000092109",0
"ENSDARG00000017591",2010
"ENSDARG00000092708",0
"ENSDARG00000017905",103
"ENSDARG00000030514",66
"ENSDARG00000056400",2
"ENSDARG00000042937",0
"ENSDARG00000092600",0
"ENSDARG00000027355",1451
"ENSDARG00000092022",0
"ENSDARG00000056381",38
"ENSDARG00000056376",6
"ENSDARG00000056369",43
"ENSDARG00000011023",5
"ENSDARG00000003046",35
"ENSDARG00000095697",0
"ENSDARG00000016065",2
"ENSDARG00000062132",323
"ENSDARG00000117687",0
"ENSDARG00000117295",0
"ENSDARG00000094943",0
"ENSDARG00000115616",0
"ENSDARG00000037545",6
"ENSDARG00000062122",45
"ENSDARG00000095111",0
"ENSDARG00000008287",42
"ENSDARG00000015495",200
"ENSDARG00000062081",66
"ENSDARG00000018178",81
"ENSDARG00000093886",0
"ENSDARG00000056163",2
"ENSDARG00000079488",8
"ENSDARG00000062055",81
"ENSDARG00000074275",87
"ENSDARG00000075330",0
"ENSDARG00000006392",43
"ENSDARG00000073902",54
"ENSDARG00000019945",167
"ENSDARG00000086957",7
"ENSDARG00000056151",337
"ENSDARG00000061985",383
"ENSDARG00000061981",27
"ENSDARG00000003631",187
"ENSDARG00000056133",29
"ENSDARG00000070321",0
"ENSDARG00000017744",144
"ENSDARG00000070320",0
"ENSDARG00000061952",105
"ENSDARG00000061936",42
"ENSDARG00000006434",36
"ENSDARG00000037484",7
"ENSDARG00000094729",0
"ENSDARG00000095388",12
"ENSDARG00000085360",0
"ENSDARG00000037487",8
"ENSDARG00000008068",15
"ENSDARG00000077648",1
"ENSDARG00000096580",0
"ENSDARG00000079250",10
"ENSDARG00000019986",383
"ENSDARG00000080019",75
"ENSDARG00000099995",231
"ENSDARG00000070278",13
"ENSDARG00000061830",17
"ENSDARG00000041776",63
"ENSDARG00000095632",1
"ENSDARG00000037455",155
"ENSDARG00000093816",0
"ENSDARG00000070266",218
"ENSDARG00000037429",40
"ENSDARG00000055874",556
"ENSDARG00000055876",168
"ENSDARG00000092321",0
"ENSDARG00000061786",12
"ENSDARG00000094202",6
"ENSDARG00000109806",0
"ENSDARG00000112850",0
"ENSDARG00000110242",0
"ENSDARG00000115895",0
"ENSDARG00000061459",153
"ENSDARG00000037411",0
"ENSDARG00000084908",0
"ENSDARG00000037410",7
"ENSDARG00000037409",11
"ENSDARG00000070173",112
"ENSDARG00000052782",19
"ENSDARG00000037406",74
"ENSDARG00000034773",77
"ENSDARG00000033273",11
"ENSDARG00000055439",17
"ENSDARG00000055443",72
"ENSDARG00000112783",0
"ENSDARG00000095593",0
"ENSDARG00000037383",7
"ENSDARG00000030759",27
"ENSDARG00000079074",14
"ENSDARG00000061504",114
"ENSDARG00000000606",50
"ENSDARG00000107258",0
"ENSDARG00000087224",25
"ENSDARG00000052764",8
"ENSDARG00000092275",0
"ENSDARG00000055559",11
"ENSDARG00000114954",0
"ENSDARG00000115778",6
"ENSDARG00000026871",10
"ENSDARG00000016470",136
"ENSDARG00000103166",11
"ENSDARG00000091660",27
"ENSDARG00000038056",103
"ENSDARG00000002406",1
"ENSDARG00000034007",109
"ENSDARG00000061143",59
"ENSDARG00000034896",234
"ENSDARG00000116099",0
"ENSDARG00000037378",7
"ENSDARG00000012672",115
"ENSDARG00000093064",6
"ENSDARG00000061121",281
"ENSDARG00000094677",32
"ENSDARG00000054799",75
"ENSDARG00000116939",0
"ENSDARG00000037350",722
"ENSDARG00000022845",20
"ENSDARG00000019838",134
"ENSDARG00000005799",20
"ENSDARG00000013505",33
"ENSDARG00000055022",401
"ENSDARG00000061451",80
"ENSDARG00000070121",0
"ENSDARG00000054680",0
"ENSDARG00000092290",21
"ENSDARG00000055099",147
"ENSDARG00000070109",56
"ENSDARG00000070098",232
"ENSDARG00000094046",0
"ENSDARG00000114096",0
"ENSDARG00000004246",317
"ENSDARG00000083023",0
"ENSDARG00000031108",424
"ENSDARG00000015266",161
"ENSDARG00000100600",0
"ENSDARG00000092542",0
"ENSDARG00000035692",2323
"ENSDARG00000094885",0
"ENSDARG00000090822",0
"ENSDARG00000088202",84
"ENSDARG00000086859",0
"ENSDARG00000090118",0
"ENSDARG00000061021",93
"ENSDARG00000037309",18
"ENSDARG00000054334",28
"ENSDARG00000116715",0
"ENSDARG00000060994",87
"ENSDARG00000106456",0
"ENSDARG00000074776",26
"ENSDARG00000074451",16
"ENSDARG00000079434",242
"ENSDARG00000031817",28
"ENSDARG00000074812",37
"ENSDARG00000070055",50
"ENSDARG00000070050",49
"ENSDARG00000095408",0
"ENSDARG00000037286",21
"ENSDARG00000037283",77
"ENSDARG00000037281",422
"ENSDARG00000037278",5
"ENSDARG00000070039",0
"ENSDARG00000091184",0
"ENSDARG00000094763",0
"ENSDARG00000037276",14
"ENSDARG00000013787",44
"ENSDARG00000086790",24
"ENSDARG00000006427",1199
"ENSDARG00000104824",11
"ENSDARG00000076499",1
"ENSDARG00000037266",26
"ENSDARG00000077157",99
"ENSDARG00000037256",15
"ENSDARG00000116236",0
"ENSDARG00000069998",5
"ENSDARG00000053995",7
"ENSDARG00000021702",320
"ENSDARG00000054031",109
"ENSDARG00000037259",40
"ENSDARG00000037260",39
"ENSDARG00000037261",33
"ENSDARG00000037262",0
"ENSDARG00000104309",0
"ENSDARG00000077817",34
"ENSDARG00000107180",0
"ENSDARG00000076928",397
"ENSDARG00000009685",2
"ENSDARG00000079377",28
"ENSDARG00000091678",62
"ENSDARG00000014790",292
"ENSDARG00000019581",349
"ENSDARG00000096665",0
"ENSDARG00000079925",0
"ENSDARG00000053731",0
"ENSDARG00000094127",0
"ENSDARG00000005210",56
"ENSDARG00000023330",155
"ENSDARG00000096667",1
"ENSDARG00000037245",0
"ENSDARG00000096554",47
"ENSDARG00000079266",5
"ENSDARG00000023600",107
"ENSDARG00000033345",13
"ENSDARG00000069989",269
"ENSDARG00000095189",0
"ENSDARG00000104096",0
"ENSDARG00000102639",0
"ENSDARG00000006621",70
