"gene","genecount"
"ENSDARG00000020741",31
"ENSDARG00000104660",15
"ENSDARG00000096594",0
"ENSDARG00000077652",10
"ENSDARG00000079452",0
"ENSDARG00000089943",0
"ENSDARG00000096536",0
"ENSDARG00000077533",72
"ENSDARG00000030563",5
"ENSDARG00000026387",8
"ENSDARG00000070495",0
"ENSDARG00000084766",0
"ENSDARG00000034785",7
"ENSDARG00000070512",17
"ENSDARG00000070504",0
"ENSDARG00000062057",0
"ENSDARG00000067992",0
"ENSDARG00000103508",0
"ENSDARG00000070502",0
"ENSDARG00000037679",4
"ENSDARG00000076833",39
"ENSDARG00000012297",17
"ENSDARG00000087107",0
"ENSDARG00000099342",6
"ENSDARG00000008487",459
"ENSDARG00000084839",0
"ENSDARG00000100507",0
"ENSDARG00000070239",50
"ENSDARG00000074379",0
"ENSDARG00000062854",7
"ENSDARG00000112849",0
"ENSDARG00000113410",0
"ENSDARG00000092242",0
"ENSDARG00000092200",0
"ENSDARG00000093636",0
"ENSDARG00000095482",0
"ENSDARG00000094981",0
"ENSDARG00000037619",0
"ENSDARG00000062585",7
"ENSDARG00000074213",13
"ENSDARG00000062606",8
"ENSDARG00000077198",0
"ENSDARG00000007678",138
"ENSDARG00000089930",8
"ENSDARG00000078057",24
"ENSDARG00000070448",64
"ENSDARG00000070449",62
"ENSDARG00000042988",108
"ENSDARG00000096506",0
"ENSDARG00000070452",17
"ENSDARG00000070454",13
"ENSDARG00000096515",0
"ENSDARG00000038114",0
"ENSDARG00000008637",47
"ENSDARG00000091609",1
"ENSDARG00000002634",13
"ENSDARG00000062467",7
"ENSDARG00000032808",1
"ENSDARG00000078318",0
"ENSDARG00000018997",20
"ENSDARG00000099771",0
"ENSDARG00000045620",12
"ENSDARG00000045618",57
"ENSDARG00000057248",14
"ENSDARG00000017985",7
"ENSDARG00000113585",0
"ENSDARG00000106508",0
"ENSDARG00000117227",0
"ENSDARG00000104707",0
"ENSDARG00000102049",0
"ENSDARG00000116228",0
"ENSDARG00000099729",119
"ENSDARG00000105122",0
"ENSDARG00000098668",0
"ENSDARG00000098053",0
"ENSDARG00000102604",0
"ENSDARG00000102339",0
"ENSDARG00000089805",69
"ENSDARG00000117726",0
"ENSDARG00000117541",5
"ENSDARG00000112668",0
"ENSDARG00000110084",0
"ENSDARG00000078525",1
"ENSDARG00000079626",54
"ENSDARG00000057114",11
"ENSDARG00000009026",137
"ENSDARG00000085400",0
"ENSDARG00000014273",119
"ENSDARG00000104795",0
"ENSDARG00000056806",2
"ENSDARG00000056797",15
"ENSDARG00000062341",24
"ENSDARG00000107022",0
"ENSDARG00000056742",15
"ENSDARG00000037576",0
"ENSDARG00000070431",27
"ENSDARG00000022690",14
"ENSDARG00000056677",2
"ENSDARG00000012903",5
"ENSDARG00000003398",37
"ENSDARG00000074867",21
"ENSDARG00000109597",7
"ENSDARG00000111274",0
"ENSDARG00000110922",0
"ENSDARG00000116310",0
"ENSDARG00000109592",0
"ENSDARG00000117482",0
"ENSDARG00000103921",0
"ENSDARG00000114198",0
"ENSDARG00000106947",0
"ENSDARG00000039063",0
"ENSDARG00000113383",0
"ENSDARG00000109748",0
"ENSDARG00000116279",0
"ENSDARG00000109910",0
"ENSDARG00000116174",0
"ENSDARG00000116266",0
"ENSDARG00000111171",0
"ENSDARG00000111710",0
"ENSDARG00000111723",0
"ENSDARG00000115042",0
"ENSDARG00000114262",0
"ENSDARG00000078898",143
"ENSDARG00000007534",0
"ENSDARG00000077804",17
"ENSDARG00000013881",18
"ENSDARG00000079317",25
"ENSDARG00000117428",17
"ENSDARG00000106258",0
"ENSDARG00000078854",2
"ENSDARG00000108223",0
"ENSDARG00000007356",0
"ENSDARG00000078599",20
"ENSDARG00000115704",10
"ENSDARG00000109375",0
"ENSDARG00000017119",16
"ENSDARG00000070412",18
"ENSDARG00000034105",41
"ENSDARG00000062198",118
"ENSDARG00000034817",10
"ENSDARG00000056504",3
"ENSDARG00000108673",0
"ENSDARG00000110937",0
"ENSDARG00000117129",0
"ENSDARG00000116147",0
"ENSDARG00000116406",0
"ENSDARG00000111254",0
"ENSDARG00000113731",0
"ENSDARG00000115569",0
"ENSDARG00000113149",0
"ENSDARG00000116958",0
"ENSDARG00000092109",0
"ENSDARG00000017591",748
"ENSDARG00000092708",0
"ENSDARG00000017905",20
"ENSDARG00000030514",10
"ENSDARG00000056400",0
"ENSDARG00000042937",0
"ENSDARG00000092600",2
"ENSDARG00000027355",413
"ENSDARG00000092022",0
"ENSDARG00000056381",5
"ENSDARG00000056376",0
"ENSDARG00000056369",1
"ENSDARG00000011023",0
"ENSDARG00000003046",13
"ENSDARG00000095697",0
"ENSDARG00000016065",0
"ENSDARG00000062132",17
"ENSDARG00000117687",0
"ENSDARG00000117295",0
"ENSDARG00000094943",0
"ENSDARG00000115616",0
"ENSDARG00000037545",1
"ENSDARG00000062122",10
"ENSDARG00000095111",0
"ENSDARG00000008287",8
"ENSDARG00000015495",36
"ENSDARG00000062081",18
"ENSDARG00000018178",21
"ENSDARG00000093886",0
"ENSDARG00000056163",0
"ENSDARG00000079488",0
"ENSDARG00000062055",27
"ENSDARG00000074275",48
"ENSDARG00000075330",0
"ENSDARG00000006392",10
"ENSDARG00000073902",38
"ENSDARG00000019945",108
"ENSDARG00000086957",1
"ENSDARG00000056151",112
"ENSDARG00000061985",52
"ENSDARG00000061981",11
"ENSDARG00000003631",47
"ENSDARG00000056133",6
"ENSDARG00000070321",0
"ENSDARG00000017744",46
"ENSDARG00000070320",3
"ENSDARG00000061952",50
"ENSDARG00000061936",0
"ENSDARG00000006434",0
"ENSDARG00000037484",0
"ENSDARG00000094729",0
"ENSDARG00000095388",0
"ENSDARG00000085360",0
"ENSDARG00000037487",21
"ENSDARG00000008068",1
"ENSDARG00000077648",2
"ENSDARG00000096580",0
"ENSDARG00000079250",11
"ENSDARG00000019986",9
"ENSDARG00000080019",18
"ENSDARG00000099995",25
"ENSDARG00000070278",10
"ENSDARG00000061830",0
"ENSDARG00000041776",41
"ENSDARG00000095632",0
"ENSDARG00000037455",27
"ENSDARG00000093816",0
"ENSDARG00000070266",74
"ENSDARG00000037429",16
"ENSDARG00000055874",259
"ENSDARG00000055876",4
"ENSDARG00000092321",0
"ENSDARG00000061786",4
"ENSDARG00000094202",0
"ENSDARG00000109806",0
"ENSDARG00000112850",0
"ENSDARG00000110242",0
"ENSDARG00000115895",0
"ENSDARG00000061459",58
"ENSDARG00000037411",1
"ENSDARG00000084908",0
"ENSDARG00000037410",0
"ENSDARG00000037409",2
"ENSDARG00000070173",104
"ENSDARG00000052782",0
"ENSDARG00000037406",11
"ENSDARG00000034773",25
"ENSDARG00000033273",0
"ENSDARG00000055439",0
"ENSDARG00000055443",17
"ENSDARG00000112783",0
"ENSDARG00000095593",0
"ENSDARG00000037383",3
"ENSDARG00000030759",4
"ENSDARG00000079074",2
"ENSDARG00000061504",55
"ENSDARG00000000606",2
"ENSDARG00000107258",0
"ENSDARG00000087224",0
"ENSDARG00000052764",5
"ENSDARG00000092275",0
"ENSDARG00000055559",16
"ENSDARG00000114954",0
"ENSDARG00000115778",13
"ENSDARG00000026871",12
"ENSDARG00000016470",9
"ENSDARG00000103166",2
"ENSDARG00000091660",6
"ENSDARG00000038056",8
"ENSDARG00000002406",0
"ENSDARG00000034007",129
"ENSDARG00000061143",36
"ENSDARG00000034896",130
"ENSDARG00000116099",0
"ENSDARG00000037378",1
"ENSDARG00000012672",17
"ENSDARG00000093064",4
