	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000061185	0.0202103763333348	0.0434399620000026	0.0481100786666691	-0.0476392699999977	8.72646445773333	0.255901944302029	0.90078120128622	0.999840272722614
ENSDARG00000062361	0.0961941333333325	0.0171573593333321	0.0783346486666652	0.110044034333331	10.1263870674667	0.255657186018478	0.900932978286516	0.999840272722614
ENSDARG00000060430	-0.0679722349999992	-0.00645412933333223	-0.0699545693333334	-0.0621710916666665	7.47818396493333	0.255578315570526	0.90098187493376	0.999840272722614
ENSDARG00000036995	-0.00319395966666569	-0.0907808266666663	-0.126186744666667	-0.00902127599999858	8.59707457126667	0.255557665925809	0.900994675978177	0.999840272722614
ENSDARG00000038561	0.00933403300000002	-0.00895513533333325	0.00128840333333446	-0.226026037333333	5.3479736004	0.255519260341058	0.901018483173387	0.999840272722614
ENSDARG00000094003	0.0833102683333342	0.178430590333335	0.0965220033333338	-0.0105726719999995	6.683617286	0.255271989033836	0.901171731493075	0.999840272722614
ENSDARG00000100481	0.0217288303333341	0.0636646479999996	0.0838127956666668	0.0601687513333324	9.40692446406667	0.255266544247384	0.90117510530997	0.999840272722614
ENSDARG00000059960	-0.0783387163333309	0.0408578696666684	0.00380473999999964	-0.0259426729999976	9.48350993006667	0.255263879362992	0.901176756573612	0.999840272722614
ENSDARG00000070674	0.0220883699999987	-0.0209614400000024	-0.0419290866666664	-0.0472794333333333	10.488566092	0.255234734076714	0.901194815674447	0.999840272722614
ENSDARG00000104632	0.0617835943333338	0.0356854730000009	0.117627305333333	0.152560479666667	6.9511025638	0.255233908513012	0.901195327201646	0.999840272722614
ENSDARG00000018840	-0.0773945373333333	-0.0391787023333325	-0.053087709999998	0.0208584856666665	9.71412124486667	0.255110778061856	0.901271612992751	0.999840272722614
ENSDARG00000052138	0.0218715000000032	0.0822457866666682	0.0212325500000006	-0.034261168333332	10.1992927836667	0.255096881339745	0.90128022186701	0.999840272722614
ENSDARG00000002037	0.0436734816666675	-0.0314223409999999	0.0625041780000011	-0.024176787	7.71518229566667	0.254911027807408	0.901395339095237	0.999840272722614
ENSDARG00000076624	-0.0652028440000016	0.0317425363333328	-0.0364521236666686	-0.0197591493333338	8.7810115312	0.254838684433049	0.901440139798674	0.999840272722614
ENSDARG00000060539	-0.267707662000002	-0.0659856483333341	-0.157028393000001	-0.0722943470000006	6.6425975546	0.254758090776579	0.901490044039915	0.999840272722614
