"plate_id" "is_VC" "endpoint" "dose" "control_median" "endpoint_value_norm"
"1" "TGSH" 1 "a" "Control" 3.65438352871674 5.30546358594153
"2" "TGSH" 1 "a" "Control" 3.65438352871674 -6.36754121530307
"3" "TGSH" 1 "a" "Control" 3.65438352871674 -5.26819782135313
"4" "TGSH" 1 "a" "Control" 3.65438352871674 11.9333452837881
"5" "TGSH" 1 "a" "Control" 3.65438352871674 -1.9251783469568
"6" "TGSH" 1 "a" "Control" 3.65438352871674 0
"7" "TGSH" 1 "a" "Control" 3.65438352871674 5.98623823011497
"8" "TGSH" 1 "a" "Control" 3.65438352871674 6.21081215891657
"9" "TGSH" 1 "a" "Control" 3.65438352871674 -5.41623187415077
"10" "TGSH" 0 "a" "Dose1" 3.65438352871674 11.6670861158751
"11" "TGSH" 0 "a" "Dose1" 3.65438352871674 2.51942553943425
"12" "TGSH" 0 "a" "Dose1" 3.65438352871674 0.460512329951834
"13" "TGSH" 0 "a" "Dose1" 3.65438352871674 10.0770714905303
"14" "TGSH" 0 "a" "Dose1" 3.65438352871674 10.886097410953
"15" "TGSH" 0 "a" "Dose1" 3.65438352871674 14.6529350242607
"16" "TGSH" 0 "a" "Dose1" 3.65438352871674 3.02823353091166
"17" "TGSH" 0 "a" "Dose1" 3.65438352871674 -0.450857226603985
"18" "TGSH" 0 "a" "Dose1" 3.65438352871674 6.17033250580876
"19" "TGSH" 0 "a" "Dose2" 3.65438352871674 -2.92254752735195
"20" "TGSH" 0 "a" "Dose2" 3.65438352871674 -11.4674022938493
"21" "TGSH" 0 "a" "Dose2" 3.65438352871674 3.40451926718726
"22" "TGSH" 0 "a" "Dose2" 3.65438352871674 4.84733376278994
"23" "TGSH" 0 "a" "Dose2" 3.65438352871674 3.2105269853091
"24" "TGSH" 0 "a" "Dose2" 3.65438352871674 0.732033302302559
"25" "TGSH" 0 "a" "Dose2" 3.65438352871674 -0.637011564679657
"26" "TGSH" 0 "a" "Dose2" 3.65438352871674 -0.602351773581278
"27" "TGSH" 0 "a" "Dose2" 3.65438352871674 1.08690377867378
"28" "TGSH" 0 "a" "Dose3" 3.65438352871674 18.0332750690299
"29" "TGSH" 0 "a" "Dose3" 3.65438352871674 0.417158865820211
"30" "TGSH" 0 "a" "Dose3" 3.65438352871674 -3.76035377889044
"31" "TGSH" 0 "a" "Dose3" 3.65438352871674 -0.821514994266215
