"summary.plate_id" "summary.embryo_id" "summary.is_VC" "summary.endpoint" "summary.endpoint_value"
"1" "TGSH" "Control_1" 1 "a" 5097.45
"2" "TGSH" "Control_1" 1 "b" 4212.6
"3" "TGSH" "Control_1" 1 "c" 5375.5
"4" "TGSH" "Control_1" 1 "d" 4857.9
"5" "TGSH" "Control_1" 1 "e" 6345.2
"6" "TGSH" "Control_1" 1 "f" 4526.6
"7" "TGSH" "Control_2" 1 "a" 3895.8
"8" "TGSH" "Control_2" 1 "b" 4205.85
"9" "TGSH" "Control_2" 1 "c" 4691.05
"10" "TGSH" "Control_2" 1 "d" 3121.65
"11" "TGSH" "Control_2" 1 "e" 4901.75
"12" "TGSH" "Control_2" 1 "f" 5056.05
"13" "TGSH" "Control_3" 1 "a" 3995.7
"14" "TGSH" "Control_3" 1 "b" 3947.2
"15" "TGSH" "Control_3" 1 "c" 4750
"16" "TGSH" "Control_3" 1 "d" 3050.55
"17" "TGSH" "Control_3" 1 "e" 4604.1
"18" "TGSH" "Control_3" 1 "f" 1737.65
"19" "TGSH" "Control_4" 1 "a" 5938.05
"20" "TGSH" "Control_4" 1 "b" 3218.9
"21" "TGSH" "Control_4" 1 "c" 6142.95
"22" "TGSH" "Control_4" 1 "d" 4440.55
"23" "TGSH" "Control_4" 1 "e" 6495
"24" "TGSH" "Control_4" 1 "f" 4602.5
"25" "TGSH" "Control_5" 1 "a" 4315.5
"26" "TGSH" "Control_5" 1 "b" 3497.15
"27" "TGSH" "Control_5" 1 "c" 5444.35
"28" "TGSH" "Control_5" 1 "d" 1383.05
"29" "TGSH" "Control_5" 1 "e" 4154.95
"30" "TGSH" "Control_5" 1 "f" 2528.6
"31" "TGSH" "Control_6" 1 "a" 4511.15
"32" "TGSH" "Control_6" 1 "b" 5268.35
"33" "TGSH" "Control_6" 1 "c" 6107.45
"34" "TGSH" "Control_6" 1 "d" 3686.7
"35" "TGSH" "Control_6" 1 "e" 2278.6
"36" "TGSH" "Control_6" 1 "f" 2652.75
"37" "TGSH" "Control_7" 1 "a" 5178
"38" "TGSH" "Control_7" 1 "b" 4998.65
"39" "TGSH" "Control_7" 1 "c" 5856.25
"40" "TGSH" "Control_7" 1 "d" 3615.6
"41" "TGSH" "Control_7" 1 "e" 5717.25
"42" "TGSH" "Control_7" 1 "f" 3369.9
"43" "TGSH" "Control_8" 1 "a" 5204.85
"44" "TGSH" "Control_8" 1 "b" 1849.6
"45" "TGSH" "Control_8" 1 "c" 6193.7
"46" "TGSH" "Control_8" 1 "d" 3803.6
"47" "TGSH" "Control_8" 1 "e" 5853.9
"48" "TGSH" "Control_8" 1 "f" 3543.65
"49" "TGSH" "Control_9" 1 "a" 3982.1
"50" "TGSH" "Control_9" 1 "b" 5241.2
"51" "TGSH" "Control_9" 1 "c" 5046.15
"52" "TGSH" "Control_9" 1 "d" 858.3
"53" "TGSH" "Control_9" 1 "e" 4049.45
"54" "TGSH" "Control_9" 1 "f" 3003.25
"55" "TGSH" "Dose1_1" 0 "a" 5901.75
"56" "TGSH" "Dose1_1" 0 "b" 6165.95
"57" "TGSH" "Dose1_1" 0 "c" 7696.55
"58" "TGSH" "Dose1_1" 0 "d" 1711.15
"59" "TGSH" "Dose1_1" 0 "e" 7101.6
"60" "TGSH" "Dose1_1" 0 "f" 4186.35
"61" "TGSH" "Dose1_2" 0 "a" 4780.65
"62" "TGSH" "Dose1_2" 0 "b" 870.65
"63" "TGSH" "Dose1_2" 0 "c" 5870.95
