A2,Counts
ENSDARG00000002463,16
ENSDARG00000002467,23
ENSDARG00000002479,44
ENSDARG00000002483,10
ENSDARG00000002487,106
ENSDARG00000002494,116
ENSDARG00000002506,41
ENSDARG00000002507,31
ENSDARG00000002508,60
ENSDARG00000002509,4
ENSDARG00000002510,8
ENSDARG00000002523,260
ENSDARG00000002533,34
ENSDARG00000002536,152
ENSDARG00000002538,91
ENSDARG00000002546,50
ENSDARG00000002549,60
ENSDARG00000002552,290
ENSDARG00000002564,99
ENSDARG00000002571,113
ENSDARG00000002576,54
ENSDARG00000002582,70
ENSDARG00000002587,478
ENSDARG00000002589,879
ENSDARG00000002591,62
ENSDARG00000002593,8
ENSDARG00000002597,0
ENSDARG00000002600,140
ENSDARG00000002601,2
ENSDARG00000002607,36
ENSDARG00000002609,54
ENSDARG00000002613,4
ENSDARG00000002632,179
ENSDARG00000002634,56
ENSDARG00000002635,203
ENSDARG00000002642,46
ENSDARG00000002644,85
ENSDARG00000002656,137
ENSDARG00000002659,187
ENSDARG00000002663,77
ENSDARG00000002666,2
ENSDARG00000002670,57
ENSDARG00000002682,104
ENSDARG00000002685,0
ENSDARG00000002690,85
ENSDARG00000002696,538
ENSDARG00000002701,16
ENSDARG00000002707,0
ENSDARG00000002710,1423
ENSDARG00000002720,68
ENSDARG00000002722,0
ENSDARG00000002728,3
ENSDARG00000002731,326
ENSDARG00000002732,31
ENSDARG00000002745,688
ENSDARG00000002748,71
ENSDARG00000002750,58
ENSDARG00000002754,26
ENSDARG00000002758,1331
ENSDARG00000002760,16
ENSDARG00000002764,36
ENSDARG00000002768,3811
ENSDARG00000002771,48
ENSDARG00000002779,7
ENSDARG00000002787,181
ENSDARG00000002790,432
ENSDARG00000002791,2308
ENSDARG00000002792,215
ENSDARG00000002795,21
ENSDARG00000002797,0
ENSDARG00000002798,25
ENSDARG00000002816,78
ENSDARG00000002826,52
ENSDARG00000002830,15
ENSDARG00000002831,21
ENSDARG00000002840,155
ENSDARG00000002847,38
ENSDARG00000002872,27
ENSDARG00000002877,233
ENSDARG00000002880,185
ENSDARG00000002894,44
ENSDARG00000002897,52
ENSDARG00000002909,103
ENSDARG00000002912,37
ENSDARG00000002916,155
ENSDARG00000002917,27
ENSDARG00000002933,32
ENSDARG00000002937,203
ENSDARG00000002945,30
ENSDARG00000002947,73
ENSDARG00000002949,230
ENSDARG00000002952,101
ENSDARG00000002956,20
ENSDARG00000002959,0
ENSDARG00000002967,147
ENSDARG00000002968,448
ENSDARG00000002970,96
ENSDARG00000002971,75
ENSDARG00000002986,71
ENSDARG00000002988,309
ENSDARG00000002991,69
ENSDARG00000002994,121
ENSDARG00000003008,159
ENSDARG00000003017,54
ENSDARG00000003020,37
ENSDARG00000003021,73
ENSDARG00000003022,20
ENSDARG00000003027,12
ENSDARG00000003032,1979
ENSDARG00000003035,941
ENSDARG00000003041,48
ENSDARG00000003046,72
ENSDARG00000003054,0
ENSDARG00000003058,104
ENSDARG00000003061,44
ENSDARG00000003068,167
ENSDARG00000003069,35
ENSDARG00000003077,33
ENSDARG00000003081,10292
ENSDARG00000003084,39
ENSDARG00000003085,22
ENSDARG00000003087,213
ENSDARG00000003090,0
ENSDARG00000003091,86
ENSDARG00000003098,616
ENSDARG00000003109,39
ENSDARG00000003113,454
ENSDARG00000003127,128
ENSDARG00000003132,48
ENSDARG00000003142,89
ENSDARG00000003144,28
ENSDARG00000003146,34
ENSDARG00000003151,572
ENSDARG00000003153,33
ENSDARG00000003157,52
ENSDARG00000003165,97
ENSDARG00000003167,42
ENSDARG00000003169,675
