Identifier,EE2-CC-A
ENSDARG00000092487,0
ENSDARG00000035646,0
ENSDARG00000016710,9
ENSDARG00000092683,0
ENSDARG00000095523,0
ENSDARG00000023479,1
ENSDARG00000091930,0
ENSDARG00000094737,1
ENSDARG00000058839,0
ENSDARG00000117709,0
ENSDARG00000117438,0
ENSDARG00000101067,0
ENSDARG00000042041,0
ENSDARG00000113218,0
ENSDARG00000093043,1
ENSDARG00000110614,0
ENSDARG00000109611,0
ENSDARG00000116986,0
ENSDARG00000091624,6
ENSDARG00000090654,22
ENSDARG00000069958,0
ENSDARG00000067546,2
ENSDARG00000103830,2
ENSDARG00000099411,9
ENSDARG00000091169,1
ENSDARG00000073808,2
ENSDARG00000078938,0
ENSDARG00000106357,0
ENSDARG00000063288,9
ENSDARG00000095464,13
ENSDARG00000025820,1
ENSDARG00000075416,4
ENSDARG00000068915,0
ENSDARG00000095118,0
ENSDARG00000095661,0
ENSDARG00000117296,0
ENSDARG00000094523,3
ENSDARG00000094855,0
ENSDARG00000092211,0
ENSDARG00000097106,0
ENSDARG00000097376,0
ENSDARG00000096919,0
ENSDARG00000090035,19
ENSDARG00000086512,1
ENSDARG00000117617,2
ENSDARG00000114825,14
ENSDARG00000010602,0
ENSDARG00000078272,6
ENSDARG00000020204,4
ENSDARG00000076611,8
ENSDARG00000028346,4
ENSDARG00000114054,0
ENSDARG00000079089,0
ENSDARG00000090789,0
ENSDARG00000053019,6
ENSDARG00000078315,8
ENSDARG00000100948,0
ENSDARG00000079588,5
ENSDARG00000107096,0
ENSDARG00000005320,2
ENSDARG00000098365,1
ENSDARG00000068910,3
ENSDARG00000113708,0
ENSDARG00000093726,0
ENSDARG00000094526,15
ENSDARG00000107029,0
ENSDARG00000094172,0
ENSDARG00000078551,3
ENSDARG00000035634,25
ENSDARG00000058608,0
ENSDARG00000058605,4
ENSDARG00000068863,1
ENSDARG00000083432,0
ENSDARG00000062780,0
ENSDARG00000076137,0
ENSDARG00000015905,12
ENSDARG00000058533,12
ENSDARG00000002300,17
ENSDARG00000018902,28
ENSDARG00000062711,8
ENSDARG00000002016,8
ENSDARG00000107236,0
ENSDARG00000035630,5
ENSDARG00000027552,22
ENSDARG00000005786,2
ENSDARG00000027586,5
ENSDARG00000111436,1
ENSDARG00000083224,1
ENSDARG00000082169,0
ENSDARG00000081232,0
ENSDARG00000080347,0
ENSDARG00000062655,1
ENSDARG00000035631,10
ENSDARG00000027141,46
ENSDARG00000058389,5
ENSDARG00000035632,0
ENSDARG00000035633,5
ENSDARG00000059729,10
ENSDARG00000074309,5
ENSDARG00000103737,0
ENSDARG00000114308,0
ENSDARG00000100573,8
ENSDARG00000068011,0
ENSDARG00000117407,3
ENSDARG00000068822,91
ENSDARG00000068820,53
ENSDARG00000012281,30
ENSDARG00000032039,2
ENSDARG00000035625,35
ENSDARG00000074581,35
ENSDARG00000087166,0
ENSDARG00000101482,2
ENSDARG00000062631,1
ENSDARG00000104556,0
ENSDARG00000062646,75
ENSDARG00000104490,0
ENSDARG00000016128,14
ENSDARG00000018907,16
ENSDARG00000068759,6
ENSDARG00000079611,8
ENSDARG00000083583,0
ENSDARG00000097882,0
ENSDARG00000097046,0
ENSDARG00000031891,5
ENSDARG00000036293,0
ENSDARG00000094470,0
ENSDARG00000075923,2
ENSDARG00000042069,16
ENSDARG00000060751,5
ENSDARG00000073737,27
ENSDARG00000114460,0
ENSDARG00000086327,24
ENSDARG00000068742,0
ENSDARG00000084148,0
ENSDARG00000116633,0
ENSDARG00000058365,28
ENSDARG00000105422,4
ENSDARG00000035622,101
ENSDARG00000062573,0
ENSDARG00000035618,6
ENSDARG00000062579,6
ENSDARG00000101452,2
ENSDARG00000102387,0
ENSDARG00000062601,0
ENSDARG00000114637,0
ENSDARG00000095272,1
ENSDARG00000023267,0
ENSDARG00000006832,15
ENSDARG00000102093,0
ENSDARG00000113726,0
ENSDARG00000095235,0
ENSDARG00000092687,1
ENSDARG00000058232,20
ENSDARG00000075347,5
ENSDARG00000093201,1
ENSDARG00000018508,13
ENSDARG00000013058,2
ENSDARG00000059424,1
ENSDARG00000013434,10
ENSDARG00000062538,0
ENSDARG00000012468,13
ENSDARG00000010108,4
ENSDARG00000029250,5
ENSDARG00000035608,11
ENSDARG00000035607,3
ENSDARG00000062511,8
ENSDARG00000014817,75
ENSDARG00000086007,0
ENSDARG00000068650,15
ENSDARG00000017391,0
ENSDARG00000062040,1
ENSDARG00000095288,31
ENSDARG00000092739,0
ENSDARG00000061994,17
ENSDARG00000010591,5
ENSDARG00000061968,0
ENSDARG00000017115,15
ENSDARG00000061960,1
ENSDARG00000035606,1
ENSDARG00000068344,3
ENSDARG00000004130,1
ENSDARG00000090797,0
ENSDARG00000061941,1
ENSDARG00000061921,0
ENSDARG00000035605,9
ENSDARG00000061915,0
ENSDARG00000061901,3
ENSDARG00000095754,6
ENSDARG00000057017,0
ENSDARG00000028857,1
ENSDARG00000107888,0
ENSDARG00000056855,8
ENSDARG00000086374,0
ENSDARG00000003144,10
ENSDARG00000056842,0
ENSDARG00000056833,1
ENSDARG00000035603,0
ENSDARG00000035602,4
ENSDARG00000035601,0
ENSDARG00000056780,0
ENSDARG00000035598,53
ENSDARG00000115014,0
ENSDARG00000105023,0
ENSDARG00000095259,0
ENSDARG00000092834,0
ENSDARG00000035596,59
ENSDARG00000008032,26
ENSDARG00000035595,1
ENSDARG00000095509,0
ENSDARG00000090890,0
ENSDARG00000110362,0
ENSDARG00000109654,0
ENSDARG00000061819,4
ENSDARG00000083427,0
ENSDARG00000068279,0
ENSDARG00000002405,9
ENSDARG00000005104,22
ENSDARG00000003281,17
ENSDARG00000093563,4
ENSDARG00000035579,2
ENSDARG00000011065,74
ENSDARG00000061806,0
ENSDARG00000094417,0
ENSDARG00000035578,6
ENSDARG00000035577,29
ENSDARG00000061784,1
ENSDARG00000061769,0
ENSDARG00000078002,4
ENSDARG00000093719,0
ENSDARG00000093599,0
ENSDARG00000092793,0
ENSDARG00000095348,0
ENSDARG00000109082,0
ENSDARG00000003403,2
ENSDARG00000091976,0
ENSDARG00000012776,18
ENSDARG00000093081,0
ENSDARG00000076998,4
ENSDARG00000061746,4
ENSDARG00000079624,15
ENSDARG00000017086,10
ENSDARG00000008592,6
ENSDARG00000034138,0
ENSDARG00000015314,63
ENSDARG00000094151,0
ENSDARG00000062463,2
ENSDARG00000062457,5
ENSDARG00000058128,115
ENSDARG00000038956,1
ENSDARG00000080589,0
ENSDARG00000093708,0
ENSDARG00000058120,0
ENSDARG00000094418,0
ENSDARG00000092228,0
ENSDARG00000093947,2
ENSDARG00000092602,0
ENSDARG00000068624,2
ENSDARG00000058105,798
ENSDARG00000058103,1
ENSDARG00000058088,31
ENSDARG00000058068,5
ENSDARG00000091926,0
ENSDARG00000020482,46
ENSDARG00000035610,19
ENSDARG00000035609,0
ENSDARG00000093945,31
ENSDARG00000016536,0
ENSDARG00000010331,0
ENSDARG00000039374,6
ENSDARG00000075491,11
ENSDARG00000094025,1
ENSDARG00000062326,278
ENSDARG00000035540,5
ENSDARG00000099624,48
ENSDARG00000100436,0
ENSDARG00000099449,9
ENSDARG00000101039,0
ENSDARG00000035549,21
ENSDARG00000089271,31
ENSDARG00000015524,49
ENSDARG00000092060,0
ENSDARG00000095150,0
ENSDARG00000093383,0
ENSDARG00000035550,0
ENSDARG00000035551,2
ENSDARG00000062362,5
ENSDARG00000080223,0
ENSDARG00000035552,6
ENSDARG00000094760,10
ENSDARG00000011929,16
ENSDARG00000062376,13
ENSDARG00000094576,0
ENSDARG00000032737,3
ENSDARG00000092464,3
ENSDARG00000093389,0
ENSDARG00000094279,0
ENSDARG00000011783,9
ENSDARG00000010752,20
ENSDARG00000110136,0
ENSDARG00000013382,28
ENSDARG00000012432,19
ENSDARG00000004587,16
ENSDARG00000004616,2
ENSDARG00000035553,3
ENSDARG00000110179,0
ENSDARG00000004082,2
ENSDARG00000062192,3
ENSDARG00000108746,0
ENSDARG00000016867,19
ENSDARG00000025275,1
ENSDARG00000011283,0
ENSDARG00000092718,0
ENSDARG00000091944,1
ENSDARG00000068503,10
ENSDARG00000093509,0
ENSDARG00000091936,1
ENSDARG00000035555,5
ENSDARG00000091969,0
ENSDARG00000062221,10
ENSDARG00000112232,0
ENSDARG00000002479,2
ENSDARG00000068480,24
ENSDARG00000112810,0
ENSDARG00000029003,24
ENSDARG00000035556,23
ENSDARG00000012387,79
ENSDARG00000016519,1
ENSDARG00000035557,61
ENSDARG00000035558,16
ENSDARG00000035559,19
ENSDARG00000092931,0
ENSDARG00000035560,0
ENSDARG00000028542,17
ENSDARG00000057855,27
ENSDARG00000062271,4
ENSDARG00000057706,4
ENSDARG00000035562,3
ENSDARG00000010770,15
ENSDARG00000096970,0
ENSDARG00000003032,203
ENSDARG00000095538,13
ENSDARG00000093078,1
ENSDARG00000030887,7
ENSDARG00000034534,36
ENSDARG00000094852,0
ENSDARG00000094537,2
ENSDARG00000029039,0
ENSDARG00000097282,0
ENSDARG00000011701,4
ENSDARG00000035563,23
ENSDARG00000085740,0
ENSDARG00000026476,36
ENSDARG00000035564,23
ENSDARG00000081904,0
ENSDARG00000002830,2
ENSDARG00000035565,4
ENSDARG00000022772,1
ENSDARG00000093639,0
ENSDARG00000062314,0
ENSDARG00000020621,23
ENSDARG00000078803,14
ENSDARG00000020465,65
ENSDARG00000079816,1
ENSDARG00000076119,9
ENSDARG00000019207,0
ENSDARG00000040002,10
ENSDARG00000002264,14
ENSDARG00000062083,5
ENSDARG00000078807,4
ENSDARG00000013500,6
ENSDARG00000102865,3
ENSDARG00000105278,4
ENSDARG00000103454,8
ENSDARG00000033498,3
ENSDARG00000081470,0
ENSDARG00000093253,5
ENSDARG00000026726,122
ENSDARG00000092460,1
ENSDARG00000095684,0
ENSDARG00000094540,1
ENSDARG00000035569,6
ENSDARG00000030311,0
ENSDARG00000056386,5
ENSDARG00000018898,27
ENSDARG00000002986,15
ENSDARG00000035570,10
ENSDARG00000035571,14
ENSDARG00000061600,8
ENSDARG00000039181,1
ENSDARG00000092641,0
ENSDARG00000081105,0
ENSDARG00000068194,29
ENSDARG00000094696,0
ENSDARG00000013813,15
ENSDARG00000094488,29
ENSDARG00000007276,361
ENSDARG00000027620,1
ENSDARG00000092556,1
ENSDARG00000004251,24
ENSDARG00000061641,0
ENSDARG00000020024,2
ENSDARG00000056477,7
ENSDARG00000018918,2
ENSDARG00000035573,19
ENSDARG00000061651,5
ENSDARG00000003091,7
ENSDARG00000016514,5
ENSDARG00000021859,0
ENSDARG00000020952,22
ENSDARG00000061688,71
ENSDARG00000056550,9
ENSDARG00000068227,0
ENSDARG00000023958,3
ENSDARG00000093823,0
ENSDARG00000091872,2
ENSDARG00000036481,19
ENSDARG00000077653,34
ENSDARG00000079387,2
ENSDARG00000054540,4
ENSDARG00000054533,22
ENSDARG00000068233,2
ENSDARG00000088663,6
ENSDARG00000096925,0
ENSDARG00000061509,0
ENSDARG00000035515,0
ENSDARG00000005943,6
ENSDARG00000097723,0
ENSDARG00000094173,2
ENSDARG00000116547,0
ENSDARG00000061541,1
ENSDARG00000004392,1
ENSDARG00000115201,0
ENSDARG00000056281,3
ENSDARG00000061547,58
ENSDARG00000035519,300
ENSDARG00000044074,13
ENSDARG00000056284,0
ENSDARG00000035521,15
ENSDARG00000092987,3
ENSDARG00000079497,10
ENSDARG00000035514,2
ENSDARG00000014962,26
ENSDARG00000039319,2
ENSDARG00000056200,3
ENSDARG00000056204,10
ENSDARG00000056211,1
ENSDARG00000002771,4
ENSDARG00000035532,15
ENSDARG00000035533,0
ENSDARG00000061468,8
ENSDARG00000024116,8
ENSDARG00000097931,1
ENSDARG00000068262,19
ENSDARG00000061486,1
ENSDARG00000101234,3
ENSDARG00000114540,0
ENSDARG00000056245,1
ENSDARG00000097795,12
ENSDARG00000021948,68
ENSDARG00000030173,2
ENSDARG00000075123,7
ENSDARG00000077960,32
ENSDARG00000087143,10
ENSDARG00000091136,7
ENSDARG00000074712,3
ENSDARG00000056156,11
ENSDARG00000008026,37
ENSDARG00000056036,43
ENSDARG00000068166,1
ENSDARG00000056047,0
ENSDARG00000027750,20
ENSDARG00000076592,2
ENSDARG00000092567,0
ENSDARG00000112913,0
ENSDARG00000117557,0
ENSDARG00000021735,7
ENSDARG00000068157,7
ENSDARG00000068148,8
ENSDARG00000100923,0
ENSDARG00000035505,7
ENSDARG00000033953,0
ENSDARG00000035506,2
ENSDARG00000025728,60
ENSDARG00000026048,27
ENSDARG00000068130,0
ENSDARG00000030961,1
ENSDARG00000035507,5
ENSDARG00000035508,9
ENSDARG00000068122,0
ENSDARG00000095308,0
ENSDARG00000110885,0
ENSDARG00000035018,29
ENSDARG00000014463,17
ENSDARG00000068114,0
ENSDARG00000017320,17
ENSDARG00000061243,0
ENSDARG00000081453,0
ENSDARG00000082755,0
ENSDARG00000080032,0
ENSDARG00000055722,10
ENSDARG00000055712,0
ENSDARG00000055708,39
ENSDARG00000061110,1
ENSDARG00000007709,1
ENSDARG00000111283,0
ENSDARG00000029124,1
ENSDARG00000061101,0
ENSDARG00000086903,0
ENSDARG00000013051,0
ENSDARG00000094323,2
ENSDARG00000061095,0
ENSDARG00000068096,2
ENSDARG00000061093,2
ENSDARG00000002792,12
ENSDARG00000008840,4
ENSDARG00000029406,21
ENSDARG00000061066,0
ENSDARG00000061061,1
ENSDARG00000004851,3
ENSDARG00000094286,3
ENSDARG00000091996,153
ENSDARG00000068088,29
ENSDARG00000061047,1
ENSDARG00000055656,2
ENSDARG00000011841,370
ENSDARG00000020822,6
ENSDARG00000055647,21
ENSDARG00000093921,0
ENSDARG00000025403,5
ENSDARG00000055639,9
ENSDARG00000093741,0
ENSDARG00000061017,12
ENSDARG00000092633,0
ENSDARG00000035459,7
ENSDARG00000015292,37
ENSDARG00000061013,4
ENSDARG00000061006,0
ENSDARG00000094380,14
ENSDARG00000060978,21
ENSDARG00000035452,2
ENSDARG00000016695,3
ENSDARG00000035471,2
ENSDARG00000094368,0
ENSDARG00000094693,0
ENSDARG00000035470,20
ENSDARG00000060946,0
ENSDARG00000095623,17
ENSDARG00000016866,18
ENSDARG00000035468,0
ENSDARG00000013082,4
ENSDARG00000052787,0
ENSDARG00000079585,0
ENSDARG00000026582,9
ENSDARG00000068036,11
ENSDARG00000021193,51
ENSDARG00000010031,7
ENSDARG00000014951,0
ENSDARG00000094922,0
ENSDARG00000105923,0
ENSDARG00000078603,0
ENSDARG00000002949,48
ENSDARG00000060865,0
ENSDARG00000035433,11
ENSDARG00000035434,9
ENSDARG00000060846,5
ENSDARG00000092315,0
ENSDARG00000092962,0
ENSDARG00000030839,2
ENSDARG00000035435,0
ENSDARG00000094052,2
ENSDARG00000106217,0
ENSDARG00000012944,2393
ENSDARG00000035438,69
ENSDARG00000095930,72
ENSDARG00000095885,5
ENSDARG00000067997,1200
ENSDARG00000067995,2510
ENSDARG00000067990,5820
ENSDARG00000078411,5
ENSDARG00000031761,38
ENSDARG00000097932,0
ENSDARG00000016319,36
ENSDARG00000067984,20
ENSDARG00000009745,19
ENSDARG00000055229,3
ENSDARG00000103200,8
ENSDARG00000007429,4
ENSDARG00000022399,13
ENSDARG00000117769,0
ENSDARG00000090214,0
ENSDARG00000054906,22
ENSDARG00000031985,11
ENSDARG00000040248,21
ENSDARG00000095142,2
ENSDARG00000060683,5
ENSDARG00000006691,1171
ENSDARG00000083894,0
ENSDARG00000085713,0
ENSDARG00000083937,0
ENSDARG00000008551,11
ENSDARG00000035422,1
ENSDARG00000013853,10
ENSDARG00000101092,0
ENSDARG00000041723,9
ENSDARG00000041724,3
ENSDARG00000060702,0
ENSDARG00000060578,3
ENSDARG00000060584,3
ENSDARG00000060596,15
ENSDARG00000093303,36
ENSDARG00000023645,19
ENSDARG00000035427,24
ENSDARG00000003592,6
ENSDARG00000019230,1330
ENSDARG00000082739,0
ENSDARG00000080936,0
ENSDARG00000109264,0
ENSDARG00000116248,0
ENSDARG00000014148,5
ENSDARG00000002220,4
ENSDARG00000027501,11
ENSDARG00000097904,1
ENSDARG00000020136,0
ENSDARG00000060631,3
ENSDARG00000093512,0
ENSDARG00000028659,0
ENSDARG00000092593,1
ENSDARG00000094643,0
ENSDARG00000022085,2
ENSDARG00000060374,6
ENSDARG00000075110,41
ENSDARG00000095064,0
ENSDARG00000093985,0
ENSDARG00000054288,7
ENSDARG00000060393,0
ENSDARG00000107423,0
ENSDARG00000093572,8
ENSDARG00000009336,32
ENSDARG00000005561,2
ENSDARG00000034368,27
ENSDARG00000035398,27
ENSDARG00000060415,6
ENSDARG00000108823,0
ENSDARG00000093407,1
ENSDARG00000091914,0
ENSDARG00000035399,17
ENSDARG00000035400,555
ENSDARG00000029179,3
ENSDARG00000035388,0
ENSDARG00000097856,0
ENSDARG00000035389,35
ENSDARG00000035390,11
ENSDARG00000035391,0
ENSDARG00000060434,50
ENSDARG00000035415,0
ENSDARG00000035406,7
ENSDARG00000020364,117
ENSDARG00000095968,0
ENSDARG00000086523,28
ENSDARG00000093818,0
ENSDARG00000079403,0
ENSDARG00000067976,1
ENSDARG00000035420,4
ENSDARG00000054433,10
ENSDARG00000014003,8
ENSDARG00000083770,0
ENSDARG00000068731,0
ENSDARG00000067981,7
ENSDARG00000007723,0
ENSDARG00000060152,0
ENSDARG00000074591,3
ENSDARG00000094666,0
ENSDARG00000004256,0
ENSDARG00000002184,12
ENSDARG00000067806,2
ENSDARG00000035330,16
ENSDARG00000028401,14
ENSDARG00000009939,18
ENSDARG00000020178,6
ENSDARG00000116148,0
ENSDARG00000077253,2
ENSDARG00000035329,114
ENSDARG00000053716,6
ENSDARG00000004232,22
ENSDARG00000011239,18
ENSDARG00000008414,2
ENSDARG00000023914,0
ENSDARG00000035327,3362
ENSDARG00000035326,20
ENSDARG00000008912,0
ENSDARG00000035325,57
ENSDARG00000035324,40
ENSDARG00000015937,3
ENSDARG00000011989,32
ENSDARG00000097813,0
ENSDARG00000033009,330
ENSDARG00000111977,0
ENSDARG00000030087,28
ENSDARG00000035339,0
ENSDARG00000101155,0
ENSDARG00000102918,0
ENSDARG00000035338,5
ENSDARG00000100476,11
ENSDARG00000033466,67
ENSDARG00000039436,6
ENSDARG00000075580,0
ENSDARG00000104190,0
ENSDARG00000103956,4
ENSDARG00000078911,8
ENSDARG00000060249,3
ENSDARG00000086463,4
ENSDARG00000103786,6
ENSDARG00000116863,0
ENSDARG00000104485,5
ENSDARG00000035682,15
ENSDARG00000053956,21
ENSDARG00000053959,0
ENSDARG00000012219,8
ENSDARG00000020924,15
ENSDARG00000099693,0
ENSDARG00000103498,225
ENSDARG00000014910,5
ENSDARG00000035350,3
ENSDARG00000060297,15
ENSDARG00000094561,38
ENSDARG00000077573,2
ENSDARG00000012860,0
ENSDARG00000060319,16
ENSDARG00000027345,14
ENSDARG00000035352,0
ENSDARG00000012076,391
ENSDARG00000092018,0
ENSDARG00000094018,1
ENSDARG00000095363,0
ENSDARG00000094849,0
ENSDARG00000093036,0
ENSDARG00000093547,0
ENSDARG00000093960,2
ENSDARG00000060330,2
ENSDARG00000094725,2
ENSDARG00000097952,0
ENSDARG00000092354,3
ENSDARG00000026820,14
ENSDARG00000093943,0
ENSDARG00000094492,0
ENSDARG00000091997,0
ENSDARG00000093013,0
ENSDARG00000093214,0
ENSDARG00000031336,6
ENSDARG00000060366,7
ENSDARG00000096962,2
ENSDARG00000035357,34
ENSDARG00000035360,27
ENSDARG00000034262,10
ENSDARG00000112376,0
ENSDARG00000034307,21
ENSDARG00000067889,1
ENSDARG00000034424,16
ENSDARG00000103123,0
ENSDARG00000003635,1
ENSDARG00000054574,13
ENSDARG00000092667,1
ENSDARG00000092222,0
ENSDARG00000093763,0
ENSDARG00000095735,0
ENSDARG00000095026,0
ENSDARG00000095532,0
ENSDARG00000092680,1
ENSDARG00000094935,0
ENSDARG00000094284,0
ENSDARG00000103480,2
ENSDARG00000093326,0
ENSDARG00000093350,0
ENSDARG00000091972,2
ENSDARG00000110321,0
ENSDARG00000094489,0
ENSDARG00000095747,0
ENSDARG00000094820,0
ENSDARG00000095112,0
ENSDARG00000054597,19
ENSDARG00000113685,0
ENSDARG00000054606,6
ENSDARG00000054619,12
ENSDARG00000085297,0
ENSDARG00000115447,0
ENSDARG00000009196,8
ENSDARG00000020009,6
ENSDARG00000094754,0
ENSDARG00000017703,9
ENSDARG00000116840,0
ENSDARG00000109133,0
ENSDARG00000104118,4
ENSDARG00000054683,18
ENSDARG00000035377,0
ENSDARG00000088753,0
ENSDARG00000060526,0
ENSDARG00000054741,0
ENSDARG00000033614,22
ENSDARG00000095562,0
ENSDARG00000092697,0
ENSDARG00000076376,0
ENSDARG00000019549,0
ENSDARG00000078890,4
ENSDARG00000093687,1
ENSDARG00000076735,7
ENSDARG00000067713,2
ENSDARG00000076040,0
ENSDARG00000067714,1
ENSDARG00000113635,0
ENSDARG00000052840,110
ENSDARG00000052846,22
ENSDARG00000097618,1
ENSDARG00000092131,1
ENSDARG00000093270,0
ENSDARG00000004023,26
ENSDARG00000067718,2
ENSDARG00000059789,7
ENSDARG00000059801,0
ENSDARG00000112671,0
ENSDARG00000052851,14
ENSDARG00000059817,5
ENSDARG00000027109,62
ENSDARG00000007720,30
ENSDARG00000113536,0
ENSDARG00000113550,0
ENSDARG00000093616,0
ENSDARG00000035253,2
ENSDARG00000067729,4
ENSDARG00000092979,11
ENSDARG00000035256,249
ENSDARG00000024967,2
ENSDARG00000020008,99
ENSDARG00000035257,5
ENSDARG00000052881,0
ENSDARG00000059846,1
ENSDARG00000035264,16
ENSDARG00000052897,15
ENSDARG00000059855,1
ENSDARG00000052907,45
ENSDARG00000059856,0
ENSDARG00000076830,19
ENSDARG00000095720,0
ENSDARG00000094458,0
ENSDARG00000092311,0
ENSDARG00000035285,34
ENSDARG00000067752,7
ENSDARG00000092285,0
ENSDARG00000002369,63
ENSDARG00000093779,1
ENSDARG00000094706,0
ENSDARG00000092423,0
ENSDARG00000093313,80
ENSDARG00000004455,0
ENSDARG00000035282,32
ENSDARG00000002355,0
ENSDARG00000059883,2
ENSDARG00000059886,4
ENSDARG00000109874,0
ENSDARG00000095587,0
ENSDARG00000059887,5
ENSDARG00000095304,3
ENSDARG00000082898,0
ENSDARG00000081589,0
ENSDARG00000006939,0
ENSDARG00000092561,0
ENSDARG00000093054,5
ENSDARG00000092457,0
ENSDARG00000117679,0
ENSDARG00000091918,0
ENSDARG00000101827,0
ENSDARG00000115498,0
ENSDARG00000109867,0
ENSDARG00000113134,0
ENSDARG00000116053,0
ENSDARG00000110818,0
ENSDARG00000113044,0
ENSDARG00000114222,0
ENSDARG00000114691,0
ENSDARG00000110432,0
ENSDARG00000099531,0
ENSDARG00000110228,0
ENSDARG00000115114,0
ENSDARG00000111841,0
ENSDARG00000114519,0
ENSDARG00000111022,0
ENSDARG00000116823,0
ENSDARG00000103715,0
ENSDARG00000115410,0
ENSDARG00000114752,0
ENSDARG00000109704,0
ENSDARG00000110197,0
ENSDARG00000004830,26
ENSDARG00000101138,0
ENSDARG00000102514,0
ENSDARG00000100662,0
ENSDARG00000075163,2
ENSDARG00000029692,14
ENSDARG00000053021,6
ENSDARG00000009169,8
ENSDARG00000003808,60
ENSDARG00000103167,2
ENSDARG00000010248,5
ENSDARG00000109845,0
ENSDARG00000116155,0
ENSDARG00000116708,0
ENSDARG00000112652,0
ENSDARG00000116013,0
ENSDARG00000112834,0
ENSDARG00000113272,0
ENSDARG00000111903,0
ENSDARG00000114770,0
ENSDARG00000081445,0
ENSDARG00000016868,0
ENSDARG00000115914,0
ENSDARG00000032482,12
ENSDARG00000031345,3
ENSDARG00000085610,0
ENSDARG00000026925,0
ENSDARG00000018494,10
ENSDARG00000067777,5
ENSDARG00000017571,30
ENSDARG00000117211,2
ENSDARG00000102375,0
ENSDARG00000053091,30
ENSDARG00000095369,1
ENSDARG00000075126,6
ENSDARG00000094625,0
ENSDARG00000094268,0
ENSDARG00000013250,26
ENSDARG00000095282,0
ENSDARG00000077298,24
ENSDARG00000060093,10
ENSDARG00000007836,164
ENSDARG00000097040,0
ENSDARG00000012366,39
ENSDARG00000021366,31
ENSDARG00000060102,28
ENSDARG00000007349,0
ENSDARG00000035290,4
ENSDARG00000015072,2
ENSDARG00000008904,39
ENSDARG00000110955,0
ENSDARG00000060127,0
ENSDARG00000033635,1
ENSDARG00000089310,44
ENSDARG00000013730,68
ENSDARG00000067795,9
ENSDARG00000059963,2
ENSDARG00000025866,0
ENSDARG00000059982,1
ENSDARG00000059997,1
ENSDARG00000112029,0
ENSDARG00000060010,13
ENSDARG00000090524,0
ENSDARG00000060012,0
ENSDARG00000057395,1
ENSDARG00000053159,16
ENSDARG00000095136,0
ENSDARG00000098013,9
ENSDARG00000103515,1
ENSDARG00000089769,70
ENSDARG00000109901,0
ENSDARG00000106121,0
ENSDARG00000093413,56
ENSDARG00000113236,0
ENSDARG00000117391,0
ENSDARG00000104376,0
ENSDARG00000104537,445
ENSDARG00000098516,0
ENSDARG00000035535,7
ENSDARG00000007657,4
ENSDARG00000067658,6
ENSDARG00000091977,0
ENSDARG00000055989,7
ENSDARG00000095715,27
ENSDARG00000081362,0
ENSDARG00000009418,49
ENSDARG00000081238,0
ENSDARG00000059689,0
ENSDARG00000024687,0
ENSDARG00000024693,4
ENSDARG00000021137,4
ENSDARG00000052690,35
ENSDARG00000067664,1
ENSDARG00000052693,8
ENSDARG00000094128,1
ENSDARG00000052695,34
ENSDARG00000098045,9
ENSDARG00000052697,7
ENSDARG00000077072,2
ENSDARG00000102118,4
ENSDARG00000076404,18
ENSDARG00000106072,0
ENSDARG00000114659,0
ENSDARG00000079697,0
ENSDARG00000035193,0
ENSDARG00000074314,1
ENSDARG00000059711,5
ENSDARG00000059714,0
ENSDARG00000024325,8
ENSDARG00000052734,19
ENSDARG00000052731,0
ENSDARG00000035198,0
ENSDARG00000059719,46
ENSDARG00000078250,62
ENSDARG00000067670,3
ENSDARG00000032372,2
ENSDARG00000067672,0
ENSDARG00000067673,8
ENSDARG00000095515,1
ENSDARG00000059722,34
ENSDARG00000063276,3
ENSDARG00000002816,4
ENSDARG00000104979,0
ENSDARG00000104987,0
ENSDARG00000039929,157
ENSDARG00000058379,13
ENSDARG00000098153,6
ENSDARG00000101759,16
ENSDARG00000108024,0
ENSDARG00000099679,8
ENSDARG00000061379,22
ENSDARG00000090195,5
ENSDARG00000102777,9
ENSDARG00000008153,44
ENSDARG00000051916,9
ENSDARG00000094622,0
ENSDARG00000093799,14
ENSDARG00000092975,0
ENSDARG00000051914,3
ENSDARG00000100394,17
ENSDARG00000098198,0
ENSDARG00000098618,1
ENSDARG00000079323,32
ENSDARG00000117511,0
ENSDARG00000104634,0
ENSDARG00000104260,0
ENSDARG00000098345,2
ENSDARG00000102338,0
ENSDARG00000103848,4
ENSDARG00000099946,2
ENSDARG00000101703,0
ENSDARG00000098312,72
ENSDARG00000104980,0
ENSDARG00000117643,2
ENSDARG00000103453,4
ENSDARG00000104111,21
ENSDARG00000100938,8
ENSDARG00000078927,0
ENSDARG00000102998,18
ENSDARG00000100423,0
ENSDARG00000090863,0
ENSDARG00000104221,6
ENSDARG00000099122,34
ENSDARG00000099676,1
ENSDARG00000099433,0
ENSDARG00000101109,0
ENSDARG00000099019,0
ENSDARG00000101470,0
ENSDARG00000100138,0
ENSDARG00000099160,0
ENSDARG00000102227,0
ENSDARG00000100688,0
ENSDARG00000100293,2
ENSDARG00000099248,1
ENSDARG00000104685,37
ENSDARG00000098786,9
ENSDARG00000102783,2
ENSDARG00000101963,9
ENSDARG00000098373,0
ENSDARG00000100773,2
ENSDARG00000104875,0
ENSDARG00000104733,5
ENSDARG00000101036,3
ENSDARG00000099139,21
