sample,fastq_1,fastq_2,strandedness
Malathion_1_A,./fq_files/NS.2049.001.UDP0221_i7---UDP0221_i5.Malathion_1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0221_i7---UDP0221_i5.Malathion_1_A_R2.fastq.gz,auto
Malathion_1_B,./fq_files/NS.2049.001.UDP0222_i7---UDP0222_i5.Malathion_1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0222_i7---UDP0222_i5.Malathion_1_B_R2.fastq.gz,auto
Malathion_1_C,./fq_files/NS.2049.001.UDP0223_i7---UDP0223_i5.Malathion_1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0223_i7---UDP0223_i5.Malathion_1_C_R2.fastq.gz,auto
Prochloraz_0_A,./fq_files/NS.2049.001.UDP0224_i7---UDP0224_i5.Prochloraz_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0224_i7---UDP0224_i5.Prochloraz_0_A_R2.fastq.gz,auto
Prochloraz_0_B,./fq_files/NS.2049.001.UDP0225_i7---UDP0225_i5.Prochloraz_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0225_i7---UDP0225_i5.Prochloraz_0_B_R2.fastq.gz,auto
Prochloraz_0_C,./fq_files/NS.2049.001.UDP0226_i7---UDP0226_i5.Prochloraz_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0226_i7---UDP0226_i5.Prochloraz_0_C_R2.fastq.gz,auto
Prochloraz_0-0001_A,./fq_files/NS.2049.001.UDP0227_i7---UDP0227_i5.Prochloraz_0-0001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0227_i7---UDP0227_i5.Prochloraz_0-0001_A_R2.fastq.gz,auto
Prochloraz_0-0001_B,./fq_files/NS.2049.001.UDP0228_i7---UDP0228_i5.Prochloraz_0-0001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0228_i7---UDP0228_i5.Prochloraz_0-0001_B_R2.fastq.gz,auto
Prochloraz_0-0001_C,./fq_files/NS.2049.001.UDP0229_i7---UDP0229_i5.Prochloraz_0-0001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0229_i7---UDP0229_i5.Prochloraz_0-0001_C_R2.fastq.gz,auto
Prochloraz_0-001_A,./fq_files/NS.2049.001.UDP0230_i7---UDP0230_i5.Prochloraz_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0230_i7---UDP0230_i5.Prochloraz_0-001_A_R2.fastq.gz,auto
Prochloraz_0-001_B,./fq_files/NS.2049.001.UDP0231_i7---UDP0231_i5.Prochloraz_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0231_i7---UDP0231_i5.Prochloraz_0-001_B_R2.fastq.gz,auto
Prochloraz_0-001_C,./fq_files/NS.2049.001.UDP0232_i7---UDP0232_i5.Prochloraz_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0232_i7---UDP0232_i5.Prochloraz_0-001_C_R2.fastq.gz,auto
Prochloraz_0-01_A,./fq_files/NS.2049.001.UDP0233_i7---UDP0233_i5.Prochloraz_0-01_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0233_i7---UDP0233_i5.Prochloraz_0-01_A_R2.fastq.gz,auto
Prochloraz_0-01_B,./fq_files/NS.2049.001.UDP0234_i7---UDP0234_i5.Prochloraz_0-01_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0234_i7---UDP0234_i5.Prochloraz_0-01_B_R2.fastq.gz,auto
Prochloraz_0-01_C,./fq_files/NS.2049.001.UDP0235_i7---UDP0235_i5.Prochloraz_0-01_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0235_i7---UDP0235_i5.Prochloraz_0-01_C_R2.fastq.gz,auto
Prochloraz_0-1_A,./fq_files/NS.2049.001.UDP0236_i7---UDP0236_i5.Prochloraz_0-1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0236_i7---UDP0236_i5.Prochloraz_0-1_A_R2.fastq.gz,auto
Prochloraz_0-1_B,./fq_files/NS.2049.001.UDP0237_i7---UDP0237_i5.Prochloraz_0-1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0237_i7---UDP0237_i5.Prochloraz_0-1_B_R2.fastq.gz,auto
Prochloraz_0-1_C,./fq_files/NS.2049.001.UDP0238_i7---UDP0238_i5.Prochloraz_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0238_i7---UDP0238_i5.Prochloraz_0-1_C_R2.fastq.gz,auto
Prochloraz_1_A,./fq_files/NS.2049.001.UDP0239_i7---UDP0239_i5.Prochloraz_1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0239_i7---UDP0239_i5.Prochloraz_1_A_R2.fastq.gz,auto
Prochloraz_1_B,./fq_files/NS.2049.001.UDP0240_i7---UDP0240_i5.Prochloraz_1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0240_i7---UDP0240_i5.Prochloraz_1_B_R2.fastq.gz,auto
Prochloraz_1_C,./fq_files/NS.2049.001.UDP0241_i7---UDP0241_i5.Prochloraz_1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0241_i7---UDP0241_i5.Prochloraz_1_C_R2.fastq.gz,auto
TGSH_0_B,./fq_files/NS.2049.001.UDP0242_i7---UDP0242_i5.TGSH_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0242_i7---UDP0242_i5.TGSH_0_B_R2.fastq.gz,auto
TGSH_0_C,./fq_files/NS.2049.001.UDP0243_i7---UDP0243_i5.TGSH_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0243_i7---UDP0243_i5.TGSH_0_C_R2.fastq.gz,auto
TGSH_0-0001_A,./fq_files/NS.2049.001.UDP0244_i7---UDP0244_i5.TGSH_0-0001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0244_i7---UDP0244_i5.TGSH_0-0001_A_R2.fastq.gz,auto
TGSH_0-0001_B,./fq_files/NS.2049.001.UDP0245_i7---UDP0245_i5.TGSH_0-0001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0245_i7---UDP0245_i5.TGSH_0-0001_B_R2.fastq.gz,auto
TGSH_0-0001_C,./fq_files/NS.2049.001.UDP0246_i7---UDP0246_i5.TGSH_0-0001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0246_i7---UDP0246_i5.TGSH_0-0001_C_R2.fastq.gz,auto
TGSH_0-001_A,./fq_files/NS.2049.001.UDP0247_i7---UDP0247_i5.TGSH_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0247_i7---UDP0247_i5.TGSH_0-001_A_R2.fastq.gz,auto
TGSH_0-001_B,./fq_files/NS.2049.001.UDP0248_i7---UDP0248_i5.TGSH_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0248_i7---UDP0248_i5.TGSH_0-001_B_R2.fastq.gz,auto
TGSH_0-01_A,./fq_files/NS.2049.001.UDP0249_i7---UDP0249_i5.TGSH_0-01_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0249_i7---UDP0249_i5.TGSH_0-01_A_R2.fastq.gz,auto
TGSH_0-01_B,./fq_files/NS.2049.001.UDP0250_i7---UDP0250_i5.TGSH_0-01_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0250_i7---UDP0250_i5.TGSH_0-01_B_R2.fastq.gz,auto
TGSH_0-01_C,./fq_files/NS.2049.001.UDP0251_i7---UDP0251_i5.TGSH_0-01_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0251_i7---UDP0251_i5.TGSH_0-01_C_R2.fastq.gz,auto
TGSH_0-1_A,./fq_files/NS.2049.001.UDP0252_i7---UDP0252V2_i5.TGSH_0-1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0252_i7---UDP0252V2_i5.TGSH_0-1_A_R2.fastq.gz,auto
TGSH_0-1_B,./fq_files/NS.2049.001.UDP0253_i7---UDP0253_i5.TGSH_0-1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0253_i7---UDP0253_i5.TGSH_0-1_B_R2.fastq.gz,auto
TGSH_0-1_C,./fq_files/NS.2049.001.UDP0254_i7---UDP0254_i5.TGSH_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0254_i7---UDP0254_i5.TGSH_0-1_C_R2.fastq.gz,auto
TGSH_1_A,./fq_files/NS.2049.001.UDP0255_i7---UDP0255_i5.TGSH_1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0255_i7---UDP0255_i5.TGSH_1_A_R2.fastq.gz,auto
TGSH_1_B,./fq_files/NS.2049.001.UDP0256_i7---UDP0256_i5.TGSH_1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0256_i7---UDP0256_i5.TGSH_1_B_R2.fastq.gz,auto
TGSH_1_C,./fq_files/NS.2049.001.UDP0257_i7---UDP0257_i5.TGSH_1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0257_i7---UDP0257_i5.TGSH_1_C_R2.fastq.gz,auto
Trenbolone_0_A,./fq_files/NS.2049.001.UDP0258V2_i7---UDP0258V2_i5.Trenbolone_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0258V2_i7---UDP0258V2_i5.Trenbolone_0_A_R2.fastq.gz,auto
Trenbolone_0_B,./fq_files/NS.2049.001.UDP0259_i7---UDP0259_i5.Trenbolone_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0259_i7---UDP0259_i5.Trenbolone_0_B_R2.fastq.gz,auto
Trenbolone_0_C,./fq_files/NS.2049.001.UDP0260_i7---UDP0260_i5.Trenbolone_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0260_i7---UDP0260_i5.Trenbolone_0_C_R2.fastq.gz,auto
Trenbolone_0-00001_A,./fq_files/NS.2049.001.UDP0261_i7---UDP0261_i5.Trenbolone_0-00001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0261_i7---UDP0261_i5.Trenbolone_0-00001_A_R2.fastq.gz,auto
Trenbolone_0-00001_B,./fq_files/NS.2049.001.UDP0262_i7---UDP0262_i5.Trenbolone_0-00001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0262_i7---UDP0262_i5.Trenbolone_0-00001_B_R2.fastq.gz,auto
Trenbolone_0-00001_C,./fq_files/NS.2049.001.UDP0263_i7---UDP0263_i5.Trenbolone_0-00001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0263_i7---UDP0263_i5.Trenbolone_0-00001_C_R2.fastq.gz,auto
Trenbolone_0-0001_A,./fq_files/NS.2049.001.UDP0264_i7---UDP0264_i5.Trenbolone_0-0001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0264_i7---UDP0264_i5.Trenbolone_0-0001_A_R2.fastq.gz,auto
Trenbolone_0-0001_B,./fq_files/NS.2049.001.UDP0265_i7---UDP0265_i5.Trenbolone_0-0001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0265_i7---UDP0265_i5.Trenbolone_0-0001_B_R2.fastq.gz,auto
Trenbolone_0-0001_C,./fq_files/NS.2049.001.UDP0266_i7---UDP0266_i5.Trenbolone_0-0001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0266_i7---UDP0266_i5.Trenbolone_0-0001_C_R2.fastq.gz,auto
Trenbolone_0-001_A,./fq_files/NS.2049.001.UDP0267_i7---UDP0267_i5.Trenbolone_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0267_i7---UDP0267_i5.Trenbolone_0-001_A_R2.fastq.gz,auto
Trenbolone_0-001_B,./fq_files/NS.2049.001.UDP0268_i7---UDP0268_i5.Trenbolone_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0268_i7---UDP0268_i5.Trenbolone_0-001_B_R2.fastq.gz,auto
Trenbolone_0-001_C,./fq_files/NS.2049.001.UDP0269_i7---UDP0269_i5.Trenbolone_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0269_i7---UDP0269_i5.Trenbolone_0-001_C_R2.fastq.gz,auto
Trenbolone_0-01_A,./fq_files/NS.2049.001.UDP0270_i7---UDP0270_i5.Trenbolone_0-01_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0270_i7---UDP0270_i5.Trenbolone_0-01_A_R2.fastq.gz,auto
Trenbolone_0-01_B,./fq_files/NS.2049.001.UDP0271_i7---UDP0271_i5.Trenbolone_0-01_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0271_i7---UDP0271_i5.Trenbolone_0-01_B_R2.fastq.gz,auto
Trenbolone_0-01_C,./fq_files/NS.2049.001.UDP0272_i7---UDP0272_i5.Trenbolone_0-01_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0272_i7---UDP0272_i5.Trenbolone_0-01_C_R2.fastq.gz,auto
Trenbolone_0-1_A,./fq_files/NS.2049.001.UDP0273_i7---UDP0273_i5.Trenbolone_0-1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0273_i7---UDP0273_i5.Trenbolone_0-1_A_R2.fastq.gz,auto
Trenbolone_0-1_B,./fq_files/NS.2049.001.UDP0274_i7---UDP0274_i5.Trenbolone_0-1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0274_i7---UDP0274_i5.Trenbolone_0-1_B_R2.fastq.gz,auto
Trenbolone_0-1_C,./fq_files/NS.2049.001.UDP0275_i7---UDP0275_i5.Trenbolone_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0275_i7---UDP0275_i5.Trenbolone_0-1_C_R2.fastq.gz,auto
1-Decanol_0-1_C,./fq_files/NS.2049.001.UDP0276_i7---UDP0276_i5.1-Decanol_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0276_i7---UDP0276_i5.1-Decanol_0-1_C_R2.fastq.gz,auto
Analine_0_B,./fq_files/NS.2049.001.UDP0277_i7---UDP0277_i5.Analine_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0277_i7---UDP0277_i5.Analine_0_B_R2.fastq.gz,auto
Analine_0-001_B,./fq_files/NS.2049.001.UDP0278_i7---UDP0278_i5.Analine_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0278_i7---UDP0278_i5.Analine_0-001_B_R2.fastq.gz,auto
Fadrozole_0_B,./fq_files/NS.2049.001.UDP0279_i7---UDP0279_i5.Fadrozole_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0279_i7---UDP0279_i5.Fadrozole_0_B_R2.fastq.gz,auto
Fadrozole_0-0001_B,./fq_files/NS.2049.001.UDP0280_i7---UDP0280_i5.Fadrozole_0-0001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0280_i7---UDP0280_i5.Fadrozole_0-0001_B_R2.fastq.gz,auto
Glyphosate_0-01_C,./fq_files/NS.2049.001.UDP0281_i7---UDP0281_i5.Glyphosate_0-01_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0281_i7---UDP0281_i5.Glyphosate_0-01_C_R2.fastq.gz,auto
EE2_0-0000001_B,./fq_files/NS.2049.001.UDP0282_i7---UDP0282_i5.EE2_0-0000001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0282_i7---UDP0282_i5.EE2_0-0000001_B_R2.fastq.gz,auto
EE2_0-00001_B,./fq_files/NS.2049.001.UDP0283_i7---UDP0283_i5.EE2_0-00001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0283_i7---UDP0283_i5.EE2_0-00001_B_R2.fastq.gz,auto
TGSH_0_A,./fq_files/NS.2049.001.UDP0284_i7---UDP0284_i5.TGSH_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0284_i7---UDP0284_i5.TGSH_0_A_R2.fastq.gz,auto
TGSH_0-001_C,./fq_files/NS.2049.001.UDP0285_i7---UDP0285_i5.TGSH_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0285_i7---UDP0285_i5.TGSH_0-001_C_R2.fastq.gz,auto
