sample,fastq_1,fastq_2,strandedness
1-Decanol_1_A,./fq_files/NS.2049.001.UDP0111_i7---UDP0111_i5.1-Decanol_1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0111_i7---UDP0111_i5.1-Decanol_1_A_R2.fastq.gz,auto
1-Decanol_1_B,./fq_files/NS.2049.001.UDP0112_i7---UDP0112_i5.1-Decanol_1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0112_i7---UDP0112_i5.1-Decanol_1_B_R2.fastq.gz,auto
1-Decanol_1_C,./fq_files/NS.2049.001.UDP0113_i7---UDP0113_i5.1-Decanol_1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0113_i7---UDP0113_i5.1-Decanol_1_C_R2.fastq.gz,auto
Analine_0_A,./fq_files/NS.2049.001.UDP0114_i7---UDP0114_i5.Analine_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0114_i7---UDP0114_i5.Analine_0_A_R2.fastq.gz,auto
Analine_0_C,./fq_files/NS.2049.001.UDP0115_i7---UDP0115_i5.Analine_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0115_i7---UDP0115_i5.Analine_0_C_R2.fastq.gz,auto
Analine_0-001_A,./fq_files/NS.2049.001.UDP0116_i7---UDP0116_i5.Analine_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0116_i7---UDP0116_i5.Analine_0-001_A_R2.fastq.gz,auto
Analine_0-001_C,./fq_files/NS.2049.001.UDP0117_i7---UDP0117_i5.Analine_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0117_i7---UDP0117_i5.Analine_0-001_C_R2.fastq.gz,auto
Analine_0-01_A,./fq_files/NS.2049.001.UDP0118_i7---UDP0118_i5.Analine_0-01_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0118_i7---UDP0118_i5.Analine_0-01_A_R2.fastq.gz,auto
Analine_0-01_B,./fq_files/NS.2049.001.UDP0119_i7---UDP0119_i5.Analine_0-01_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0119_i7---UDP0119_i5.Analine_0-01_B_R2.fastq.gz,auto
Analine_0-1_A,./fq_files/NS.2049.001.UDP0121_i7---UDP0121_i5.Analine_0-1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0121_i7---UDP0121_i5.Analine_0-1_A_R2.fastq.gz,auto
Analine_0-1_B,./fq_files/NS.2049.001.UDP0122_i7---UDP0122_i5.Analine_0-1_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0122_i7---UDP0122_i5.Analine_0-1_B_R2.fastq.gz,auto
Analine_0-1_C,./fq_files/NS.2049.001.UDP0123_i7---UDP0123_i5.Analine_0-1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0123_i7---UDP0123_i5.Analine_0-1_C_R2.fastq.gz,auto
Analine_1_A,./fq_files/NS.2049.001.UDP0124_i7---UDP0124_i5.Analine_1_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0124_i7---UDP0124_i5.Analine_1_A_R2.fastq.gz,auto
Analine_1_C,./fq_files/NS.2049.001.UDP0126_i7---UDP0126_i5.Analine_1_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0126_i7---UDP0126_i5.Analine_1_C_R2.fastq.gz,auto
Analine_10_A,./fq_files/NS.2049.001.UDP0127_i7---UDP0127_i5.Analine_10_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0127_i7---UDP0127_i5.Analine_10_A_R2.fastq.gz,auto
Analine_10_B,./fq_files/NS.2049.001.UDP0128_i7---UDP0128_i5.Analine_10_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0128_i7---UDP0128_i5.Analine_10_B_R2.fastq.gz,auto
Analine_10_C,./fq_files/NS.2049.001.UDP0129_i7---UDP0129_i5.Analine_10_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0129_i7---UDP0129_i5.Analine_10_C_R2.fastq.gz,auto
EE2_0_A,./fq_files/NS.2049.001.UDP0130_i7---UDP0130_i5.EE2_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0130_i7---UDP0130_i5.EE2_0_A_R2.fastq.gz,auto
EE2_0_B,./fq_files/NS.2049.001.UDP0131_i7---UDP0131_i5.EE2_0_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0131_i7---UDP0131_i5.EE2_0_B_R2.fastq.gz,auto
EE2_0_C,./fq_files/NS.2049.001.UDP0132_i7---UDP0132_i5.EE2_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0132_i7---UDP0132_i5.EE2_0_C_R2.fastq.gz,auto
EE2_0-0000001_A,./fq_files/NS.2049.001.UDP0133_i7---UDP0133_i5.EE2_0-0000001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0133_i7---UDP0133_i5.EE2_0-0000001_A_R2.fastq.gz,auto
EE2_0-0000001_C,./fq_files/NS.2049.001.UDP0134_i7---UDP0134_i5.EE2_0-0000001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0134_i7---UDP0134_i5.EE2_0-0000001_C_R2.fastq.gz,auto
EE2_0-000001_A,./fq_files/NS.2049.001.UDP0135_i7---UDP0135_i5.EE2_0-000001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0135_i7---UDP0135_i5.EE2_0-000001_A_R2.fastq.gz,auto
EE2_0-000001_B,./fq_files/NS.2049.001.UDP0136_i7---UDP0136_i5.EE2_0-000001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0136_i7---UDP0136_i5.EE2_0-000001_B_R2.fastq.gz,auto
EE2_0-000001_C,./fq_files/NS.2049.001.UDP0137_i7---UDP0137_i5.EE2_0-000001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0137_i7---UDP0137_i5.EE2_0-000001_C_R2.fastq.gz,auto
EE2_0-00001_A,./fq_files/NS.2049.001.UDP0138_i7---UDP0138_i5.EE2_0-00001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0138_i7---UDP0138_i5.EE2_0-00001_A_R2.fastq.gz,auto
EE2_0-00001_C,./fq_files/NS.2049.001.UDP0139_i7---UDP0139_i5.EE2_0-00001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0139_i7---UDP0139_i5.EE2_0-00001_C_R2.fastq.gz,auto
EE2_0-0001_A,./fq_files/NS.2049.001.UDP0140_i7---UDP0140_i5.EE2_0-0001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0140_i7---UDP0140_i5.EE2_0-0001_A_R2.fastq.gz,auto
EE2_0-0001_B,./fq_files/NS.2049.001.UDP0141_i7---UDP0141_i5.EE2_0-0001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0141_i7---UDP0141_i5.EE2_0-0001_B_R2.fastq.gz,auto
EE2_0-0001_C,./fq_files/NS.2049.001.UDP0142_i7---UDP0142_i5.EE2_0-0001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0142_i7---UDP0142_i5.EE2_0-0001_C_R2.fastq.gz,auto
EE2_0-001_A,./fq_files/NS.2049.001.UDP0143_i7---UDP0143_i5.EE2_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0143_i7---UDP0143_i5.EE2_0-001_A_R2.fastq.gz,auto
EE2_0-001_B,./fq_files/NS.2049.001.UDP0144_i7---UDP0144_i5.EE2_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0144_i7---UDP0144_i5.EE2_0-001_B_R2.fastq.gz,auto
EE2_0-001_C,./fq_files/NS.2049.001.UDP0145_i7---UDP0145_i5.EE2_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0145_i7---UDP0145_i5.EE2_0-001_C_R2.fastq.gz,auto
Fadrozole_0_A,./fq_files/NS.2049.001.UDP0146_i7---UDP0146_i5.Fadrozole_0_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0146_i7---UDP0146_i5.Fadrozole_0_A_R2.fastq.gz,auto
Fadrozole_0_C,./fq_files/NS.2049.001.UDP0147_i7---UDP0147_i5.Fadrozole_0_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0147_i7---UDP0147_i5.Fadrozole_0_C_R2.fastq.gz,auto
Fadrozole_0-0001_A,./fq_files/NS.2049.001.UDP0148_i7---UDP0148_i5.Fadrozole_0-0001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0148_i7---UDP0148_i5.Fadrozole_0-0001_A_R2.fastq.gz,auto
Fadrozole_0-0001_C,./fq_files/NS.2049.001.UDP0149_i7---UDP0149_i5.Fadrozole_0-0001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0149_i7---UDP0149_i5.Fadrozole_0-0001_C_R2.fastq.gz,auto
Fadrozole_0-001_A,./fq_files/NS.2049.001.UDP0150_i7---UDP0150_i5.Fadrozole_0-001_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0150_i7---UDP0150_i5.Fadrozole_0-001_A_R2.fastq.gz,auto
Fadrozole_0-001_B,./fq_files/NS.2049.001.UDP0151_i7---UDP0151_i5.Fadrozole_0-001_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0151_i7---UDP0151_i5.Fadrozole_0-001_B_R2.fastq.gz,auto
Fadrozole_0-001_C,./fq_files/NS.2049.001.UDP0152_i7---UDP0152_i5.Fadrozole_0-001_C_R1.fastq.gz,./fq_files/NS.2049.001.UDP0152_i7---UDP0152_i5.Fadrozole_0-001_C_R2.fastq.gz,auto
Fadrozole_0-01_A,./fq_files/NS.2049.001.UDP0153_i7---UDP0153_i5.Fadrozole_0-01_A_R1.fastq.gz,./fq_files/NS.2049.001.UDP0153_i7---UDP0153_i5.Fadrozole_0-01_A_R2.fastq.gz,auto
Fadrozole_0-01_B,./fq_files/NS.2049.001.UDP0154_i7---UDP0154_i5.Fadrozole_0-01_B_R1.fastq.gz,./fq_files/NS.2049.001.UDP0154_i7---UDP0154_i5.Fadrozole_0-01_B_R2.fastq.gz,auto
