A8,Counts
ENSDARG00000000001,2
ENSDARG00000000002,158
ENSDARG00000000018,47
ENSDARG00000000019,352
ENSDARG00000000068,92
ENSDARG00000000069,540
ENSDARG00000000086,437
ENSDARG00000000103,809
ENSDARG00000000142,7
ENSDARG00000000151,179
ENSDARG00000000161,106
ENSDARG00000000175,32
ENSDARG00000000183,325
ENSDARG00000000189,378
ENSDARG00000000212,1861
ENSDARG00000000229,61
ENSDARG00000000241,210
ENSDARG00000000349,2
ENSDARG00000000369,9
ENSDARG00000000370,450
ENSDARG00000000380,66
ENSDARG00000000394,333
ENSDARG00000000423,28
ENSDARG00000000442,25
ENSDARG00000000460,3
ENSDARG00000000472,99
ENSDARG00000000474,0
ENSDARG00000000476,34
ENSDARG00000000489,153
ENSDARG00000000503,1393
ENSDARG00000000516,0
ENSDARG00000000529,31
ENSDARG00000000540,164
ENSDARG00000000542,6
ENSDARG00000000551,82
ENSDARG00000000563,32224
ENSDARG00000000567,218
ENSDARG00000000568,72
ENSDARG00000000588,11
ENSDARG00000000606,13
ENSDARG00000000631,126
ENSDARG00000000638,0
ENSDARG00000000651,7
ENSDARG00000000656,4
ENSDARG00000000666,45
ENSDARG00000000690,29
ENSDARG00000000729,118
ENSDARG00000000730,41
ENSDARG00000000747,5
ENSDARG00000000760,91
ENSDARG00000000767,9
ENSDARG00000000779,331
ENSDARG00000000796,91
ENSDARG00000000804,17
ENSDARG00000000830,0
ENSDARG00000000837,99
ENSDARG00000000853,116
ENSDARG00000000857,41
ENSDARG00000000861,591
ENSDARG00000000887,5
ENSDARG00000000906,19
ENSDARG00000000935,20
ENSDARG00000000943,138
ENSDARG00000000966,1144
ENSDARG00000001014,1702
ENSDARG00000001015,445
ENSDARG00000001057,89
ENSDARG00000001127,133
ENSDARG00000001129,320
ENSDARG00000001154,105
ENSDARG00000001162,238
ENSDARG00000001169,3
ENSDARG00000001210,60
ENSDARG00000001220,575
ENSDARG00000001234,168
ENSDARG00000001241,219
ENSDARG00000001244,652
ENSDARG00000001249,13
ENSDARG00000001259,10
ENSDARG00000001303,0
ENSDARG00000001313,17
ENSDARG00000001354,32
ENSDARG00000001414,28
ENSDARG00000001431,2689
ENSDARG00000001437,90
ENSDARG00000001442,43
ENSDARG00000001447,41
ENSDARG00000001452,31
ENSDARG00000001463,136
ENSDARG00000001470,207
ENSDARG00000001498,3
ENSDARG00000001549,222
ENSDARG00000001557,12
ENSDARG00000001558,77
ENSDARG00000001559,196
ENSDARG00000001572,0
ENSDARG00000001578,140
ENSDARG00000001621,34
ENSDARG00000001634,235
ENSDARG00000001656,0
ENSDARG00000001676,161
ENSDARG00000001686,1
ENSDARG00000001710,326
ENSDARG00000001712,10
ENSDARG00000001721,0
ENSDARG00000001729,383
ENSDARG00000001733,58
ENSDARG00000001734,60
ENSDARG00000001754,140
ENSDARG00000001760,148
ENSDARG00000001767,15
ENSDARG00000001769,100
ENSDARG00000001771,0
ENSDARG00000001776,40
ENSDARG00000001777,226
ENSDARG00000001781,22
ENSDARG00000001782,10
ENSDARG00000001785,59
ENSDARG00000001788,476
