B2,Counts
ENSDARG00000000001,9
ENSDARG00000000002,97
ENSDARG00000000018,42
ENSDARG00000000019,179
ENSDARG00000000068,45
ENSDARG00000000069,273
ENSDARG00000000086,257
ENSDARG00000000103,544
ENSDARG00000000142,9
ENSDARG00000000151,109
ENSDARG00000000161,31
ENSDARG00000000175,10
ENSDARG00000000183,167
ENSDARG00000000189,201
ENSDARG00000000212,1081
ENSDARG00000000229,32
ENSDARG00000000241,120
ENSDARG00000000349,0
ENSDARG00000000369,4
ENSDARG00000000370,317
ENSDARG00000000380,67
ENSDARG00000000394,204
ENSDARG00000000423,19
ENSDARG00000000442,20
ENSDARG00000000460,0
ENSDARG00000000472,12
ENSDARG00000000474,1
ENSDARG00000000476,19
ENSDARG00000000489,72
ENSDARG00000000503,1070
ENSDARG00000000516,2
ENSDARG00000000529,21
ENSDARG00000000540,96
ENSDARG00000000542,9
ENSDARG00000000551,69
ENSDARG00000000563,22372
ENSDARG00000000567,67
ENSDARG00000000568,73
ENSDARG00000000588,6
ENSDARG00000000606,17
ENSDARG00000000631,88
ENSDARG00000000638,0
ENSDARG00000000651,2
ENSDARG00000000656,0
ENSDARG00000000666,37
ENSDARG00000000690,12
ENSDARG00000000729,106
ENSDARG00000000730,35
ENSDARG00000000747,8
ENSDARG00000000760,34
ENSDARG00000000767,10
ENSDARG00000000779,186
ENSDARG00000000796,13
ENSDARG00000000804,7
ENSDARG00000000830,26
ENSDARG00000000837,98
ENSDARG00000000853,59
ENSDARG00000000857,44
ENSDARG00000000861,512
ENSDARG00000000887,9
ENSDARG00000000906,21
ENSDARG00000000935,11
ENSDARG00000000943,71
ENSDARG00000000966,715
ENSDARG00000001014,1182
ENSDARG00000001015,80
ENSDARG00000001057,80
ENSDARG00000001127,100
ENSDARG00000001129,313
ENSDARG00000001154,59
ENSDARG00000001162,114
ENSDARG00000001169,10
ENSDARG00000001210,20
ENSDARG00000001220,527
ENSDARG00000001234,87
ENSDARG00000001241,128
ENSDARG00000001244,389
ENSDARG00000001249,13
ENSDARG00000001259,4
ENSDARG00000001303,0
ENSDARG00000001313,11
ENSDARG00000001354,3
ENSDARG00000001414,11
ENSDARG00000001431,1817
ENSDARG00000001437,95
ENSDARG00000001442,16
ENSDARG00000001447,25
ENSDARG00000001452,10
ENSDARG00000001463,48
ENSDARG00000001470,159
ENSDARG00000001498,4
ENSDARG00000001549,176
ENSDARG00000001557,41
ENSDARG00000001558,61
ENSDARG00000001559,67
ENSDARG00000001572,0
ENSDARG00000001578,61
ENSDARG00000001621,26
ENSDARG00000001634,242
ENSDARG00000001656,0
ENSDARG00000001676,82
ENSDARG00000001686,6
ENSDARG00000001710,180
ENSDARG00000001712,0
ENSDARG00000001721,3
ENSDARG00000001729,246
ENSDARG00000001733,22
ENSDARG00000001734,19
ENSDARG00000001754,70
ENSDARG00000001760,121
ENSDARG00000001767,18
ENSDARG00000001769,80
ENSDARG00000001771,2
ENSDARG00000001776,18
ENSDARG00000001777,106
ENSDARG00000001781,6
ENSDARG00000001782,0
ENSDARG00000001785,49
ENSDARG00000001788,282
ENSDARG00000001803,11
ENSDARG00000001804,7
ENSDARG00000001807,43
ENSDARG00000001817,5
ENSDARG00000001818,310
ENSDARG00000001825,5
ENSDARG00000001829,181
ENSDARG00000001835,61
ENSDARG00000001857,237
ENSDARG00000001859,1
ENSDARG00000001870,2466
ENSDARG00000001873,42
ENSDARG00000001879,150
ENSDARG00000001880,20
ENSDARG00000001881,20
ENSDARG00000001882,48
ENSDARG00000001888,102
ENSDARG00000001889,236
ENSDARG00000001890,235
ENSDARG00000001891,2
ENSDARG00000001897,92
ENSDARG00000001898,15
ENSDARG00000001906,0
ENSDARG00000001909,1
ENSDARG00000001910,214
ENSDARG00000001912,5
ENSDARG00000001913,61
ENSDARG00000001929,46
ENSDARG00000001930,25
ENSDARG00000001933,7
ENSDARG00000001937,33
ENSDARG00000001939,32
ENSDARG00000001940,137
ENSDARG00000001950,1349
ENSDARG00000001953,45
ENSDARG00000001968,155
ENSDARG00000001969,59
ENSDARG00000001971,33
ENSDARG00000001975,40
ENSDARG00000001976,9
ENSDARG00000001993,979
ENSDARG00000001994,539
ENSDARG00000001999,51
ENSDARG00000002002,11
ENSDARG00000002006,79
ENSDARG00000002013,72
ENSDARG00000002016,25
ENSDARG00000002020,65
ENSDARG00000002021,47
ENSDARG00000002026,80
ENSDARG00000002031,24
ENSDARG00000002037,27
ENSDARG00000002060,0
ENSDARG00000002071,230
ENSDARG00000002077,14
ENSDARG00000002082,137
ENSDARG00000002084,282
ENSDARG00000002097,15
ENSDARG00000002127,144
ENSDARG00000002128,43
ENSDARG00000002131,315
ENSDARG00000002165,10
ENSDARG00000002167,239
ENSDARG00000002168,38
ENSDARG00000002172,19
ENSDARG00000002174,12
ENSDARG00000002184,32
ENSDARG00000002190,184
ENSDARG00000002192,68
ENSDARG00000002193,2082
ENSDARG00000002194,0
ENSDARG00000002196,43
ENSDARG00000002197,120
ENSDARG00000002204,39
ENSDARG00000002210,41
ENSDARG00000002213,11
ENSDARG00000002215,51
ENSDARG00000002216,20
ENSDARG00000002217,175
ENSDARG00000002219,19
ENSDARG00000002220,16
ENSDARG00000002230,117
ENSDARG00000002231,47
ENSDARG00000002235,251
ENSDARG00000002240,107
ENSDARG00000002241,9
ENSDARG00000002249,35
ENSDARG00000002255,69
ENSDARG00000002259,2
ENSDARG00000002264,23
ENSDARG00000002267,41
ENSDARG00000002271,122
ENSDARG00000002285,61
ENSDARG00000002293,0
ENSDARG00000002295,13
ENSDARG00000002298,6
ENSDARG00000002299,9
ENSDARG00000002300,6
ENSDARG00000002304,3
ENSDARG00000002305,248
ENSDARG00000002311,1
ENSDARG00000002330,10
ENSDARG00000002332,143
ENSDARG00000002333,62
ENSDARG00000002336,123
ENSDARG00000002339,19
ENSDARG00000002344,850
ENSDARG00000002347,0
ENSDARG00000002353,2
ENSDARG00000002355,3
ENSDARG00000002362,37
ENSDARG00000002365,44
ENSDARG00000002369,180
ENSDARG00000002377,6
ENSDARG00000002385,51
ENSDARG00000002391,6
ENSDARG00000002394,16
ENSDARG00000002396,244
ENSDARG00000002401,30
ENSDARG00000002402,63
ENSDARG00000002403,58
ENSDARG00000002405,45
ENSDARG00000002406,0
ENSDARG00000002411,49
ENSDARG00000002445,48
ENSDARG00000002463,50
ENSDARG00000002467,24
ENSDARG00000002479,35
ENSDARG00000002483,3
ENSDARG00000002487,67
ENSDARG00000002494,85
ENSDARG00000002506,11
ENSDARG00000002507,15
ENSDARG00000002508,39
ENSDARG00000002509,1
ENSDARG00000002510,0
ENSDARG00000002523,169
ENSDARG00000002533,10
ENSDARG00000002536,124
ENSDARG00000002538,85
ENSDARG00000002546,47
ENSDARG00000002549,55
ENSDARG00000002552,179
ENSDARG00000002564,53
ENSDARG00000002571,127
ENSDARG00000002576,35
ENSDARG00000002582,51
ENSDARG00000002587,423
ENSDARG00000002589,713
ENSDARG00000002591,85
ENSDARG00000002593,0
ENSDARG00000002597,0
ENSDARG00000002600,115
ENSDARG00000002601,0
ENSDARG00000002607,34
ENSDARG00000002609,14
ENSDARG00000002613,2
ENSDARG00000002632,105
ENSDARG00000002634,10
ENSDARG00000002635,119
ENSDARG00000002642,56
ENSDARG00000002644,53
ENSDARG00000002656,243
ENSDARG00000002659,119
ENSDARG00000002663,45
ENSDARG00000002666,16
ENSDARG00000002670,85
ENSDARG00000002682,51
ENSDARG00000002685,0
ENSDARG00000002690,59
ENSDARG00000002696,382
ENSDARG00000002701,13
ENSDARG00000002707,0
ENSDARG00000002710,1118
ENSDARG00000002720,31
ENSDARG00000002722,4
ENSDARG00000002728,0
ENSDARG00000002731,229
ENSDARG00000002732,42
ENSDARG00000002745,365
ENSDARG00000002748,44
ENSDARG00000002750,42
ENSDARG00000002754,4
ENSDARG00000002758,565
ENSDARG00000002760,14
ENSDARG00000002764,21
ENSDARG00000002768,3794
ENSDARG00000002771,78
ENSDARG00000002779,0
ENSDARG00000002787,130
ENSDARG00000002790,262
ENSDARG00000002791,1283
ENSDARG00000002792,191
ENSDARG00000002795,24
ENSDARG00000002797,0
ENSDARG00000002798,36
ENSDARG00000002816,58
ENSDARG00000002826,6
ENSDARG00000002830,27
ENSDARG00000002831,24
ENSDARG00000002840,115
ENSDARG00000002847,47
ENSDARG00000002872,17
ENSDARG00000002877,125
ENSDARG00000002880,70
ENSDARG00000002894,2
ENSDARG00000002897,59
ENSDARG00000002909,52
ENSDARG00000002912,43
ENSDARG00000002916,121
ENSDARG00000002917,22
ENSDARG00000002933,27
ENSDARG00000002937,142
ENSDARG00000002945,37
ENSDARG00000002947,29
ENSDARG00000002949,165
ENSDARG00000002952,94
ENSDARG00000002956,12
ENSDARG00000002959,0
ENSDARG00000002967,142
ENSDARG00000002968,278
ENSDARG00000002970,119
ENSDARG00000002971,58
ENSDARG00000002986,59
ENSDARG00000002988,198
ENSDARG00000002991,47
ENSDARG00000002994,97
ENSDARG00000003008,125
ENSDARG00000003017,48
ENSDARG00000003020,80
ENSDARG00000003021,8
ENSDARG00000003022,5
ENSDARG00000003027,1
ENSDARG00000003032,1125
ENSDARG00000003035,588
ENSDARG00000003041,14
ENSDARG00000003046,42
ENSDARG00000003054,1
ENSDARG00000003058,59
ENSDARG00000003061,23
ENSDARG00000003068,149
ENSDARG00000003069,53
ENSDARG00000003077,37
ENSDARG00000003081,9004
ENSDARG00000003084,24
ENSDARG00000003085,40
ENSDARG00000003087,131
ENSDARG00000003090,0
ENSDARG00000003091,71
ENSDARG00000003098,275
ENSDARG00000003109,58
ENSDARG00000003113,269
ENSDARG00000003127,77
ENSDARG00000003132,50
ENSDARG00000003142,26
ENSDARG00000003144,7
ENSDARG00000003146,9
ENSDARG00000003151,435
ENSDARG00000003153,29
ENSDARG00000003157,37
ENSDARG00000003165,58
ENSDARG00000003167,36
ENSDARG00000003169,317
ENSDARG00000003175,57
ENSDARG00000003181,17
ENSDARG00000003189,259
ENSDARG00000003193,11
ENSDARG00000003197,5
ENSDARG00000003200,7
ENSDARG00000003203,400
ENSDARG00000003205,36
ENSDARG00000003206,28
ENSDARG00000003207,22
ENSDARG00000003208,28
ENSDARG00000003210,21
ENSDARG00000003213,328
ENSDARG00000003216,169
ENSDARG00000003217,62
ENSDARG00000003219,175
ENSDARG00000003229,0
ENSDARG00000003235,35
ENSDARG00000003244,16
ENSDARG00000003250,29
ENSDARG00000003251,6
ENSDARG00000003257,4
ENSDARG00000003259,11
ENSDARG00000003269,163
ENSDARG00000003270,20
ENSDARG00000003281,78
ENSDARG00000003287,22
ENSDARG00000003290,17
ENSDARG00000003293,184
ENSDARG00000003303,2
ENSDARG00000003307,222
ENSDARG00000003308,116
ENSDARG00000003311,59
ENSDARG00000003313,4
ENSDARG00000003320,105
ENSDARG00000003326,0
ENSDARG00000003328,16
ENSDARG00000003344,0
ENSDARG00000003373,25
ENSDARG00000003375,4
ENSDARG00000003380,0
ENSDARG00000003381,38
ENSDARG00000003382,71
ENSDARG00000003383,79
ENSDARG00000003395,24
ENSDARG00000003398,69
ENSDARG00000003399,1
ENSDARG00000003403,106
ENSDARG00000003411,83
ENSDARG00000003414,2
ENSDARG00000003420,12
ENSDARG00000003421,112
ENSDARG00000003429,35
ENSDARG00000003444,7
ENSDARG00000003446,46
ENSDARG00000003449,60
ENSDARG00000003462,185
ENSDARG00000003469,18
ENSDARG00000003475,3
ENSDARG00000003486,201
ENSDARG00000003487,74
ENSDARG00000003495,191
ENSDARG00000003512,223
ENSDARG00000003517,10
ENSDARG00000003519,38
ENSDARG00000003520,56
ENSDARG00000003523,10
ENSDARG00000003526,235
ENSDARG00000003527,62
ENSDARG00000003531,97
ENSDARG00000003533,10
ENSDARG00000003544,63
ENSDARG00000003553,0
ENSDARG00000003564,55
ENSDARG00000003570,568
ENSDARG00000003573,95
ENSDARG00000003576,8
ENSDARG00000003584,29
ENSDARG00000003592,23
ENSDARG00000003599,2969
ENSDARG00000003607,81
ENSDARG00000003615,72
ENSDARG00000003616,95
ENSDARG00000003631,92
ENSDARG00000003632,5
ENSDARG00000003635,15
ENSDARG00000003641,109
ENSDARG00000003642,34
ENSDARG00000003655,356
ENSDARG00000003675,22
ENSDARG00000003680,248
ENSDARG00000003681,439
ENSDARG00000003684,90
ENSDARG00000003693,62
ENSDARG00000003695,848
ENSDARG00000003697,8
ENSDARG00000003699,98
ENSDARG00000003701,0
ENSDARG00000003705,176
ENSDARG00000003706,19
ENSDARG00000003732,17
ENSDARG00000003749,27
ENSDARG00000003750,59
ENSDARG00000003751,77
ENSDARG00000003754,76
ENSDARG00000003757,21
ENSDARG00000003769,22
ENSDARG00000003776,82
ENSDARG00000003779,71
ENSDARG00000003789,132
ENSDARG00000003795,1152
ENSDARG00000003797,2
ENSDARG00000003803,10
ENSDARG00000003808,110
ENSDARG00000003811,474
ENSDARG00000003818,129
ENSDARG00000003820,157
ENSDARG00000003822,3
ENSDARG00000003827,10
ENSDARG00000003829,140
ENSDARG00000003835,319
ENSDARG00000003841,3
ENSDARG00000003845,27
ENSDARG00000003846,9
ENSDARG00000003854,511
ENSDARG00000003860,120
ENSDARG00000003865,22
ENSDARG00000003866,97
ENSDARG00000003867,3
ENSDARG00000003869,38
ENSDARG00000003872,54
ENSDARG00000003877,214
ENSDARG00000003899,0
ENSDARG00000003900,1
ENSDARG00000003902,378
ENSDARG00000003903,1
ENSDARG00000003904,0
ENSDARG00000003909,10
ENSDARG00000003910,109
ENSDARG00000003920,246
ENSDARG00000003925,2
ENSDARG00000003927,41
ENSDARG00000003931,169
ENSDARG00000003934,2
ENSDARG00000003938,161
ENSDARG00000003940,81
ENSDARG00000003941,60
ENSDARG00000003944,0
ENSDARG00000003952,441
ENSDARG00000003961,39
ENSDARG00000003963,99
ENSDARG00000003965,3
ENSDARG00000003968,0
ENSDARG00000003970,52
ENSDARG00000003971,48
ENSDARG00000003973,26
ENSDARG00000003974,72
ENSDARG00000003977,15
ENSDARG00000003984,85
ENSDARG00000003989,52
ENSDARG00000003991,44
ENSDARG00000003994,30
ENSDARG00000003998,27
ENSDARG00000004015,12
ENSDARG00000004017,34
ENSDARG00000004018,9
ENSDARG00000004023,236
ENSDARG00000004034,154
ENSDARG00000004037,17
ENSDARG00000004046,24
ENSDARG00000004049,60
ENSDARG00000004051,15
ENSDARG00000004055,126
ENSDARG00000004059,3
ENSDARG00000004060,733
ENSDARG00000004074,201
ENSDARG00000004078,103
ENSDARG00000004082,13
ENSDARG00000004094,356
ENSDARG00000004105,120
ENSDARG00000004109,0
ENSDARG00000004111,0
ENSDARG00000004114,8
ENSDARG00000004115,35
ENSDARG00000004130,15
ENSDARG00000004131,10
ENSDARG00000004132,336
ENSDARG00000004150,29
ENSDARG00000004151,22
ENSDARG00000004154,1
ENSDARG00000004158,9
ENSDARG00000004160,90
ENSDARG00000004161,156
ENSDARG00000004167,3
ENSDARG00000004169,79
ENSDARG00000004171,25
ENSDARG00000004173,405
ENSDARG00000004174,789
ENSDARG00000004176,6
ENSDARG00000004177,56
ENSDARG00000004184,133
ENSDARG00000004187,8
ENSDARG00000004189,114
ENSDARG00000004196,90
ENSDARG00000004199,19
ENSDARG00000004204,1
ENSDARG00000004211,30
ENSDARG00000004218,32
ENSDARG00000004219,14
ENSDARG00000004227,62
ENSDARG00000004232,39
ENSDARG00000004243,7
ENSDARG00000004246,242
ENSDARG00000004251,33
ENSDARG00000004256,0
ENSDARG00000004260,0
ENSDARG00000004261,257
ENSDARG00000004262,48
ENSDARG00000004270,46
ENSDARG00000004274,9
ENSDARG00000004280,23
ENSDARG00000004282,55
ENSDARG00000004291,52
ENSDARG00000004296,96
ENSDARG00000004297,324
ENSDARG00000004301,15
ENSDARG00000004302,6
ENSDARG00000004305,20
ENSDARG00000004306,23
ENSDARG00000004307,9
ENSDARG00000004308,19
ENSDARG00000004311,13
ENSDARG00000004318,8
ENSDARG00000004322,29
ENSDARG00000004325,21
ENSDARG00000004328,1
ENSDARG00000004336,116
ENSDARG00000004343,52
ENSDARG00000004358,33
ENSDARG00000004363,16
ENSDARG00000004372,79
ENSDARG00000004377,69
ENSDARG00000004378,45
ENSDARG00000004386,147
ENSDARG00000004392,7
ENSDARG00000004396,9
ENSDARG00000004402,34
ENSDARG00000004405,4
ENSDARG00000004406,15
ENSDARG00000004415,192
ENSDARG00000004427,4
ENSDARG00000004433,5
ENSDARG00000004436,4
ENSDARG00000004445,38
ENSDARG00000004447,8
ENSDARG00000004451,20
ENSDARG00000004452,540
ENSDARG00000004455,6
ENSDARG00000004459,6
ENSDARG00000004460,8
ENSDARG00000004470,241
ENSDARG00000004472,8
ENSDARG00000004473,21
ENSDARG00000004492,29
ENSDARG00000004497,16
ENSDARG00000004498,0
ENSDARG00000004502,28
ENSDARG00000004517,36
ENSDARG00000004525,60
ENSDARG00000004527,16
ENSDARG00000004529,0
ENSDARG00000004537,514
ENSDARG00000004539,49
ENSDARG00000004561,0
ENSDARG00000004574,23
ENSDARG00000004576,17
ENSDARG00000004580,51
ENSDARG00000004581,75
ENSDARG00000004586,20
ENSDARG00000004587,22
ENSDARG00000004588,656
ENSDARG00000004592,13
ENSDARG00000004594,57
ENSDARG00000004597,35
ENSDARG00000004598,0
ENSDARG00000004616,38
ENSDARG00000004618,13
ENSDARG00000004621,373
ENSDARG00000004627,0
ENSDARG00000004632,16
