B1,Counts
ENSDARG00000000001,0
ENSDARG00000000002,131
ENSDARG00000000018,53
ENSDARG00000000019,236
ENSDARG00000000068,54
ENSDARG00000000069,428
ENSDARG00000000086,418
ENSDARG00000000103,727
ENSDARG00000000142,4
ENSDARG00000000151,125
ENSDARG00000000161,153
ENSDARG00000000175,20
ENSDARG00000000183,209
ENSDARG00000000189,344
ENSDARG00000000212,1533
ENSDARG00000000229,42
ENSDARG00000000241,143
ENSDARG00000000349,4
ENSDARG00000000369,2
ENSDARG00000000370,345
ENSDARG00000000380,120
ENSDARG00000000394,245
ENSDARG00000000423,15
ENSDARG00000000442,59
ENSDARG00000000460,0
ENSDARG00000000472,16
ENSDARG00000000474,3
ENSDARG00000000476,21
ENSDARG00000000489,94
ENSDARG00000000503,1291
ENSDARG00000000516,3
ENSDARG00000000529,38
ENSDARG00000000540,114
ENSDARG00000000542,24
ENSDARG00000000551,134
ENSDARG00000000563,26084
ENSDARG00000000567,114
ENSDARG00000000568,75
ENSDARG00000000588,20
ENSDARG00000000606,0
ENSDARG00000000631,157
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,81
ENSDARG00000000690,18
ENSDARG00000000729,145
ENSDARG00000000730,31
ENSDARG00000000747,1
ENSDARG00000000760,33
ENSDARG00000000767,15
ENSDARG00000000779,234
ENSDARG00000000796,55
ENSDARG00000000804,25
ENSDARG00000000830,22
ENSDARG00000000837,72
ENSDARG00000000853,84
ENSDARG00000000857,31
ENSDARG00000000861,421
ENSDARG00000000887,4
ENSDARG00000000906,7
ENSDARG00000000935,77
ENSDARG00000000943,67
ENSDARG00000000966,967
ENSDARG00000001014,1467
ENSDARG00000001015,359
ENSDARG00000001057,152
ENSDARG00000001127,106
ENSDARG00000001129,388
ENSDARG00000001154,39
ENSDARG00000001162,186
ENSDARG00000001169,3
ENSDARG00000001210,47
ENSDARG00000001220,347
ENSDARG00000001234,170
ENSDARG00000001241,244
ENSDARG00000001244,537
ENSDARG00000001249,8
ENSDARG00000001259,17
ENSDARG00000001303,0
ENSDARG00000001313,25
ENSDARG00000001354,8
ENSDARG00000001414,30
ENSDARG00000001431,2288
ENSDARG00000001437,50
ENSDARG00000001442,18
ENSDARG00000001447,30
ENSDARG00000001452,9
ENSDARG00000001463,79
ENSDARG00000001470,225
ENSDARG00000001498,2
ENSDARG00000001549,222
ENSDARG00000001557,23
ENSDARG00000001558,93
ENSDARG00000001559,114
ENSDARG00000001572,0
ENSDARG00000001578,118
ENSDARG00000001621,24
ENSDARG00000001634,211
ENSDARG00000001656,0
ENSDARG00000001676,176
ENSDARG00000001686,15
ENSDARG00000001710,240
ENSDARG00000001712,3
ENSDARG00000001721,14
ENSDARG00000001729,322
ENSDARG00000001733,49
ENSDARG00000001734,17
ENSDARG00000001754,84
ENSDARG00000001760,164
ENSDARG00000001767,13
ENSDARG00000001769,129
ENSDARG00000001771,0
ENSDARG00000001776,10
ENSDARG00000001777,129
ENSDARG00000001781,14
ENSDARG00000001782,8
ENSDARG00000001785,73
ENSDARG00000001788,422
ENSDARG00000001803,23
ENSDARG00000001804,3
ENSDARG00000001807,53
ENSDARG00000001817,21
ENSDARG00000001818,386
ENSDARG00000001825,14
ENSDARG00000001829,275
ENSDARG00000001835,73
ENSDARG00000001857,734
ENSDARG00000001859,19
ENSDARG00000001870,4059
ENSDARG00000001873,54
