A10,Counts
ENSDARG00000000001,0
ENSDARG00000000002,46
ENSDARG00000000018,46
ENSDARG00000000019,100
ENSDARG00000000068,24
ENSDARG00000000069,179
ENSDARG00000000086,131
ENSDARG00000000103,235
ENSDARG00000000142,2
ENSDARG00000000151,16
ENSDARG00000000161,33
ENSDARG00000000175,6
ENSDARG00000000183,82
ENSDARG00000000189,136
ENSDARG00000000212,650
ENSDARG00000000229,30
ENSDARG00000000241,50
ENSDARG00000000349,0
ENSDARG00000000369,4
ENSDARG00000000370,77
ENSDARG00000000380,38
ENSDARG00000000394,141
ENSDARG00000000423,24
ENSDARG00000000442,10
ENSDARG00000000460,0
ENSDARG00000000472,12
ENSDARG00000000474,0
ENSDARG00000000476,4
ENSDARG00000000489,48
ENSDARG00000000503,503
ENSDARG00000000516,0
ENSDARG00000000529,16
ENSDARG00000000540,31
ENSDARG00000000542,6
ENSDARG00000000551,31
ENSDARG00000000563,7990
ENSDARG00000000567,46
ENSDARG00000000568,10
ENSDARG00000000588,15
ENSDARG00000000606,2
ENSDARG00000000631,30
ENSDARG00000000638,0
ENSDARG00000000651,1
ENSDARG00000000656,0
ENSDARG00000000666,17
ENSDARG00000000690,8
ENSDARG00000000729,45
ENSDARG00000000730,5
ENSDARG00000000747,1
ENSDARG00000000760,20
ENSDARG00000000767,12
ENSDARG00000000779,110
ENSDARG00000000796,13
ENSDARG00000000804,6
ENSDARG00000000830,8
ENSDARG00000000837,28
ENSDARG00000000853,20
ENSDARG00000000857,12
ENSDARG00000000861,176
ENSDARG00000000887,8
ENSDARG00000000906,5
ENSDARG00000000935,5
ENSDARG00000000943,37
ENSDARG00000000966,298
ENSDARG00000001014,431
ENSDARG00000001015,76
ENSDARG00000001057,29
ENSDARG00000001127,39
ENSDARG00000001129,138
ENSDARG00000001154,28
ENSDARG00000001162,57
ENSDARG00000001169,0
ENSDARG00000001210,23
ENSDARG00000001220,201
ENSDARG00000001234,134
ENSDARG00000001241,54
ENSDARG00000001244,90
ENSDARG00000001249,6
ENSDARG00000001259,0
ENSDARG00000001303,4
ENSDARG00000001313,11
ENSDARG00000001354,3
ENSDARG00000001414,11
ENSDARG00000001431,879
ENSDARG00000001437,31
ENSDARG00000001442,12
ENSDARG00000001447,27
ENSDARG00000001452,4
ENSDARG00000001463,14
ENSDARG00000001470,112
ENSDARG00000001498,0
ENSDARG00000001549,41
ENSDARG00000001557,7
ENSDARG00000001558,54
ENSDARG00000001559,22
ENSDARG00000001572,0
ENSDARG00000001578,56
ENSDARG00000001621,6
ENSDARG00000001634,87
ENSDARG00000001656,0
