B4,Counts
ENSDARG00000002463,48
ENSDARG00000002467,14
ENSDARG00000002479,58
ENSDARG00000002483,4
ENSDARG00000002487,112
ENSDARG00000002494,64
ENSDARG00000002506,21
ENSDARG00000002507,63
ENSDARG00000002508,77
ENSDARG00000002509,5
ENSDARG00000002510,1
ENSDARG00000002523,397
ENSDARG00000002533,32
ENSDARG00000002536,155
ENSDARG00000002538,153
ENSDARG00000002546,93
ENSDARG00000002549,62
ENSDARG00000002552,324
ENSDARG00000002564,140
ENSDARG00000002571,152
ENSDARG00000002576,65
ENSDARG00000002582,101
ENSDARG00000002587,845
ENSDARG00000002589,1354
ENSDARG00000002591,86
ENSDARG00000002593,43
ENSDARG00000002597,0
ENSDARG00000002600,208
ENSDARG00000002601,8
ENSDARG00000002607,54
ENSDARG00000002609,77
ENSDARG00000002613,3
ENSDARG00000002632,246
ENSDARG00000002634,51
ENSDARG00000002635,197
ENSDARG00000002642,82
ENSDARG00000002644,109
ENSDARG00000002656,217
ENSDARG00000002659,204
ENSDARG00000002663,56
ENSDARG00000002666,6
ENSDARG00000002670,145
ENSDARG00000002682,229
ENSDARG00000002685,1
ENSDARG00000002690,99
ENSDARG00000002696,636
ENSDARG00000002701,16
ENSDARG00000002707,5
ENSDARG00000002710,2134
ENSDARG00000002720,37
ENSDARG00000002722,0
ENSDARG00000002728,6
ENSDARG00000002731,530
ENSDARG00000002732,64
ENSDARG00000002745,971
ENSDARG00000002748,69
ENSDARG00000002750,46
ENSDARG00000002754,7
ENSDARG00000002758,926
ENSDARG00000002760,36
ENSDARG00000002764,61
ENSDARG00000002768,7836
ENSDARG00000002771,52
ENSDARG00000002779,27
ENSDARG00000002787,273
ENSDARG00000002790,763
ENSDARG00000002791,2441
ENSDARG00000002792,290
ENSDARG00000002795,59
ENSDARG00000002797,0
ENSDARG00000002798,33
ENSDARG00000002816,82
ENSDARG00000002826,14
ENSDARG00000002830,23
ENSDARG00000002831,14
ENSDARG00000002840,158
ENSDARG00000002847,93
ENSDARG00000002872,22
ENSDARG00000002877,283
ENSDARG00000002880,206
ENSDARG00000002894,23
ENSDARG00000002897,90
ENSDARG00000002909,223
ENSDARG00000002912,96
ENSDARG00000002916,210
ENSDARG00000002917,17
ENSDARG00000002933,58
ENSDARG00000002937,238
ENSDARG00000002945,50
ENSDARG00000002947,101
ENSDARG00000002949,281
ENSDARG00000002952,194
ENSDARG00000002956,7
ENSDARG00000002959,0
ENSDARG00000002967,237
ENSDARG00000002968,474
ENSDARG00000002970,235
ENSDARG00000002971,85
ENSDARG00000002986,65
ENSDARG00000002988,457
ENSDARG00000002991,55
ENSDARG00000002994,151
ENSDARG00000003008,238
ENSDARG00000003017,100
ENSDARG00000003020,86
ENSDARG00000003021,13
ENSDARG00000003022,25
ENSDARG00000003027,8
ENSDARG00000003032,2131
ENSDARG00000003035,912
ENSDARG00000003041,29
ENSDARG00000003046,77
ENSDARG00000003054,11
ENSDARG00000003058,132
ENSDARG00000003061,23
ENSDARG00000003068,221
ENSDARG00000003069,52
ENSDARG00000003077,24
ENSDARG00000003081,14804
ENSDARG00000003084,24
ENSDARG00000003085,49
ENSDARG00000003087,355
ENSDARG00000003090,0
ENSDARG00000003091,126
ENSDARG00000003098,559
ENSDARG00000003109,96
ENSDARG00000003113,493
ENSDARG00000003127,157
ENSDARG00000003132,89
ENSDARG00000003142,32
ENSDARG00000003144,18
ENSDARG00000003146,48
ENSDARG00000003151,873
ENSDARG00000003153,37
ENSDARG00000003157,51
ENSDARG00000003165,108
ENSDARG00000003167,64
ENSDARG00000003169,612
ENSDARG00000003175,132
ENSDARG00000003181,17
ENSDARG00000003189,404
ENSDARG00000003193,42
ENSDARG00000003197,0
ENSDARG00000003200,10
ENSDARG00000003203,552
ENSDARG00000003205,68
ENSDARG00000003206,44
ENSDARG00000003207,84
ENSDARG00000003208,27
ENSDARG00000003210,53
