A6,Counts
ENSDARG00000002467,4
ENSDARG00000002479,11
ENSDARG00000002483,2
ENSDARG00000002487,7
ENSDARG00000002494,16
ENSDARG00000002506,24
ENSDARG00000002507,10
ENSDARG00000002508,5
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,19
ENSDARG00000002533,1
ENSDARG00000002536,13
ENSDARG00000002538,9
ENSDARG00000002546,16
ENSDARG00000002549,3
ENSDARG00000002552,71
ENSDARG00000002564,25
ENSDARG00000002571,28
ENSDARG00000002576,13
ENSDARG00000002582,19
ENSDARG00000002587,124
ENSDARG00000002589,321
ENSDARG00000002591,2
ENSDARG00000002593,3
ENSDARG00000002597,0
ENSDARG00000002600,44
ENSDARG00000002601,0
ENSDARG00000002607,13
ENSDARG00000002609,18
ENSDARG00000002613,0
ENSDARG00000002632,49
ENSDARG00000002634,10
ENSDARG00000002635,52
ENSDARG00000002642,20
ENSDARG00000002644,11
ENSDARG00000002656,33
ENSDARG00000002659,21
ENSDARG00000002663,18
ENSDARG00000002666,0
ENSDARG00000002670,12
ENSDARG00000002682,11
ENSDARG00000002685,0
ENSDARG00000002690,11
ENSDARG00000002696,137
ENSDARG00000002701,0
ENSDARG00000002707,0
ENSDARG00000002710,370
ENSDARG00000002720,7
ENSDARG00000002722,0
ENSDARG00000002728,0
ENSDARG00000002731,69
ENSDARG00000002732,8
ENSDARG00000002745,149
ENSDARG00000002748,12
ENSDARG00000002750,18
ENSDARG00000002754,4
ENSDARG00000002758,323
ENSDARG00000002760,1
ENSDARG00000002764,4
ENSDARG00000002768,1290
ENSDARG00000002771,19
ENSDARG00000002779,1
ENSDARG00000002787,40
ENSDARG00000002790,127
ENSDARG00000002791,378
ENSDARG00000002792,35
ENSDARG00000002795,3
ENSDARG00000002797,0
ENSDARG00000002798,5
ENSDARG00000002816,10
ENSDARG00000002826,5
ENSDARG00000002830,7
ENSDARG00000002831,4
ENSDARG00000002840,46
ENSDARG00000002847,15
ENSDARG00000002872,3
ENSDARG00000002877,64
ENSDARG00000002880,48
ENSDARG00000002894,7
ENSDARG00000002897,34
ENSDARG00000002909,27
ENSDARG00000002912,10
ENSDARG00000002916,27
ENSDARG00000002917,0
ENSDARG00000002933,6
ENSDARG00000002937,35
ENSDARG00000002945,34
ENSDARG00000002947,17
ENSDARG00000002949,47
ENSDARG00000002952,37
ENSDARG00000002956,2
ENSDARG00000002959,0
ENSDARG00000002967,30
ENSDARG00000002968,57
ENSDARG00000002970,34
ENSDARG00000002971,15
ENSDARG00000002986,13
ENSDARG00000002988,108
ENSDARG00000002991,11
ENSDARG00000002994,25
ENSDARG00000003008,23
ENSDARG00000003017,11
ENSDARG00000003020,9
ENSDARG00000003021,13
ENSDARG00000003022,7
ENSDARG00000003027,12
ENSDARG00000003032,511
ENSDARG00000003035,192
ENSDARG00000003041,17
ENSDARG00000003046,20
ENSDARG00000003054,0
ENSDARG00000003058,40
ENSDARG00000003061,8
ENSDARG00000003068,49
ENSDARG00000003069,4
ENSDARG00000003077,6
ENSDARG00000003081,2379
ENSDARG00000003084,3
ENSDARG00000003085,3
ENSDARG00000003087,14
ENSDARG00000003090,0
ENSDARG00000003091,21
ENSDARG00000003098,163
ENSDARG00000003109,17
ENSDARG00000003113,117
ENSDARG00000003127,20
ENSDARG00000003132,21
ENSDARG00000003142,12
ENSDARG00000003144,1
ENSDARG00000003146,6
ENSDARG00000003151,81
ENSDARG00000003153,11
ENSDARG00000003157,9
ENSDARG00000003165,43
ENSDARG00000003167,9
ENSDARG00000003169,28
ENSDARG00000003175,20
ENSDARG00000003181,0
ENSDARG00000003189,66
ENSDARG00000003193,6
ENSDARG00000003197,2
ENSDARG00000003200,1
ENSDARG00000003203,87
ENSDARG00000003205,3
ENSDARG00000003206,6
ENSDARG00000003207,10
ENSDARG00000003208,14
ENSDARG00000003210,1
ENSDARG00000003213,102
ENSDARG00000003216,83
ENSDARG00000003217,20
ENSDARG00000003219,64
ENSDARG00000003229,0
ENSDARG00000003235,7
ENSDARG00000003244,1
ENSDARG00000003250,5
ENSDARG00000003251,4
ENSDARG00000003257,4
ENSDARG00000003259,5
ENSDARG00000003269,45
ENSDARG00000003270,2
ENSDARG00000003281,30
ENSDARG00000003287,11
ENSDARG00000003290,17
