B3,Counts
ENSDARG00000000001,4
ENSDARG00000000002,62
ENSDARG00000000018,37
ENSDARG00000000019,152
ENSDARG00000000068,31
ENSDARG00000000069,277
ENSDARG00000000086,238
ENSDARG00000000103,453
ENSDARG00000000142,13
ENSDARG00000000151,73
ENSDARG00000000161,24
ENSDARG00000000175,8
ENSDARG00000000183,187
ENSDARG00000000189,179
ENSDARG00000000212,891
ENSDARG00000000229,49
ENSDARG00000000241,90
ENSDARG00000000349,6
ENSDARG00000000369,4
ENSDARG00000000370,182
ENSDARG00000000380,76
ENSDARG00000000394,201
ENSDARG00000000423,12
ENSDARG00000000442,18
ENSDARG00000000460,0
ENSDARG00000000472,60
ENSDARG00000000474,0
ENSDARG00000000476,13
ENSDARG00000000489,51
ENSDARG00000000503,818
ENSDARG00000000516,0
ENSDARG00000000529,12
ENSDARG00000000540,68
ENSDARG00000000542,3
ENSDARG00000000551,26
ENSDARG00000000563,17811
ENSDARG00000000567,117
ENSDARG00000000568,54
ENSDARG00000000588,0
ENSDARG00000000606,0
ENSDARG00000000631,66
ENSDARG00000000638,0
ENSDARG00000000651,4
ENSDARG00000000656,0
ENSDARG00000000666,52
ENSDARG00000000690,7
ENSDARG00000000729,69
ENSDARG00000000730,15
ENSDARG00000000747,2
ENSDARG00000000760,33
ENSDARG00000000767,23
ENSDARG00000000779,146
ENSDARG00000000796,44
ENSDARG00000000804,9
ENSDARG00000000830,0
ENSDARG00000000837,67
ENSDARG00000000853,58
ENSDARG00000000857,31
ENSDARG00000000861,466
ENSDARG00000000887,9
ENSDARG00000000906,24
ENSDARG00000000935,171
ENSDARG00000000943,57
ENSDARG00000000966,613
ENSDARG00000001014,803
ENSDARG00000001015,52
ENSDARG00000001057,45
ENSDARG00000001127,71
ENSDARG00000001129,165
ENSDARG00000001154,41
ENSDARG00000001162,113
ENSDARG00000001169,11
ENSDARG00000001210,20
ENSDARG00000001220,213
ENSDARG00000001234,75
ENSDARG00000001241,133
ENSDARG00000001244,342
ENSDARG00000001249,15
ENSDARG00000001259,5
ENSDARG00000001303,0
ENSDARG00000001313,3
ENSDARG00000001354,14
ENSDARG00000001414,6
ENSDARG00000001431,1441
ENSDARG00000001437,41
ENSDARG00000001442,27
ENSDARG00000001447,44
ENSDARG00000001452,6
ENSDARG00000001463,46
ENSDARG00000001470,88
ENSDARG00000001498,0
ENSDARG00000001549,141
ENSDARG00000001557,23
ENSDARG00000001558,59
ENSDARG00000001559,76
ENSDARG00000001572,0
ENSDARG00000001578,55
ENSDARG00000001621,23
ENSDARG00000001634,88
ENSDARG00000001656,0
ENSDARG00000001676,83
ENSDARG00000001686,2
ENSDARG00000001710,188
ENSDARG00000001712,11
ENSDARG00000001721,0
ENSDARG00000001729,196
ENSDARG00000001733,32
ENSDARG00000001734,22
ENSDARG00000001754,66
ENSDARG00000001760,81
ENSDARG00000001767,7
ENSDARG00000001769,73
ENSDARG00000001771,0
ENSDARG00000001776,3
ENSDARG00000001777,113
