Identifier,TGSH-10ug/L-A
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,5
ENSDARG00000076833,172
ENSDARG00000012297,6
ENSDARG00000087107,1
ENSDARG00000099342,0
ENSDARG00000008487,29
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,4
ENSDARG00000074379,7
ENSDARG00000062854,6
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,4
ENSDARG00000074213,2
ENSDARG00000062606,4
ENSDARG00000077198,0
ENSDARG00000007678,90
ENSDARG00000089930,6
ENSDARG00000078057,5
ENSDARG00000070448,35
ENSDARG00000070449,4
ENSDARG00000042988,53
ENSDARG00000096506,0
ENSDARG00000070452,4
ENSDARG00000070454,7
ENSDARG00000096515,2
ENSDARG00000038114,1
ENSDARG00000008637,78
ENSDARG00000091609,82
ENSDARG00000002634,0
ENSDARG00000062467,1
ENSDARG00000032808,2
ENSDARG00000078318,2
ENSDARG00000018997,84
ENSDARG00000099771,13
ENSDARG00000045620,13
ENSDARG00000045618,141
ENSDARG00000057248,7
ENSDARG00000017985,25
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,1
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,25
ENSDARG00000105122,0
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,2
ENSDARG00000089805,12
ENSDARG00000117726,0
ENSDARG00000117541,9
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,36
ENSDARG00000057114,19
ENSDARG00000009026,26
ENSDARG00000085400,0
ENSDARG00000014273,42
ENSDARG00000104795,1
ENSDARG00000056806,10
ENSDARG00000056797,17
ENSDARG00000062341,2
ENSDARG00000107022,0
ENSDARG00000056742,3
ENSDARG00000037576,0
ENSDARG00000070431,14
ENSDARG00000022690,3
ENSDARG00000056677,1
ENSDARG00000012903,23
ENSDARG00000003398,22
ENSDARG00000074867,17
ENSDARG00000109597,5
ENSDARG00000111274,0
ENSDARG00000110922,10
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,51
ENSDARG00000007534,1
ENSDARG00000077804,31
ENSDARG00000013881,8
ENSDARG00000079317,2
ENSDARG00000117428,1
ENSDARG00000106258,0
ENSDARG00000078854,25
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,12
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,16
ENSDARG00000070412,1
ENSDARG00000034105,21
ENSDARG00000062198,18
ENSDARG00000034817,8
ENSDARG00000056504,24
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,109
ENSDARG00000092708,0
ENSDARG00000017905,43
ENSDARG00000030514,33
ENSDARG00000056400,5
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,516
ENSDARG00000092022,0
ENSDARG00000056381,4
ENSDARG00000056376,0
ENSDARG00000056369,17
ENSDARG00000011023,0
ENSDARG00000003046,1
ENSDARG00000095697,0
ENSDARG00000016065,1
ENSDARG00000062132,52
ENSDARG00000117687,0
ENSDARG00000117295,2
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,2
ENSDARG00000062122,0
ENSDARG00000095111,0
ENSDARG00000008287,5
ENSDARG00000015495,69
ENSDARG00000062081,10
ENSDARG00000018178,17
ENSDARG00000093886,1
ENSDARG00000056163,3
ENSDARG00000079488,0
ENSDARG00000062055,21
ENSDARG00000074275,12
ENSDARG00000075330,0
ENSDARG00000006392,5
ENSDARG00000073902,1
ENSDARG00000019945,15
ENSDARG00000086957,11
ENSDARG00000056151,232
ENSDARG00000061985,42
ENSDARG00000061981,13
ENSDARG00000003631,9
ENSDARG00000056133,0
ENSDARG00000070321,2
ENSDARG00000017744,24
ENSDARG00000070320,1
ENSDARG00000061952,10
ENSDARG00000061936,2
ENSDARG00000006434,6
ENSDARG00000037484,4
ENSDARG00000094729,1
ENSDARG00000095388,6
ENSDARG00000085360,0
ENSDARG00000037487,2
ENSDARG00000008068,11
ENSDARG00000077648,1
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,143
ENSDARG00000080019,4
ENSDARG00000099995,7
ENSDARG00000070278,7
ENSDARG00000061830,1
ENSDARG00000041776,3
ENSDARG00000095632,0
ENSDARG00000037455,37
ENSDARG00000093816,0
ENSDARG00000070266,110
ENSDARG00000037429,0
ENSDARG00000055874,229
ENSDARG00000055876,29
ENSDARG00000092321,1
ENSDARG00000061786,1
ENSDARG00000094202,21
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,11
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,20
ENSDARG00000037409,7
ENSDARG00000070173,5
ENSDARG00000052782,4
ENSDARG00000037406,11
ENSDARG00000034773,7
ENSDARG00000033273,5
ENSDARG00000055439,6
ENSDARG00000055443,7
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,2
ENSDARG00000030759,2
ENSDARG00000079074,2
ENSDARG00000061504,6
ENSDARG00000000606,2
ENSDARG00000107258,0
ENSDARG00000087224,4
ENSDARG00000052764,1
ENSDARG00000092275,0
ENSDARG00000055559,4
ENSDARG00000114954,0
ENSDARG00000115778,1
ENSDARG00000026871,14
ENSDARG00000016470,79
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,19
ENSDARG00000002406,1
ENSDARG00000034007,33
ENSDARG00000061143,18
ENSDARG00000034896,22
ENSDARG00000116099,0
ENSDARG00000037378,19
ENSDARG00000012672,22
ENSDARG00000093064,15
ENSDARG00000061121,33
ENSDARG00000094677,7
